# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 11:14:24 EST 2016, 3993, .48000000000000000000, 1, .19000000000000000000, 345, 29, 8, 42, 60, 6.750, 5.907
Thu Dec 29 11:15:40 EST 2016, 8943, .98000000000000000000, 7, .69000000000000000000, 495, 74, 17, 17, 15, 20.327, 13.677
Thu Dec 29 11:21:52 EST 2016, 6468, .23000000000000000000, 10, .44000000000000000000, 570, 52, 12, 29, 82, 0.000, 37.233
Thu Dec 29 11:22:32 EST 2016, 1518, .73000000000000000000, 4, .94000000000000000000, 420, 97, 3, 4, 37, 3.563, 3.537
Thu Dec 29 11:23:53 EST 2016, 2137, .30000000000000000000, 10, .62000000000000000000, 402, 91, 7, 26, 66, 25.317, 21.147
Thu Dec 29 11:30:10 EST 2016, 7087, .80000000000000000000, 4, .12000000000000000000, 552, 46, 16, 1, 21, 0.000, 10.037
Thu Dec 29 11:30:55 EST 2016, 9562, .05000000000000000000, 1, .87000000000000000000, 477, 69, 11, 39, 88, 18.270, 16.487
Thu Dec 29 11:31:36 EST 2016, 4612, .55000000000000000000, 7, .37000000000000000000, 327, 24, 2, 14, 43, 1.127, 1.370
Thu Dec 29 11:32:42 EST 2016, 3375, .17000000000000000000, 5, .50000000000000000000, 514, 13, 9, 7, 77, 3.650, 3.570
Thu Dec 29 11:33:37 EST 2016, 8325, .67000000000000000000, 11, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.043, 0.050
Thu Dec 29 11:39:59 EST 2016, 5850, .42000000000000000000, 8, .75000000000000000000, 439, 35, 14, 20, 99, 0.000, 22.520
Thu Dec 29 11:41:25 EST 2016, 900, .92000000000000000000, 2, .25000000000000000000, 589, 80, 4, 45, 54, 37.053, 27.567
Thu Dec 29 11:42:20 EST 2016, 1209, .39000000000000000000, 4, .47000000000000000000, 467, 55, 15, 31, 46, 33.637, 27.050
Thu Dec 29 11:42:51 EST 2016, 6159, .89000000000000000000, 10, .97000000000000000000, 317, 10, 6, 6, 91, 1.633, 1.440
Thu Dec 29 11:43:51 EST 2016, 8634, .14000000000000000000, 7, .22000000000000000000, 392, 77, 1, 43, 23, 1.623, 1.757
Thu Dec 29 11:45:02 EST 2016, 3684, .64000000000000000000, 1, .72000000000000000000, 542, 32, 11, 18, 68, 9.370, 8.263
Thu Dec 29 11:45:52 EST 2016, 4921, .01000000000000000000, 11, .34000000000000000000, 430, 43, 18, --cols, , 0.060, 0.060
Thu Dec 29 11:47:43 EST 2016, 9871, .51000000000000000000, 5, .84000000000000000000, 580, 88, 8, 25, 80, 50.000, 39.423
Thu Dec 29 11:47:53 EST 2016, 7396, .26000000000000000000, 2, .09000000000000000000, 505, 21, 4, 12, 12, 0.690, 0.687
Thu Dec 29 11:49:54 EST 2016, 2446, .76000000000000000000, 8, .59000000000000000000, 355, 66, 13, 37, 57, 59.157, 34.317
Thu Dec 29 11:50:55 EST 2016, 1828, .20000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.047, 0.050
Thu Dec 29 11:52:30 EST 2016, 6778, .70000000000000000000, 6, .28000000000000000000, 486, 27, 7, 40, 85, 31.263, 20.037
Thu Dec 29 11:53:01 EST 2016, 9253, .45000000000000000000, 9, .53000000000000000000, 561, 94, 2, 3, 18, 1.533, 1.613
Thu Dec 29 11:59:38 EST 2016, 4303, .95000000000000000000, 3, .03000000000000000000, 411, 49, 12, 28, 63, 0.000, 56.780
Thu Dec 29 12:00:48 EST 2016, 3065, .33000000000000000000, 8, .90000000000000000000, 598, 38, 19, 46, 51, 41.720, 37.670
Thu Dec 29 12:06:50 EST 2016, 8015, .83000000000000000000, 2, .40000000000000000000, 448, 83, 10, 21, 96, 0.000, 67.527
Thu Dec 29 12:07:16 EST 2016, 5540, .08000000000000000000, 5, .65000000000000000000, 373, 15, 5, 34, 29, 1.293, 1.290
Thu Dec 29 12:13:53 EST 2016, 590, .58000000000000000000, 11, .15000000000000000000, 523, 60, 14, 9, 74, 0.000, 34.193
Thu Dec 29 12:14:18 EST 2016, 435, .34000000000000000000, 1, .51000000000000000000, 434, 53, 1, 41, 30, 0.867, 0.893
Thu Dec 29 12:20:45 EST 2016, 5385, .84000000000000000000, 7, .01000000000000000000, 584, 98, 10, 16, 75, 0.000, 71.290
Thu Dec 29 12:21:41 EST 2016, 7860, .09000000000000000000, 10, .76000000000000000000, 509, 31, 15, 29, 53, 13.793, 14.023
Thu Dec 29 12:28:08 EST 2016, 2910, .59000000000000000000, 4, .26000000000000000000, 359, 76, 6, 4, 98, 0.000, 14.883
Thu Dec 29 12:28:38 EST 2016, 4148, .22000000000000000000, 8, .64000000000000000000, 472, 65, 3, 22, 19, 2.843, 2.727
Thu Dec 29 12:30:04 EST 2016, 9098, .72000000000000000000, 2, .14000000000000000000, 322, 20, 13, 47, 64, 30.130, 17.667
Thu Dec 29 12:31:00 EST 2016, 6623, .47000000000000000000, 5, .89000000000000000000, 397, 87, 18, 10, 42, 23.980, 15.620
Thu Dec 29 12:33:56 EST 2016, 1673, .97000000000000000000, 11, .39000000000000000000, 547, 42, 8, 35, 87, 127.947, 46.867
Thu Dec 29 12:34:41 EST 2016, 2292, .03000000000000000000, 3, .20000000000000000000, 566, 36, 2, 7, 13, 0.700, 0.647
Thu Dec 29 12:36:32 EST 2016, 7242, .53000000000000000000, 9, .70000000000000000000, 416, 81, 12, 32, 58, 50.820, 38.097
Thu Dec 29 12:36:47 EST 2016, 9717, .28000000000000000000, 6, .45000000000000000000, 341, 14, 16, 19, 36, 4.123, 3.423
Thu Dec 29 12:37:43 EST 2016, 4767, .78000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.047
