# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 12:39:25 EST 2016, 8467, .34000000000000000000, 9, .56000000000000000000, 324, 66, 12, 14, 80, 0.000, 19.423
Thu Dec 29 12:39:50 EST 2016, 3517, .84000000000000000000, 3, .06000000000000000000, 474, 21, 3, 39, 35, 3.153, 3.197
Thu Dec 29 12:40:51 EST 2016, 4755, .47000000000000000000, 7, .93000000000000000000, 361, 10, 10, 33, 69, 4.693, 4.400
Thu Dec 29 12:42:06 EST 2016, 9705, .97000000000000000000, 1, .43000000000000000000, 511, 55, 19, 8, 24, 16.330, 14.457
Thu Dec 29 12:43:37 EST 2016, 7230, .22000000000000000000, 4, .68000000000000000000, 586, 32, 15, 46, 91, 44.197, 38.947
Thu Dec 29 12:44:12 EST 2016, 2280, .72000000000000000000, 10, .18000000000000000000, 436, 77, 5, 21, 46, 19.030, 14.320
Thu Dec 29 12:45:18 EST 2016, 1661, .28000000000000000000, 4, .49000000000000000000, 380, 83, 6, 49, 74, 27.907, 25.177
Thu Dec 29 12:46:08 EST 2016, 6611, .78000000000000000000, 10, .99000000000000000000, 530, 38, 16, 24, 29, 13.470, 12.160
Thu Dec 29 12:52:20 EST 2016, 9086, .03000000000000000000, 7, .24000000000000000000, 455, 60, 11, 36, 97, 0.000, 33.833
Thu Dec 29 12:53:01 EST 2016, 4136, .53000000000000000000, 1, .74000000000000000000, 305, 15, 2, 11, 52, 0.407, 0.423
Thu Dec 29 12:54:11 EST 2016, 2898, .15000000000000000000, 11, .37000000000000000000, 492, 27, 9, 18, 63, 7.807, 7.507
Thu Dec 29 12:55:22 EST 2016, 7848, .65000000000000000000, 5, .87000000000000000000, 342, 72, 18, 43, 18, 17.357, 14.987
Thu Dec 29 13:01:44 EST 2016, 5373, .40000000000000000000, 2, .12000000000000000000, 417, 49, 14, 5, 85, 0.000, 28.830
Thu Dec 29 13:02:34 EST 2016, 423, .90000000000000000000, 8, .62000000000000000000, 567, 94, 4, 30, 40, 24.133, 19.133
Thu Dec 29 13:03:20 EST 2016, 578, .14000000000000000000, 3, .20000000000000000000, 347, 20, 11, 23, 87, 6.607, 8.167
Thu Dec 29 13:04:20 EST 2016, 5528, .64000000000000000000, 9, .70000000000000000000, 497, 65, 2, 48, 42, 7.423, 7.180
Thu Dec 29 13:05:51 EST 2016, 8003, .39000000000000000000, 6, .45000000000000000000, 572, 42, 7, 11, 64, 25.763, 11.123
Thu Dec 29 13:06:11 EST 2016, 3053, .89000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.060
Thu Dec 29 13:12:58 EST 2016, 4291, .26000000000000000000, 11, .07000000000000000000, 535, 98, 14, 42, 98, 0.000, 125.360
Thu Dec 29 13:13:29 EST 2016, 9241, .76000000000000000000, 5, .57000000000000000000, 385, 53, 4, 17, 53, 7.953, 6.203
Thu Dec 29 13:14:34 EST 2016, 6766, .01000000000000000000, 2, .32000000000000000000, 310, 76, 9, 29, 76, 12.133, 11.553
Thu Dec 29 13:15:30 EST 2016, 1816, .51000000000000000000, 8, .82000000000000000000, 460, 31, 19, 4, 31, 6.780, 4.287
Thu Dec 29 13:16:35 EST 2016, 2434, .45000000000000000000, 1, .51000000000000000000, 516, 25, 10, 26, 92, 10.493, 8.927
Thu Dec 29 13:17:26 EST 2016, 7384, .95000000000000000000, 7, .01000000000000000000, 366, 70, 1, 1, 47, 1.617, 2.000
Thu Dec 29 13:18:41 EST 2016, 9859, .20000000000000000000, 10, .76000000000000000000, 441, 48, 6, 39, 70, 13.420, 13.177
Thu Dec 29 13:20:12 EST 2016, 4909, .70000000000000000000, 4, .26000000000000000000, 591, 93, 15, 14, 25, 41.903, 34.093
Thu Dec 29 13:25:54 EST 2016, 3672, .07000000000000000000, 8, .63000000000000000000, 403, 82, 13, 7, 81, 0.000, 18.103
Thu Dec 29 13:26:39 EST 2016, 8622, .57000000000000000000, 2, .13000000000000000000, 553, 37, 3, 32, 36, 3.677, 3.613
Thu Dec 29 13:27:50 EST 2016, 6147, .32000000000000000000, 5, .88000000000000000000, 478, 59, 8, 20, 59, 14.827, 11.580
Thu Dec 29 13:28:40 EST 2016, 1197, .82000000000000000000, 11, .38000000000000000000, 328, 14, 17, 45, 14, 3.690, 3.517
Thu Dec 29 13:29:41 EST 2016, 887, .36000000000000000000, 7, .35000000000000000000, 413, 34, 3, 31, 16, 1.373, 1.383
Thu Dec 29 13:31:07 EST 2016, 5837, .86000000000000000000, 1, .85000000000000000000, 563, 79, 12, 6, 61, 22.040, 15.257
Thu Dec 29 13:31:47 EST 2016, 8312, .11000000000000000000, 4, .10000000000000000000, 488, 11, 17, 43, 39, 6.160, 5.947
Thu Dec 29 13:33:03 EST 2016, 3362, .61000000000000000000, 10, .60000000000000000000, 338, 56, 7, 18, 84, 20.200, 14.367
Thu Dec 29 13:33:43 EST 2016, 4600, .23000000000000000000, 2, .48000000000000000000, 450, 67, 5, --cols, , 0.047, 0.047
