# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 12:36:33 EST 2017, 3072, 0.390, 10, 0.150, 356, 53, 11, 39, 48, 18.620, 19.033
Tue Jan 10 12:38:23 EST 2017, 8022, 0.890, 4, 0.650, 506, 98, 1, 14, 93, 7.310, 7.200
Tue Jan 10 12:40:19 EST 2017, 5547, 0.140, 1, 0.400, 581, 31, 6, 26, 26, 1.633, 1.607
Tue Jan 10 12:42:45 EST 2017, 597, 0.640, 7, 0.900, 431, 76, 15, 1, 71, 22.227, 22.067
Tue Jan 10 12:44:36 EST 2017, 443, 0.400, 3, 0.260, 520, 38, 9, 46, 22, 10.333, 8.937
Tue Jan 10 12:54:08 EST 2017, 5393, 0.900, 9, 0.760, 370, 83, 19, 21, 67, 68.217, 0.000
Tue Jan 10 12:54:38 EST 2017, 7868, 0.150, 6, 0.010, 445, 15, 14, 33, 44, 6.087, 6.543
Tue Jan 10 12:56:44 EST 2017, 2918, 0.650, 0, 0.510, 595, 60, 4, 8, 89, 12.777, 13.183
Tue Jan 10 12:58:30 EST 2017, 4155, 0.030, 11, 0.390, 407, 72, 7, 15, 10, 1.537, 1.563
Tue Jan 10 13:00:36 EST 2017, 9105, 0.530, 5, 0.890, 557, 27, 16, 40, 55, 23.173, 23.813
Tue Jan 10 13:03:01 EST 2017, 6630, 0.280, 2, 0.140, 482, 94, 12, 2, 33, 7.203, 38.987
Tue Jan 10 13:04:22 EST 2017, 1680, 0.780, 8, 0.640, 332, 49, 2, 27, 78, 5.343, 5.200
Tue Jan 10 13:05:17 EST 2017, 2299, 0.220, 0, 0.950, 351, 43, 8, 5, 16, 0.997, 0.970
Tue Jan 10 13:12:25 EST 2017, 7249, 0.720, 6, 0.450, 501, 88, 18, 30, 61, 101.397, 0.000
