# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 15:47:00 EST 2017, 4305, 0.390, 4, 0.570, 507, 28, 16, 18, 24, 6.270, 5.903
Tue Jan 10 15:48:56 EST 2017, 9255, 0.890, 10, 0.070, 357, 73, 7, 43, 69, 0.200, 0.147
Tue Jan 10 15:51:02 EST 2017, 6780, 0.140, 7, 0.820, 432, 50, 2, 6, 47, 1.260, 1.263
Tue Jan 10 15:54:18 EST 2017, 1830, 0.640, 1, 0.320, 582, 95, 11, 31, 92, 63.693, 69.267
Tue Jan 10 15:57:28 EST 2017, 2449, 0.320, 6, 0.010, 526, 90, 17, 9, 30, 20.667, 18.927
Tue Jan 10 16:00:40 EST 2017, 7399, 0.820, 0, 0.510, 376, 45, 8, 34, 75, 22.367, 26.317
Tue Jan 10 16:04:20 EST 2017, 9874, 0.070, 3, 0.260, 301, 67, 3, 22, 52, 2.690, 2.663
Tue Jan 10 16:05:51 EST 2017, 4924, 0.570, 9, 0.760, 451, 22, 13, 47, 97, 28.917, 30.780
Tue Jan 10 16:08:27 EST 2017, 3686, 0.200, 2, 0.130, 338, 11, 15, 28, 19, 1.243, 1.270
Tue Jan 10 16:12:38 EST 2017, 8636, 0.700, 8, 0.630, 488, 56, 6, 3, 64, 7.867, 8.577
Tue Jan 10 16:16:34 EST 2017, 6161, 0.450, 11, 0.380, 563, 33, 1, 40, 41, 1.893, 1.883
Tue Jan 10 16:19:45 EST 2017, 1211, 0.950, 5, 0.880, 413, 78, 10, 15, 86, 37.440, 64.500
Tue Jan 10 16:22:46 EST 2017, 902, 0.480, 1, 0.850, 329, 59, 10, 4, 78, 4.453, 4.307
Tue Jan 10 16:26:47 EST 2017, 5852, 0.980, 7, 0.350, 479, 14, 19, 29, 33, 0.087, 0.083
Tue Jan 10 16:30:43 EST 2017, 8327, 0.230, 10, 0.600, 554, 81, 14, 17, 55, 30.757, 32.500
Tue Jan 10 16:34:14 EST 2017, 3377, 0.730, 4, 0.100, 404, 36, 5, 42, 10, 2.103, 2.043
Tue Jan 10 16:36:40 EST 2017, 4614, 0.110, 8, 0.970, 592, 48, 7, 36, 89, 21.847, 22.083
Tue Jan 10 16:39:41 EST 2017, 9564, 0.610, 2, 0.470, 442, 93, 17, 11, 44, 28.100, 104.297
Tue Jan 10 16:42:37 EST 2017, 7089, 0.360, 5, 0.720, 367, 25, 12, 48, 66, 13.710, 14.090
Tue Jan 10 16:45:27 EST 2017, 2139, 0.860, 11, 0.220, 517, 70, 3, 23, 21, 4.230, 4.193
Tue Jan 10 16:48:08 EST 2017, 1521, 0.170, 3, 0.410, 460, 76, 8, 45, 94, 36.113, 35.440
Tue Jan 10 16:51:44 EST 2017, 6471, 0.670, 9, 0.910, 310, 31, 18, 20, 49, 10.823, 11.063
Tue Jan 10 16:58:41 EST 2017, 8946, 0.420, 6, 0.160, 385, 98, 13, 32, 72, 62.663, 0.000
Tue Jan 10 16:59:46 EST 2017, 3996, 0.920, 0, 0.660, 535, 53, 4, 7, 27, 0.070, 0.080
Tue Jan 10 17:00:57 EST 2017, 2758, 0.290, 10, 0.290, 423, 42, 6, 14, 83, 8.737, 8.850
Tue Jan 10 17:03:53 EST 2017, 7708, 0.790, 4, 0.790, 573, 87, 16, 39, 38, 60.270, 62.350
Tue Jan 10 17:04:48 EST 2017, 5233, 0.040, 1, 0.040, 498, 19, 11, 1, 61, 1.573, 1.513
Tue Jan 10 17:05:49 EST 2017, 283, 0.540, 7, 0.540, 348, 64, 1, 26, 16, 0.873, 0.877
Tue Jan 10 17:08:29 EST 2017, 361, 0.140, 2, 0.900, 547, 71, 16, 43, 67, 39.330, 40.313
Tue Jan 10 17:11:55 EST 2017, 5311, 0.640, 8, 0.400, 397, 26, 7, 18, 22, 2.413, 2.383
Tue Jan 10 17:14:06 EST 2017, 7786, 0.390, 11, 0.650, 322, 93, 2, 31, 90, 9.053, 8.967
