# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 12:36:17 EST 2017, 2275, 0.090, 6, 0.450, 400, 69, 1, 32, 77, 3.097, 3.043
Tue Jan 10 12:38:18 EST 2017, 7225, 0.590, 0, 0.950, 550, 24, 10, 7, 32, 2.670, 2.770
Tue Jan 10 12:41:44 EST 2017, 9700, 0.340, 3, 0.200, 475, 91, 15, 44, 55, 79.910, 61.813
Tue Jan 10 12:44:25 EST 2017, 4750, 0.840, 9, 0.700, 325, 46, 6, 19, 10, 1.563, 1.507
Tue Jan 10 12:46:26 EST 2017, 3512, 0.470, 2, 0.330, 512, 35, 3, 0, 88, 2.440, 2.393
Tue Jan 10 12:49:02 EST 2017, 8462, 0.970, 8, 0.830, 362, 80, 13, 25, 43, 29.763, 31.873
Tue Jan 10 12:50:38 EST 2017, 5987, 0.220, 11, 0.080, 437, 13, 18, 13, 66, 6.997, 8.240
Tue Jan 10 12:51:43 EST 2017, 1037, 0.720, 5, 0.580, 587, 58, 8, 38, 21, 11.787, 11.887
Tue Jan 10 12:53:44 EST 2017, 728, 0.190, 0, 0.670, 466, 77, 12, 27, 29, 13.720, 13.423
Tue Jan 10 12:54:34 EST 2017, 5678, 0.690, 6, 0.170, 316, 32, 3, 2, 74, 2.377, 2.307
Tue Jan 10 12:56:45 EST 2017, 8153, 0.440, 9, 0.920, 391, 55, 7, 39, 52, 13.567, 13.833
Tue Jan 10 12:58:30 EST 2017, 3203, 0.940, 3, 0.420, 541, 10, 17, 14, 97, 0.157, 0.107
Tue Jan 10 13:00:11 EST 2017, 4440, 0.310, 7, 0.550, 428, 21, 15, 8, 18, 1.903, 1.900
Tue Jan 10 13:02:37 EST 2017, 9390, 0.810, 1, 0.050, 578, 66, 5, 33, 63, 23.723, 21.173
Tue Jan 10 13:04:27 EST 2017, 6915, 0.060, 4, 0.800, 503, 44, 10, 21, 41, 8.903, 6.737
Tue Jan 10 13:10:59 EST 2017, 1965, 0.560, 10, 0.300, 353, 89, 19, 46, 86, 124.017, 0.000
Tue Jan 10 13:11:29 EST 2017, 1347, 0.370, 3, 0.110, 334, 94, 11, 24, 12, 5.787, 5.243
Tue Jan 10 13:12:30 EST 2017, 6297, 0.870, 9, 0.610, 484, 49, 1, 49, 57, 4.377, 4.437
Tue Jan 10 13:13:30 EST 2017, 8772, 0.120, 6, 0.360, 559, 72, 6, 11, 35, 5.580, 5.690
Tue Jan 10 13:17:57 EST 2017, 3822, 0.620, 0, 0.860, 409, 27, 16, 36, 80, 25.893, 27.060
Tue Jan 10 13:19:42 EST 2017, 2584, 0.000, 11, 0.230, 597, 15, 13, 43, 24, 4.397, 4.900
Tue Jan 10 13:23:48 EST 2017, 7534, 0.500, 5, 0.730, 447, 60, 4, 18, 69, 8.490, 8.427
Tue Jan 10 13:25:49 EST 2017, 5059, 0.250, 2, 0.480, 372, 38, 9, 30, 46, 5.607, 5.587
Tue Jan 10 13:28:45 EST 2017, 109, 0.750, 8, 0.980, 522, 83, 18, 5, 91, 60.760, 60.877
Tue Jan 10 13:30:26 EST 2017, 114, 0.370, 9, 0.650, 483, 74, 17, 41, 38, 40.590, 40.800
Tue Jan 10 13:30:51 EST 2017, 5064, 0.870, 3, 0.150, 333, 29, 7, 16, 83, 0.120, 0.173
Tue Jan 10 13:32:52 EST 2017, 7539, 0.120, 0, 0.900, 408, 97, 2, 28, 15, 1.463, 1.513
Tue Jan 10 13:39:24 EST 2017, 2589, 0.620, 6, 0.400, 558, 52, 12, 3, 60, 16.220, 213.070
Tue Jan 10 13:40:14 EST 2017, 3827, 0.000, 5, 0.520, 446, 41, 19, 22, 49, 14.110, 13.090
Tue Jan 10 13:44:35 EST 2017, 8777, 0.500, 11, 0.020, 596, 86, 9, 47, 94, 102.947, 127.270
Tue Jan 10 13:46:06 EST 2017, 6302, 0.250, 8, 0.770, 521, 18, 5, 10, 26, 0.993, 0.993
Tue Jan 10 13:49:17 EST 2017, 1352, 0.750, 2, 0.270, 371, 63, 14, 35, 71, 68.300, 57.017
Tue Jan 10 13:51:33 EST 2017, 1970, 0.180, 6, 0.090, 314, 58, 15, 7, 54, 8.823, 80.157
Tue Jan 10 13:52:18 EST 2017, 6920, 0.680, 0, 0.590, 464, 13, 6, 32, 99, 7.733, 8.297
Tue Jan 10 13:54:14 EST 2017, 9395, 0.430, 3, 0.340, 539, 80, 1, 19, 32, 1.683, 1.673
Tue Jan 10 13:56:44 EST 2017, 4445, 0.930, 9, 0.840, 389, 35, 11, 44, 77, 31.560, 32.347
Tue Jan 10 13:58:30 EST 2017, 3208, 0.310, 1, 0.210, 577, 46, 18, 25, 43, 14.613, 13.160
Tue Jan 10 14:02:16 EST 2017, 8158, 0.810, 7, 0.710, 427, 91, 8, 0, 88, 20.060, 102.050
Tue Jan 10 14:04:12 EST 2017, 5683, 0.060, 10, 0.460, 352, 24, 3, 38, 21, 0.990, 1.003
Tue Jan 10 14:06:37 EST 2017, 733, 0.560, 4, 0.960, 502, 69, 13, 13, 66, 23.937, 24.907
Tue Jan 10 14:08:23 EST 2017, 1042, 0.090, 0, 0.810, 549, 89, 8, 2, 57, 8.023, 8.153
Tue Jan 10 14:10:23 EST 2017, 5992, 0.590, 6, 0.310, 399, 44, 17, 27, 12, 6.553, 6.390
Tue Jan 10 14:15:35 EST 2017, 8467, 0.340, 9, 0.560, 324, 66, 12, 14, 80, 18.910, 169.600
Tue Jan 10 15:20:23 EST 2017, 3517, 0.840, 3, 0.060, 474, 21, 3, 39, 35, 0.113, 0.077
Tue Jan 10 15:22:33 EST 2017, 4755, 0.470, 7, 0.930, 361, 10, 10, 33, 69, 3.887, 3.853
Tue Jan 10 15:23:39 EST 2017, 9705, 0.970, 1, 0.430, 511, 55, 19, 8, 24, 10.350, 11.833
Tue Jan 10 15:26:09 EST 2017, 7230, 0.220, 4, 0.680, 586, 32, 15, 46, 91, 40.370, 41.527
Tue Jan 10 15:27:45 EST 2017, 2280, 0.720, 10, 0.180, 436, 77, 5, 21, 46, 12.483, 12.553
Tue Jan 10 15:30:00 EST 2017, 1661, 0.280, 4, 0.490, 380, 83, 6, 49, 74, 24.497, 24.250
Tue Jan 10 15:30:51 EST 2017, 6611, 0.780, 10, 0.990, 530, 38, 16, 24, 29, 13.240, 13.367
Tue Jan 10 15:33:22 EST 2017, 9086, 0.030, 7, 0.240, 455, 60, 11, 36, 97, 35.800, 43.530
Tue Jan 10 15:34:42 EST 2017, 4136, 0.530, 1, 0.740, 305, 15, 2, 11, 52, 0.367, 0.363
Tue Jan 10 15:36:53 EST 2017, 2898, 0.150, 11, 0.370, 492, 27, 9, 18, 63, 8.110, 8.567
Tue Jan 10 15:38:59 EST 2017, 7848, 0.650, 5, 0.870, 342, 72, 18, 43, 18, 15.810, 16.070
Tue Jan 10 15:48:31 EST 2017, 5373, 0.400, 2, 0.120, 417, 49, 14, 5, 85, 16.800, 0.000
Tue Jan 10 15:51:16 EST 2017, 423, 0.900, 8, 0.620, 567, 94, 4, 30, 40, 18.757, 19.280
Tue Jan 10 15:55:08 EST 2017, 578, 0.140, 3, 0.200, 347, 20, 11, 23, 87, 6.093, 6.847
Tue Jan 10 15:59:14 EST 2017, 5528, 0.640, 9, 0.700, 497, 65, 2, 48, 42, 6.930, 6.723
Tue Jan 10 16:00:24 EST 2017, 8003, 0.390, 6, 0.450, 572, 42, 7, 11, 64, 9.863, 10.117
Tue Jan 10 16:02:40 EST 2017, 3053, 0.890, 0, 0.950, 422, 87, 16, 36, 19, 23.223, 23.483
Tue Jan 10 16:06:46 EST 2017, 4291, 0.260, 11, 0.070, 535, 98, 14, 42, 98, 129.693, 139.070
