# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 12:36:28 EST 2017, 1187, 0.080, 3, 0.620, 493, 87, 2, 47, 90, 10.793, 10.577
Tue Jan 10 12:38:28 EST 2017, 6137, 0.580, 9, 0.120, 343, 42, 11, 22, 45, 11.147, 11.927
Tue Jan 10 12:40:59 EST 2017, 8612, 0.330, 6, 0.870, 418, 64, 16, 35, 67, 40.880, 41.943
Tue Jan 10 12:42:25 EST 2017, 3662, 0.830, 0, 0.370, 568, 19, 6, 10, 22, 0.070, 0.110
Tue Jan 10 12:44:31 EST 2017, 4900, 0.450, 11, 0.740, 381, 31, 4, 16, 78, 4.127, 4.150
Tue Jan 10 12:46:27 EST 2017, 9850, 0.950, 5, 0.240, 531, 76, 13, 41, 33, 0.160, 0.147
Tue Jan 10 12:48:38 EST 2017, 7375, 0.200, 2, 0.990, 456, 53, 18, 3, 56, 6.783, 6.740
Tue Jan 10 12:50:33 EST 2017, 2425, 0.700, 8, 0.490, 306, 98, 9, 28, 11, 5.033, 5.040
Tue Jan 10 12:51:34 EST 2017, 1806, 0.260, 1, 0.180, 362, 93, 3, 0, 84, 2.633, 2.640
Tue Jan 10 12:53:50 EST 2017, 6756, 0.760, 7, 0.680, 512, 48, 12, 25, 39, 18.783, 19.890
Tue Jan 10 12:55:00 EST 2017, 9231, 0.010, 10, 0.430, 587, 70, 17, 13, 61, 26.870, 30.503
Tue Jan 10 12:56:36 EST 2017, 4281, 0.510, 4, 0.930, 437, 25, 8, 38, 16, 2.260, 2.333
Tue Jan 10 12:58:36 EST 2017, 3043, 0.140, 8, 0.050, 550, 14, 5, 32, 95, 5.820, 6.337
Tue Jan 10 13:01:07 EST 2017, 7993, 0.640, 2, 0.550, 400, 59, 15, 7, 50, 12.350, 46.183
Tue Jan 10 13:02:48 EST 2017, 5518, 0.390, 5, 0.300, 325, 36, 19, 44, 73, 36.423, 35.963
Tue Jan 10 13:04:38 EST 2017, 568, 0.890, 11, 0.800, 475, 81, 10, 19, 28, 15.743, 15.883
Tue Jan 10 13:05:29 EST 2017, 414, 0.150, 0, 0.380, 404, 21, 15, 25, 77, 10.970, 12.150
Tue Jan 10 13:09:25 EST 2017, 5364, 0.650, 6, 0.880, 554, 66, 5, 0, 32, 2.980, 2.887
Tue Jan 10 13:10:25 EST 2017, 7839, 0.400, 9, 0.130, 479, 43, 1, 37, 99, 4.533, 4.440
Tue Jan 10 13:12:51 EST 2017, 2889, 0.900, 3, 0.630, 329, 88, 10, 12, 54, 16.277, 86.890
Tue Jan 10 13:19:13 EST 2017, 4126, 0.280, 8, 0.260, 517, 77, 17, 6, 66, 29.997, 0.000
Tue Jan 10 14:22:31 EST 2017, 9076, 0.780, 2, 0.760, 367, 32, 8, 31, 21, 2.647, 2.627
Tue Jan 10 14:26:38 EST 2017, 6601, 0.030, 5, 0.010, 442, 55, 3, 18, 88, 5.737, 5.757
Tue Jan 10 14:30:19 EST 2017, 1651, 0.530, 11, 0.510, 592, 10, 13, 43, 43, 8.167, 8.300
Tue Jan 10 14:32:25 EST 2017, 2270, 0.470, 4, 0.820, 535, 15, 16, 21, 60, 8.500, 8.577
Tue Jan 10 14:36:16 EST 2017, 7220, 0.970, 10, 0.320, 385, 60, 7, 46, 15, 0.093, 0.087
Tue Jan 10 15:40:48 EST 2017, 9695, 0.220, 7, 0.570, 310, 38, 2, 9, 82, 1.700, 1.623
Tue Jan 10 15:43:14 EST 2017, 4745, 0.720, 1, 0.070, 460, 83, 11, 34, 37, 26.727, 21.710
Tue Jan 10 15:47:50 EST 2017, 3507, 0.090, 11, 0.940, 348, 94, 19, 40, 71, 59.170, 60.653
Tue Jan 10 15:49:01 EST 2017, 8457, 0.590, 5, 0.440, 498, 49, 9, 15, 26, 7.090, 6.877
Tue Jan 10 15:51:12 EST 2017, 5982, 0.340, 2, 0.690, 573, 71, 4, 28, 94, 14.690, 14.377
Tue Jan 10 15:55:03 EST 2017, 1032, 0.840, 8, 0.190, 423, 26, 14, 3, 49, 0.097, 0.337
Tue Jan 10 15:57:13 EST 2017, 723, 0.310, 10, 0.040, 320, 52, 6, 17, 52, 5.817, 5.897
Tue Jan 10 16:05:56 EST 2017, 5673, 0.810, 4, 0.540, 470, 97, 16, 42, 97, 211.057, 0.000
Tue Jan 10 16:08:27 EST 2017, 8148, 0.060, 1, 0.290, 545, 29, 11, 4, 29, 1.230, 1.270
Tue Jan 10 16:12:33 EST 2017, 3198, 0.560, 7, 0.790, 395, 74, 1, 29, 74, 4.087, 3.950
Tue Jan 10 16:16:54 EST 2017, 4436, 0.180, 5, 0.160, 582, 63, 8, 48, 40, 21.353, 20.183
Tue Jan 10 16:21:06 EST 2017, 9386, 0.680, 11, 0.660, 432, 18, 18, 23, 85, 18.943, 25.673
Tue Jan 10 16:24:56 EST 2017, 6911, 0.430, 8, 0.410, 357, 85, 13, 35, 18, 11.857, 12.083
Tue Jan 10 16:28:52 EST 2017, 1961, 0.930, 2, 0.910, 507, 40, 4, 10, 63, 3.857, 3.907
Tue Jan 10 16:30:13 EST 2017, 1342, 0.000, 6, 0.720, 451, 35, 7, 32, 35, 4.033, 4.027
Tue Jan 10 16:37:55 EST 2017, 6292, 0.500, 0, 0.220, 301, 80, 17, 7, 80, 28.553, 0.000
Tue Jan 10 16:38:25 EST 2017, 8767, 0.250, 3, 0.970, 376, 12, 12, 45, 12, 1.140, 1.040
Tue Jan 10 16:40:31 EST 2017, 3817, 0.750, 9, 0.470, 526, 57, 2, 20, 57, 5.913, 5.820
Tue Jan 10 16:42:27 EST 2017, 2579, 0.370, 1, 0.600, 414, 69, 10, 1, 46, 3.030, 3.100
Tue Jan 10 16:43:27 EST 2017, 7529, 0.870, 7, 0.100, 564, 24, 19, 26, 91, 0.153, 0.143
Tue Jan 10 16:47:38 EST 2017, 5054, 0.120, 10, 0.850, 489, 91, 14, 14, 23, 9.970, 9.670
Tue Jan 10 16:51:44 EST 2017, 104, 0.620, 4, 0.350, 339, 46, 5, 39, 68, 10.900, 10.893
Tue Jan 10 16:54:00 EST 2017, 107, 0.310, 7, 0.400, 397, 62, 13, 46, 40, 24.727, 24.340
Tue Jan 10 17:57:47 EST 2017, 5057, 0.810, 1, 0.900, 547, 17, 3, 21, 85, 1.697, 1.697
Tue Jan 10 17:59:53 EST 2017, 7532, 0.060, 4, 0.150, 472, 84, 8, 33, 18, 6.030, 6.120
