# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 21:56:28 EDT 2017, 0.300, 135, 28, 3, 12, 445, 11, 41, 12, 33, 58.267, 4.780
Sun Jul  2 21:56:29 EDT 2017, 0.800, 155, 23, 7, 23, 595, 1, 21, 27, 13, 0.240, 0.337
Sun Jul  2 21:56:34 EDT 2017, 0.550, 125, 21, 5, 28, 370, 6, 31, 5, 23, 5.313, 1.673
Sun Jul  2 21:56:47 EDT 2017, 0.050, 145, 26, 9, 17, 520, 15, 11, 20, 43, 12.290, 2.240
Sun Jul  2 21:56:51 EDT 2017, 0.030, 136, 23, 4, 24, 394, 9, 47, 4, 10, 4.687, 1.483
Sun Jul  2 21:57:47 EDT 2017, 0.530, 156, 28, 8, 13, 544, 19, 27, 19, 30, 55.290, 4.603
Sun Jul  2 21:59:25 EDT 2017, 0.780, 126, 25, 2, 18, 319, 14, 37, 11, 40, 97.813, 5.077
Sun Jul  2 21:59:26 EDT 2017, 0.280, 146, 20, 6, 29, 469, 4, 17, 26, 20, 0.943, 0.657
Sun Jul  2 21:59:42 EDT 2017, 0.400, 121, 29, 5, 15, 506, 7, 22, 0, 45, 15.327, 2.853
Sun Jul  2 22:00:36 EDT 2017, 0.900, 141, 24, 9, 26, 356, 16, 42, 15, 25, 53.597, 3.760
Sun Jul  2 22:00:38 EDT 2017, 0.650, 131, 21, 3, 21, 581, 12, 12, 7, 15, 2.313, 1.177
Sun Jul  2 22:00:40 EDT 2017, 0.150, 151, 26, 7, 10, 431, 2, 32, 22, 35, 1.640, 1.280
Sun Jul  2 22:00:41 EDT 2017, 0.220, 128, 20, 9, 11, 412, 8, 14, 2, 12, 0.667, 0.513
Sun Jul  2 22:02:41 EDT 2017, 0.720, 148, 25, 5, 22, 562, 18, 34, 17, 32, 119.393, 6.750
Sun Jul  2 22:03:12 EDT 2017, 0.970, 138, 27, 7, 28, 337, 13, 24, 9, 42, 30.797, 3.180
Sun Jul  2 22:03:15 EDT 2017, 0.470, 158, 22, 3, 17, 487, 3, 44, 24, 22, 2.817, 1.607
Sun Jul  2 22:03:45 EDT 2017, 0.340, 133, 26, 8, 25, 450, 6, 39, 5, 47, 30.453, 4.043
Sun Jul  2 22:03:56 EDT 2017, 0.840, 153, 21, 4, 14, 300, 15, 19, 20, 27, 10.717, 1.827
Sun Jul  2 22:04:21 EDT 2017, 0.590, 123, 23, 6, 9, 525, 10, 49, 13, 17, 24.743, 3.227
Sun Jul  2 22:04:22 EDT 2017, 0.090, 143, 28, 2, 20, 375, 1, 29, 28, 37, 0.650, 0.720
Sun Jul  2 22:04:39 EDT 2017, 0.060, 122, 25, 3, 28, 309, 19, 18, 27, 26, 16.417, 1.760
Sun Jul  2 22:06:10 EDT 2017, 0.560, 142, 20, 7, 17, 459, 10, 38, 12, 46, 90.640, 6.397
Sun Jul  2 22:06:17 EDT 2017, 0.810, 132, 22, 5, 12, 384, 5, 28, 19, 36, 6.860, 1.913
Sun Jul  2 22:06:48 EDT 2017, 0.310, 152, 27, 9, 23, 534, 15, 48, 4, 16, 31.087, 3.503
Sun Jul  2 22:08:59 EDT 2017, 0.440, 137, 21, 2, 9, 572, 17, 33, 23, 31, 130.400, 6.930
Sun Jul  2 22:09:00 EDT 2017, 0.940, 157, 26, 6, 20, 422, 7, 13, 8, 11, 0.397, 0.430
Sun Jul  2 22:09:03 EDT 2017, 0.690, 127, 29, 4, 26, 497, 3, 43, 16, 21, 2.717, 1.413
Sun Jul  2 22:09:25 EDT 2017, 0.190, 147, 24, 8, 15, 347, 12, 23, 1, 41, 22.610, 2.740
