# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 21:55:37 EDT 2017, 0.100, 123, 22, 6, 22, 557, 2, 48, 26, 42, 7.007, 2.777
Sun Jul  2 21:55:47 EDT 2017, 0.600, 143, 27, 2, 11, 407, 11, 28, 11, 22, 10.683, 2.003
Sun Jul  2 21:56:01 EDT 2017, 0.850, 133, 25, 8, 16, 482, 16, 38, 19, 12, 13.897, 2.177
Sun Jul  2 21:56:05 EDT 2017, 0.350, 153, 20, 4, 27, 332, 6, 18, 4, 32, 2.870, 1.170
Sun Jul  2 21:56:06 EDT 2017, 0.480, 138, 29, 7, 13, 370, 4, 23, 22, 17, 0.830, 0.703
Sun Jul  2 21:58:17 EDT 2017, 0.980, 158, 24, 3, 24, 520, 13, 43, 7, 37, 131.043, 7.780
Sun Jul  2 21:58:52 EDT 2017, 0.730, 128, 21, 9, 19, 445, 18, 13, 15, 47, 34.023, 3.110
Sun Jul  2 21:59:12 EDT 2017, 0.230, 148, 26, 5, 8, 595, 9, 33, 0, 27, 20.367, 3.380
Sun Jul  2 21:59:14 EDT 2017, 0.170, 130, 21, 3, 12, 576, 3, 10, 24, 44, 1.167, 0.897
Sun Jul  2 21:59:29 EDT 2017, 0.670, 150, 26, 7, 23, 426, 12, 30, 9, 24, 15.557, 2.447
Sun Jul  2 21:59:37 EDT 2017, 0.920, 120, 28, 5, 29, 501, 17, 20, 17, 14, 7.090, 1.973
Sun Jul  2 22:00:00 EDT 2017, 0.420, 140, 23, 9, 18, 351, 8, 40, 2, 34, 22.670, 2.970
Sun Jul  2 22:00:02 EDT 2017, 0.290, 125, 27, 2, 26, 314, 5, 35, 28, 19, 2.603, 1.097
Sun Jul  2 22:00:23 EDT 2017, 0.790, 145, 22, 6, 15, 464, 15, 15, 13, 39, 20.910, 2.837
Sun Jul  2 22:08:18 EDT 2017, 0.540, 135, 24, 4, 9, 389, 19, 45, 21, 49, 473.357, 11.687
Sun Jul  2 22:08:30 EDT 2017, 0.040, 155, 29, 8, 20, 539, 10, 25, 6, 29, 12.260, 2.613
Sun Jul  2 22:09:39 EDT 2017, 0.030, 126, 20, 5, 15, 337, 15, 30, 22, 36, 68.103, 3.943
Sun Jul  2 22:09:39 EDT 2017, 0.530, 146, 25, 9, 26, 487, 5, 10, 7, 16, 0.377, 0.490
Sun Jul  2 22:09:40 EDT 2017, 0.780, 136, 28, 3, 21, 412, 1, 40, 29, 26, 0.730, 0.823
Sun Jul  2 22:10:05 EDT 2017, 0.280, 156, 23, 7, 10, 562, 10, 20, 14, 46, 24.443, 3.793
Sun Jul  2 22:10:14 EDT 2017, 0.400, 131, 26, 4, 23, 525, 17, 15, 18, 21, 9.047, 1.867
Sun Jul  2 22:10:42 EDT 2017, 0.900, 151, 21, 8, 12, 375, 8, 35, 3, 41, 27.190, 3.440
Sun Jul  2 22:10:44 EDT 2017, 0.650, 121, 24, 2, 18, 450, 3, 25, 26, 31, 2.377, 1.347
Sun Jul  2 22:10:51 EDT 2017, 0.150, 141, 29, 6, 29, 300, 13, 45, 11, 11, 6.323, 1.540
Sun Jul  2 22:11:42 EDT 2017, 0.210, 138, 23, 8, 25, 318, 16, 27, 16, 39, 50.893, 3.470
Sun Jul  2 22:11:51 EDT 2017, 0.710, 158, 28, 4, 14, 468, 7, 47, 1, 19, 9.103, 2.323
Sun Jul  2 22:11:52 EDT 2017, 0.960, 128, 26, 6, 8, 393, 2, 17, 24, 29, 0.500, 0.603
Sun Jul  2 22:14:25 EDT 2017, 0.460, 148, 21, 2, 19, 543, 11, 37, 9, 49, 151.937, 9.087
Sun Jul  2 22:16:21 EDT 2017, 0.340, 123, 29, 9, 11, 581, 19, 42, 20, 24, 115.993, 6.440
Sun Jul  2 22:16:41 EDT 2017, 0.840, 143, 24, 5, 22, 431, 9, 22, 5, 44, 19.287, 3.063
Sun Jul  2 22:16:47 EDT 2017, 0.590, 133, 22, 7, 28, 506, 4, 32, 28, 34, 6.380, 2.010
Sun Jul  2 22:16:49 EDT 2017, 0.090, 153, 27, 3, 17, 356, 14, 12, 13, 14, 1.213, 0.680
Sun Jul  2 22:16:57 EDT 2017, 0.060, 132, 28, 2, 9, 440, 6, 23, 14, 40, 8.340, 2.047
Sun Jul  2 22:17:58 EDT 2017, 0.560, 152, 23, 6, 20, 590, 16, 43, 29, 20, 60.213, 5.213
Sun Jul  2 22:17:59 EDT 2017, 0.810, 122, 20, 4, 25, 365, 11, 13, 6, 10, 0.903, 0.603
