# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 21:55:30 EDT 2017, 0.210, 123, 25, 5, 15, 497, 1, 35, 22, 22, 0.610, 0.777
Sun Jul  2 21:55:38 EDT 2017, 0.710, 143, 20, 9, 26, 347, 10, 15, 7, 42, 7.670, 1.687
Sun Jul  2 21:58:47 EDT 2017, 0.960, 133, 22, 3, 20, 572, 15, 45, 15, 32, 188.930, 8.660
Sun Jul  2 21:58:49 EDT 2017, 0.460, 153, 27, 7, 9, 422, 6, 25, 0, 12, 1.427, 1.160
Sun Jul  2 21:58:50 EDT 2017, 0.340, 138, 21, 4, 23, 385, 3, 10, 26, 37, 0.707, 0.697
Sun Jul  2 21:59:00 EDT 2017, 0.840, 158, 26, 8, 12, 535, 13, 30, 11, 17, 9.820, 1.950
Sun Jul  2 21:59:17 EDT 2017, 0.590, 128, 29, 2, 18, 310, 18, 20, 18, 27, 16.793, 1.813
Sun Jul  2 22:00:12 EDT 2017, 0.090, 148, 24, 6, 29, 460, 8, 40, 3, 47, 54.590, 5.263
Sun Jul  2 22:00:24 EDT 2017, 0.060, 127, 20, 7, 20, 525, 12, 31, 6, 16, 12.373, 2.493
Sun Jul  2 22:00:25 EDT 2017, 0.560, 147, 25, 3, 9, 375, 3, 11, 21, 36, 0.617, 0.600
Sun Jul  2 22:01:04 EDT 2017, 0.810, 137, 27, 9, 14, 450, 7, 41, 14, 46, 38.403, 4.137
Sun Jul  2 22:01:17 EDT 2017, 0.310, 157, 22, 5, 25, 300, 17, 21, 29, 26, 13.303, 1.813
Sun Jul  2 22:01:35 EDT 2017, 0.430, 132, 26, 6, 17, 338, 15, 16, 2, 41, 17.777, 2.560
Sun Jul  2 22:01:40 EDT 2017, 0.930, 152, 21, 2, 28, 488, 5, 36, 17, 21, 4.640, 1.813
Sun Jul  2 22:01:42 EDT 2017, 0.680, 122, 23, 8, 22, 413, 10, 26, 10, 11, 2.207, 0.843
Sun Jul  2 22:05:21 EDT 2017, 0.180, 142, 28, 4, 11, 563, 19, 46, 25, 31, 218.617, 8.467
Sun Jul  2 22:05:35 EDT 2017, 0.120, 135, 23, 2, 10, 582, 11, 29, 0, 19, 14.110, 2.607
Sun Jul  2 22:05:37 EDT 2017, 0.620, 155, 28, 6, 21, 432, 1, 49, 15, 39, 1.400, 1.270
Sun Jul  2 22:05:47 EDT 2017, 0.870, 125, 25, 4, 27, 507, 6, 19, 8, 49, 10.170, 2.340
Sun Jul  2 22:06:53 EDT 2017, 0.370, 145, 20, 8, 16, 357, 16, 39, 23, 29, 65.193, 4.547
Sun Jul  2 22:08:59 EDT 2017, 0.250, 120, 29, 3, 29, 319, 13, 44, 4, 44, 126.053, 5.533
Sun Jul  2 22:09:01 EDT 2017, 0.750, 140, 24, 7, 18, 469, 4, 24, 19, 24, 1.793, 1.193
Sun Jul  2 22:09:06 EDT 2017, 0.500, 130, 22, 5, 13, 394, 9, 34, 12, 14, 4.710, 1.223
Sun Jul  2 22:09:23 EDT 2017, 0.000, 150, 27, 9, 24, 544, 18, 14, 27, 34, 16.623, 2.513
Sun Jul  2 22:14:30 EDT 2017, 0.000, 135, 28, 7, 21, 516, 17, 43, 9, 46, 305.303, 10.327
Sun Jul  2 22:14:34 EDT 2017, 0.500, 155, 23, 3, 10, 366, 7, 23, 24, 26, 3.940, 1.540
Sun Jul  2 22:14:35 EDT 2017, 0.750, 125, 20, 9, 15, 591, 2, 33, 1, 16, 0.710, 0.807
Sun Jul  2 22:14:43 EDT 2017, 0.250, 145, 25, 5, 26, 441, 12, 13, 16, 36, 7.117, 1.667
Sun Jul  2 22:14:51 EDT 2017, 0.370, 120, 24, 6, 18, 404, 19, 28, 13, 11, 8.530, 1.483
Sun Jul  2 22:15:45 EDT 2017, 0.870, 140, 29, 2, 29, 554, 9, 48, 28, 31, 53.397, 5.243
Sun Jul  2 22:15:48 EDT 2017, 0.620, 130, 26, 8, 24, 329, 5, 18, 5, 41, 2.813, 1.383
Sun Jul  2 22:16:24 EDT 2017, 0.120, 150, 21, 4, 13, 479, 14, 38, 20, 21, 35.390, 3.643
Sun Jul  2 22:17:00 EDT 2017, 0.180, 127, 25, 2, 9, 460, 15, 15, 14, 49, 36.020, 3.277
Sun Jul  2 22:17:08 EDT 2017, 0.680, 147, 20, 6, 20, 310, 6, 35, 29, 29, 7.147, 1.893
Sun Jul  2 22:17:08 EDT 2017, 0.930, 137, 22, 4, 25, 535, 1, 25, 7, 19, 0.267, 0.370
Sun Jul  2 22:18:12 EDT 2017, 0.430, 157, 27, 8, 14, 385, 11, 45, 22, 39, 63.523, 4.733
Sun Jul  2 22:18:29 EDT 2017, 0.310, 132, 21, 3, 28, 422, 18, 30, 11, 14, 16.420, 1.980
Sun Jul  2 22:18:31 EDT 2017, 0.810, 152, 26, 7, 17, 572, 8, 10, 26, 34, 2.127, 1.163
Sun Jul  2 22:18:37 EDT 2017, 0.560, 122, 28, 5, 11, 347, 3, 40, 3, 44, 6.190, 1.873
Sun Jul  2 22:18:47 EDT 2017, 0.060, 142, 23, 9, 22, 497, 13, 20, 18, 24, 9.477, 1.843
Sun Jul  2 22:18:50 EDT 2017, 0.090, 123, 20, 8, 26, 563, 8, 11, 15, 30, 2.827, 1.187
Sun Jul  2 22:18:56 EDT 2017, 0.590, 143, 25, 4, 15, 413, 17, 31, 0, 10, 6.030, 1.220
Sun Jul  2 22:19:02 EDT 2017, 0.840, 133, 27, 6, 9, 488, 12, 21, 23, 20, 6.410, 1.543
Sun Jul  2 22:19:08 EDT 2017, 0.340, 153, 22, 2, 20, 338, 3, 41, 8, 40, 5.313, 1.757
Sun Jul  2 22:19:20 EDT 2017, 0.470, 138, 26, 9, 12, 301, 10, 36, 19, 25, 11.903, 1.930
Sun Jul  2 22:20:06 EDT 2017, 0.970, 158, 21, 5, 23, 451, 19, 16, 4, 45, 46.000, 3.690
Sun Jul  2 22:22:21 EDT 2017, 0.720, 128, 24, 7, 29, 376, 15, 46, 27, 35, 134.587, 5.913
Sun Jul  2 22:22:22 EDT 2017, 0.220, 148, 29, 3, 18, 526, 5, 26, 12, 15, 1.437, 1.023
Sun Jul  2 22:22:56 EDT 2017, 0.150, 131, 23, 5, 13, 544, 6, 49, 21, 33, 33.433, 4.477
Sun Jul  2 22:23:02 EDT 2017, 0.650, 151, 28, 9, 24, 394, 16, 29, 6, 13, 6.140, 1.353
Sun Jul  2 22:23:33 EDT 2017, 0.900, 121, 26, 3, 19, 469, 11, 39, 29, 23, 30.653, 3.273
Sun Jul  2 22:23:35 EDT 2017, 0.400, 141, 21, 7, 8, 319, 2, 19, 14, 43, 0.880, 0.693
Sun Jul  2 22:23:42 EDT 2017, 0.280, 126, 29, 4, 22, 357, 9, 24, 17, 28, 7.480, 1.567
Sun Jul  2 22:30:17 EDT 2017, 0.780, 146, 24, 8, 11, 507, 18, 44, 2, 48, 393.517, 11.380
Sun Jul  2 22:30:34 EDT 2017, 0.530, 136, 22, 2, 16, 432, 14, 14, 25, 38, 16.133, 2.387
Sun Jul  2 22:30:36 EDT 2017, 0.030, 156, 27, 6, 27, 582, 4, 34, 10, 18, 1.893, 1.237
Sun Jul  2 22:31:24 EDT 2017, 0.040, 125, 23, 3, 11, 333, 11, 28, 25, 46, 48.017, 3.537
Sun Jul  2 22:31:26 EDT 2017, 0.540, 145, 28, 7, 22, 483, 2, 48, 10, 26, 1.900, 1.273
Sun Jul  2 22:31:28 EDT 2017, 0.790, 135, 25, 5, 27, 408, 7, 18, 18, 16, 1.210, 0.683
Sun Jul  2 22:33:52 EDT 2017, 0.290, 155, 20, 9, 16, 558, 16, 38, 3, 36, 143.890, 7.467
Sun Jul  2 22:34:07 EDT 2017, 0.420, 130, 29, 2, 25, 596, 14, 43, 29, 11, 14.680, 2.600
