# --delay, --selfEvents%, --eventsPerAgent,Link list + vector (insert sort),,Link list + multi_set,,Link list + heap,,Vector + multi_set,,Vector + Heap,,Vector + Vector (std::sort),,"VecVec vs List_list","VecVec vs List_multi_set","VecVec vs List_heap","VecVec vs vec_multiset","VecVec vs vec_heap","VecVec vs VecVec"
# ,,,memory_mean, memory_sd,memory_mean, memory_sd, memory_mean, memory_sd,memory_mean, memory_sd, memory_mean, memory_sd,memory_mean, memory_sd,,,,,,
5,0.25,10,54996,5.65685,55770.7,3.77124,55053.3,1.88562,56693.3,1.88562,56126.7,1.88562,56029.3,1.88562,0.0187886392,0.0046368434,0.0177282742,-0.0117121424,-0.0017353595,0
10,0.25,10,58644,5.65685,59560,3.26599,58704,3.26599,60470.7,1.88562,59596,21.4165,59578.7,1.88562,0.0159385444,0.0003139691,0.0149001772,-0.0147509455,-0.0002902879,0
1,0,15,12900,0,13225.3,1.88562,12954.7,3.77124,15225.3,3.77124,15050.7,3.77124,14934.7,3.77124,0.1577286822,0.1292522665,0.1528402819,-0.0190866518,-0.0077072827,0
2,0,15,32061.3,1.88562,32946.7,1.88562,32129.3,1.88562,34665.3,1.88562,34057.3,1.88562,34026.7,1.88562,0.0613013197,0.0327802177,0.0590551304,-0.0184218801,-0.0008984858,0
5,0,15,32061.3,1.88562,85776,3.26599,84561.3,1.88562,86693.3,1.88562,85692,0,85673.3,1.88562,1.672171746,-0.0011973046,0.0131502236,-0.0117656151,-0.0002182234,0
10,0,15,32061.3,1.88562,91673.3,1.88562,90336,5.65685,92549.3,1.88562,91550.7,3.77124,91454.7,1.88562,1.8524950641,-0.0023845547,0.0123837673,-0.0118272099,-0.0010485993,0
1,0.25,15,12245.3,1.88562,12549.3,1.88562,12297.3,1.88562,14425.3,1.88562,14128,0,14384,0,0.1746547655,0.1461993896,0.169687655,-0.0028630254,0.0181200453,0
2,0.25,15,33934.7,1.88562,34800,3.26599,33992,0,36573.3,3.77124,35776,3.26599,35814.7,3.77124,0.0554005192,0.029158046,0.0536214403,-0.0207419073,0.0010817308,0
5,0.25,15,33934.7,1.88562,79290.7,1.88562,78210.7,15.0849,80486.7,6.79869,79309.3,4.98888,79370.7,1.88562,1.3389244637,0.0010089456,0.0148317302,-0.0138656449,0.0007741841,0
10,0.25,15,33934.7,1.88562,84914.7,18.5712,83628,3.26599,85985.3,1.88562,84658.7,1.88562,84725.3,1.88562,1.4967157511,-0.0022304736,0.0131212034,-0.0146536675,0.0007866882,0
1,0,20,18040,3.26599,18610.7,1.88562,18104,0,20258.7,1.88562,19845.3,1.88562,19786.7,1.88562,0.0968237251,0.0631894555,0.0929463102,-0.0232986322,-0.0029528402,0
2,0,20,18040,3.26599,79830.7,1.88562,78724,3.26599,81221.3,1.88562,80292,0,80313.3,1.88562,3.4519567627,0.0060452934,0.0201882526,-0.0111793335,0.0002652817,0
5,0,20,18040,3.26599,110712,17.282,109131,1.88562,111848,0,110533,30.3462,110509,1.88562,5.1257760532,-0.0018335862,0.0126270262,-0.0119716043,-0.0002171297,0
10,0,20,18040,3.26599,118405,1.88562,116909,1.88562,119373,1.88562,118193,1.88562,118213,1.88562,5.552827051,-0.0016215531,0.0111539745,-0.0097174403,0.0001692148,0
1,0.25,20,15742.7,6.79869,16245.3,1.88562,15857.3,1.88562,18257.3,3.77124,17818.7,1.88562,17849.3,1.88562,0.1338144029,0.0987362499,0.1256203767,-0.0223472255,0.001717297,0
2,0.25,20,15742.7,6.79869,74064,0,72934.7,1.88562,75749.3,1.88562,74760,3.26599,74862.7,1.88562,3.7553913878,0.0107839166,0.0264346052,-0.0117043986,0.0013737293,0
5,0.25,20,15742.7,6.79869,102521,1.88562,101008,0,103851,1.88562,102376,0,102385,1.88562,5.5036493105,-0.0013265575,0.0136325836,-0.0141163783,8.79112291943424E-005,0
10,0.25,20,15742.7,6.79869,110024,3.26599,108287,1.88562,111179,1.88562,109503,1.88562,109504,0,5.955858906,-0.0047262415,0.0112386528,-0.0150657948,9.13216989488872E-006,0
