# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:57:18 EST 2017, 1, 5, 0.000, 2, 42.7833, 0.077603, 42.6407, 42.9259, 42.69, 42.69, 42.78, 42.88, 42.88, 9946.67, 3.77124, 9939.74, 9953.6, 9944, 9944, 9944, 9952, 9952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4729967, 0, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 9177160, 0, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160
Thu Jan 12 21:59:28 EST 2017, 1, 10, 0.000, 2, 53.1933, 0.90016, 51.5396, 54.847, 51.97, 51.97, 53.5, 54.11, 54.11, 10093.3, 1.88562, 10089.8, 10096.8, 10092, 10092, 10092, 10096, 10096, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4963402, 0, 4963402, 4963402, 4963402, 4963402, 4963402, 4963402, 4963402, 9929356, 0, 9929356, 9929356, 9929356, 9929356, 9929356, 9929356, 9929356
Thu Jan 12 22:00:19 EST 2017, 1, 1, 0.250, 2, 10.6667, 0.0612826, 10.5541, 10.7793, 10.59, 10.59, 10.67, 10.74, 10.74, 9154.67, 1.88562, 9151.21, 9158.13, 9152, 9152, 9156, 9156, 9156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 3935528, 0, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528
Thu Jan 12 22:02:35 EST 2017, 1, 2, 0.250, 2, 23.13, 0.171464, 22.815, 23.445, 22.89, 22.89, 23.22, 23.28, 23.28, 9257.33, 1.88562, 9253.87, 9260.79, 9256, 9256, 9256, 9260, 9260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3871029, 0, 3871029, 3871029, 3871029, 3871029, 3871029, 3871029, 3871029, 6321081, 0, 6321081, 6321081, 6321081, 6321081, 6321081, 6321081, 6321081
Thu Jan 12 22:05:01 EST 2017, 1, 5, 0.250, 2, 44.8867, 2.67612, 39.9703, 49.8031, 42.91, 42.91, 43.08, 48.67, 48.67, 9369.33, 1.88562, 9365.87, 9372.79, 9368, 9368, 9368, 9372, 9372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4587803, 0, 4587803, 4587803, 4587803, 4587803, 4587803, 4587803, 4587803, 9177148, 0, 9177148, 9177148, 9177148, 9177148, 9177148, 9177148, 9177148
Thu Jan 12 22:07:12 EST 2017, 1, 10, 0.250, 2, 54.1867, 0.2917, 53.6508, 54.7226, 53.78, 53.78, 54.33, 54.45, 54.45, 9448, 0, 9448, 9448, 9448, 9448, 9448, 9448, 9448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 9929348, 0, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348
Thu Jan 12 22:09:23 EST 2017, 1, 1, 0.000, 5, 64.19, 0.11431, 63.98, 64.4, 64.09, 64.09, 64.13, 64.35, 64.35, 9825.33, 1.88562, 9821.87, 9828.79, 9824, 9824, 9824, 9828, 9828, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4449600, 0, 4449600, 4449600, 4449600, 4449600, 4449600, 4449600, 4449600, 9836169, 0, 9836169, 9836169, 9836169, 9836169, 9836169, 9836169, 9836169
Thu Jan 12 22:14:29 EST 2017, 1, 2, 0.000, 5, 241, 6.52826, 229.007, 252.993, 235.64, 235.64, 237.17, 250.19, 250.19, 10254.7, 17.9877, 10221.7, 10287.7, 10240, 10240, 10244, 10280, 10280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4908956, 0, 4908956, 4908956, 4908956, 4908956, 4908956, 4908956, 4908956, 15795975, 0, 15795975, 15795975, 15795975, 15795975, 15795975, 15795975, 15795975
Thu Jan 12 22:27:52 EST 2017, 1, 5, 0.000, 5, 686.567, 1.95589, 682.974, 690.16, 684.27, 684.27, 686.38, 689.05, 689.05, 13968, 3.26599, 13962, 13974, 13964, 13964, 13968, 13972, 13972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998430, 0, 4998430, 4998430, 4998430, 4998430, 4998430, 4998430, 4998430, 22938306, 0, 22938306, 22938306, 22938306, 22938306, 22938306, 22938306, 22938306
Thu Jan 12 22:39:15 EST 2017, 1, 10, 0.000, 5, 633.65, 2.47584, 629.102, 638.198, 631.51, 631.51, 632.32, 637.12, 637.12, 36360, 0, 36360, 36360, 36360, 36360, 36360, 36360, 36360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 24821774, 0, 24821774, 24821774, 24821774, 24821774, 24821774, 24821774, 24821774
Thu Jan 12 22:41:25 EST 2017, 1, 1, 0.250, 5, 66.21, 2.36315, 61.8686, 70.5514, 62.87, 62.87, 67.78, 67.98, 67.98, 9689.33, 1.88562, 9685.87, 9692.79, 9688, 9688, 9688, 9692, 9692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442302, 0, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 9836950, 0, 9836950, 9836950, 9836950, 9836950, 9836950, 9836950, 9836950
Thu Jan 12 22:46:42 EST 2017, 1, 2, 0.250, 5, 251.157, 13.1914, 226.923, 275.391, 232.52, 232.52, 259.75, 261.2, 261.2, 9982.67, 3.77124, 9975.74, 9989.6, 9980, 9980, 9980, 9988, 9988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4898579, 0, 4898579, 4898579, 4898579, 4898579, 4898579, 4898579, 4898579, 15795793, 0, 15795793, 15795793, 15795793, 15795793, 15795793, 15795793, 15795793
Thu Jan 12 22:59:55 EST 2017, 1, 5, 0.250, 5, 688.487, 1.0206, 686.612, 690.362, 687.76, 687.76, 687.77, 689.93, 689.93, 11774.7, 1.88562, 11771.2, 11778.2, 11772, 11772, 11776, 11776, 11776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4995335, 0, 4995335, 4995335, 4995335, 4995335, 4995335, 4995335, 4995335, 22938223, 0, 22938223, 22938223, 22938223, 22938223, 22938223, 22938223, 22938223
Thu Jan 12 23:10:57 EST 2017, 1, 10, 0.250, 5, 615.217, 24.1033, 570.936, 659.498, 596.54, 596.54, 599.86, 649.25, 649.25, 13272, 0, 13272, 13272, 13272, 13272, 13272, 13272, 13272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998353, 0, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 24821748, 0, 24821748, 24821748, 24821748, 24821748, 24821748, 24821748, 24821748
