# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Sat Aug 19 20:10:49 EDT 2017, 1, 1, 26.392, 0.496987, 26.0418, 26.7422, 25.60, 25.78, 26.78, 26.89, 26.89, 1.10445e+06, 741.544, 1.10393e+06, 1.10497e+06, 1103544, 1103544, 1105058, 1105060, 1105060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 972351, 0, 972351, 972351, 972351, 972351, 972351, 972351, 972351, 989469, 0, 989469, 989469, 989469, 989469, 989469, 989469, 989469
Sat Aug 19 20:11:59 EDT 2017, 1, 2, 34.652, 0.595379, 34.2325, 35.0715, 33.76, 34.34, 34.65, 35.70, 35.71, 1.22793e+06, 45.1061, 1.2279e+06, 1.22796e+06, 1227796, 1227944, 1227948, 1227948, 1227948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1868611, 0, 1868611, 1868611, 1868611, 1868611, 1868611, 1868611, 1868611, 1981386, 0, 1981386, 1981386, 1981386, 1981386, 1981386, 1981386, 1981386
Sat Aug 19 20:15:00 EDT 2017, 1, 5, 111.176, 37.1, 85.037, 137.315, 55.38, 83.53, 127.39, 154.26, 158.41, 1538406, 46251.9, 1.50582e+06, 1.57099e+06, 1471500, 1481444, 1571716, 1587308, 1587312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4137493, 0, 4137493, 4137493, 4137493, 4137493, 4137493, 4137493, 4137493, 4952914, 0, 4952914, 4952914, 4952914, 4952914, 4952914, 4952914, 4952914
Sat Aug 19 20:23:00 EDT 2017, 1, 10, 304.551, 130.618, 212.523, 396.579, 86.70, 201.98, 380.025, 434.40, 452.56, 2173876, 26197.7, 2.15542e+06, 2.19233e+06, 2113188, 2174604, 2188354, 2191388, 2191392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6853516, 0, 6853516, 6853516, 6853516, 6853516, 6853516, 6853516, 6853516, 9900333, 0, 9900333, 9900333, 9900333, 9900333, 9900333, 9900333, 9900333
Sat Aug 19 20:34:17 EDT 2017, 1, 15, 366.637, 184.094, 236.933, 496.341, 132.69, 234.37, 392, 617.60, 644.21, 2.78878e+06, 16439.5, 2.7772e+06, 2.80036e+06, 2744424, 2781772, 2797978, 2798980, 2800568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8678699, 0, 8678699, 8678699, 8678699, 8678699, 8678699, 8678699, 8678699, 14847658, 0, 14847658, 14847658, 14847658, 14847658, 14847658, 14847658, 14847658
