# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 15:02:40 EST 2017, 1661, 0.280, 4, 0.490, 380, 83, 6, 49, 74, 70.747, 70.800
Mon Jan  9 15:03:08 EST 2017, 6611, 0.780, 8, 0.990, 530, 38, 16, 24, 29, 28.410, 26.547
Mon Jan  9 15:05:19 EST 2017, 9086, 0.030, 6, 0.240, 455, 60, 11, 36, 97, 127.420, 122.277
Mon Jan  9 15:05:20 EST 2017, 4136, 0.530, 1, 0.740, 305, 15, 2, 11, 52, 0.637, 0.630
Mon Jan  9 15:05:41 EST 2017, 2898, 0.150, 9, 0.370, 492, 27, 9, 18, 63, 20.797, 19.103
Mon Jan  9 15:06:18 EST 2017, 7848, 0.650, 5, 0.870, 342, 72, 18, 43, 18, 36.167, 34.850
Mon Jan  9 15:06:55 EST 2017, 5373, 0.400, 3, 0.120, 417, 49, 14, 5, 85, 35.903, 27.223
Mon Jan  9 15:07:30 EST 2017, 423, 0.900, 7, 0.620, 567, 94, 4, 30, 40, 33.413, 34.400
Mon Jan  9 15:07:47 EST 2017, 578, 0.140, 3, 0.200, 347, 20, 11, 23, 87, 16.770, 16.293
Mon Jan  9 15:08:04 EST 2017, 5528, 0.640, 8, 0.700, 497, 65, 2, 48, 42, 15.800, 16.360
Mon Jan  9 15:08:27 EST 2017, 8003, 0.390, 6, 0.450, 572, 42, 7, 11, 64, 22.820, 21.193
Mon Jan  9 15:08:49 EST 2017, 3053, 0.890, 1, 0.950, 422, 87, 16, 36, 19, 21.240, 20.247
Mon Jan  9 15:15:53 EST 2017, 4291, 0.260, 9, 0.070, 535, 98, 14, 42, 98, 376.277, 372.120
Mon Jan  9 15:16:04 EST 2017, 9241, 0.760, 4, 0.570, 385, 53, 4, 17, 53, 11.070, 10.810
Mon Jan  9 15:16:47 EST 2017, 6766, 0.010, 2, 0.320, 310, 76, 9, 29, 76, 42.387, 40.973
