# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:02:06 EDT 2017, 0.210, 123, 25, 5, 15, 497, 1, 35, 22, 22, 0.580, 0.633
Sun Jul  2 10:02:14 EDT 2017, 0.710, 143, 20, 9, 26, 347, 10, 15, 7, 42, 7.890, 6.893
Sun Jul  2 10:05:29 EDT 2017, 0.960, 133, 22, 3, 20, 572, 15, 45, 15, 32, 194.737, 143.157
Sun Jul  2 10:05:30 EDT 2017, 0.460, 153, 27, 7, 9, 422, 6, 25, 0, 12, 0.900, 0.970
Sun Jul  2 10:05:31 EDT 2017, 0.340, 138, 21, 4, 23, 385, 3, 10, 26, 37, 0.570, 0.730
Sun Jul  2 10:05:41 EDT 2017, 0.840, 158, 26, 8, 12, 535, 13, 30, 11, 17, 10.377, 9.000
Sun Jul  2 10:06:00 EDT 2017, 0.590, 128, 29, 2, 18, 310, 18, 20, 18, 27, 17.940, 14.700
Sun Jul  2 10:06:56 EDT 2017, 0.090, 148, 24, 6, 29, 460, 8, 40, 3, 47, 56.017, 43.333
Sun Jul  2 10:07:08 EDT 2017, 0.060, 127, 20, 7, 20, 525, 12, 31, 6, 16, 12.347, 10.950
Sun Jul  2 10:07:09 EDT 2017, 0.560, 147, 25, 3, 9, 375, 3, 11, 21, 36, 0.537, 0.723
Sun Jul  2 10:07:49 EDT 2017, 0.810, 137, 27, 9, 14, 450, 7, 41, 14, 46, 39.827, 31.297
Sun Jul  2 10:08:03 EDT 2017, 0.310, 157, 22, 5, 25, 300, 17, 21, 29, 26, 13.947, 11.510
Sun Jul  2 10:08:22 EDT 2017, 0.430, 132, 26, 6, 17, 338, 15, 16, 2, 41, 18.120, 14.937
Sun Jul  2 10:08:26 EDT 2017, 0.930, 152, 21, 2, 28, 488, 5, 36, 17, 21, 4.707, 4.393
Sun Jul  2 10:08:29 EDT 2017, 0.680, 122, 23, 8, 22, 413, 10, 26, 10, 11, 2.437, 2.367
Sun Jul  2 10:12:16 EDT 2017, 0.180, 142, 28, 4, 11, 563, 19, 46, 25, 31, 225.800, 166.923
Sun Jul  2 10:12:30 EDT 2017, 0.120, 135, 23, 2, 10, 582, 11, 29, 0, 19, 14.437, 12.310
Sun Jul  2 10:12:32 EDT 2017, 0.620, 155, 28, 6, 21, 432, 1, 49, 15, 39, 1.317, 1.447
Sun Jul  2 10:12:42 EDT 2017, 0.870, 125, 25, 4, 27, 507, 6, 19, 8, 49, 10.440, 9.173
Sun Jul  2 10:13:50 EDT 2017, 0.370, 145, 20, 8, 16, 357, 16, 39, 23, 29, 67.107, 51.447
Sun Jul  2 10:16:00 EDT 2017, 0.250, 120, 29, 3, 29, 319, 13, 44, 4, 44, 129.993, 96.983
Sun Jul  2 10:16:02 EDT 2017, 0.750, 140, 24, 7, 18, 469, 4, 24, 19, 24, 1.813, 1.877
Sun Jul  2 10:16:08 EDT 2017, 0.500, 130, 22, 5, 13, 394, 9, 34, 12, 14, 5.253, 4.690
Sun Jul  2 10:16:25 EDT 2017, 0.000, 150, 27, 9, 24, 544, 18, 14, 27, 34, 17.140, 14.463
Sun Jul  2 10:21:40 EDT 2017, 0.000, 135, 28, 7, 21, 516, 17, 43, 9, 46, 314.980, 226.227
Sun Jul  2 10:21:44 EDT 2017, 0.500, 155, 23, 3, 10, 366, 7, 23, 24, 26, 3.910, 3.740
Sun Jul  2 10:21:45 EDT 2017, 0.750, 125, 20, 9, 15, 591, 2, 33, 1, 16, 0.797, 0.713
Sun Jul  2 10:21:53 EDT 2017, 0.250, 145, 25, 5, 26, 441, 12, 13, 16, 36, 7.587, 6.907
Sun Jul  2 10:22:02 EDT 2017, 0.370, 120, 24, 6, 18, 404, 19, 28, 13, 11, 8.903, 7.637
Sun Jul  2 10:22:58 EDT 2017, 0.870, 140, 29, 2, 29, 554, 9, 48, 28, 31, 55.403, 42.733
Sun Jul  2 10:23:01 EDT 2017, 0.620, 130, 26, 8, 24, 329, 5, 18, 5, 41, 2.663, 2.627
Sun Jul  2 10:23:38 EDT 2017, 0.120, 150, 21, 4, 13, 479, 14, 38, 20, 21, 36.847, 29.210
Sun Jul  2 10:24:15 EDT 2017, 0.180, 127, 25, 2, 9, 460, 15, 15, 14, 49, 37.070, 30.230
Sun Jul  2 10:24:23 EDT 2017, 0.680, 147, 20, 6, 20, 310, 6, 35, 29, 29, 7.350, 6.577
Sun Jul  2 10:24:23 EDT 2017, 0.930, 137, 22, 4, 25, 535, 1, 25, 7, 19, 0.283, 0.290
Sun Jul  2 10:25:29 EDT 2017, 0.430, 157, 27, 8, 14, 385, 11, 45, 22, 39, 65.630, 50.380
Sun Jul  2 10:25:46 EDT 2017, 0.310, 132, 21, 3, 28, 422, 18, 30, 11, 14, 16.860, 14.333
Sun Jul  2 10:25:48 EDT 2017, 0.810, 152, 26, 7, 17, 572, 8, 10, 26, 34, 2.260, 2.303
Sun Jul  2 10:25:55 EDT 2017, 0.560, 122, 28, 5, 11, 347, 3, 40, 3, 44, 6.263, 5.717
Sun Jul  2 10:26:05 EDT 2017, 0.060, 142, 23, 9, 22, 497, 13, 20, 18, 24, 10.097, 8.717
Sun Jul  2 10:26:08 EDT 2017, 0.090, 123, 20, 8, 26, 563, 8, 11, 15, 30, 2.860, 2.837
Sun Jul  2 10:26:14 EDT 2017, 0.590, 143, 25, 4, 15, 413, 17, 31, 0, 10, 6.383, 5.567
Sun Jul  2 10:26:21 EDT 2017, 0.840, 133, 27, 6, 9, 488, 12, 21, 23, 20, 6.550, 6.177
Sun Jul  2 10:26:27 EDT 2017, 0.340, 153, 22, 2, 20, 338, 3, 41, 8, 40, 5.623, 5.070
Sun Jul  2 10:26:39 EDT 2017, 0.470, 138, 26, 9, 12, 301, 10, 36, 19, 25, 12.310, 10.183
Sun Jul  2 10:27:27 EDT 2017, 0.970, 158, 21, 5, 23, 451, 19, 16, 4, 45, 47.480, 36.830
Sun Jul  2 10:29:47 EDT 2017, 0.720, 128, 24, 7, 29, 376, 15, 46, 27, 35, 139.190, 103.123
Sun Jul  2 10:29:48 EDT 2017, 0.220, 148, 29, 3, 18, 526, 5, 26, 12, 15, 1.300, 1.397
Sun Jul  2 10:30:23 EDT 2017, 0.150, 131, 23, 5, 13, 544, 6, 49, 21, 33, 34.277, 27.597
Sun Jul  2 10:30:29 EDT 2017, 0.650, 151, 28, 9, 24, 394, 16, 29, 6, 13, 6.133, 5.593
Sun Jul  2 10:31:01 EDT 2017, 0.900, 121, 26, 3, 19, 469, 11, 39, 29, 23, 31.650, 25.027
Sun Jul  2 10:31:02 EDT 2017, 0.400, 141, 21, 7, 8, 319, 2, 19, 14, 43, 0.867, 0.927
Sun Jul  2 10:31:10 EDT 2017, 0.280, 126, 29, 4, 22, 357, 9, 24, 17, 28, 7.667, 6.657
Sun Jul  2 10:37:58 EDT 2017, 0.780, 146, 24, 8, 11, 507, 18, 44, 2, 48, 406.830, 293.673
Sun Jul  2 10:38:15 EDT 2017, 0.530, 136, 22, 2, 16, 432, 14, 14, 25, 38, 16.683, 13.723
Sun Jul  2 10:38:17 EDT 2017, 0.030, 156, 27, 6, 27, 582, 4, 34, 10, 18, 2.140, 2.227
Sun Jul  2 10:39:07 EDT 2017, 0.040, 125, 23, 3, 11, 333, 11, 28, 25, 46, 49.407, 38.247
Sun Jul  2 10:39:09 EDT 2017, 0.540, 145, 28, 7, 22, 483, 2, 48, 10, 26, 1.813, 1.907
Sun Jul  2 10:39:10 EDT 2017, 0.790, 135, 25, 5, 27, 408, 7, 18, 18, 16, 1.217, 1.273
Sun Jul  2 10:41:40 EDT 2017, 0.290, 155, 20, 9, 16, 558, 16, 38, 3, 36, 149.063, 108.390
Sun Jul  2 10:41:55 EDT 2017, 0.420, 130, 29, 2, 25, 596, 14, 43, 29, 11, 15.060, 13.017
Sun Jul  2 10:41:57 EDT 2017, 0.920, 150, 24, 6, 14, 446, 4, 23, 14, 31, 2.170, 2.220
Sun Jul  2 10:42:59 EDT 2017, 0.670, 120, 21, 4, 8, 521, 9, 33, 22, 41, 61.583, 47.533
Sun Jul  2 10:43:04 EDT 2017, 0.170, 140, 26, 8, 19, 371, 19, 13, 7, 21, 4.927, 4.527
Sun Jul  2 10:43:53 EDT 2017, 0.230, 138, 21, 6, 23, 352, 10, 31, 27, 48, 48.047, 37.347
Sun Jul  2 10:43:53 EDT 2017, 0.730, 158, 26, 2, 12, 502, 1, 11, 12, 28, 0.297, 0.307
Sun Jul  2 10:43:58 EDT 2017, 0.980, 128, 28, 8, 18, 427, 6, 41, 20, 18, 4.593, 4.443
Sun Jul  2 10:44:45 EDT 2017, 0.480, 148, 23, 4, 29, 577, 15, 21, 5, 38, 47.117, 37.217
Sun Jul  2 10:44:48 EDT 2017, 0.360, 123, 27, 7, 15, 540, 13, 16, 23, 13, 2.497, 2.557
Sun Jul  2 10:44:52 EDT 2017, 0.860, 143, 22, 3, 26, 390, 3, 36, 8, 33, 3.540, 3.373
Sun Jul  2 10:45:12 EDT 2017, 0.610, 133, 24, 9, 21, 465, 8, 26, 16, 43, 20.533, 17.150
Sun Jul  2 10:46:00 EDT 2017, 0.110, 153, 29, 5, 10, 315, 17, 46, 1, 23, 47.303, 36.457
Sun Jul  2 10:46:03 EDT 2017, 0.070, 134, 25, 4, 16, 380, 3, 35, 2, 32, 3.137, 3.050
Sun Jul  2 10:46:05 EDT 2017, 0.570, 154, 20, 8, 27, 530, 12, 15, 17, 12, 1.417, 1.563
Sun Jul  2 10:47:12 EDT 2017, 0.820, 124, 23, 2, 21, 305, 17, 45, 9, 22, 67.287, 50.893
Sun Jul  2 10:47:25 EDT 2017, 0.320, 144, 28, 6, 10, 455, 7, 25, 24, 42, 12.390, 10.583
Sun Jul  2 10:47:26 EDT 2017, 0.450, 129, 22, 5, 19, 493, 5, 10, 6, 27, 0.787, 0.913
