# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:34:19 EDT 2017, 0.290, 150, 25, 5, 9, 323, 14, 10, 23, 45, 6.630, 5.793
Sun Jul  2 10:34:32 EDT 2017, 0.420, 135, 23, 6, 23, 361, 16, 25, 4, 20, 13.453, 11.317
Sun Jul  2 10:35:13 EDT 2017, 0.920, 155, 28, 2, 12, 511, 7, 45, 19, 40, 41.207, 32.590
Sun Jul  2 10:35:14 EDT 2017, 0.670, 125, 26, 8, 17, 436, 2, 15, 12, 30, 0.417, 0.430
Sun Jul  2 10:35:20 EDT 2017, 0.170, 145, 21, 4, 28, 586, 11, 35, 27, 10, 5.533, 5.233
Sun Jul  2 10:36:04 EDT 2017, 0.230, 133, 25, 2, 24, 567, 17, 17, 6, 38, 44.093, 36.010
Sun Jul  2 10:36:11 EDT 2017, 0.730, 153, 20, 6, 13, 417, 8, 37, 21, 18, 6.943, 6.123
Sun Jul  2 10:36:14 EDT 2017, 0.980, 123, 23, 4, 8, 492, 3, 27, 14, 28, 2.267, 2.363
Sun Jul  2 10:38:40 EDT 2017, 0.480, 143, 28, 8, 19, 342, 13, 47, 29, 48, 145.897, 107.863
Sun Jul  2 10:39:07 EDT 2017, 0.360, 128, 21, 3, 10, 304, 15, 32, 3, 23, 27.070, 21.280
Sun Jul  2 10:39:10 EDT 2017, 0.860, 148, 26, 7, 21, 454, 6, 12, 18, 43, 2.373, 2.380
Sun Jul  2 10:39:11 EDT 2017, 0.610, 138, 29, 5, 27, 379, 1, 42, 10, 33, 0.730, 0.763
Sun Jul  2 10:39:13 EDT 2017, 0.110, 158, 24, 9, 16, 529, 10, 22, 25, 13, 2.077, 2.087
Sun Jul  2 10:39:21 EDT 2017, 0.080, 139, 20, 8, 10, 464, 10, 13, 22, 42, 8.337, 7.337
Sun Jul  2 10:39:51 EDT 2017, 0.580, 159, 25, 4, 21, 314, 19, 33, 7, 22, 29.730, 23.310
Sun Jul  2 10:39:56 EDT 2017, 0.830, 129, 28, 6, 26, 539, 14, 23, 15, 12, 4.357, 4.223
Sun Jul  2 10:40:08 EDT 2017, 0.330, 149, 23, 2, 15, 389, 5, 43, 0, 32, 12.223, 10.160
Sun Jul  2 10:40:13 EDT 2017, 0.450, 124, 27, 9, 29, 426, 7, 38, 26, 17, 4.940, 4.557
Sun Jul  2 10:40:57 EDT 2017, 0.950, 144, 22, 5, 18, 576, 17, 18, 11, 37, 43.770, 35.137
Sun Jul  2 10:43:32 EDT 2017, 0.700, 134, 24, 7, 12, 351, 12, 48, 18, 47, 154.483, 114.830
Sun Jul  2 10:43:34 EDT 2017, 0.200, 154, 29, 3, 23, 501, 3, 28, 3, 27, 1.857, 1.957
