# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:02:13 EDT 2017, 0.100, 123, 22, 6, 22, 557, 2, 48, 26, 42, 7.257, 6.897
Sun Jul  2 10:02:24 EDT 2017, 0.600, 143, 27, 2, 11, 407, 11, 28, 11, 22, 10.937, 9.447
Sun Jul  2 10:02:39 EDT 2017, 0.850, 133, 25, 8, 16, 482, 16, 38, 19, 12, 14.637, 12.587
Sun Jul  2 10:02:42 EDT 2017, 0.350, 153, 20, 4, 27, 332, 6, 18, 4, 32, 2.887, 2.753
Sun Jul  2 10:02:43 EDT 2017, 0.480, 138, 29, 7, 13, 370, 4, 23, 22, 17, 0.713, 0.783
Sun Jul  2 10:04:58 EDT 2017, 0.980, 158, 24, 3, 24, 520, 13, 43, 7, 37, 135.257, 100.513
Sun Jul  2 10:05:34 EDT 2017, 0.730, 128, 21, 9, 19, 445, 18, 13, 15, 47, 35.343, 28.280
Sun Jul  2 10:05:55 EDT 2017, 0.230, 148, 26, 5, 8, 595, 9, 33, 0, 27, 21.147, 17.840
Sun Jul  2 10:05:57 EDT 2017, 0.170, 130, 21, 3, 12, 576, 3, 10, 24, 44, 1.153, 1.170
Sun Jul  2 10:06:13 EDT 2017, 0.670, 150, 26, 7, 23, 426, 12, 30, 9, 24, 16.340, 13.717
Sun Jul  2 10:06:21 EDT 2017, 0.920, 120, 28, 5, 29, 501, 17, 20, 17, 14, 7.323, 6.690
Sun Jul  2 10:06:45 EDT 2017, 0.420, 140, 23, 9, 18, 351, 8, 40, 2, 34, 23.490, 18.950
Sun Jul  2 10:06:47 EDT 2017, 0.290, 125, 27, 2, 26, 314, 5, 35, 28, 19, 2.617, 2.507
Sun Jul  2 10:07:09 EDT 2017, 0.790, 145, 22, 6, 15, 464, 15, 15, 13, 39, 21.157, 17.730
Sun Jul  2 10:15:16 EDT 2017, 0.540, 135, 24, 4, 9, 389, 19, 45, 21, 49, 486.917, 350.907
Sun Jul  2 10:15:29 EDT 2017, 0.040, 155, 29, 8, 20, 539, 10, 25, 6, 29, 12.687, 11.370
Sun Jul  2 10:16:39 EDT 2017, 0.030, 126, 20, 5, 15, 337, 15, 30, 22, 36, 69.553, 53.390
Sun Jul  2 10:16:39 EDT 2017, 0.530, 146, 25, 9, 26, 487, 5, 10, 7, 16, 0.487, 0.410
Sun Jul  2 10:16:40 EDT 2017, 0.780, 136, 28, 3, 21, 412, 1, 40, 29, 26, 0.707, 0.773
Sun Jul  2 10:17:06 EDT 2017, 0.280, 156, 23, 7, 10, 562, 10, 20, 14, 46, 25.223, 21.097
Sun Jul  2 10:17:15 EDT 2017, 0.400, 131, 26, 4, 23, 525, 17, 15, 18, 21, 9.270, 8.497
Sun Jul  2 10:17:43 EDT 2017, 0.900, 151, 21, 8, 12, 375, 8, 35, 3, 41, 27.917, 22.957
Sun Jul  2 10:17:46 EDT 2017, 0.650, 121, 24, 2, 18, 450, 3, 25, 26, 31, 2.427, 2.437
Sun Jul  2 10:17:52 EDT 2017, 0.150, 141, 29, 6, 29, 300, 13, 45, 11, 11, 6.143, 5.503
Sun Jul  2 10:18:45 EDT 2017, 0.210, 138, 23, 8, 25, 318, 16, 27, 16, 39, 52.473, 41.017
