# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 15:01:24 EST 2017, 107, 0.310, 6, 0.400, 397, 62, 13, 46, 40, 64.823, 62.557
Mon Jan  9 15:01:28 EST 2017, 5057, 0.810, 1, 0.900, 547, 17, 3, 21, 85, 3.310, 3.457
Mon Jan  9 15:01:49 EST 2017, 7532, 0.060, 4, 0.150, 472, 84, 8, 33, 18, 21.077, 20.373
Mon Jan  9 15:02:17 EST 2017, 2582, 0.560, 8, 0.650, 322, 39, 18, 8, 63, 27.387, 21.603
Mon Jan  9 15:02:47 EST 2017, 3819, 0.180, 3, 0.270, 510, 50, 11, 14, 51, 29.150, 26.057
Mon Jan  9 15:03:08 EST 2017, 8769, 0.680, 7, 0.770, 360, 95, 1, 39, 96, 19.217, 19.983
Mon Jan  9 15:03:11 EST 2017, 6294, 0.430, 9, 0.020, 435, 28, 6, 2, 29, 2.627, 2.363
Mon Jan  9 15:06:02 EST 2017, 1344, 0.930, 5, 0.520, 585, 73, 15, 27, 74, 169.260, 149.403
Mon Jan  9 15:06:43 EST 2017, 1963, 0.000, 8, 0.840, 529, 67, 14, 5, 46, 39.100, 27.953
Mon Jan  9 15:06:55 EST 2017, 6913, 0.500, 3, 0.340, 379, 22, 5, 30, 91, 12.173, 12.153
Mon Jan  9 15:07:02 EST 2017, 9388, 0.250, 1, 0.590, 304, 90, 9, 17, 23, 6.653, 6.360
Mon Jan  9 15:09:09 EST 2017, 4438, 0.750, 5, 0.090, 454, 45, 19, 42, 68, 126.113, 116.947
Mon Jan  9 15:09:27 EST 2017, 3200, 0.370, 4, 0.960, 341, 33, 12, 36, 34, 17.387, 16.327
Mon Jan  9 15:09:45 EST 2017, 8150, 0.870, 9, 0.460, 491, 78, 2, 11, 79, 16.313, 17.520
Mon Jan  9 15:09:48 EST 2017, 5675, 0.120, 6, 0.710, 566, 11, 7, 49, 12, 3.057, 2.917
Mon Jan  9 15:10:39 EST 2017, 726, 0.620, 2, 0.210, 416, 56, 17, 24, 57, 50.107, 46.967
Mon Jan  9 15:10:53 EST 2017, 1035, 0.150, 3, 0.050, 332, 81, 4, 10, 65, 12.960, 14.277
Mon Jan  9 15:11:14 EST 2017, 5985, 0.650, 7, 0.550, 482, 36, 14, 35, 20, 20.100, 19.157
Mon Jan  9 15:14:06 EST 2017, 8460, 0.400, 5, 0.300, 557, 59, 18, 22, 88, 164.163, 150.147
Mon Jan  9 15:14:11 EST 2017, 3510, 0.900, 1, 0.800, 407, 14, 9, 47, 43, 4.907, 4.783
Mon Jan  9 15:14:21 EST 2017, 4747, 0.280, 8, 0.180, 594, 25, 2, 28, 77, 9.230, 9.537
Mon Jan  9 15:14:35 EST 2017, 9697, 0.780, 4, 0.680, 444, 70, 11, 3, 32, 14.067, 10.833
Mon Jan  9 15:16:08 EST 2017, 7222, 0.030, 2, 0.430, 369, 48, 16, 41, 99, 91.830, 85.860
Mon Jan  9 15:16:49 EST 2017, 2272, 0.530, 6, 0.930, 519, 93, 6, 16, 54, 39.270, 37.607
Mon Jan  9 15:17:24 EST 2017, 1654, 0.460, 1, 0.740, 463, 98, 5, 38, 71, 33.203, 35.377
Mon Jan  9 15:17:39 EST 2017, 6604, 0.960, 6, 0.240, 313, 53, 15, 13, 26, 14.220, 12.903
Mon Jan  9 15:20:47 EST 2017, 9079, 0.210, 8, 0.990, 388, 76, 19, 25, 93, 185.173, 156.027
Mon Jan  9 15:20:54 EST 2017, 4129, 0.710, 3, 0.490, 538, 31, 10, 0, 48, 7.150, 5.540
Mon Jan  9 15:20:59 EST 2017, 2891, 0.090, 7, 0.620, 426, 19, 3, 19, 60, 4.380, 4.307
Mon Jan  9 15:21:21 EST 2017, 7841, 0.590, 2, 0.120, 576, 64, 12, 44, 15, 21.993, 21.320
Mon Jan  9 15:22:11 EST 2017, 5366, 0.340, 4, 0.870, 501, 42, 17, 7, 82, 48.033, 37.037
Mon Jan  9 15:22:49 EST 2017, 416, 0.840, 9, 0.370, 351, 87, 8, 32, 37, 36.717, 36.147
Mon Jan  9 15:23:07 EST 2017, 571, 0.070, 1, 0.950, 571, 26, 17, 12, 78, 17.773, 16.897
Mon Jan  9 15:23:41 EST 2017, 5521, 0.570, 5, 0.450, 421, 71, 8, 37, 33, 33.653, 31.847
Mon Jan  9 15:23:45 EST 2017, 7996, 0.320, 7, 0.700, 346, 49, 3, 0, 55, 3.653, 3.797
Mon Jan  9 15:24:01 EST 2017, 3046, 0.820, 3, 0.200, 496, 94, 13, 25, 10, 16.073, 14.943
Mon Jan  9 15:26:53 EST 2017, 4283, 0.450, 6, 0.820, 308, 83, 15, 43, 89, 168.403, 160.210
Mon Jan  9 15:27:02 EST 2017, 9233, 0.950, 2, 0.320, 458, 38, 6, 18, 44, 8.880, 8.563
Mon Jan  9 15:27:12 EST 2017, 6758, 0.200, 4, 0.570, 533, 60, 1, 31, 67, 8.830, 9.870
Mon Jan  9 15:27:14 EST 2017, 1808, 0.700, 9, 0.070, 383, 15, 10, 6, 22, 1.913, 1.757
Mon Jan  9 15:27:41 EST 2017, 2427, 0.260, 3, 0.260, 440, 10, 19, 34, 95, 26.590, 24.843
Mon Jan  9 15:28:10 EST 2017, 7377, 0.760, 8, 0.760, 590, 55, 9, 9, 50, 28.403, 25.247
Mon Jan  9 15:28:36 EST 2017, 9852, 0.010, 6, 0.010, 515, 32, 4, 46, 72, 25.643, 25.310
Mon Jan  9 15:28:50 EST 2017, 4902, 0.510, 1, 0.510, 365, 77, 14, 21, 27, 13.823, 12.857
Mon Jan  9 15:30:33 EST 2017, 3665, 0.140, 9, 0.380, 477, 88, 16, 3, 84, 100.093, 67.113
Mon Jan  9 15:30:47 EST 2017, 8615, 0.640, 5, 0.880, 327, 43, 7, 28, 39, 13.110, 12.477
Mon Jan  9 15:30:55 EST 2017, 6140, 0.390, 2, 0.130, 402, 66, 2, 15, 61, 6.627, 7.913
Mon Jan  9 15:31:05 EST 2017, 1190, 0.890, 7, 0.630, 552, 21, 11, 40, 16, 9.187, 8.830
Mon Jan  9 15:31:15 EST 2017, 880, 0.420, 8, 0.600, 505, 46, 9, 29, 13, 9.843, 9.360
Mon Jan  9 15:32:12 EST 2017, 5830, 0.920, 4, 0.100, 355, 91, 18, 4, 58, 56.060, 38.390
Mon Jan  9 15:32:28 EST 2017, 8305, 0.170, 2, 0.850, 430, 24, 13, 42, 36, 15.650, 14.797
Mon Jan  9 15:33:06 EST 2017, 3355, 0.670, 6, 0.350, 580, 69, 4, 17, 81, 37.283, 37.680
Mon Jan  9 15:33:13 EST 2017, 4593, 0.040, 5, 0.730, 393, 57, 6, 10, 25, 6.393, 5.833
Mon Jan  9 15:33:44 EST 2017, 9543, 0.540, 9, 0.230, 543, 12, 16, 35, 70, 31.180, 29.300
Mon Jan  9 15:34:46 EST 2017, 7068, 0.290, 7, 0.980, 468, 80, 11, 23, 47, 60.507, 54.817
Mon Jan  9 15:34:52 EST 2017, 2118, 0.790, 3, 0.480, 318, 35, 1, 48, 92, 5.357, 5.730
Mon Jan  9 15:35:04 EST 2017, 1499, 0.230, 5, 0.160, 374, 41, 10, 20, 30, 12.517, 11.667
Mon Jan  9 15:37:27 EST 2017, 6449, 0.730, 1, 0.660, 524, 86, 19, 45, 75, 141.707, 139.100
Mon Jan  9 15:37:38 EST 2017, 8924, 0.480, 3, 0.410, 599, 18, 14, 7, 53, 10.820, 9.300
Mon Jan  9 15:38:36 EST 2017, 3974, 0.980, 8, 0.910, 449, 63, 5, 32, 98, 57.433, 55.017
Mon Jan  9 15:38:54 EST 2017, 2736, 0.360, 2, 0.040, 561, 74, 7, 39, 19, 17.183, 16.733
Mon Jan  9 15:39:24 EST 2017, 7686, 0.860, 7, 0.540, 411, 29, 17, 14, 64, 30.067, 26.853
