# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 14:27:03 EST 2017, 3072, 0.390, 9, 0.150, 356, 53, 11, 39, 48, 47.703, 45.213
Mon Jan  9 14:27:20 EST 2017, 8022, 0.890, 4, 0.650, 506, 98, 1, 14, 93, 13.283, 16.333
Mon Jan  9 14:27:27 EST 2017, 5547, 0.140, 2, 0.400, 581, 31, 6, 26, 26, 6.537, 6.267
Mon Jan  9 14:28:14 EST 2017, 597, 0.640, 6, 0.900, 431, 76, 15, 1, 71, 45.300, 29.817
Mon Jan  9 14:28:31 EST 2017, 443, 0.400, 3, 0.260, 520, 38, 9, 46, 22, 16.360, 15.817
Mon Jan  9 14:30:40 EST 2017, 5393, 0.900, 8, 0.760, 370, 83, 19, 21, 67, 128.483, 107.590
Mon Jan  9 14:30:56 EST 2017, 7868, 0.150, 6, 0.010, 445, 15, 14, 33, 44, 16.217, 15.233
Mon Jan  9 14:31:13 EST 2017, 2918, 0.650, 1, 0.510, 595, 60, 4, 8, 89, 12.607, 14.893
Mon Jan  9 14:31:18 EST 2017, 4155, 0.030, 9, 0.390, 407, 72, 7, 15, 10, 4.927, 4.600
Mon Jan  9 14:32:17 EST 2017, 9105, 0.530, 5, 0.890, 557, 27, 16, 40, 55, 57.870, 54.573
Mon Jan  9 14:32:35 EST 2017, 6630, 0.280, 2, 0.140, 482, 94, 12, 2, 33, 16.867, 14.610
Mon Jan  9 14:32:46 EST 2017, 1680, 0.780, 7, 0.640, 332, 49, 2, 27, 78, 10.363, 10.887
Mon Jan  9 14:32:48 EST 2017, 2299, 0.220, 1, 0.950, 351, 43, 8, 5, 16, 1.303, 1.257
Mon Jan  9 14:36:01 EST 2017, 7249, 0.720, 5, 0.450, 501, 88, 18, 30, 61, 187.133, 163.080
Mon Jan  9 14:36:17 EST 2017, 9724, 0.470, 7, 0.700, 576, 21, 13, 18, 38, 15.367, 14.137
Mon Jan  9 14:36:51 EST 2017, 4774, 0.970, 3, 0.200, 426, 66, 3, 43, 83, 30.580, 32.530
Mon Jan  9 14:37:12 EST 2017, 3536, 0.340, 6, 0.820, 539, 55, 6, 36, 27, 20.597, 19.373
Mon Jan  9 14:37:18 EST 2017, 8486, 0.840, 2, 0.320, 389, 10, 15, 11, 72, 5.717, 5.110
Mon Jan  9 14:38:20 EST 2017, 6011, 0.090, 4, 0.570, 314, 77, 10, 49, 50, 61.457, 58.057
Mon Jan  9 14:38:27 EST 2017, 1061, 0.590, 8, 0.070, 464, 32, 1, 24, 95, 5.930, 6.810
Mon Jan  9 14:38:50 EST 2017, 752, 0.060, 5, 0.170, 586, 12, 19, 10, 92, 22.760, 19.130
Mon Jan  9 14:39:12 EST 2017, 5702, 0.560, 1, 0.670, 436, 57, 10, 35, 47, 21.487, 20.887
Mon Jan  9 14:39:24 EST 2017, 8177, 0.310, 3, 0.420, 361, 35, 5, 22, 69, 11.620, 11.057
Mon Jan  9 14:40:42 EST 2017, 3227, 0.810, 8, 0.920, 511, 80, 15, 47, 24, 77.347, 74.157
Mon Jan  9 14:42:31 EST 2017, 4465, 0.440, 2, 0.040, 323, 91, 17, 29, 81, 105.123, 98.000
Mon Jan  9 14:42:39 EST 2017, 9415, 0.940, 6, 0.540, 473, 46, 7, 4, 36, 7.803, 6.920
Mon Jan  9 14:43:20 EST 2017, 6940, 0.190, 9, 0.290, 548, 69, 3, 41, 58, 36.120, 35.213
Mon Jan  9 14:43:23 EST 2017, 1990, 0.690, 4, 0.790, 398, 24, 12, 16, 13, 3.167, 2.843
Mon Jan  9 14:44:50 EST 2017, 1371, 0.250, 8, 0.600, 417, 29, 18, 38, 86, 84.320, 80.047
Mon Jan  9 14:45:23 EST 2017, 6321, 0.750, 4, 0.100, 567, 74, 9, 13, 41, 32.000, 30.890
Mon Jan  9 14:45:34 EST 2017, 8796, 0.000, 1, 0.850, 492, 52, 4, 25, 64, 10.127, 10.703
Mon Jan  9 14:45:43 EST 2017, 3846, 0.500, 6, 0.350, 342, 97, 13, 0, 19, 8.867, 6.980
Mon Jan  9 14:48:47 EST 2017, 2608, 0.120, 5, 0.730, 454, 86, 16, 19, 98, 174.877, 148.770
Mon Jan  9 14:49:08 EST 2017, 7558, 0.620, 9, 0.230, 304, 41, 6, 44, 53, 20.727, 20.280
Mon Jan  9 14:49:13 EST 2017, 5083, 0.370, 7, 0.980, 379, 63, 1, 7, 75, 4.397, 4.977
Mon Jan  9 14:49:23 EST 2017, 133, 0.870, 3, 0.480, 529, 18, 11, 32, 30, 9.633, 9.177
Mon Jan  9 14:51:05 EST 2017, 124, 0.120, 6, 0.500, 442, 80, 8, 36, 83, 100.297, 99.683
Mon Jan  9 14:51:18 EST 2017, 5074, 0.620, 1, 0.000, 592, 35, 17, 11, 38, 12.117, 10.893
Mon Jan  9 14:52:57 EST 2017, 7549, 0.370, 3, 0.750, 517, 58, 12, 48, 61, 97.120, 92.850
Mon Jan  9 14:52:58 EST 2017, 2599, 0.870, 8, 0.250, 367, 13, 3, 23, 16, 0.967, 0.797
Mon Jan  9 14:53:04 EST 2017, 3836, 0.250, 2, 0.630, 480, 24, 5, 4, 95, 5.907, 5.777
Mon Jan  9 14:54:11 EST 2017, 8786, 0.750, 7, 0.130, 330, 69, 15, 29, 50, 65.493, 59.840
Mon Jan  9 14:54:47 EST 2017, 6311, 0.000, 9, 0.880, 405, 46, 10, 17, 72, 35.470, 32.283
Mon Jan  9 14:54:55 EST 2017, 1361, 0.500, 4, 0.380, 555, 91, 1, 42, 27, 6.910, 7.467
Mon Jan  9 14:56:57 EST 2017, 1980, 0.430, 8, 0.190, 574, 97, 9, 14, 89, 116.423, 104.427
Mon Jan  9 14:58:24 EST 2017, 6930, 0.930, 4, 0.690, 424, 52, 18, 39, 44, 76.770, 67.503
Mon Jan  9 14:58:50 EST 2017, 9405, 0.180, 2, 0.440, 349, 74, 14, 1, 66, 25.003, 17.690
Mon Jan  9 14:58:54 EST 2017, 4455, 0.680, 6, 0.940, 499, 29, 4, 26, 21, 4.113, 3.840
Mon Jan  9 14:59:08 EST 2017, 3217, 0.060, 5, 0.060, 311, 18, 6, 45, 78, 13.033, 12.690
Mon Jan  9 14:59:54 EST 2017, 8167, 0.560, 9, 0.560, 461, 63, 16, 20, 33, 45.240, 40.463
Mon Jan  9 15:00:49 EST 2017, 5692, 0.310, 7, 0.310, 536, 41, 11, 32, 55, 53.220, 51.003
Mon Jan  9 15:00:51 EST 2017, 742, 0.810, 3, 0.810, 386, 86, 2, 7, 10, 1.037, 1.200
Mon Jan  9 15:01:08 EST 2017, 1052, 0.340, 4, 0.910, 358, 60, 18, 18, 19, 17.090, 15.300
Mon Jan  9 15:01:28 EST 2017, 6002, 0.840, 8, 0.410, 508, 15, 8, 43, 64, 19.647, 18.860
Mon Jan  9 15:01:40 EST 2017, 8477, 0.090, 6, 0.660, 583, 83, 3, 6, 41, 10.880, 11.577
Mon Jan  9 15:02:11 EST 2017, 3527, 0.590, 1, 0.160, 433, 38, 13, 31, 86, 30.380, 30.893
Mon Jan  9 15:03:05 EST 2017, 4764, 0.210, 9, 0.780, 545, 49, 15, 37, 30, 52.960, 50.223
Mon Jan  9 15:03:46 EST 2017, 9714, 0.710, 5, 0.280, 395, 94, 6, 12, 75, 38.733, 38.750
Mon Jan  9 15:03:48 EST 2017, 7239, 0.460, 2, 0.530, 320, 27, 1, 25, 52, 1.250, 1.320
Mon Jan  9 15:04:40 EST 2017, 2289, 0.960, 7, 0.030, 470, 72, 11, 0, 97, 48.523, 36.850
Mon Jan  9 15:05:03 EST 2017, 1671, 0.030, 1, 0.340, 489, 66, 19, 28, 24, 21.827, 21.357
Mon Jan  9 15:05:08 EST 2017, 6621, 0.530, 5, 0.840, 339, 21, 9, 3, 69, 5.500, 4.607
Mon Jan  9 15:05:51 EST 2017, 9096, 0.280, 7, 0.090, 414, 88, 5, 40, 47, 41.933, 41.523
Mon Jan  9 15:06:58 EST 2017, 4146, 0.780, 3, 0.590, 564, 43, 14, 15, 92, 64.880, 58.543
Mon Jan  9 15:07:03 EST 2017, 2908, 0.400, 6, 0.470, 377, 32, 17, 9, 13, 4.580, 4.180
Mon Jan  9 15:07:50 EST 2017, 7858, 0.900, 2, 0.970, 527, 77, 7, 34, 58, 46.633, 44.840
Mon Jan  9 15:07:52 EST 2017, 5383, 0.150, 4, 0.220, 452, 10, 2, 21, 36, 0.990, 1.070
Mon Jan  9 15:09:17 EST 2017, 433, 0.650, 9, 0.720, 302, 55, 12, 46, 81, 85.317, 82.970
Mon Jan  9 15:09:20 EST 2017, 588, 0.390, 1, 0.080, 541, 48, 3, 4, 34, 2.170, 2.450
Mon Jan  9 15:11:48 EST 2017, 5538, 0.890, 6, 0.580, 391, 93, 13, 29, 79, 144.113, 130.077
Mon Jan  9 15:11:52 EST 2017, 8013, 0.140, 8, 0.330, 316, 25, 17, 16, 12, 3.790, 3.613
Mon Jan  9 15:12:52 EST 2017, 3063, 0.640, 3, 0.830, 466, 70, 8, 41, 57, 58.347, 56.793
Mon Jan  9 15:12:58 EST 2017, 4300, 0.010, 7, 0.200, 353, 59, 1, 35, 45, 4.647, 5.137
Mon Jan  9 15:13:06 EST 2017, 9250, 0.510, 2, 0.700, 503, 14, 10, 10, 90, 8.460, 7.733
