# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 15:06:05 EST 2017, 100, 0.000, 1, 0.000, 300, 10, 1, 0, 10, 0.153, 0.163
Mon Jan  9 15:06:49 EST 2017, 5050, 0.500, 5, 0.500, 450, 55, 10, 25, 55, 44.003, 41.423
Mon Jan  9 15:07:06 EST 2017, 7525, 0.250, 7, 0.250, 525, 32, 15, 12, 32, 16.953, 14.893
Mon Jan  9 15:07:49 EST 2017, 2575, 0.750, 3, 0.750, 375, 77, 5, 37, 77, 42.017, 42.063
Mon Jan  9 15:08:02 EST 2017, 3812, 0.370, 6, 0.120, 562, 88, 3, 31, 21, 12.540, 12.713
Mon Jan  9 15:08:18 EST 2017, 8762, 0.870, 2, 0.620, 412, 43, 12, 6, 66, 16.427, 14.027
Mon Jan  9 15:09:33 EST 2017, 6287, 0.120, 4, 0.370, 337, 66, 17, 43, 43, 73.530, 69.240
Mon Jan  9 15:09:53 EST 2017, 1337, 0.620, 8, 0.870, 487, 21, 8, 18, 88, 19.433, 18.130
Mon Jan  9 15:09:56 EST 2017, 1956, 0.310, 3, 0.680, 468, 26, 2, 46, 26, 2.767, 2.780
Mon Jan  9 15:10:53 EST 2017, 6906, 0.810, 8, 0.180, 318, 71, 11, 21, 71, 56.143, 51.350
Mon Jan  9 15:11:54 EST 2017, 9381, 0.060, 6, 0.930, 393, 49, 16, 34, 49, 60.540, 56.063
Mon Jan  9 15:12:25 EST 2017, 4431, 0.560, 1, 0.430, 543, 94, 6, 9, 94, 29.087, 31.507
Mon Jan  9 15:12:31 EST 2017, 3193, 0.180, 9, 0.560, 431, 83, 4, 15, 15, 5.570, 5.433
Mon Jan  9 15:13:51 EST 2017, 8143, 0.680, 4, 0.060, 581, 38, 14, 40, 60, 79.140, 74.527
Mon Jan  9 15:14:11 EST 2017, 5668, 0.430, 2, 0.810, 506, 60, 18, 3, 38, 19.960, 14.830
Mon Jan  9 15:14:26 EST 2017, 718, 0.930, 7, 0.310, 356, 15, 9, 28, 83, 14.430, 13.707
Mon Jan  9 15:15:33 EST 2017, 1028, 0.460, 8, 0.400, 384, 40, 11, 42, 80, 66.960, 64.530
Mon Jan  9 15:15:39 EST 2017, 5978, 0.960, 4, 0.900, 534, 85, 1, 17, 35, 4.780, 5.370
Mon Jan  9 15:15:44 EST 2017, 8453, 0.210, 1, 0.150, 459, 18, 6, 29, 57, 4.703, 4.660
Mon Jan  9 15:15:48 EST 2017, 3503, 0.710, 6, 0.650, 309, 63, 15, 4, 12, 4.520, 3.690
Mon Jan  9 15:18:13 EST 2017, 4740, 0.090, 5, 0.280, 496, 74, 13, 23, 91, 143.753, 123.703
Mon Jan  9 15:18:21 EST 2017, 9690, 0.590, 9, 0.780, 346, 29, 3, 48, 46, 7.983, 7.863
Mon Jan  9 15:19:15 EST 2017, 7215, 0.340, 7, 0.030, 421, 97, 8, 10, 69, 52.967, 45.267
Mon Jan  9 15:19:52 EST 2017, 2265, 0.840, 2, 0.530, 571, 52, 18, 35, 24, 35.640, 33.543
Mon Jan  9 15:20:45 EST 2017, 1646, 0.150, 5, 0.840, 553, 46, 12, 7, 97, 52.357, 40.880
Mon Jan  9 15:20:54 EST 2017, 6596, 0.650, 1, 0.340, 403, 91, 2, 32, 52, 7.907, 8.493
Mon Jan  9 15:21:04 EST 2017, 9071, 0.400, 3, 0.590, 328, 24, 7, 20, 74, 9.910, 9.523
Mon Jan  9 15:22:29 EST 2017, 4121, 0.900, 8, 0.090, 478, 69, 17, 45, 29, 85.617, 81.173
Mon Jan  9 15:23:29 EST 2017, 2884, 0.280, 2, 0.960, 365, 57, 14, 26, 85, 59.837, 52.950
Mon Jan  9 15:23:31 EST 2017, 7834, 0.780, 6, 0.460, 515, 12, 5, 1, 40, 1.493, 1.400
Mon Jan  9 15:25:42 EST 2017, 5359, 0.030, 9, 0.710, 590, 80, 9, 39, 63, 130.037, 122.763
Mon Jan  9 15:25:52 EST 2017, 409, 0.530, 4, 0.210, 440, 35, 19, 14, 18, 10.343, 9.380
Mon Jan  9 15:26:45 EST 2017, 564, 0.260, 6, 0.570, 510, 67, 6, 33, 62, 52.153, 50.703
Mon Jan  9 15:26:47 EST 2017, 5514, 0.760, 1, 0.070, 360, 22, 15, 8, 17, 1.527, 1.540
Mon Jan  9 15:29:31 EST 2017, 7989, 0.010, 4, 0.820, 435, 90, 10, 46, 84, 161.827, 150.263
Mon Jan  9 15:29:35 EST 2017, 3039, 0.510, 8, 0.320, 585, 45, 1, 21, 39, 3.737, 4.160
Mon Jan  9 15:29:44 EST 2017, 4276, 0.140, 3, 0.700, 398, 33, 8, 2, 73, 8.320, 7.107
Mon Jan  9 15:30:57 EST 2017, 9226, 0.640, 7, 0.200, 548, 78, 17, 27, 28, 73.177, 66.507
Mon Jan  9 15:31:12 EST 2017, 6751, 0.390, 9, 0.950, 473, 11, 13, 14, 95, 14.147, 12.547
Mon Jan  9 15:31:25 EST 2017, 1801, 0.890, 5, 0.450, 323, 56, 3, 39, 50, 12.860, 13.040
Mon Jan  9 15:31:53 EST 2017, 2420, 0.070, 8, 0.140, 342, 62, 7, 17, 67, 27.697, 26.513
Mon Jan  9 15:32:04 EST 2017, 7370, 0.570, 3, 0.640, 492, 17, 16, 42, 22, 11.343, 10.847
Mon Jan  9 15:32:44 EST 2017, 9845, 0.320, 1, 0.390, 567, 84, 11, 5, 90, 39.737, 37.893
Mon Jan  9 15:32:50 EST 2017, 4895, 0.820, 5, 0.890, 417, 39, 2, 30, 45, 5.813, 5.953
Mon Jan  9 15:33:58 EST 2017, 3657, 0.450, 4, 0.010, 529, 50, 9, 49, 56, 67.000, 65.037
Mon Jan  9 15:34:22 EST 2017, 8607, 0.950, 9, 0.510, 379, 95, 19, 24, 11, 24.233, 22.330
Mon Jan  9 15:35:03 EST 2017, 6132, 0.200, 7, 0.260, 304, 28, 14, 36, 78, 40.577, 38.170
Mon Jan  9 15:35:10 EST 2017, 1182, 0.700, 2, 0.760, 454, 73, 4, 11, 33, 6.877, 6.927
Mon Jan  9 15:36:51 EST 2017, 873, 0.230, 3, 0.980, 595, 98, 16, 22, 42, 100.837, 86.310
Mon Jan  9 15:38:00 EST 2017, 5823, 0.730, 7, 0.480, 445, 53, 6, 47, 87, 67.363, 65.733
Mon Jan  9 15:38:02 EST 2017, 8298, 0.480, 5, 0.730, 370, 76, 1, 10, 19, 1.353, 1.587
Mon Jan  9 15:38:22 EST 2017, 3348, 0.980, 1, 0.230, 520, 31, 11, 35, 64, 20.220, 20.460
Mon Jan  9 15:38:51 EST 2017, 4585, 0.350, 9, 0.850, 332, 19, 18, 41, 53, 28.460, 26.947
Mon Jan  9 15:40:01 EST 2017, 9535, 0.850, 4, 0.350, 482, 64, 9, 16, 98, 67.440, 61.990
Mon Jan  9 15:40:09 EST 2017, 7060, 0.100, 2, 0.600, 557, 42, 4, 28, 31, 7.260, 7.287
Mon Jan  9 15:41:07 EST 2017, 2110, 0.600, 6, 0.100, 407, 87, 13, 3, 76, 55.130, 42.053
Mon Jan  9 15:41:47 EST 2017, 1492, 0.420, 1, 0.290, 426, 81, 17, 25, 47, 39.610, 38.703
Mon Jan  9 15:42:03 EST 2017, 6442, 0.920, 6, 0.790, 576, 36, 7, 0, 92, 16.000, 12.337
Mon Jan  9 15:42:14 EST 2017, 8917, 0.170, 8, 0.040, 501, 59, 3, 38, 25, 10.627, 10.610
Mon Jan  9 15:42:22 EST 2017, 3967, 0.670, 3, 0.540, 351, 14, 12, 13, 70, 7.480, 6.877
Mon Jan  9 15:42:35 EST 2017, 2729, 0.040, 7, 0.420, 464, 25, 19, 7, 36, 12.737, 10.720
Mon Jan  9 15:43:24 EST 2017, 7679, 0.540, 2, 0.920, 314, 70, 10, 32, 81, 48.693, 45.110
Mon Jan  9 15:43:27 EST 2017, 5204, 0.290, 5, 0.170, 389, 47, 5, 19, 14, 3.523, 3.483
Mon Jan  9 15:46:55 EST 2017, 254, 0.790, 9, 0.670, 539, 92, 14, 44, 59, 207.353, 200.537
Mon Jan  9 15:47:27 EST 2017, 332, 0.390, 5, 0.800, 363, 88, 8, 34, 31, 31.093, 30.163
Mon Jan  9 15:48:32 EST 2017, 5282, 0.890, 9, 0.300, 513, 43, 18, 9, 76, 64.253, 50.357
Mon Jan  9 15:50:58 EST 2017, 7757, 0.140, 7, 0.550, 588, 65, 13, 47, 54, 145.870, 139.217
Mon Jan  9 15:51:05 EST 2017, 2807, 0.640, 2, 0.050, 438, 20, 3, 22, 99, 6.030, 6.410
Mon Jan  9 15:51:07 EST 2017, 4044, 0.020, 8, 0.920, 550, 31, 6, 3, 20, 2.583, 2.173
Mon Jan  9 15:52:41 EST 2017, 8994, 0.520, 3, 0.420, 400, 76, 15, 28, 65, 92.943, 83.320
Mon Jan  9 15:52:50 EST 2017, 6519, 0.270, 1, 0.670, 325, 54, 10, 16, 43, 8.493, 8.300
Mon Jan  9 15:53:18 EST 2017, 1569, 0.770, 6, 0.170, 475, 99, 1, 41, 88, 23.190, 27.477
Mon Jan  9 15:53:27 EST 2017, 2188, 0.210, 2, 0.490, 494, 93, 9, 12, 14, 8.543, 7.890
Mon Jan  9 15:54:46 EST 2017, 7138, 0.710, 6, 0.990, 344, 48, 19, 37, 59, 78.690, 72.570
Mon Jan  9 15:55:07 EST 2017, 9613, 0.460, 8, 0.240, 419, 71, 14, 0, 37, 19.110, 13.410
Mon Jan  9 15:55:26 EST 2017, 4663, 0.960, 4, 0.740, 569, 26, 5, 25, 82, 18.633, 17.973
Mon Jan  9 15:55:30 EST 2017, 3425, 0.330, 5, 0.360, 382, 14, 7, 44, 26, 4.737, 4.640
Mon Jan  9 15:56:14 EST 2017, 8375, 0.830, 1, 0.860, 532, 59, 16, 19, 71, 43.013, 40.187
Mon Jan  9 15:56:45 EST 2017, 5900, 0.080, 3, 0.110, 457, 37, 12, 31, 48, 30.493, 29.427
Mon Jan  9 15:56:58 EST 2017, 950, 0.580, 7, 0.610, 307, 82, 2, 6, 93, 9.850, 12.140
Mon Jan  9 15:59:11 EST 2017, 1260, 0.110, 6, 0.640, 447, 57, 18, 20, 96, 130.110, 113.137
Mon Jan  9 15:59:23 EST 2017, 6210, 0.610, 2, 0.140, 597, 12, 9, 45, 51, 11.103, 10.863
Mon Jan  9 15:59:45 EST 2017, 8685, 0.360, 4, 0.890, 522, 79, 4, 8, 73, 22.127, 21.220
Mon Jan  9 16:00:05 EST 2017, 3735, 0.860, 9, 0.390, 372, 34, 13, 33, 28, 18.727, 17.790
Mon Jan  9 16:01:04 EST 2017, 4972, 0.490, 1, 0.520, 485, 45, 16, 39, 85, 58.757, 57.363
Mon Jan  9 16:01:21 EST 2017, 9922, 0.990, 5, 0.020, 335, 90, 6, 14, 40, 17.250, 17.037
Mon Jan  9 16:01:26 EST 2017, 7447, 0.240, 8, 0.770, 410, 23, 2, 26, 62, 4.450, 4.567
Mon Jan  9 16:01:33 EST 2017, 2497, 0.740, 3, 0.270, 560, 68, 11, 1, 17, 6.610, 5.257
Mon Jan  9 16:05:59 EST 2017, 1878, 0.300, 9, 0.080, 578, 73, 19, 30, 79, 263.360, 231.620
Mon Jan  9 16:06:05 EST 2017, 6828, 0.800, 5, 0.580, 428, 28, 10, 5, 34, 6.050, 5.053
Mon Jan  9 16:06:46 EST 2017, 9303, 0.050, 3, 0.330, 353, 96, 5, 42, 57, 40.360, 40.743
Mon Jan  9 16:06:58 EST 2017, 4353, 0.550, 7, 0.830, 503, 51, 15, 17, 12, 11.377, 10.533
Mon Jan  9 16:07:38 EST 2017, 3116, 0.170, 4, 0.210, 316, 40, 17, 11, 90, 39.477, 32.187
