# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 14:30:05 EST 2017, 4450, 0.060, 9, 0.660, 459, 38, 1, 12, 56, 2.820, 3.257
Mon Jan  9 14:30:18 EST 2017, 9400, 0.560, 5, 0.160, 309, 83, 11, 37, 11, 13.117, 12.503
Mon Jan  9 14:30:23 EST 2017, 6925, 0.310, 2, 0.910, 384, 15, 16, 0, 79, 4.960, 3.693
Mon Jan  9 14:30:47 EST 2017, 1975, 0.810, 7, 0.410, 534, 60, 6, 25, 34, 22.510, 22.133
Mon Jan  9 14:30:57 EST 2017, 1356, 0.120, 1, 0.230, 591, 55, 5, 3, 62, 7.487, 9.450
Mon Jan  9 14:31:00 EST 2017, 6306, 0.620, 5, 0.730, 441, 10, 14, 28, 17, 3.477, 3.340
Mon Jan  9 14:33:13 EST 2017, 8781, 0.370, 8, 0.480, 366, 77, 19, 15, 85, 131.370, 102.510
Mon Jan  9 14:33:39 EST 2017, 3831, 0.870, 3, 0.980, 516, 32, 10, 40, 40, 25.333, 23.660
Mon Jan  9 14:33:50 EST 2017, 2594, 0.250, 6, 0.100, 328, 43, 2, 34, 73, 10.063, 10.580
Mon Jan  9 14:34:09 EST 2017, 7544, 0.750, 2, 0.600, 478, 88, 12, 9, 28, 18.883, 16.967
Mon Jan  9 14:35:40 EST 2017, 5069, 0.000, 4, 0.350, 553, 21, 17, 46, 96, 89.983, 85.500
Mon Jan  9 14:36:12 EST 2017, 119, 0.500, 9, 0.850, 403, 66, 7, 21, 51, 29.870, 27.183
Mon Jan  9 14:37:19 EST 2017, 129, 0.250, 4, 0.150, 568, 49, 14, 21, 65, 66.227, 62.723
Mon Jan  9 14:37:41 EST 2017, 5079, 0.750, 8, 0.650, 418, 94, 5, 46, 20, 21.240, 22.030
Mon Jan  9 14:37:55 EST 2017, 7554, 0.000, 6, 0.400, 343, 26, 9, 8, 87, 12.887, 11.993
Mon Jan  9 14:39:11 EST 2017, 2604, 0.500, 2, 0.900, 493, 71, 19, 33, 42, 75.137, 70.247
Mon Jan  9 14:40:33 EST 2017, 3841, 0.120, 9, 0.020, 306, 60, 12, 39, 76, 80.503, 76.320
Mon Jan  9 14:40:34 EST 2017, 8791, 0.620, 5, 0.520, 456, 15, 2, 14, 31, 1.223, 1.213
Mon Jan  9 14:42:20 EST 2017, 6316, 0.370, 3, 0.270, 531, 83, 7, 27, 99, 95.583, 95.797
Mon Jan  9 14:42:38 EST 2017, 1366, 0.870, 7, 0.770, 381, 38, 17, 2, 54, 17.657, 11.700
Mon Jan  9 14:43:00 EST 2017, 1985, 0.060, 1, 0.580, 437, 32, 13, 30, 71, 21.203, 20.860
Mon Jan  9 14:43:06 EST 2017, 6935, 0.560, 5, 0.080, 587, 77, 3, 5, 26, 6.067, 6.160
Mon Jan  9 14:43:25 EST 2017, 9410, 0.310, 8, 0.830, 512, 10, 8, 43, 93, 18.853, 18.150
