# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Wed May 17 07:55:08 EDT 2017, 0.370, 7, 7, 0.470, 7, 5, 19, 422, 57, 11, 35, 42, 13.960, 15.063
Wed May 17 07:55:24 EDT 2017, 0.250, 4, 2, 0.600, 4, 6, 53, 309, 46, 4, 4, 76, 15.070, 15.493
Wed May 17 07:55:49 EDT 2017, 0.750, 8, 6, 0.100, 8, 2, 98, 459, 91, 14, 29, 31, 24.903, 23.623
Wed May 17 07:55:57 EDT 2017, 0.500, 2, 9, 0.850, 6, 9, 75, 384, 23, 18, 17, 53, 7.823, 7.553
Wed May 17 07:57:05 EDT 2017, 0.000, 6, 4, 0.350, 2, 4, 30, 534, 68, 9, 42, 98, 65.747, 59.790
Wed May 17 07:57:13 EDT 2017, 0.000, 3, 6, 0.400, 3, 6, 68, 576, 40, 6, 3, 35, 7.173, 8.233
Wed May 17 08:02:02 EDT 2017, 0.500, 8, 1, 0.900, 8, 1, 23, 426, 85, 16, 28, 80, 278.107, 228.223
Wed May 17 08:02:12 EDT 2017, 0.750, 1, 4, 0.150, 6, 8, 46, 501, 18, 11, 15, 58, 9.813, 8.490
Wed May 17 08:02:14 EDT 2017, 0.250, 6, 8, 0.650, 1, 3, 91, 351, 63, 2, 40, 13, 0.910, 1.220
Wed May 17 08:03:10 EDT 2017, 0.370, 2, 3, 0.270, 7, 5, 57, 389, 51, 14, 21, 92, 55.253, 44.953
Wed May 17 08:03:32 EDT 2017, 0.870, 7, 7, 0.770, 2, 9, 12, 539, 96, 4, 46, 47, 14.823, 21.273
Wed May 17 08:03:35 EDT 2017, 0.620, 4, 9, 0.020, 5, 2, 35, 314, 29, 9, 9, 24, 2.120, 2.430
Wed May 17 08:04:47 EDT 2017, 0.120, 9, 5, 0.520, 9, 7, 80, 464, 74, 18, 34, 69, 70.137, 59.063
Wed May 17 08:04:58 EDT 2017, 0.180, 1, 8, 0.840, 7, 6, 74, 332, 46, 8, 37, 63, 9.233, 11.580
Wed May 17 08:05:26 EDT 2017, 0.680, 5, 3, 0.340, 3, 2, 29, 482, 91, 17, 12, 18, 27.110, 20.740
Wed May 17 08:05:44 EDT 2017, 0.930, 3, 1, 0.590, 1, 9, 52, 407, 23, 12, 49, 41, 17.667, 12.113
Wed May 17 08:06:14 EDT 2017, 0.430, 7, 5, 0.090, 5, 4, 97, 557, 68, 3, 24, 86, 20.437, 29.287
Wed May 17 08:06:28 EDT 2017, 0.310, 4, 4, 0.960, 2, 3, 63, 520, 34, 15, 43, 30, 13.473, 11.203
Wed May 17 08:06:48 EDT 2017, 0.810, 8, 9, 0.460, 6, 7, 18, 370, 79, 5, 18, 75, 13.863, 19.327
Wed May 17 08:06:57 EDT 2017, 0.560, 2, 6, 0.710, 9, 1, 40, 595, 12, 10, 31, 97, 9.247, 9.070
Wed May 17 08:08:13 EDT 2017, 0.060, 6, 2, 0.210, 4, 5, 85, 445, 57, 19, 6, 52, 74.677, 48.710
Wed May 17 08:08:29 EDT 2017, 0.090, 2, 3, 0.050, 1, 8, 26, 361, 65, 3, 20, 61, 12.180, 15.700
Wed May 17 08:08:31 EDT 2017, 0.590, 6, 7, 0.550, 6, 3, 71, 511, 20, 13, 45, 16, 2.410, 2.207
Wed May 17 08:09:12 EDT 2017, 0.840, 4, 5, 0.300, 8, 5, 94, 436, 88, 18, 7, 38, 40.140, 32.933
Wed May 17 08:10:21 EDT 2017, 0.340, 9, 1, 0.800, 4, 1, 49, 586, 43, 8, 32, 83, 67.827, 51.843
Wed May 17 08:10:37 EDT 2017, 0.460, 3, 8, 0.180, 9, 2, 15, 473, 77, 15, 1, 27, 16.013, 15.143
Wed May 17 08:10:48 EDT 2017, 0.960, 8, 4, 0.680, 5, 7, 60, 323, 32, 6, 26, 72, 9.740, 10.110
Wed May 17 08:11:24 EDT 2017, 0.710, 1, 2, 0.430, 3, 4, 83, 548, 99, 1, 14, 94, 22.940, 35.447
Wed May 17 08:11:42 EDT 2017, 0.210, 5, 6, 0.930, 7, 9, 38, 398, 54, 11, 39, 49, 16.450, 16.993
Wed May 17 08:12:09 EDT 2017, 0.150, 5, 1, 0.740, 5, 9, 32, 529, 71, 5, 42, 33, 26.603, 22.297
Wed May 17 08:12:25 EDT 2017, 0.650, 9, 6, 0.240, 1, 5, 77, 379, 26, 14, 17, 78, 14.733, 13.867
Wed May 17 08:13:14 EDT 2017, 0.900, 2, 8, 0.990, 3, 7, 99, 454, 93, 19, 29, 55, 48.770, 46.987
Wed May 17 08:13:17 EDT 2017, 0.400, 7, 3, 0.490, 8, 3, 54, 304, 48, 9, 4, 10, 2.910, 2.510
Wed May 17 08:14:02 EDT 2017, 0.280, 1, 7, 0.620, 4, 1, 21, 417, 60, 16, 35, 89, 43.827, 41.510
Wed May 17 08:14:10 EDT 2017, 0.780, 6, 2, 0.120, 9, 6, 66, 567, 15, 7, 10, 44, 7.730, 6.007
Wed May 17 08:14:14 EDT 2017, 0.530, 4, 4, 0.870, 7, 4, 88, 342, 82, 2, 48, 21, 2.823, 3.927
Wed May 17 08:14:32 EDT 2017, 0.030, 8, 9, 0.370, 2, 8, 43, 492, 37, 12, 23, 66, 14.827, 16.627
Wed May 17 08:15:01 EDT 2017, 0.040, 1, 1, 0.950, 9, 2, 90, 375, 78, 5, 11, 48, 29.280, 26.280
Wed May 17 08:15:39 EDT 2017, 0.540, 6, 5, 0.450, 4, 7, 45, 525, 33, 15, 36, 93, 37.710, 35.593
Wed May 17 08:15:56 EDT 2017, 0.790, 3, 7, 0.700, 2, 4, 22, 300, 55, 10, 24, 70, 15.040, 16.620
Wed May 17 08:15:57 EDT 2017, 0.290, 8, 3, 0.200, 6, 9, 67, 450, 10, 1, 49, 25, 0.533, 0.680
Wed May 17 08:17:19 EDT 2017, 0.420, 5, 6, 0.820, 1, 8, 78, 562, 89, 13, 17, 82, 81.343, 74.757
Wed May 17 08:17:27 EDT 2017, 0.920, 9, 2, 0.320, 5, 3, 33, 412, 44, 3, 42, 37, 7.233, 7.953
Wed May 17 08:17:34 EDT 2017, 0.670, 2, 4, 0.570, 8, 6, 11, 487, 67, 8, 5, 14, 6.547, 6.293
Wed May 17 08:17:41 EDT 2017, 0.170, 7, 9, 0.070, 3, 1, 56, 337, 22, 17, 30, 59, 7.163, 6.900
Wed May 17 08:18:44 EDT 2017, 0.230, 3, 3, 0.260, 5, 1, 95, 506, 95, 7, 27, 76, 61.010, 61.353
Wed May 17 08:18:54 EDT 2017, 0.730, 7, 8, 0.760, 9, 5, 50, 356, 50, 16, 2, 31, 9.530, 9.063
Wed May 17 08:19:31 EDT 2017, 0.980, 1, 6, 0.010, 7, 3, 28, 581, 72, 11, 39, 54, 34.703, 36.690
Wed May 17 08:19:45 EDT 2017, 0.480, 5, 1, 0.510, 2, 7, 73, 431, 27, 2, 14, 99, 11.870, 13.717
Wed May 17 08:19:53 EDT 2017, 0.360, 2, 9, 0.380, 6, 8, 84, 318, 84, 14, 46, 20, 7.460, 7.667
Wed May 17 08:20:05 EDT 2017, 0.860, 6, 5, 0.880, 1, 4, 39, 468, 39, 4, 21, 65, 8.793, 11.700
Wed May 17 08:21:05 EDT 2017, 0.610, 4, 2, 0.130, 4, 6, 16, 393, 61, 9, 33, 87, 59.417, 47.787
Wed May 17 08:21:12 EDT 2017, 0.110, 9, 7, 0.630, 8, 2, 61, 543, 16, 19, 8, 42, 7.710, 6.577
Wed May 17 08:21:16 EDT 2017, 0.070, 4, 8, 0.600, 7, 4, 47, 478, 13, 4, 16, 73, 2.277, 3.033
Wed May 17 08:21:29 EDT 2017, 0.570, 9, 4, 0.100, 2, 9, 92, 328, 58, 13, 41, 28, 12.907, 10.660
Wed May 17 08:22:21 EDT 2017, 0.820, 2, 2, 0.850, 4, 2, 70, 553, 36, 18, 3, 51, 50.900, 33.480
Wed May 17 08:23:08 EDT 2017, 0.320, 7, 6, 0.350, 9, 6, 25, 403, 81, 8, 28, 96, 39.043, 46.650
Wed May 17 08:23:12 EDT 2017, 0.450, 1, 5, 0.730, 3, 5, 36, 365, 25, 16, 10, 17, 3.550, 2.883
Wed May 17 08:23:33 EDT 2017, 0.950, 5, 9, 0.230, 8, 1, 81, 515, 70, 6, 35, 62, 15.277, 20.793
Wed May 17 08:23:39 EDT 2017, 0.700, 3, 7, 0.980, 6, 8, 59, 440, 47, 1, 22, 85, 3.710, 5.380
Wed May 17 08:24:31 EDT 2017, 0.200, 8, 3, 0.480, 1, 3, 14, 590, 92, 11, 47, 40, 52.187, 45.007
Wed May 17 08:24:37 EDT 2017, 0.140, 3, 5, 0.160, 3, 4, 53, 421, 30, 5, 44, 45, 4.937, 5.670
Wed May 17 08:30:03 EDT 2017, 0.640, 7, 1, 0.660, 7, 8, 98, 571, 75, 14, 19, 90, 320.053, 265.923
Wed May 17 08:30:54 EDT 2017, 0.890, 5, 3, 0.410, 9, 1, 76, 346, 53, 19, 31, 68, 50.587, 37.880
Wed May 17 08:31:09 EDT 2017, 0.390, 9, 8, 0.910, 5, 6, 31, 496, 98, 10, 6, 23, 13.050, 14.453
Wed May 17 08:31:48 EDT 2017, 0.260, 4, 2, 0.040, 8, 7, 42, 534, 19, 17, 25, 79, 38.087, 26.300
Wed May 17 08:31:57 EDT 2017, 0.760, 8, 7, 0.540, 4, 2, 87, 384, 64, 7, 0, 34, 8.113, 9.097
Wed May 17 08:31:58 EDT 2017, 0.510, 1, 9, 0.290, 2, 9, 64, 459, 41, 3, 38, 11, 0.750, 0.983
Wed May 17 08:32:33 EDT 2017, 0.010, 6, 4, 0.790, 6, 5, 19, 309, 86, 12, 13, 56, 34.303, 30.743
Wed May 17 08:32:41 EDT 2017, 0.020, 2, 9, 0.660, 4, 3, 78, 410, 46, 2, 31, 87, 4.887, 7.500
Wed May 17 08:33:28 EDT 2017, 0.520, 7, 4, 0.160, 9, 8, 33, 560, 91, 11, 6, 42, 46.197, 43.497
Wed May 17 08:33:34 EDT 2017, 0.770, 5, 2, 0.910, 6, 1, 10, 335, 24, 16, 44, 19, 6.700, 4.360
Wed May 17 08:34:00 EDT 2017, 0.270, 9, 7, 0.410, 2, 5, 55, 485, 69, 7, 19, 64, 20.453, 25.010
Wed May 17 08:34:41 EDT 2017, 0.390, 4, 3, 0.530, 5, 6, 89, 597, 35, 18, 37, 53, 40.347, 31.767
Wed May 17 08:35:30 EDT 2017, 0.890, 8, 8, 0.030, 1, 2, 44, 447, 80, 9, 12, 98, 38.250, 47.007
Wed May 17 08:35:34 EDT 2017, 0.640, 1, 5, 0.780, 3, 9, 21, 522, 13, 4, 25, 75, 3.420, 4.320
Wed May 17 08:36:10 EDT 2017, 0.140, 6, 1, 0.280, 7, 4, 66, 372, 58, 14, 0, 30, 35.107, 24.587
Wed May 17 08:36:11 EDT 2017, 0.210, 4, 7, 0.090, 9, 5, 83, 503, 41, 1, 3, 14, 0.767, 1.007
Wed May 17 08:36:54 EDT 2017, 0.710, 9, 3, 0.590, 5, 9, 38, 353, 86, 10, 28, 59, 41.867, 37.963
Wed May 17 08:37:13 EDT 2017, 0.960, 2, 5, 0.340, 2, 3, 16, 578, 18, 15, 15, 81, 18.303, 16.103
Wed May 17 08:37:21 EDT 2017, 0.460, 6, 9, 0.840, 7, 7, 61, 428, 63, 5, 40, 36, 5.710, 7.953
Wed May 17 08:38:36 EDT 2017, 0.330, 1, 1, 0.220, 1, 6, 95, 316, 52, 17, 22, 70, 74.050, 49.407
Wed May 17 08:38:51 EDT 2017, 0.830, 5, 6, 0.720, 6, 1, 50, 466, 97, 8, 47, 25, 13.397, 14.740
Wed May 17 08:38:54 EDT 2017, 0.580, 3, 8, 0.470, 8, 8, 27, 391, 29, 3, 9, 47, 2.217, 3.210
Wed May 17 08:40:23 EDT 2017, 0.080, 7, 4, 0.970, 4, 4, 72, 541, 74, 12, 34, 92, 88.763, 78.210
Wed May 17 08:40:32 EDT 2017, 0.110, 3, 2, 0.750, 2, 1, 35, 457, 66, 9, 39, 11, 8.550, 6.223
Wed May 17 08:40:40 EDT 2017, 0.610, 8, 7, 0.250, 7, 6, 80, 307, 21, 19, 14, 56, 7.933, 6.840
Wed May 17 08:41:42 EDT 2017, 0.860, 1, 9, 0.500, 9, 3, 58, 532, 89, 14, 26, 78, 52.613, 60.587
Wed May 17 08:41:49 EDT 2017, 0.360, 6, 5, 0.000, 4, 8, 13, 382, 44, 5, 1, 33, 5.100, 6.103
Wed May 17 08:42:10 EDT 2017, 0.490, 2, 6, 0.880, 8, 9, 47, 344, 55, 12, 33, 67, 21.220, 21.463
Wed May 17 08:42:12 EDT 2017, 0.990, 7, 1, 0.380, 3, 5, 92, 494, 10, 2, 8, 22, 1.250, 1.207
Wed May 17 08:42:35 EDT 2017, 0.740, 4, 3, 0.630, 1, 7, 69, 419, 77, 7, 45, 44, 23.043, 22.653
Wed May 17 08:43:06 EDT 2017, 0.240, 9, 8, 0.130, 5, 2, 24, 569, 32, 17, 20, 89, 30.180, 28.740
Wed May 17 08:43:42 EDT 2017, 0.180, 2, 4, 0.440, 7, 2, 41, 438, 60, 8, 23, 84, 34.750, 35.987
Wed May 17 08:43:49 EDT 2017, 0.680, 6, 8, 0.940, 3, 6, 86, 588, 15, 18, 48, 39, 6.063, 5.403
Wed May 17 08:43:57 EDT 2017, 0.930, 4, 6, 0.190, 5, 4, 64, 363, 83, 13, 11, 16, 8.470, 7.700
Wed May 17 08:44:14 EDT 2017, 0.430, 8, 2, 0.690, 9, 8, 19, 513, 38, 4, 36, 61, 16.160, 16.357
Wed May 17 08:44:44 EDT 2017, 0.300, 5, 7, 0.310, 4, 7, 52, 550, 72, 11, 5, 50, 27.403, 29.490
Wed May 17 08:44:49 EDT 2017, 0.800, 9, 3, 0.810, 8, 3, 97, 400, 27, 1, 30, 95, 3.473, 5.160
