# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Wed May 17 07:34:19 EDT 2017, 0.210, 1, 5, 0.450, 4, 6, 11, 492, 77, 7, 46, 27, 11.660, 12.720
Wed May 17 07:35:08 EDT 2017, 0.710, 6, 1, 0.950, 8, 2, 56, 342, 32, 16, 21, 72, 48.347, 31.727
Wed May 17 07:36:21 EDT 2017, 0.960, 4, 3, 0.200, 6, 9, 79, 567, 55, 11, 34, 94, 72.677, 63.447
Wed May 17 07:36:22 EDT 2017, 0.460, 8, 8, 0.700, 1, 4, 34, 417, 10, 2, 9, 49, 0.870, 1.107
Wed May 17 07:37:34 EDT 2017, 0.340, 5, 2, 0.330, 7, 3, 23, 304, 88, 14, 27, 61, 70.397, 49.323
Wed May 17 07:37:37 EDT 2017, 0.840, 9, 7, 0.830, 2, 8, 68, 454, 43, 4, 2, 16, 1.873, 2.323
Wed May 17 07:37:48 EDT 2017, 0.590, 2, 9, 0.080, 5, 1, 90, 379, 66, 9, 40, 38, 8.873, 11.027
Wed May 17 07:38:17 EDT 2017, 0.090, 7, 4, 0.580, 9, 5, 45, 529, 21, 18, 15, 83, 28.923, 23.573
Wed May 17 07:38:24 EDT 2017, 0.060, 2, 1, 0.670, 5, 7, 65, 464, 29, 4, 10, 30, 6.723, 5.847
Wed May 17 07:39:01 EDT 2017, 0.560, 7, 5, 0.170, 1, 3, 20, 314, 74, 13, 35, 75, 36.743, 33.670
Wed May 17 07:40:02 EDT 2017, 0.810, 4, 7, 0.920, 3, 5, 42, 539, 52, 18, 23, 97, 60.433, 56.367
Wed May 17 07:40:40 EDT 2017, 0.310, 9, 3, 0.420, 8, 1, 87, 389, 97, 8, 48, 52, 36.883, 35.910
Wed May 17 07:40:48 EDT 2017, 0.430, 3, 6, 0.550, 4, 2, 76, 351, 18, 15, 17, 64, 7.770, 6.803
Wed May 17 07:41:00 EDT 2017, 0.930, 8, 2, 0.050, 9, 6, 31, 501, 63, 6, 42, 19, 11.573, 9.493
Wed May 17 07:41:03 EDT 2017, 0.680, 1, 4, 0.800, 7, 4, 54, 426, 41, 1, 4, 41, 2.007, 2.887
Wed May 17 07:42:09 EDT 2017, 0.180, 6, 9, 0.300, 2, 8, 99, 576, 86, 11, 29, 86, 51.333, 62.483
Wed May 17 07:42:15 EDT 2017, 0.120, 4, 3, 0.110, 2, 9, 59, 445, 12, 5, 26, 92, 5.953, 6.220
Wed May 17 07:42:42 EDT 2017, 0.620, 8, 8, 0.610, 6, 4, 14, 595, 57, 14, 1, 47, 24.937, 25.907
Wed May 17 07:42:50 EDT 2017, 0.870, 2, 6, 0.360, 8, 7, 37, 370, 35, 19, 38, 24, 7.390, 6.017
Wed May 17 07:45:09 EDT 2017, 0.370, 6, 1, 0.860, 4, 2, 82, 520, 80, 10, 13, 69, 138.320, 111.760
Wed May 17 07:45:16 EDT 2017, 0.250, 1, 9, 0.230, 9, 1, 70, 558, 24, 17, 45, 35, 7.170, 6.720
Wed May 17 07:45:51 EDT 2017, 0.750, 5, 5, 0.730, 5, 6, 25, 408, 69, 7, 20, 80, 27.177, 32.500
Wed May 17 07:46:03 EDT 2017, 0.500, 3, 2, 0.480, 3, 3, 48, 483, 46, 2, 32, 58, 9.653, 12.063
Wed May 17 07:46:09 EDT 2017, 0.000, 7, 7, 0.980, 7, 8, 93, 333, 91, 12, 7, 13, 5.853, 5.630
Wed May 17 07:46:48 EDT 2017, 0.000, 4, 8, 0.650, 6, 7, 85, 548, 38, 18, 47, 96, 39.073, 36.703
Wed May 17 07:47:23 EDT 2017, 0.500, 8, 3, 0.150, 2, 2, 40, 398, 83, 9, 22, 51, 33.960, 30.733
Wed May 17 07:47:26 EDT 2017, 0.750, 2, 1, 0.900, 4, 9, 18, 473, 15, 4, 34, 28, 3.417, 2.807
Wed May 17 07:47:53 EDT 2017, 0.250, 6, 6, 0.400, 8, 5, 63, 323, 60, 13, 9, 73, 26.210, 24.773
Wed May 17 07:47:56 EDT 2017, 0.370, 1, 5, 0.520, 5, 4, 97, 436, 49, 1, 28, 40, 2.097, 3.107
Wed May 17 07:49:07 EDT 2017, 0.870, 5, 9, 0.020, 9, 8, 52, 586, 94, 11, 3, 85, 56.043, 68.960
Wed May 17 07:49:18 EDT 2017, 0.620, 3, 7, 0.770, 7, 1, 29, 361, 26, 16, 40, 62, 10.687, 10.143
Wed May 17 07:49:29 EDT 2017, 0.120, 7, 2, 0.270, 3, 6, 74, 511, 71, 6, 15, 17, 11.597, 9.923
Wed May 17 07:49:41 EDT 2017, 0.180, 2, 5, 0.090, 1, 5, 80, 342, 54, 19, 12, 23, 11.620, 9.610
Wed May 17 07:52:48 EDT 2017, 0.680, 7, 1, 0.590, 5, 1, 35, 492, 99, 10, 37, 68, 186.330, 164.940
Wed May 17 07:53:05 EDT 2017, 0.930, 4, 3, 0.340, 8, 8, 12, 417, 32, 5, 0, 90, 14.570, 16.760
Wed May 17 07:53:41 EDT 2017, 0.430, 9, 7, 0.840, 3, 3, 57, 567, 77, 14, 25, 45, 33.630, 33.857
Wed May 17 07:53:54 EDT 2017, 0.310, 3, 2, 0.210, 9, 4, 91, 455, 43, 3, 6, 56, 11.393, 12.730
Wed May 17 07:53:59 EDT 2017, 0.810, 8, 6, 0.710, 4, 9, 46, 305, 88, 12, 31, 11, 4.927, 4.740
Wed May 17 07:54:05 EDT 2017, 0.560, 1, 8, 0.460, 2, 2, 23, 530, 21, 17, 18, 34, 6.207, 5.617
Wed May 17 07:54:35 EDT 2017, 0.060, 6, 4, 0.960, 7, 6, 68, 380, 66, 7, 43, 79, 28.723, 29.413
Wed May 17 07:54:52 EDT 2017, 0.090, 1, 1, 0.810, 8, 8, 43, 314, 57, 10, 29, 25, 16.957, 11.597
Wed May 17 07:54:53 EDT 2017, 0.590, 6, 5, 0.310, 3, 4, 88, 464, 12, 1, 4, 70, 1.120, 1.460
Wed May 17 07:55:25 EDT 2017, 0.840, 4, 8, 0.560, 1, 6, 66, 389, 80, 6, 42, 93, 22.447, 30.257
Wed May 17 07:55:53 EDT 2017, 0.340, 8, 3, 0.060, 6, 2, 21, 539, 35, 15, 17, 48, 28.327, 22.320
Wed May 17 07:56:23 EDT 2017, 0.470, 5, 6, 0.930, 2, 1, 54, 502, 69, 8, 48, 59, 24.070, 28.920
Wed May 17 07:56:29 EDT 2017, 0.970, 9, 2, 0.430, 7, 5, 99, 352, 24, 17, 23, 14, 5.590, 3.630
Wed May 17 07:57:15 EDT 2017, 0.720, 2, 4, 0.680, 9, 3, 77, 577, 91, 13, 36, 37, 46.037, 39.827
Wed May 17 07:57:26 EDT 2017, 0.220, 7, 9, 0.180, 5, 7, 32, 427, 46, 3, 11, 82, 6.430, 9.770
Wed May 17 07:59:06 EDT 2017, 0.150, 3, 4, 0.490, 3, 8, 37, 595, 74, 11, 7, 99, 100.207, 92.513
Wed May 17 07:59:10 EDT 2017, 0.650, 8, 8, 0.990, 7, 3, 82, 445, 29, 2, 32, 54, 2.177, 3.173
Wed May 17 07:59:30 EDT 2017, 0.900, 1, 6, 0.240, 5, 6, 60, 520, 97, 7, 20, 31, 15.900, 19.637
Wed May 17 08:01:18 EDT 2017, 0.400, 5, 1, 0.740, 1, 1, 15, 370, 52, 16, 45, 76, 104.207, 78.593
Wed May 17 08:01:31 EDT 2017, 0.280, 2, 9, 0.370, 6, 2, 49, 408, 63, 9, 14, 42, 10.307, 12.567
Wed May 17 08:01:55 EDT 2017, 0.780, 6, 5, 0.870, 2, 7, 94, 558, 18, 19, 39, 87, 24.133, 20.107
Wed May 17 08:02:52 EDT 2017, 0.530, 4, 3, 0.120, 4, 4, 71, 333, 85, 14, 1, 65, 56.223, 46.437
Wed May 17 08:02:56 EDT 2017, 0.030, 9, 7, 0.620, 9, 9, 26, 483, 40, 4, 26, 20, 2.337, 2.853
Wed May 17 08:05:40 EDT 2017, 0.040, 2, 3, 0.200, 2, 2, 61, 441, 87, 18, 38, 83, 158.243, 130.847
Wed May 17 08:05:51 EDT 2017, 0.540, 6, 8, 0.700, 6, 6, 16, 591, 42, 8, 13, 38, 8.733, 10.210
Wed May 17 08:05:54 EDT 2017, 0.790, 4, 6, 0.450, 9, 4, 39, 366, 64, 3, 25, 16, 2.287, 2.733
Wed May 17 08:06:25 EDT 2017, 0.290, 9, 1, 0.950, 4, 8, 84, 516, 19, 13, 0, 61, 30.203, 20.130
Wed May 17 08:06:32 EDT 2017, 0.420, 3, 9, 0.070, 8, 9, 73, 553, 98, 1, 32, 49, 4.520, 7.183
Wed May 17 08:07:15 EDT 2017, 0.920, 7, 4, 0.570, 3, 5, 28, 403, 53, 11, 7, 94, 42.820, 39.910
Wed May 17 08:09:30 EDT 2017, 0.670, 1, 2, 0.320, 1, 7, 50, 478, 76, 15, 44, 72, 133.690, 96.860
Wed May 17 08:09:32 EDT 2017, 0.170, 5, 7, 0.820, 5, 3, 95, 328, 31, 6, 19, 27, 2.307, 2.663
Wed May 17 08:09:55 EDT 2017, 0.230, 5, 2, 0.510, 7, 2, 56, 459, 92, 19, 22, 10, 22.327, 14.137
Wed May 17 08:10:07 EDT 2017, 0.730, 9, 6, 0.010, 2, 7, 11, 309, 47, 9, 47, 55, 10.637, 11.303
Wed May 17 08:10:33 EDT 2017, 0.980, 2, 8, 0.760, 5, 4, 33, 534, 70, 5, 10, 77, 18.400, 25.770
Wed May 17 08:10:41 EDT 2017, 0.480, 7, 4, 0.260, 9, 9, 78, 384, 25, 14, 35, 32, 7.730, 6.200
Wed May 17 08:10:51 EDT 2017, 0.360, 1, 7, 0.630, 4, 8, 67, 347, 81, 2, 4, 66, 6.713, 9.823
Wed May 17 08:11:01 EDT 2017, 0.860, 6, 3, 0.130, 8, 3, 22, 497, 36, 12, 29, 21, 9.357, 7.573
Wed May 17 08:11:29 EDT 2017, 0.610, 3, 5, 0.880, 6, 5, 45, 422, 59, 17, 16, 44, 27.717, 23.410
Wed May 17 08:11:36 EDT 2017, 0.110, 8, 9, 0.380, 1, 1, 90, 572, 14, 7, 41, 89, 5.113, 6.383
Wed May 17 08:11:37 EDT 2017, 0.070, 4, 6, 0.350, 4, 3, 19, 487, 16, 11, 33, 13, 1.567, 1.420
Wed May 17 08:11:53 EDT 2017, 0.570, 8, 1, 0.850, 8, 7, 64, 337, 61, 2, 8, 58, 12.303, 15.287
Wed May 17 08:12:17 EDT 2017, 0.820, 1, 4, 0.100, 6, 1, 87, 562, 39, 6, 46, 80, 20.593, 22.927
Wed May 17 08:12:39 EDT 2017, 0.320, 6, 8, 0.600, 2, 5, 42, 412, 84, 16, 21, 35, 21.570, 20.983
Wed May 17 08:12:55 EDT 2017, 0.450, 3, 2, 0.480, 5, 6, 30, 300, 28, 9, 40, 69, 15.570, 12.313
Wed May 17 08:13:11 EDT 2017, 0.950, 7, 7, 0.980, 1, 2, 75, 450, 73, 18, 15, 24, 16.033, 14.623
Wed May 17 08:13:25 EDT 2017, 0.700, 5, 9, 0.230, 3, 9, 98, 375, 50, 14, 27, 47, 12.497, 13.277
Wed May 17 08:14:15 EDT 2017, 0.200, 9, 5, 0.730, 7, 4, 53, 525, 95, 4, 2, 92, 35.367, 48.280
Wed May 17 08:14:27 EDT 2017, 0.140, 1, 7, 0.920, 9, 5, 14, 394, 22, 12, 5, 86, 10.797, 11.097
Wed May 17 08:14:43 EDT 2017, 0.640, 5, 3, 0.420, 4, 9, 59, 544, 67, 3, 30, 41, 11.917, 15.660
Wed May 17 08:14:51 EDT 2017, 0.890, 3, 1, 0.670, 2, 2, 81, 319, 45, 8, 18, 18, 8.160, 5.900
Wed May 17 08:16:06 EDT 2017, 0.390, 8, 5, 0.170, 7, 7, 36, 469, 90, 17, 43, 63, 73.533, 61.673
Wed May 17 08:16:12 EDT 2017, 0.260, 4, 4, 0.790, 1, 6, 25, 581, 11, 10, 24, 52, 5.947, 5.180
Wed May 17 08:16:58 EDT 2017, 0.760, 9, 9, 0.290, 6, 1, 70, 431, 56, 19, 49, 97, 45.027, 43.473
Wed May 17 08:17:23 EDT 2017, 0.510, 2, 6, 0.540, 8, 8, 92, 506, 33, 15, 11, 75, 24.897, 23.247
Wed May 17 08:17:37 EDT 2017, 0.010, 7, 2, 0.040, 3, 3, 47, 356, 78, 5, 36, 30, 13.863, 12.420
Wed May 17 08:17:55 EDT 2017, 0.020, 1, 6, 0.410, 6, 4, 72, 419, 50, 14, 18, 46, 17.693, 16.323
Wed May 17 08:19:07 EDT 2017, 0.520, 5, 2, 0.910, 2, 9, 27, 569, 95, 4, 43, 91, 71.553, 71.180
Wed May 17 08:19:18 EDT 2017, 0.770, 3, 4, 0.160, 4, 2, 49, 344, 27, 9, 6, 68, 10.743, 10.083
Wed May 17 08:19:35 EDT 2017, 0.270, 7, 8, 0.660, 9, 6, 94, 494, 72, 19, 31, 23, 16.197, 15.343
Wed May 17 08:20:22 EDT 2017, 0.390, 4, 1, 0.280, 3, 5, 61, 532, 38, 7, 12, 80, 46.723, 35.810
Wed May 17 08:20:50 EDT 2017, 0.890, 9, 5, 0.780, 8, 1, 16, 382, 83, 16, 37, 35, 27.657, 24.020
Wed May 17 08:20:52 EDT 2017, 0.640, 2, 7, 0.030, 5, 7, 38, 457, 16, 12, 24, 12, 1.617, 1.377
Wed May 17 08:21:02 EDT 2017, 0.140, 6, 3, 0.530, 1, 3, 83, 307, 61, 2, 49, 57, 6.590, 9.090
Wed May 17 08:21:19 EDT 2017, 0.210, 4, 9, 0.850, 3, 4, 66, 476, 33, 13, 46, 74, 15.153, 16.490
Wed May 17 08:21:26 EDT 2017, 0.710, 8, 4, 0.350, 7, 8, 21, 326, 78, 3, 21, 29, 5.157, 6.620
Wed May 17 08:21:32 EDT 2017, 0.960, 1, 2, 0.600, 9, 1, 44, 551, 10, 8, 34, 51, 6.290, 4.940
Wed May 17 08:22:20 EDT 2017, 0.460, 6, 7, 0.100, 5, 6, 89, 401, 55, 18, 9, 96, 47.097, 42.300
Wed May 17 08:22:24 EDT 2017, 0.330, 2, 3, 0.970, 8, 7, 55, 363, 44, 6, 27, 18, 3.970, 3.853
Wed May 17 08:23:16 EDT 2017, 0.830, 7, 8, 0.470, 4, 2, 10, 513, 89, 15, 2, 63, 49.330, 50.850
Wed May 17 08:23:28 EDT 2017, 0.580, 5, 6, 0.720, 1, 9, 33, 438, 21, 10, 40, 85, 11.230, 12.063
Wed May 17 08:23:42 EDT 2017, 0.080, 9, 1, 0.220, 6, 5, 78, 588, 66, 1, 15, 40, 9.207, 13.510
Wed May 17 08:25:05 EDT 2017, 0.110, 5, 5, 0.000, 8, 3, 30, 523, 75, 17, 10, 77, 82.183, 70.777
Wed May 17 08:25:08 EDT 2017, 0.610, 9, 9, 0.500, 4, 7, 75, 373, 30, 7, 35, 32, 2.887, 3.383
Wed May 17 08:25:31 EDT 2017, 0.860, 3, 7, 0.250, 2, 5, 97, 598, 97, 3, 23, 54, 14.673, 22.297
