# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 22:19:30 EDT 2017, 0.100, 148, 21, 8, 19, 510, 4, 19, 7, 39, 3.160, 1.840
Sun Jul  2 22:20:13 EDT 2017, 0.070, 129, 22, 9, 29, 595, 16, 28, 10, 25, 42.227, 3.900
Sun Jul  2 22:20:50 EDT 2017, 0.570, 149, 27, 5, 18, 445, 6, 48, 25, 45, 37.303, 4.527
Sun Jul  2 22:20:51 EDT 2017, 0.820, 139, 25, 7, 13, 520, 1, 18, 3, 35, 0.313, 0.570
Sun Jul  2 22:21:00 EDT 2017, 0.320, 159, 20, 3, 24, 370, 11, 38, 18, 15, 8.997, 1.897
Sun Jul  2 22:22:29 EDT 2017, 0.450, 134, 28, 8, 10, 332, 18, 43, 14, 30, 89.213, 4.270
Sun Jul  2 22:22:31 EDT 2017, 0.950, 154, 23, 4, 21, 482, 9, 23, 29, 10, 1.537, 0.950
Sun Jul  2 22:22:34 EDT 2017, 0.700, 124, 21, 6, 26, 407, 4, 33, 7, 20, 2.700, 1.563
Sun Jul  2 22:22:48 EDT 2017, 0.200, 144, 26, 2, 15, 557, 13, 13, 22, 40, 14.077, 2.393
Sun Jul  2 22:24:05 EDT 2017, 0.140, 136, 20, 4, 17, 539, 17, 30, 12, 28, 76.500, 5.313
Sun Jul  2 22:24:08 EDT 2017, 0.640, 156, 25, 8, 28, 389, 7, 10, 27, 48, 2.377, 1.183
Sun Jul  2 22:24:14 EDT 2017, 0.890, 126, 28, 2, 22, 464, 3, 40, 5, 38, 6.370, 2.127
Sun Jul  2 22:24:18 EDT 2017, 0.390, 146, 23, 6, 11, 314, 12, 20, 20, 18, 3.223, 1.047
Sun Jul  2 22:24:36 EDT 2017, 0.260, 121, 27, 5, 20, 351, 19, 15, 8, 33, 17.860, 1.830
Sun Jul  2 22:24:41 EDT 2017, 0.760, 141, 22, 9, 9, 501, 10, 35, 23, 13, 5.593, 1.680
Sun Jul  2 22:24:44 EDT 2017, 0.510, 131, 24, 3, 14, 426, 5, 25, 1, 23, 2.557, 1.200
Sun Jul  2 22:27:52 EDT 2017, 0.010, 151, 29, 7, 25, 576, 14, 45, 16, 43, 186.847, 9.037
Sun Jul  2 22:28:07 EDT 2017, 0.020, 135, 24, 8, 12, 560, 8, 37, 7, 24, 15.413, 2.890
Sun Jul  2 22:28:40 EDT 2017, 0.520, 155, 29, 4, 23, 410, 18, 17, 22, 44, 32.330, 3.023
Sun Jul  2 22:30:48 EDT 2017, 0.770, 125, 26, 6, 29, 485, 13, 47, 14, 34, 127.977, 6.647
Sun Jul  2 22:30:49 EDT 2017, 0.270, 145, 21, 2, 18, 335, 3, 27, 29, 14, 0.677, 0.643
Sun Jul  2 22:30:51 EDT 2017, 0.390, 120, 28, 9, 26, 372, 6, 12, 3, 39, 1.960, 1.043
Sun Jul  2 22:31:16 EDT 2017, 0.890, 140, 23, 5, 15, 522, 15, 32, 18, 19, 24.830, 2.930
Sun Jul  2 22:31:28 EDT 2017, 0.640, 130, 20, 7, 9, 447, 10, 22, 11, 29, 11.560, 2.130
Sun Jul  2 22:31:30 EDT 2017, 0.140, 150, 25, 3, 20, 597, 1, 42, 26, 49, 2.283, 1.857
Sun Jul  2 22:31:37 EDT 2017, 0.210, 128, 21, 5, 22, 578, 9, 20, 1, 22, 6.183, 1.863
Sun Jul  2 22:35:03 EDT 2017, 0.710, 148, 26, 9, 11, 428, 19, 40, 16, 42, 206.593, 7.470
Sun Jul  2 22:35:09 EDT 2017, 0.960, 138, 28, 3, 16, 503, 14, 10, 9, 32, 5.307, 1.567
