# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Wed May 17 07:34:40 EDT 2017, 0.300, 4, 9, 0.150, 2, 5, 58, 535, 48, 12, 39, 90, 30.253, 33.777
Wed May 17 07:34:52 EDT 2017, 0.800, 9, 4, 0.650, 7, 9, 13, 385, 93, 2, 14, 45, 8.280, 11.823
Wed May 17 07:34:59 EDT 2017, 0.550, 2, 2, 0.400, 9, 3, 35, 460, 26, 7, 26, 23, 5.977, 4.773
Wed May 17 07:35:33 EDT 2017, 0.050, 6, 6, 0.900, 4, 7, 80, 310, 71, 16, 1, 68, 33.970, 31.023
Wed May 17 07:35:36 EDT 2017, 0.030, 4, 3, 0.260, 7, 3, 51, 577, 22, 1, 13, 47, 1.890, 2.750
Wed May 17 07:36:12 EDT 2017, 0.530, 9, 8, 0.760, 3, 8, 96, 427, 67, 10, 38, 92, 33.040, 35.863
Wed May 17 07:36:43 EDT 2017, 0.780, 2, 6, 0.010, 5, 1, 73, 502, 44, 15, 1, 69, 30.490, 28.790
Wed May 17 07:37:00 EDT 2017, 0.280, 6, 1, 0.510, 9, 6, 28, 352, 89, 5, 26, 24, 15.980, 13.363
Wed May 17 07:37:04 EDT 2017, 0.400, 1, 9, 0.390, 4, 7, 39, 390, 10, 17, 7, 80, 4.733, 4.410
Wed May 17 07:37:19 EDT 2017, 0.900, 5, 5, 0.890, 8, 2, 84, 540, 55, 8, 32, 35, 13.390, 14.327
Wed May 17 07:37:21 EDT 2017, 0.650, 3, 2, 0.140, 6, 9, 62, 315, 33, 3, 19, 13, 1.460, 1.497
Wed May 17 07:37:56 EDT 2017, 0.150, 8, 7, 0.640, 1, 4, 17, 465, 78, 12, 44, 58, 31.707, 33.343
Wed May 17 07:38:00 EDT 2017, 0.220, 2, 1, 0.950, 2, 4, 45, 333, 16, 2, 47, 75, 3.920, 4.347
Wed May 17 07:38:16 EDT 2017, 0.720, 7, 5, 0.450, 7, 8, 90, 483, 61, 11, 22, 30, 15.377, 14.573
Wed May 17 07:38:31 EDT 2017, 0.970, 5, 7, 0.700, 9, 2, 68, 408, 38, 16, 35, 52, 15.177, 14.417
Wed May 17 07:39:48 EDT 2017, 0.470, 9, 3, 0.200, 4, 6, 23, 558, 83, 6, 10, 97, 66.740, 75.683
Wed May 17 07:39:53 EDT 2017, 0.340, 4, 6, 0.820, 8, 5, 34, 521, 27, 18, 29, 19, 5.827, 4.610
Wed May 17 07:40:43 EDT 2017, 0.840, 8, 2, 0.320, 3, 1, 79, 371, 72, 9, 4, 64, 48.847, 34.827
Wed May 17 07:41:10 EDT 2017, 0.590, 1, 4, 0.570, 1, 7, 56, 596, 50, 4, 41, 86, 22.293, 27.293
Wed May 17 07:41:39 EDT 2017, 0.090, 6, 8, 0.070, 5, 3, 11, 446, 95, 14, 16, 41, 27.517, 28.840
Wed May 17 07:42:16 EDT 2017, 0.060, 1, 5, 0.170, 9, 1, 98, 361, 92, 8, 8, 72, 32.097, 35.953
Wed May 17 07:43:00 EDT 2017, 0.560, 6, 1, 0.670, 5, 5, 53, 511, 47, 18, 33, 27, 44.303, 29.127
Wed May 17 07:43:43 EDT 2017, 0.810, 3, 3, 0.420, 2, 3, 31, 436, 69, 13, 21, 50, 41.710, 36.130
Wed May 17 07:43:51 EDT 2017, 0.310, 8, 8, 0.920, 7, 8, 76, 586, 24, 3, 46, 95, 5.513, 7.983
Wed May 17 07:44:12 EDT 2017, 0.440, 4, 2, 0.040, 1, 9, 87, 474, 81, 11, 15, 16, 20.320, 14.033
Wed May 17 07:44:14 EDT 2017, 0.940, 9, 6, 0.540, 6, 4, 42, 324, 36, 1, 40, 61, 1.627, 2.243
Wed May 17 07:44:40 EDT 2017, 0.690, 2, 9, 0.290, 8, 6, 20, 549, 58, 6, 2, 83, 18.043, 25.193
Wed May 17 07:44:45 EDT 2017, 0.190, 7, 4, 0.790, 3, 2, 65, 399, 13, 15, 27, 38, 5.043, 4.053
Wed May 17 07:45:12 EDT 2017, 0.120, 3, 8, 0.600, 4, 2, 93, 530, 86, 9, 30, 44, 20.953, 25.750
Wed May 17 07:46:01 EDT 2017, 0.620, 7, 4, 0.100, 9, 7, 48, 380, 41, 19, 5, 89, 48.430, 37.033
Wed May 17 07:48:12 EDT 2017, 0.870, 1, 1, 0.850, 6, 5, 25, 455, 64, 14, 43, 66, 126.980, 94.657
Wed May 17 07:48:14 EDT 2017, 0.370, 5, 6, 0.350, 2, 9, 70, 305, 19, 5, 18, 21, 1.797, 1.880
Wed May 17 07:49:22 EDT 2017, 0.250, 2, 5, 0.730, 5, 8, 82, 418, 98, 12, 49, 78, 62.983, 64.987
Wed May 17 07:49:26 EDT 2017, 0.750, 6, 9, 0.230, 1, 4, 37, 568, 53, 2, 24, 33, 2.747, 4.050
Wed May 17 07:49:29 EDT 2017, 0.500, 4, 7, 0.980, 3, 6, 14, 343, 75, 7, 36, 10, 2.253, 2.603
Wed May 17 07:49:57 EDT 2017, 0.000, 8, 3, 0.480, 7, 1, 59, 493, 30, 17, 11, 55, 28.177, 21.603
Wed May 17 07:50:23 EDT 2017, 0.000, 2, 6, 0.500, 5, 8, 43, 516, 83, 5, 5, 57, 19.690, 25.460
Wed May 17 07:50:33 EDT 2017, 0.500, 6, 1, 0.000, 9, 3, 88, 366, 38, 15, 30, 12, 9.400, 6.023
Wed May 17 07:51:01 EDT 2017, 0.750, 4, 3, 0.750, 7, 5, 66, 591, 61, 10, 17, 35, 27.420, 24.617
Wed May 17 07:51:02 EDT 2017, 0.250, 8, 8, 0.250, 3, 1, 21, 441, 16, 1, 42, 80, 1.043, 1.413
Wed May 17 07:51:29 EDT 2017, 0.370, 3, 2, 0.630, 6, 2, 32, 328, 95, 12, 23, 24, 26.280, 18.983
Wed May 17 07:51:41 EDT 2017, 0.870, 7, 7, 0.130, 1, 6, 77, 478, 50, 3, 48, 69, 8.117, 11.483
Wed May 17 07:52:13 EDT 2017, 0.620, 1, 9, 0.880, 4, 4, 55, 403, 72, 8, 11, 91, 23.127, 31.233
Wed May 17 07:52:33 EDT 2017, 0.120, 5, 4, 0.380, 8, 9, 10, 553, 27, 17, 36, 46, 19.890, 15.727
Wed May 17 07:52:49 EDT 2017, 0.180, 4, 8, 0.190, 9, 9, 49, 385, 89, 7, 33, 40, 11.943, 15.580
Wed May 17 07:53:50 EDT 2017, 0.680, 9, 4, 0.690, 4, 5, 94, 535, 44, 16, 8, 85, 59.943, 49.050
Wed May 17 07:54:34 EDT 2017, 0.930, 2, 2, 0.440, 2, 7, 72, 310, 66, 11, 45, 63, 43.360, 31.430
Wed May 17 07:54:35 EDT 2017, 0.430, 7, 6, 0.940, 6, 2, 27, 460, 21, 2, 20, 18, 0.643, 0.870
Wed May 17 07:56:36 EDT 2017, 0.310, 1, 5, 0.060, 1, 1, 38, 572, 78, 14, 39, 97, 113.383, 110.763
Wed May 17 07:56:42 EDT 2017, 0.810, 6, 9, 0.560, 5, 6, 83, 422, 33, 4, 14, 52, 4.173, 5.427
Wed May 17 07:56:51 EDT 2017, 0.560, 3, 7, 0.310, 8, 4, 60, 497, 55, 9, 26, 29, 8.980, 9.470
Wed May 17 07:57:01 EDT 2017, 0.060, 8, 3, 0.810, 3, 8, 15, 347, 10, 18, 1, 74, 9.517, 6.990
Wed May 17 07:57:04 EDT 2017, 0.090, 4, 4, 0.910, 2, 6, 91, 413, 19, 4, 22, 38, 2.430, 2.783
Wed May 17 07:57:54 EDT 2017, 0.590, 8, 8, 0.410, 7, 1, 46, 563, 64, 13, 47, 83, 44.500, 48.037
Wed May 17 07:58:14 EDT 2017, 0.840, 1, 6, 0.660, 9, 8, 24, 338, 41, 18, 9, 60, 19.470, 17.340
Wed May 17 07:58:34 EDT 2017, 0.340, 6, 1, 0.160, 5, 3, 69, 488, 86, 8, 34, 15, 19.827, 14.027
Wed May 17 07:58:57 EDT 2017, 0.470, 2, 9, 0.780, 8, 4, 80, 525, 30, 15, 3, 94, 21.747, 22.480
