# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, agentBktsMax_mean, agentBktsMax_sd, agentBktsMax_ci, agentBktsMax_ci, agentBktsMax_min, agentBktsMax_box_q1, agentBktsMax_median, agentBktsMax_box_q2, agentBktsMax_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, schedBktSzMax_mean, schedBktSzMax_sd, schedBktSzMax_ci, schedBktSzMax_ci, schedBktSzMax_min, schedBktSzMax_box_q1, schedBktSzMax_median, schedBktSzMax_box_q2, schedBktSzMax_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapCompMax_mean, fixHeapCompMax_sd, fixHeapCompMax_ci, fixHeapCompMax_ci, fixHeapCompMax_min, fixHeapCompMax_box_q1, fixHeapCompMax_median, fixHeapCompMax_box_q2, fixHeapCompMax_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max, fixHeapOpsMax_mean, fixHeapOpsMax_sd, fixHeapOpsMax_ci, fixHeapOpsMax_ci, fixHeapOpsMax_min, fixHeapOpsMax_box_q1, fixHeapOpsMax_median, fixHeapOpsMax_box_q2, fixHeapOpsMax_max
Mon Jan 16 08:39:40 EST 2017, 2, 1, 0.000, 2, 85.812, 2.05922, 84.3612, 87.2628, 81.55, 86.01, 86.445, 87.52, 88.71, 36107.6, 1677.57, 34925.7, 37289.5, 33932, 34128, 37410, 37876, 38012, 279875, 292019, 74131.4, 485619, 23205, 60334, 322468, 404710, 1046956, 262657, 287927, 59796.5, 465518, 23094, 60334, 289917, 358742, 1044667, 481655, 84619.5, 422036, 541274, 404237, 416473, 494694, 526203, 700134, 276219, 80275.5, 219660, 332778, 205777, 218055, 286130, 304174, 491352, 2.93931e+07, 633582, 2.89467e+07, 2.98395e+07, 28913921, 28954650, 29445097, 29553522, 31137188, 1.48943e+07, 565593, 1.44958e+07, 1.52928e+07, 14469679, 14510851, 14930055, 15038448, 16461021, 3.951e+07, 337984, 3.92719e+07, 3.97481e+07, 39340172, 39340680, 3.94346e+07, 39515818, 40503442, 1.97652e+07, 185816, 1.96343e+07, 1.98961e+07, 19671730, 19671864, 1.97246e+07, 19768079, 20311377, 2.78363, 0.0412602, 2.75456, 2.8127, 2.75666, 2.75862, 2.78171, 2.78993, 2.90133, 1.39673, 0.0194414, 1.38303, 1.41043, 1.38239, 1.38676, 1.39328, 1.39888, 1.45291, 2.7275, 0.00787211, 2.72195, 2.73305, 2.72339, 2.724, 2.72494, 2.72801, 2.75071, 1.36428, 0.00413173, 1.36137, 1.36719, 1.36215, 1.36232, 1.36326, 1.36466, 1.37644, 19.6417, 0.220129, 19.4866, 19.7968, 19.4468, 19.4738, 19.6772, 19.7489, 20.2147, 9.90369, 0.203233, 9.7605, 10.0469, 9.72764, 9.75173, 9.93763, 9.97963, 10.4423, 4.18553e+07, 1.21454e+06, 4.09996e+07, 4.2711e+07, 40835717, 40967342, 42001145, 42300647, 45104591, 2.14082e+07, 1.14738e+06, 2.05998e+07, 2.22166e+07, 20482913, 20625218, 2.14769e+07, 21754364, 24560974
Mon Jan 16 08:42:58 EST 2017, 2, 10, 0.000, 2, 154.683, 9.20916, 148.195, 161.171, 134.99, 156.92, 158.71, 160.3, 163.2, 37569.2, 535.188, 37192.1, 37946.3, 36948, 37076, 37668, 38024, 38752, 183564, 91228.6, 119288, 247840, 65096, 131140, 172214, 240593, 418191, 175296, 95774.8, 107817, 242775, 56846, 131136, 165132, 240101, 412489, 1.07034e+06, 36410.9, 1.04469e+06, 1.09599e+06, 1024749, 1050294, 1.06507e+06, 1093170, 1165555, 566479, 37976.2, 539723, 593235, 520647, 549355, 561424, 592116, 662629, 4.98237e+07, 100214, 4.97531e+07, 4.98943e+07, 49700878, 49768514, 4.98079e+07, 49886666, 50086583, 2.49976e+07, 104370, 2.49241e+07, 2.50711e+07, 24873544, 24951229, 24982178, 25068916, 25262337, 9.92873e+07, 41.7612, 9.92873e+07, 9.92873e+07, 99287274, 99287306, 9.92874e+07, 99287389, 99287396, 4.96438e+07, 28.592, 4.96438e+07, 4.96438e+07, 49643738, 49643765, 4.96438e+07, 49643833, 49643834, 2.01037, 0.00345497, 2.00794, 2.0128, 2.00509, 2.00814, 2.01035, 2.01257, 2.01863, 1.01157, 0.00399583, 1.00875, 1.01439, 1.00489, 1.01012, 1.01255, 1.01489, 1.01915, 3.99677, 0.00222917, 3.9952, 3.99834, 3.99108, 3.99578, 3.99765, 3.99825, 3.99973, 2.00051, 0.000386647, 2.00024, 2.00078, 1.99943, 2.00041, 2.0007, 2.00076, 2.00077, 22.7313, 0.0152916, 22.7205, 22.7421, 22.7192, 22.7224, 22.7282, 22.7431, 22.7728, 11.3888, 0.0245943, 11.3715, 11.4061, 11.363, 11.378, 11.3841, 11.407, 11.452, 6.83469e+07, 321581, 6.81203e+07, 6.85735e+07, 67971152, 68176708, 68294882, 68585310, 69175042, 3.44993e+07, 323673, 3.42713e+07, 3.47273e+07, 34088593, 34393310, 34475144, 34729019, 35284586
Mon Jan 16 08:45:46 EST 2017, 2, 1, 0.250, 2, 81.184, 5.55917, 77.2673, 85.1007, 70.01, 81.3, 84.195, 85.05, 85.69, 32329.6, 1310.03, 31406.6, 33252.6, 30916, 31564, 32052, 34460, 35132, 148116, 235250, -17630.7, 313863, 7068, 10254, 80866, 271964, 818694, 140109, 232448, -23663.5, 303882, 7068, 9106, 80801.5, 195199, 818694, 334547, 56849.3, 294494, 374600, 299132, 299924, 318637, 370166, 494484, 183296, 55008.9, 144539, 222053, 150333, 150841, 169827, 200759, 342552, 2.91006e+07, 509291, 2.87418e+07, 2.94594e+07, 28837720, 28842744, 2.89291e+07, 29308430, 30577169, 1.46657e+07, 482282, 1.43259e+07, 1.50055e+07, 14423129, 14426523, 14515750, 14777000, 16082011, 3.93913e+07, 129570, 3.93e+07, 3.94826e+07, 39340883, 39341332, 39341980, 39404299, 39775912, 1.96992e+07, 72858.3, 1.96479e+07, 1.97505e+07, 19671048, 19671104, 1.96714e+07, 19706906, 19915452, 2.65779, 0.0285293, 2.63769, 2.67789, 2.64285, 2.64342, 2.64844, 2.66873, 2.74066, 1.33333, 0.0139012, 1.32354, 1.34312, 1.32364, 1.32386, 1.33113, 1.3372, 1.37318, 2.73044, 0.00243369, 2.72873, 2.73215, 2.72923, 2.72948, 2.7298, 2.72999, 2.73771, 1.36562, 0.00164636, 1.36446, 1.36678, 1.36482, 1.36506, 1.36514, 1.36525, 1.37054, 18.5969, 0.221077, 18.4411, 18.7527, 18.4626, 18.4656, 18.5316, 18.7345, 19.2205, 9.35451, 0.212357, 9.20489, 9.50413, 9.23164, 9.23438, 9.29636, 9.43139, 9.96899, 42472038, 1.02955e+06, 4.17467e+07, 4.31974e+07, 41891346, 41905230, 4.21547e+07, 42960344, 45430399, 2.15245e+07, 1.00068e+06, 2.08195e+07, 2.22295e+07, 20976737, 20981803, 21256350, 21725779, 24458029
Mon Jan 16 08:48:54 EST 2017, 2, 10, 0.250, 2, 147.631, 3.75231, 144.987, 150.275, 138.41, 147.29, 149.135, 150.78, 152, 34179.2, 876.246, 33561.8, 34796.6, 33160, 33568, 34130, 35696, 35892, 291156, 310343, 72502.1, 509810, 28598, 54447, 228390, 839730, 934271, 258400, 273166, 65939.4, 450861, 23266, 54447, 227462, 560920, 934271, 851985, 108370, 775632, 928338, 760753, 769580, 829854, 1050042, 1070705, 464262, 93685, 398256, 530268, 383270, 394051, 454014, 568769, 695142, 4.75746e+07, 462821, 4.72485e+07, 4.79007e+07, 47227697, 47256691, 47440293, 48400583, 48558208, 2.39358e+07, 413706, 2.36443e+07, 2.42273e+07, 23621874, 23653449, 23839750, 24460662, 24958523, 9.92879e+07, 1961.28, 9.92865e+07, 9.92893e+07, 99287166, 99287195, 9.92873e+07, 99287328, 99293791, 4.96462e+07, 1064.44, 4.96455e+07, 4.96469e+07, 49645330, 49645769, 4.9646e+07, 49646117, 49649299, 1.75936, 0.0145239, 1.74913, 1.76959, 1.74648, 1.74783, 1.75693, 1.7849, 1.78911, 0.883413, 0.0076887, 0.877996, 0.88883, 0.874553, 0.877076, 0.884155, 0.895989, 0.897455, 4.20234, 0.00621396, 4.19796, 4.20672, 4.1897, 4.20236, 4.20574, 4.20701, 4.2075, 2.10339, 0.00160116, 2.10226, 2.10452, 2.09861, 2.10368, 2.10396, 2.10402, 2.10423, 19.3826, 0.127097, 19.2931, 19.4721, 19.2872, 19.2964, 19.3472, 19.6205, 19.6418, 9.73463, 0.116608, 9.65247, 9.81679, 9.64457, 9.6521, 9.7118, 9.88261, 10.0199, 7.08727e+07, 1.10651e+06, 7.00931e+07, 7.16523e+07, 69979937, 70054500, 70617107, 72831060, 73191192, 3.58575e+07, 963338, 3.51788e+07, 3.65362e+07, 35038957, 35184501, 3.57297e+07, 36929448, 38258191
Mon Jan 16 08:53:03 EST 2017, 2, 1, 0.000, 5, 151.248, 7.3623, 146.061, 156.435, 135.8, 153.33, 154.515, 156.01, 158.63, 37788.4, 714.034, 37285.3, 38291.5, 36776, 37264, 37898, 38852, 38908, 106076, 65733.9, 59762.8, 152389, 25365, 61132, 97991, 201673, 247321, 101588, 63338.7, 56962.4, 146214, 24486, 61132, 97928.5, 179715, 247315, 1.05105e+06, 40453.5, 1.02255e+06, 1.07955e+06, 1004969, 1023148, 1.04398e+06, 1109217, 1140547, 552305, 38397, 525252, 579358, 508572, 527240, 547962, 600399, 641936, 4.46073e+07, 94173.2, 4.45409e+07, 4.46737e+07, 44507720, 44545363, 4.45849e+07, 44738726, 44822993, 2.23579e+07, 86224.1, 2.22972e+07, 2.24186e+07, 22265791, 22303233, 2.23432e+07, 22464424, 22563689, 9.83968e+07, 100394, 9.83261e+07, 9.84675e+07, 98339156, 98339391, 98355164, 98496712, 98664026, 4.92018e+07, 52227.4, 4.9165e+07, 4.92386e+07, 49171951, 49172226, 4.91803e+07, 49249791, 49342549, 5.9221, 0.00572006, 5.91807, 5.92613, 5.91775, 5.91867, 5.92006, 5.92881, 5.93668, 2.96824, 0.00493523, 2.96476, 2.97172, 2.96234, 2.96474, 2.96819, 2.97242, 2.98079, 4.42329, 0.00266905, 4.42141, 4.42517, 4.42174, 4.4218, 4.42221, 4.42552, 4.43062, 2.21201, 0.00157015, 2.2109, 2.21312, 2.21102, 2.21118, 2.21138, 2.21345, 2.21625, 23.3791, 0.0303514, 23.3577, 23.4005, 23.3469, 23.358, 23.3725, 23.4227, 23.4474, 11.7032, 0.0284075, 11.6832, 11.7232, 11.6736, 11.6834, 11.6978, 11.7401, 11.7697, 5.01239e+07, 187598, 4.99917e+07, 5.02561e+07, 49905808, 49995061, 5.00932e+07, 50393144, 50535898, 2.52105e+07, 180288, 2.50835e+07, 2.53375e+07, 24998117, 25098356, 25196263, 25428659, 25632371
Mon Jan 16 08:58:21 EST 2017, 2, 10, 0.000, 5, 216.316, 10.8298, 208.686, 223.946, 200.98, 202.96, 220.69, 230.23, 232.37, 43270, 1145.83, 42462.7, 44077.3, 41968, 42048, 43142, 45028, 45288, 405317, 243166, 233993, 576641, 77395, 178997, 431910, 582790, 964940, 333917, 209160, 186552, 481282, 74939, 169270, 333008, 514480, 854905, 2.92442e+06, 250738, 2.74776e+06, 3.10108e+06, 2581710, 2684266, 2.95533e+06, 3091878, 3500322, 1.60119e+06, 220402, 1.4459e+06, 1.75648e+06, 1327087, 1422333, 1.598e+06, 1790610, 2150544, 5.04521e+07, 297288, 5.02426e+07, 5.06616e+07, 50067393, 50169373, 5.04858e+07, 50617710, 51167078, 2.53812e+07, 264931, 2.51945e+07, 2.55679e+07, 25069938, 25164438, 25371574, 25571090, 26062043, 2.48303e+08, 102217, 2.48231e+08, 2.48375e+08, 248217745, 248217810, 2.48318e+08, 248342076, 248573656, 124152421, 51366.7, 1.24116e+08, 1.24189e+08, 124109032, 124109080, 1.2416e+08, 124172499, 124287680, 2.6531, 0.0118714, 2.64474, 2.66146, 2.63707, 2.64142, 2.65458, 2.66167, 2.68035, 1.32979, 0.00577049, 1.32572, 1.33386, 1.32123, 1.32557, 1.33086, 1.33586, 1.34057, 9.91304, 0.0117303, 9.90478, 9.9213, 9.88619, 9.90828, 9.9158, 9.92488, 9.9291, 4.96441, 0.00484611, 4.961, 4.96782, 4.95388, 4.96199, 4.96663, 4.96847, 4.96874, 23.4065, 0.0764644, 23.3526, 23.4604, 23.3137, 23.3341, 23.4149, 23.4495, 23.5933, 11.7359, 0.0710142, 11.6859, 11.7859, 11.6573, 11.676, 11.7386, 11.7696, 11.922, 6.2874e+07, 531131, 6.24998e+07, 6.32482e+07, 62139600, 62399804, 62970256, 63224247, 64088193, 3.18107e+07, 448640, 3.14946e+07, 3.21268e+07, 31219140, 31533481, 3.17738e+07, 32298914, 32878453
Mon Jan 16 09:01:04 EST 2017, 2, 1, 0.250, 5, 150.109, 1.99565, 148.703, 151.515, 145.26, 149.27, 150.805, 152.02, 152.89, 39248.4, 3166.9, 37017.1, 41479.7, 34516, 35784, 40632, 43236, 43616, 141078, 99641.1, 70875.3, 211281, 14251, 84402, 132688, 295113, 310758, 127257, 89188.8, 64418.5, 190095, 11024, 65903, 132506, 236356, 280034, 814348, 57808.1, 773619, 855077, 749318, 783141, 802252, 907736, 924731, 433810, 48450.5, 399674, 467946, 376108, 402583, 429419, 501955, 523805, 4.46642e+07, 236757, 4.44974e+07, 4.4831e+07, 44432197, 44548036, 44592868, 45046900, 45170792, 2.24144e+07, 186308, 2.22831e+07, 2.25457e+07, 22220534, 22296300, 22376492, 22687577, 22811207, 9.87363e+07, 697136, 9.82451e+07, 9.92275e+07, 98340272, 98355441, 98458187, 99589899, 100531241, 4.93859e+07, 377851, 4.91197e+07, 4.96521e+07, 49170657, 49178813, 4.92351e+07, 49845634, 50359956, 5.73158, 0.0356516, 5.70646, 5.7567, 5.70725, 5.71242, 5.71885, 5.78284, 5.8183, 2.87094, 0.0182278, 2.8581, 2.88378, 2.85548, 2.85656, 2.86604, 2.89786, 2.91323, 4.44112, 0.0230314, 4.42489, 4.45735, 4.42822, 4.42883, 4.43154, 4.47039, 4.49983, 2.22134, 0.0122858, 2.21268, 2.23, 2.21444, 2.21464, 2.21612, 2.23729, 2.25247, 22.5302, 0.079954, 22.4739, 22.5865, 22.4487, 22.4885, 22.5078, 22.6558, 22.7, 11.2932, 0.0657517, 11.2469, 11.3395, 11.2258, 11.2494, 11.2778, 11.3942, 11.4294, 51323408, 323887, 5.10952e+07, 5.15516e+07, 50938891, 51157283, 5.12669e+07, 51849342, 51918262, 2.58409e+07, 281906, 2.56423e+07, 2.60395e+07, 25491754, 25652454, 2.58351e+07, 26201767, 26365524
Mon Jan 16 09:05:57 EST 2017, 2, 10, 0.250, 5, 217.11, 6.91001, 212.242, 221.978, 204.59, 210.72, 218.885, 225.59, 226.75, 41652.4, 601.849, 41228.4, 42076.4, 40460, 41520, 41858, 42248, 42488, 345794, 154085, 237233, 454355, 226862, 251316, 332746, 379487, 780109, 291171, 171576, 170286, 412056, 175980, 212514, 227218, 379439, 779966, 2.1672e+06, 133484, 2.07315e+06, 2.26125e+06, 2053753, 2096167, 2155145, 2197885, 2541972, 1184056, 147001, 1.08049e+06, 1.28763e+06, 1089766, 1114880, 1132056, 1258829, 1602026, 5.03909e+07, 218652, 5.02368e+07, 5.0545e+07, 50210523, 50291449, 50357683, 50441827, 51011473, 2.53418e+07, 236956, 2.51749e+07, 2.55087e+07, 25194406, 25218655, 25266264, 25450026, 26019516, 2.48258e+08, 40989.2, 2.48229e+08, 2.48287e+08, 248217608, 248230066, 2.48253e+08, 248313290, 248349643, 124132303, 19486.5, 1.24119e+08, 1.24146e+08, 124112291, 124118335, 124130598, 124159258, 124174858, 2.40472, 0.00829791, 2.39887, 2.41057, 2.39802, 2.39965, 2.40427, 2.40664, 2.42794, 1.20448, 0.00362348, 1.20193, 1.20703, 1.20025, 1.20248, 1.2042, 1.20605, 1.21417, 9.91957, 0.00767009, 9.91417, 9.92497, 9.89807, 9.91952, 9.92242, 9.92574, 9.92575, 4.96568, 0.00250654, 4.96391, 4.96745, 4.96068, 4.96334, 4.96696, 4.9674, 4.96961, 20.6605, 0.0735883, 20.6087, 20.7123, 20.581, 20.6202, 20.6562, 20.6803, 20.8637, 10.3779, 0.0758879, 10.3244, 10.4314, 10.3007, 10.3512, 10.3717, 10.3943, 10.5895, 6.364e+07, 417105, 6.33461e+07, 6.39339e+07, 63269617, 63446284, 63580690, 63727992, 64827561, 3.21522e+07, 484090, 3.18111e+07, 3.24933e+07, 31752587, 31894063, 32051943, 32447168, 33500400
Mon Jan 16 09:10:10 EST 2017, 2, 1, 0.000, 10, 219.933, 10.5736, 212.483, 227.383, 195.82, 216.57, 223.525, 230.02, 234.83, 47477.6, 2764.1, 45530.1, 49425.1, 43108, 46044, 47614, 51284, 52636, 222698, 144401, 120959, 324437, 36045, 88209, 247252, 450191, 478729, 178706, 92967.8, 113205, 244207, 35786, 80115, 234510, 275334, 309615, 2.33351e+06, 262334, 2.14868e+06, 2.51834e+06, 2016702, 2097513, 2.40829e+06, 2649967, 2804987, 1.23952e+06, 156436, 1.1293e+06, 1.34974e+06, 1024611, 1084516, 1307899, 1430117, 1431497, 4.97399e+07, 224893, 4.95815e+07, 4.98983e+07, 49449662, 49543599, 4.97993e+07, 50058437, 50128577, 2.49472e+07, 135296, 2.48519e+07, 2.50425e+07, 24742547, 24815736, 25026406, 25090099, 25105394, 2.02831e+08, 6.28996e+06, 1.98399e+08, 2.07263e+08, 196662494, 196914136, 2.04261e+08, 212090654, 212847955, 1.01548e+08, 3.25631e+06, 9.92537e+07, 1.03842e+08, 98336340, 98466466, 102342048, 106418952, 106438551, 8.88614, 0.137084, 8.78956, 8.98272, 8.74856, 8.75453, 8.92752, 9.08227, 9.10774, 4.44934, 0.0691157, 4.40064, 4.49804, 4.37762, 4.38693, 4.47125, 4.54677, 4.56191, 8.19995, 0.245459, 8.02701, 8.37289, 7.95996, 7.96927, 8.25596, 8.56173, 8.59208, 4.10627, 0.127595, 4.01637, 4.19617, 3.98092, 3.9857, 4.13828, 4.29631, 4.3003, 24.5771, 0.0793778, 24.5212, 24.633, 24.4759, 24.5089, 24.5895, 24.698, 24.7071, 12.3152, 0.0498806, 12.2801, 12.3503, 12.2424, 12.2691, 12.3415, 12.3711, 12.3767, 5.12814e+07, 310029, 5.1063e+07, 5.14998e+07, 50887697, 51009014, 51320138, 51753764, 51855476, 25794433, 201108, 2.56527e+07, 2.59361e+07, 25485792, 25591382, 2.59026e+07, 26028667, 26073699
Mon Jan 16 09:17:34 EST 2017, 2, 10, 0.000, 10, 303.298, 11.964, 294.869, 311.727, 282.32, 292.07, 310.51, 315.63, 316.59, 51432.4, 1001.19, 50727, 52137.8, 49600, 50512, 52022, 52232, 52368, 291295, 114644, 210522, 372068, 65665, 301753, 338776, 362107, 436282, 246904, 114668, 166114, 327694, 65665, 182054, 283176, 361210, 435653, 5.61341e+06, 239645, 5.44457e+06, 5.78225e+06, 5141674, 5638089, 5709654, 5753443, 5920724, 3.01966e+06, 237665, 2.85221e+06, 3.18711e+06, 2637242, 2891661, 3101215, 3247405, 3413649, 5.03034e+07, 125478, 5.0215e+07, 5.03918e+07, 50055665, 50319551, 50349188, 50378288, 50462755, 2.5264e+07, 123249, 2.51772e+07, 2.53508e+07, 25060665, 25201946, 2.53105e+07, 25383288, 25467126, 4.9663e+08, 205436, 4.96485e+08, 4.96775e+08, 496429441, 496429846, 496619454, 496818573, 497127431, 2.48318e+08, 104350, 2.48244e+08, 2.48392e+08, 248214881, 248215066, 2.48312e+08, 248412914, 248569671, 2.88242, 0.00540513, 2.87861, 2.88623, 2.87163, 2.88345, 2.88429, 2.88557, 2.88901, 1.44469, 0.00357696, 1.44217, 1.44721, 1.43898, 1.4423, 1.44624, 1.44813, 1.4504, 19.8448, 0.0111723, 19.8369, 19.8527, 19.827, 19.8349, 19.8459, 19.8595, 19.8614, 9.93269, 0.00523431, 9.929, 9.93638, 9.92109, 9.93078, 9.93363, 9.93741, 9.94188, 23.4496, 0.0365413, 23.4239, 23.4753, 23.3763, 23.4541, 23.4665, 23.4755, 23.4881, 11.7534, 0.0318103, 11.731, 11.7758, 11.6921, 11.757, 11.7635, 11.7755, 11.796, 6.17363e+07, 253362, 6.15578e+07, 6.19148e+07, 61252235, 61750863, 61813593, 61970114, 62086320, 3.11753e+07, 308511, 3.09579e+07, 3.13927e+07, 30802251, 30952416, 3.12118e+07, 31590262, 31701442
