# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Fri Aug  4 08:18:33 EDT 2017,8,1,13.827,0.612537,13.3954,14.2586,13.19,13.23,13.805,14.75,14.84,92786.4,2270.87,91186.4,94386.4,89416,91852,92304,95528,97572,14411.9,3223.69,12140.6,16683.2,11502,11562,13993.5,19378,21304,5259,1400.01,4272.62,6245.38,3001,4645,5186,6455,8427,17712,251.031,17535.1,17888.9,17347,17569,17700.5,18046,18244,2601.7,182.28,2473.27,2730.13,2272,2486,2624,2777,2924,5.01E+06,35355.6,4.99E+06,5.04E+06,4973013,4986149,5.01E+06,5071419,5084284,662468,18753.4,649255,675681,631673,655813,659187,683683,701395,5.05E+06,2059.04,5.05E+06,5.05E+06,5049151,5051541,5053783,5054914,5056232,632972,486.366,632629,633315,632214,632717,632916,633591,633795
Fri Aug  4 08:20:56 EDT 2017,8,2,35.976,1.19005,35.1375,36.8145,34.5,34.52,36.44,37.5,37.5,162800,6976.56,157885,167715,156164,158872,160932,175908,176820,22103,8660.84,16001,28205,12451,16858,20153.5,38434,38886,8673.5,4489.76,5510.22,11836.8,3982,6261,7134.5,17203,17685,35474.5,1089.75,34706.7,36242.3,34353,34807,35280,37451,37677,5222.5,587.447,4808.61,5636.39,4591,4923,5087.5,6305,6393,9.57E+06,103023,9.50E+06,9.64E+06,9471938,9506821,9542090,9767756,9769887,1.26E+06,58226.2,1.22E+06,1.30E+06,1202926,1223951,1.24E+06,1365390,1375587,1.01E+07,2640.43,1.01E+07,1.01E+07,10097728,10099050,1.01E+07,10104306,10106109,1.26E+06,906.307,1.26E+06,1.27E+06,1263291,1264297,1265452,1265906,1266208
Fri Aug  4 08:26:49 EDT 2017,8,5,162.704,5.73383,158.664,166.744,155.5,155.8,167.225,167.82,168.38,368018,25930.6,349748,386288,353328,353744,357366,399388,434928,44231.9,34365.5,20019.5,68444.3,25183,26732,31488,64918,141739,15797.9,15492.9,4882.29,26713.5,5886,5982,10590.5,39106,52575,87860.4,5912.67,83694.6,92026.2,84822,84939,85585.5,91305,104710,12350.9,2641.99,10489.5,14212.3,10732,10797,11288.5,16431,18586,2.12E+07,415862,2.09E+07,2.14E+07,20952508,20954088,2.10E+07,21347081,22350190,2737156,200130,2.60E+06,2.88E+06,2622999,2627139,2.65E+06,2982703,3251837,2.53E+07,3724.53,2.52E+07,2.53E+07,25243323,25250214,25250673,25252822,25257433,3.16E+06,824.754,3.16E+06,3.16E+06,3158625,3159367,3159681,3160948,3161452
Fri Aug  4 08:43:09 EDT 2017,8,10,588.658,14.5155,578.431,598.885,559.64,591.46,597,597.76,598.43,727488,74779.8,674801,780175,687560,689424,691318,871384,882464,124243,89360,61283.9,187202,74381,78324,81469.5,293937,311479,35862.8,37150.6,9688.14,62037.5,14851,15568,19108,107163,112803,182914,18196.1,170094,195734,172727,173723,174162,217275,221225,26152.6,7265.71,21033.5,31271.7,22114,22351,22738.5,39964,41352,3.54E+07,1.05E+06,3.47E+07,3.62E+07,34852485,34892165,3.49E+07,37443533,37617829,4.64E+06,484372,4.30E+06,4.98E+06,4378090,4387682,4.40E+06,5570591,5640074,50511211,3470.69,5.05E+07,5.05E+07,50506406,50508714,50511127,50514850,50519001,6.32E+06,1751.71,6.32E+06,6.32E+06,6316572,6317877,6320704,6321196,6322012
Fri Aug  4 09:17:27 EDT 2017,8,15,1274.99,32.0401,1252.42,1297.56,1220.82,1229.88,1298.41,1299.81,1300.14,1.07E+06,90409.6,1.01E+06,1.13E+06,1022932,1025428,1026866,1177436,1303648,205555,115331,124298,286812,136062,145303,150368,409134,460399,45063.2,43385.1,14496,75630.4,21516,23326,25145.5,99975,156170,281460,25662.3,263379,299541,266189,268210,269175,327660,337430,38944.6,9111.32,32525.2,45364,34045,34348,34857.5,51067,61929,4.51E+07,1.23E+06,4.42E+07,4.60E+07,44386713,44459007,44496564,47202911,47864317,5828998,495373,5.48E+06,6.18E+06,5572196,5589955,5.60E+06,6417864,7119222,7.58E+07,5580.36,7.58E+07,7.58E+07,75762793,75767270,7.58E+07,75777269,75782701,9.48E+06,2049.21,9.48E+06,9.48E+06,9475892,9477342,9478975,9480357,9483254
Fri Aug  4 12:28:38 EDT 2017,16,1,6.022,0.90276,5.38596,6.65804,5.2,5.46,5.775,7.79,7.79,56808,686.79,56324.1,57291.9,55220,56392,56994,57556,57692,48189.8,3229.13,45914.7,50464.9,43168,45596,49251,51405,53038,7784.6,546.806,7399.34,8169.86,6702,7433,8021,8411,8612,37135.1,376.5,36869.8,37400.4,36601,36818,37295.5,37557,37778,2937.6,62.6214,2893.48,2981.72,2813,2913,2968,2983,3045,5.36E+06,43614.6,5.32E+06,5.39E+06,5279904,5319379,5.37E+06,5408352,5416200,392236,6009.39,388002,396470,378101,389479,393899,398825,399282,5.05E+06,1055.15,5.05E+06,5.05E+06,5051208,5052036,5052229,5053809,5054879,317224,344.917,316981,317467,316684,317029,317352,317695,317718
Fri Aug  4 12:30:21 EDT 2017,16,2,12.391,0.508949,12.0324,12.7496,11.39,12.07,12.64,12.96,12.98,98892,2439.33,97173.4,100611,95740,97088,99084,101328,104380,113840,14445.2,103663,124017,92079,102093,117594,128053,141090,14171.3,1393.42,13189.6,15153,12320,12935,14491.5,15567,16809,79850.9,1792.37,78588.1,81113.7,77016,78261,80481,81903,82922,5997.7,175.614,5873.97,6121.43,5787,5833,6065,6227,6235,10501970,189228,1.04E+07,1.06E+07,10224752,10337337,1.06E+07,10682929,10859213,744789,20032.2,730675,758903,719360,728027,746504,767941,785756,1.01E+07,3046.18,1.01E+07,1.01E+07,10096952,10099841,1.01E+07,10105703,10107202,633298,365.018,633041,633555,632634,632986,633438,633635,633943
Fri Aug  4 12:32:53 EDT 2017,16,5,42.744,1.55573,41.6479,43.8401,40.56,40.87,43.9,44.15,44.51,207481,2286.99,205870,209092,202756,206604,207996,210124,211068,177973,37587.4,151491,204455,97116,158168,200664,206486,214747,21981.6,1340.41,21037.2,22926,18776,21518,22152.5,23418,23953,191990,6794.61,187203,196777,177710,188320,196315,197269,198710,13902.9,231.636,13739.7,14066.1,13346,13812,13920,14130,14265,22291100,410060,2.20E+07,2.26E+07,21450293,22040979,2.26E+07,22593092,22731026,1.51E+06,18418.1,1.50E+06,1.52E+06,1475503,1507377,1.52E+06,1532396,1539588,25253444,4490.76,2.53E+07,2.53E+07,25244698,25250182,25255785,25258456,25258555,1.58E+06,1537.71,1.58E+06,1.58E+06,1580238,1581497,1.58E+06,1583529,1585710
Fri Aug  4 12:38:26 EDT 2017,16,10,129.439,3.30346,127.112,131.766,123.15,128.82,131.54,131.88,132.11,378320,19350.9,364686,391954,364448,365404,371208,413412,419480,196611,18315.6,183707,209515,162774,183672,202663,215346,226376,28925.1,10778.7,21330.9,36519.3,21065,21478,24737.5,49043,51179,355591,4265.04,352586,358596,348700,352173,356502,360694,363275,25503.9,2388.56,23821,27186.8,23639,23872,24654.5,29879,30491,3.55E+07,212758,3.54E+07,3.57E+07,35193065,35341509,3.55E+07,35783406,35926578,2.37E+06,126883,2.28E+06,2.46E+06,2283691,2289104,2.32E+06,2603825,2643449,5.05E+07,4241.5,5.05E+07,5.05E+07,50504585,50509980,5.05E+07,50516776,50518632,3.16E+06,1296.14,3.16E+06,3.16E+06,3159622,3161065,3.16E+06,3163583,3163635
Fri Aug  4 12:48:50 EDT 2017,16,15,265.066,6.49839,260.488,269.644,252.05,266.62,268.595,268.79,269.33,550385,42603,520369,580401,523704,527752,531150,634904,635904,258044,58422.7,216882,299206,214025,220770,239808,361762,383337,36407.8,22021.4,20892.5,51923.1,22813,25283,26009.5,80203,80504,528912,13283.8,519553,538271,519600,520641,524291,553086,557156,36964.1,5170.12,33321.5,40606.7,33654,34175,34628.5,47243,47304,4.48E+07,533874,4.44E+07,4.52E+07,44444049,44473022,44599420,45773351,45934239,2.96E+06,236673,2.80E+06,3.13E+06,2817513,2836847,2.86E+06,3432252,3437923,7.58E+07,6606.45,7.58E+07,7.58E+07,75759200,75770752,75774411,75776735,75784578,4.74E+06,1263.19,4.74E+06,4.74E+06,4740218,4741261,4.74E+06,4744050,4744176
Fri Aug  4 12:51:34 EDT 2017,32,1,4.187,0.737374,3.66748,4.70652,3.66,3.95,3.99,4,6.38,40810.4,5979,36597.9,45022.9,38164,38596,38978,39724,58708,135008,66369.4,88247.1,181769,104001,110284,115840,119718,333624,9199,2227.87,7629.34,10768.7,8310,8366,8485.5,8757,15872,86803.2,16950.2,74860.8,98745.6,79981,80561,81731.5,82049,137610,3504.3,511.378,3144.01,3864.59,3203,3324,3361,3401,5030,6.48E+06,1.28E+06,5.58E+06,7.38E+06,5956109,6030688,6092980,6124783,10314010,267652,40426.2,239169,296135,250252,253147,255452,260080,388659,5.05E+06,1517.29,5.05E+06,5.05E+06,5049512,5050999,5.05E+06,5054137,5054585,166017,826.742,165435,166599,164674,165505,166336,166728,167681
Fri Aug  4 12:53:43 EDT 2017,32,2,7.162,1.24195,6.28698,8.03702,6.66,6.66,6.715,7.01,10.87,70293.2,10001.1,63246.9,77339.5,64868,66404,67270,69208,100104,327815,96359.3,259925,395705,276542,290860,301658,315881,614815,17944.5,4375.88,14861.4,21027.6,14827,16276,16798,17854,30875,186526,25265.3,168725,204327,175023,176805,179118,182003,262049,7140.9,971.914,6456.13,7825.67,6671,6763,6846.5,6985,10043,1.31E+07,1.82E+06,1.18E+07,1.44E+07,12225132,12387624,1.26E+07,12764874,18518086,516125,72229.6,465235,567015,472696,488250,495258,510609,730829,1.01E+07,3522.94,1.01E+07,1.01E+07,10096244,10098434,1.01E+07,10106305,10106450,332180,1248.62,331300,333060,330505,331145,332230,333422,334823
Fri Aug  4 12:55:45 EDT 2017,32,5,18.636,0.326992,18.4056,18.8664,17.78,18.68,18.72,18.96,18.98,139518,1804.71,138246,140790,136232,138136,140450,141240,141520,675370,16945.1,663431,687309,643864,665692,679328,700973,701652,31029.9,897.513,30397.6,31662.2,29560,30630,31407.5,32070,32197,452598,3755.78,449952,455244,445118,450611,453341,457348,457877,16268.2,256.655,16087.4,16449,15904,16036,16415,16505,16698,2.76E+07,228769,2.74E+07,2.78E+07,27127082,27492180,27647604,27879782,27942033,997800,13637,988192,1.01E+06,974604,985301,1.01E+06,1013261,1014886,2.53E+07,5577.47,2.53E+07,2.53E+07,25248368,25251358,25260563,25263106,25263771,828572,1294.19,827660,829484,826624,827455,829126,829719,831034
Fri Aug  4 12:58:18 EDT 2017,32,10,44.498,0.928588,43.8438,45.1522,42.69,44.51,45.015,45.11,45.41,231860,2750.91,229922,233798,226204,230660,233150,234920,235364,918481,22661.5,902515,934447,888704,890276,933635,941168,949305,39322.4,1605.37,38191.3,40453.5,36581,38669,39704,41244,41683,833572,5528.06,829677,837467,825683,827071,836958,839878,840438,28541.3,324.501,28312.7,28769.9,27905,28311,28645.5,28971,28984,4.18E+07,272253,4.16E+07,4.20E+07,41411149,41474676,4.20E+07,42070169,42164922,1.42E+06,17753.2,1.41E+06,1.44E+06,1385225,1415411,1.43E+06,1445622,1447999,5.05E+07,4402.12,5.05E+07,5.05E+07,50507942,50516656,50518836,50520901,50521701,1.66E+06,1534.7,1.65E+06,1.66E+06,1654026,1654527,1.66E+06,1658558,1658563
Fri Aug  4 13:01:25 EDT 2017,32,15,79.462,1.00205,78.756,80.168,77.61,79.04,79.635,80.56,80.81,315111,4979.17,311603,318619,307764,310872,316712,321604,324088,979542,58846.4,938081,1.02E+06,903685,913833,1004557,1047338,1068166,43759,2147.79,42245.8,45272.2,40386,41874,44542.5,46174,47037,1.17E+06,14740.3,1.15E+06,1.18E+06,1146101,1148229,1171959,1181987,1187169,39477,656.713,39014.3,39939.7,38531,38857,39709,40323,40531,4.95E+07,553081,4.91E+07,4.99E+07,48792805,48887888,4.98E+07,50127819,50339617,1.66E+06,24205.5,1.65E+06,1.68E+06,1622854,1640137,1.67E+06,1692773,1697503,75765025,5665.82,7.58E+07,7.58E+07,75756249,75759819,75767694,75772219,75772724,2.49E+06,2638.5,2.48E+06,2.49E+06,2481409,2483365,2485758,2489211,2489658
