# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 18:30:29 EDT 2017, 0.100, 1, 3, 0.620, 6, 8, 15, 586, 90, 16, 47, 91, 224.783, 232.100
Mon Jun 26 18:30:35 EDT 2017, 0.600, 6, 8, 0.120, 2, 4, 60, 436, 45, 6, 22, 46, 6.050, 5.947
Mon Jun 26 18:30:38 EDT 2017, 0.850, 3, 5, 0.870, 4, 6, 82, 511, 67, 2, 35, 24, 3.017, 2.620
Mon Jun 26 18:30:59 EDT 2017, 0.350, 8, 1, 0.370, 9, 1, 37, 361, 22, 11, 10, 69, 20.753, 19.250
Mon Jun 26 18:31:04 EDT 2017, 0.480, 5, 9, 0.740, 3, 3, 26, 398, 78, 4, 28, 35, 4.883, 4.653
Mon Jun 26 18:31:37 EDT 2017, 0.980, 9, 4, 0.240, 7, 7, 71, 548, 33, 13, 3, 80, 31.500, 29.407
Mon Jun 26 18:32:26 EDT 2017, 0.730, 2, 2, 0.990, 5, 5, 93, 323, 56, 18, 41, 58, 49.120, 45.220
Mon Jun 26 18:32:27 EDT 2017, 0.230, 7, 7, 0.490, 1, 9, 48, 473, 11, 9, 16, 13, 0.820, 0.740
Mon Jun 26 18:33:11 EDT 2017, 0.170, 3, 1, 0.180, 2, 9, 20, 304, 84, 17, 13, 29, 42.880, 41.717
Mon Jun 26 18:33:24 EDT 2017, 0.670, 7, 6, 0.680, 7, 4, 65, 454, 39, 7, 38, 74, 13.227, 12.310
Mon Jun 26 18:33:34 EDT 2017, 0.920, 1, 8, 0.430, 9, 7, 88, 379, 61, 3, 0, 97, 9.380, 8.763
Mon Jun 26 18:33:42 EDT 2017, 0.420, 5, 4, 0.930, 5, 2, 43, 529, 16, 12, 25, 52, 7.870, 7.133
Mon Jun 26 18:34:01 EDT 2017, 0.290, 2, 7, 0.050, 8, 1, 32, 492, 95, 5, 6, 63, 19.133, 18.540
Mon Jun 26 18:34:10 EDT 2017, 0.790, 6, 3, 0.550, 4, 5, 77, 342, 50, 15, 31, 18, 8.317, 7.757
Mon Jun 26 18:34:54 EDT 2017, 0.540, 4, 5, 0.300, 1, 3, 99, 567, 73, 19, 19, 41, 43.247, 42.140
Mon Jun 26 18:35:04 EDT 2017, 0.040, 9, 9, 0.800, 6, 8, 54, 417, 28, 10, 44, 86, 9.743, 9.543
Mon Jun 26 18:35:30 EDT 2017, 0.030, 2, 1, 0.380, 4, 2, 78, 450, 77, 13, 34, 17, 25.100, 22.757
Mon Jun 26 18:35:34 EDT 2017, 0.530, 6, 6, 0.880, 8, 6, 33, 300, 32, 4, 9, 62, 3.647, 3.313
Mon Jun 26 18:36:13 EDT 2017, 0.780, 4, 8, 0.130, 6, 4, 11, 525, 99, 8, 46, 84, 39.007, 38.253
Mon Jun 26 18:36:41 EDT 2017, 0.280, 9, 3, 0.630, 1, 8, 56, 375, 54, 18, 21, 39, 27.153, 27.043
Mon Jun 26 18:36:54 EDT 2017, 0.400, 3, 7, 0.260, 7, 7, 89, 337, 66, 6, 40, 73, 12.280, 12.037
Mon Jun 26 18:37:05 EDT 2017, 0.900, 8, 2, 0.760, 3, 3, 44, 487, 21, 16, 15, 28, 10.967, 9.307
Mon Jun 26 18:37:39 EDT 2017, 0.650, 1, 4, 0.010, 5, 5, 22, 412, 88, 11, 28, 51, 34.160, 31.863
Mon Jun 26 18:37:43 EDT 2017, 0.150, 5, 9, 0.510, 9, 1, 67, 562, 43, 1, 3, 96, 3.890, 3.823
Mon Jun 26 18:38:32 EDT 2017, 0.210, 5, 4, 0.820, 8, 1, 84, 431, 60, 14, 6, 79, 48.263, 45.897
Mon Jun 26 18:38:34 EDT 2017, 0.710, 9, 8, 0.320, 3, 6, 39, 581, 15, 5, 31, 34, 1.680, 1.557
Mon Jun 26 18:38:38 EDT 2017, 0.960, 2, 6, 0.570, 1, 3, 16, 356, 82, 10, 18, 11, 3.890, 3.547
Mon Jun 26 18:39:30 EDT 2017, 0.460, 7, 2, 0.070, 5, 8, 61, 506, 37, 19, 43, 56, 51.857, 47.540
Mon Jun 26 18:39:43 EDT 2017, 0.340, 1, 9, 0.940, 2, 9, 95, 543, 71, 7, 24, 45, 12.270, 11.863
Mon Jun 26 18:40:04 EDT 2017, 0.840, 6, 5, 0.440, 6, 4, 50, 393, 26, 17, 49, 90, 20.667, 20.173
Mon Jun 26 18:41:23 EDT 2017, 0.590, 4, 3, 0.690, 9, 7, 27, 468, 94, 12, 12, 67, 76.460, 73.867
Mon Jun 26 18:41:24 EDT 2017, 0.090, 8, 7, 0.190, 4, 2, 72, 318, 49, 2, 37, 22, 1.147, 1.070
Mon Jun 26 18:41:49 EDT 2017, 0.060, 3, 8, 0.040, 1, 5, 36, 403, 52, 15, 38, 81, 25.143, 24.410
Mon Jun 26 18:42:08 EDT 2017, 0.560, 8, 4, 0.540, 6, 9, 81, 553, 97, 5, 13, 36, 18.303, 17.477
Mon Jun 26 18:42:09 EDT 2017, 0.810, 1, 1, 0.290, 8, 2, 58, 328, 29, 1, 26, 14, 0.880, 0.703
Mon Jun 26 18:42:36 EDT 2017, 0.310, 6, 6, 0.790, 3, 7, 13, 478, 74, 10, 1, 59, 27.280, 26.230
Mon Jun 26 18:42:42 EDT 2017, 0.430, 2, 5, 0.160, 9, 6, 47, 590, 40, 3, 32, 48, 5.700, 5.493
Mon Jun 26 18:43:27 EDT 2017, 0.930, 7, 9, 0.660, 4, 1, 92, 440, 85, 13, 7, 93, 43.253, 43.183
Mon Jun 26 18:43:38 EDT 2017, 0.680, 4, 7, 0.410, 2, 8, 70, 515, 18, 17, 45, 70, 11.293, 10.833
Mon Jun 26 18:43:51 EDT 2017, 0.180, 9, 2, 0.910, 7, 4, 25, 365, 63, 8, 20, 25, 12.797, 10.863
Mon Jun 26 18:43:58 EDT 2017, 0.120, 1, 5, 0.720, 5, 3, 41, 497, 35, 16, 23, 20, 6.620, 5.977
Mon Jun 26 18:44:46 EDT 2017, 0.620, 5, 1, 0.220, 1, 8, 86, 347, 80, 7, 48, 65, 46.850, 45.120
Mon Jun 26 18:44:49 EDT 2017, 0.870, 3, 3, 0.970, 3, 1, 64, 572, 12, 2, 10, 87, 2.857, 2.563
Mon Jun 26 18:45:02 EDT 2017, 0.370, 7, 7, 0.470, 7, 5, 19, 422, 57, 11, 35, 42, 12.470, 11.793
Mon Jun 26 18:45:15 EDT 2017, 0.250, 4, 2, 0.600, 4, 6, 53, 309, 46, 4, 4, 76, 13.183, 11.483
Mon Jun 26 18:45:38 EDT 2017, 0.750, 8, 6, 0.100, 8, 2, 98, 459, 91, 14, 29, 31, 22.223, 21.293
Mon Jun 26 18:45:45 EDT 2017, 0.500, 2, 9, 0.850, 6, 9, 75, 384, 23, 18, 17, 53, 6.950, 6.787
Mon Jun 26 18:46:45 EDT 2017, 0.000, 6, 4, 0.350, 2, 4, 30, 534, 68, 9, 42, 98, 58.477, 54.433
Mon Jun 26 18:46:52 EDT 2017, 0.000, 3, 6, 0.400, 3, 6, 68, 576, 40, 6, 3, 35, 6.413, 5.997
Mon Jun 26 18:51:27 EDT 2017, 0.500, 8, 1, 0.900, 8, 1, 23, 426, 85, 16, 28, 80, 262.480, 272.210
Mon Jun 26 18:51:36 EDT 2017, 0.750, 1, 4, 0.150, 6, 8, 46, 501, 18, 11, 15, 58, 8.753, 8.073
Mon Jun 26 18:51:37 EDT 2017, 0.250, 6, 8, 0.650, 1, 3, 91, 351, 63, 2, 40, 13, 0.807, 0.777
Mon Jun 26 18:52:27 EDT 2017, 0.370, 2, 3, 0.270, 7, 5, 57, 389, 51, 14, 21, 92, 49.100, 48.793
Mon Jun 26 18:52:40 EDT 2017, 0.870, 7, 7, 0.770, 2, 9, 12, 539, 96, 4, 46, 47, 13.300, 12.813
Mon Jun 26 18:52:42 EDT 2017, 0.620, 4, 9, 0.020, 5, 2, 35, 314, 29, 9, 9, 24, 1.860, 1.713
Mon Jun 26 18:53:46 EDT 2017, 0.120, 9, 5, 0.520, 9, 7, 80, 464, 74, 18, 34, 69, 61.977, 59.710
Mon Jun 26 18:53:54 EDT 2017, 0.180, 1, 8, 0.840, 7, 6, 74, 332, 46, 8, 37, 63, 8.110, 8.033
Mon Jun 26 18:54:19 EDT 2017, 0.680, 5, 3, 0.340, 3, 2, 29, 482, 91, 17, 12, 18, 24.330, 22.650
Mon Jun 26 18:54:34 EDT 2017, 0.930, 3, 1, 0.590, 1, 9, 52, 407, 23, 12, 49, 41, 15.567, 14.300
Mon Jun 26 18:54:53 EDT 2017, 0.430, 7, 5, 0.090, 5, 4, 97, 557, 68, 3, 24, 86, 17.827, 17.427
Mon Jun 26 18:55:05 EDT 2017, 0.310, 4, 4, 0.960, 2, 3, 63, 520, 34, 15, 43, 30, 11.880, 10.787
Mon Jun 26 18:55:19 EDT 2017, 0.810, 8, 9, 0.460, 6, 7, 18, 370, 79, 5, 18, 75, 12.587, 11.953
