# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 18:26:47 EDT 2017, 0.430, 1, 9, 0.660, 5, 3, 13, 375, 56, 8, 37, 90, 15.030, 14.780
Mon Jun 26 18:26:53 EDT 2017, 0.930, 6, 5, 0.160, 1, 8, 58, 525, 11, 17, 12, 45, 5.700, 5.143
Mon Jun 26 18:27:11 EDT 2017, 0.680, 3, 2, 0.910, 3, 1, 81, 300, 79, 13, 49, 22, 17.613, 15.177
Mon Jun 26 18:27:15 EDT 2017, 0.180, 8, 7, 0.410, 8, 6, 36, 450, 34, 3, 24, 67, 4.240, 4.007
Mon Jun 26 18:28:03 EDT 2017, 0.120, 2, 1, 0.230, 9, 5, 30, 319, 62, 11, 21, 62, 46.187, 44.660
Mon Jun 26 18:28:04 EDT 2017, 0.620, 6, 5, 0.730, 5, 1, 75, 469, 17, 2, 46, 17, 0.833, 0.887
Mon Jun 26 18:28:15 EDT 2017, 0.870, 4, 8, 0.480, 2, 7, 98, 394, 85, 7, 8, 39, 10.620, 9.760
Mon Jun 26 18:29:13 EDT 2017, 0.370, 8, 3, 0.980, 7, 3, 53, 544, 40, 16, 33, 84, 54.983, 56.090
Mon Jun 26 18:29:25 EDT 2017, 0.250, 3, 6, 0.100, 1, 4, 19, 506, 73, 9, 2, 28, 11.663, 10.923
Mon Jun 26 18:30:01 EDT 2017, 0.750, 7, 2, 0.600, 6, 8, 64, 356, 28, 19, 27, 73, 35.237, 32.437
Mon Jun 26 18:33:08 EDT 2017, 0.500, 1, 4, 0.350, 8, 2, 86, 581, 96, 14, 15, 95, 182.627, 174.963
Mon Jun 26 18:33:15 EDT 2017, 0.000, 5, 9, 0.850, 4, 6, 41, 431, 51, 4, 40, 50, 5.383, 6.113
Mon Jun 26 18:33:47 EDT 2017, 0.000, 3, 4, 0.150, 9, 4, 74, 427, 65, 13, 45, 54, 31.703, 30.037
Mon Jun 26 18:33:53 EDT 2017, 0.500, 7, 8, 0.650, 4, 9, 29, 577, 20, 4, 20, 99, 5.430, 5.067
Mon Jun 26 18:34:19 EDT 2017, 0.750, 1, 6, 0.400, 2, 2, 52, 352, 87, 8, 33, 76, 24.617, 24.110
Mon Jun 26 18:34:49 EDT 2017, 0.250, 5, 2, 0.900, 6, 7, 97, 502, 42, 18, 8, 31, 29.860, 26.723
Mon Jun 26 18:35:12 EDT 2017, 0.370, 2, 9, 0.020, 1, 6, 63, 539, 76, 6, 27, 87, 22.203, 21.970
Mon Jun 26 18:35:23 EDT 2017, 0.870, 6, 5, 0.520, 5, 1, 18, 389, 31, 16, 2, 42, 10.717, 10.210
Mon Jun 26 18:35:42 EDT 2017, 0.620, 4, 3, 0.270, 7, 8, 40, 464, 99, 11, 39, 20, 19.030, 18.150
Mon Jun 26 18:35:45 EDT 2017, 0.120, 8, 7, 0.770, 3, 3, 85, 314, 54, 1, 14, 65, 2.193, 2.077
Mon Jun 26 18:38:41 EDT 2017, 0.190, 1, 1, 0.580, 5, 3, 68, 483, 71, 14, 17, 70, 172.897, 174.407
Mon Jun 26 18:38:43 EDT 2017, 0.690, 6, 5, 0.080, 9, 7, 23, 333, 26, 5, 42, 25, 2.470, 2.240
Mon Jun 26 18:39:10 EDT 2017, 0.940, 3, 8, 0.830, 7, 1, 46, 558, 93, 10, 5, 48, 26.257, 25.487
Mon Jun 26 18:40:21 EDT 2017, 0.440, 8, 3, 0.330, 2, 5, 91, 408, 48, 19, 30, 93, 65.353, 67.640
Mon Jun 26 18:40:24 EDT 2017, 0.310, 4, 7, 0.710, 6, 6, 57, 371, 59, 7, 11, 14, 2.990, 2.973
Mon Jun 26 18:40:42 EDT 2017, 0.810, 9, 2, 0.210, 1, 2, 12, 521, 14, 17, 36, 59, 17.497, 15.203
Mon Jun 26 18:41:46 EDT 2017, 0.560, 2, 4, 0.960, 3, 8, 35, 446, 82, 12, 23, 82, 62.037, 59.143
Mon Jun 26 18:41:49 EDT 2017, 0.060, 7, 9, 0.460, 8, 4, 80, 596, 37, 2, 48, 37, 2.637, 2.623
Mon Jun 26 18:42:17 EDT 2017, 0.090, 2, 5, 0.300, 7, 2, 32, 511, 40, 15, 25, 68, 26.687, 26.970
Mon Jun 26 18:42:30 EDT 2017, 0.590, 7, 1, 0.800, 2, 6, 77, 361, 85, 5, 0, 23, 13.323, 12.153
Mon Jun 26 18:42:32 EDT 2017, 0.840, 5, 3, 0.050, 4, 4, 99, 586, 17, 1, 38, 45, 1.297, 1.203
Mon Jun 26 18:43:02 EDT 2017, 0.340, 9, 7, 0.550, 9, 9, 54, 436, 62, 10, 13, 90, 28.983, 28.043
Mon Jun 26 18:43:04 EDT 2017, 0.470, 4, 2, 0.430, 3, 8, 21, 324, 51, 3, 44, 11, 2.117, 1.957
Mon Jun 26 18:43:48 EDT 2017, 0.970, 8, 6, 0.930, 8, 3, 66, 474, 96, 13, 19, 56, 42.390, 40.717
Mon Jun 26 18:44:00 EDT 2017, 0.720, 1, 9, 0.180, 5, 5, 88, 399, 28, 17, 31, 79, 12.633, 12.043
Mon Jun 26 18:44:19 EDT 2017, 0.220, 6, 4, 0.680, 1, 1, 43, 549, 73, 8, 6, 34, 18.307, 16.930
Mon Jun 26 18:44:33 EDT 2017, 0.150, 4, 8, 0.990, 3, 1, 26, 380, 45, 16, 9, 51, 13.357, 12.663
Mon Jun 26 18:45:46 EDT 2017, 0.650, 9, 3, 0.490, 7, 6, 71, 530, 90, 7, 34, 96, 70.667, 70.777
Mon Jun 26 18:45:53 EDT 2017, 0.900, 2, 1, 0.740, 9, 4, 94, 305, 23, 2, 22, 73, 5.997, 5.600
Mon Jun 26 18:46:05 EDT 2017, 0.400, 6, 6, 0.240, 5, 8, 49, 455, 68, 11, 47, 28, 12.000, 11.823
Mon Jun 26 18:46:16 EDT 2017, 0.280, 1, 5, 0.870, 8, 9, 15, 568, 34, 4, 16, 84, 10.353, 9.723
Mon Jun 26 18:46:32 EDT 2017, 0.780, 5, 9, 0.370, 4, 5, 60, 418, 79, 14, 41, 39, 16.077, 15.687
Mon Jun 26 18:46:35 EDT 2017, 0.530, 3, 7, 0.620, 2, 7, 83, 493, 12, 18, 3, 17, 2.133, 2.030
Mon Jun 26 18:47:06 EDT 2017, 0.030, 8, 2, 0.120, 6, 2, 38, 343, 57, 9, 28, 62, 30.367, 26.970
Mon Jun 26 18:47:11 EDT 2017, 0.040, 1, 7, 0.690, 3, 8, 95, 525, 13, 13, 43, 41, 4.090, 4.553
Mon Jun 26 18:47:25 EDT 2017, 0.540, 5, 3, 0.190, 8, 3, 50, 375, 58, 3, 18, 86, 13.683, 12.860
Mon Jun 26 18:47:53 EDT 2017, 0.790, 3, 1, 0.940, 6, 6, 28, 450, 35, 8, 31, 63, 28.060, 25.057
Mon Jun 26 18:48:03 EDT 2017, 0.290, 7, 5, 0.440, 1, 1, 73, 300, 80, 18, 6, 18, 9.887, 9.263
Mon Jun 26 18:48:14 EDT 2017, 0.420, 4, 4, 0.570, 7, 2, 84, 413, 24, 6, 37, 97, 10.183, 9.350
Mon Jun 26 18:48:44 EDT 2017, 0.920, 9, 8, 0.070, 2, 7, 39, 563, 69, 15, 12, 52, 29.133, 29.647
Mon Jun 26 18:48:50 EDT 2017, 0.670, 2, 6, 0.820, 4, 5, 16, 338, 47, 10, 49, 30, 5.777, 5.250
Mon Jun 26 18:49:05 EDT 2017, 0.170, 6, 2, 0.320, 9, 9, 61, 488, 92, 1, 24, 75, 14.343, 12.427
Mon Jun 26 18:49:16 EDT 2017, 0.230, 3, 6, 0.010, 7, 9, 90, 357, 30, 14, 21, 58, 9.993, 9.763
Mon Jun 26 18:49:25 EDT 2017, 0.730, 8, 1, 0.510, 3, 4, 45, 507, 75, 5, 46, 13, 9.007, 7.700
Mon Jun 26 18:49:38 EDT 2017, 0.980, 1, 3, 0.260, 1, 6, 22, 432, 52, 9, 9, 35, 13.413, 12.740
Mon Jun 26 18:51:23 EDT 2017, 0.480, 6, 8, 0.760, 5, 2, 67, 582, 97, 19, 34, 80, 100.543, 98.280
Mon Jun 26 18:51:28 EDT 2017, 0.360, 2, 2, 0.130, 2, 1, 78, 469, 19, 7, 2, 24, 4.163, 3.687
Mon Jun 26 18:51:53 EDT 2017, 0.860, 7, 7, 0.630, 6, 5, 33, 319, 64, 16, 27, 69, 25.227, 23.530
Mon Jun 26 18:52:17 EDT 2017, 0.610, 5, 9, 0.380, 8, 3, 11, 544, 41, 12, 15, 92, 22.533, 22.743
Mon Jun 26 18:52:25 EDT 2017, 0.110, 9, 4, 0.880, 4, 7, 56, 394, 86, 2, 40, 47, 7.523, 6.860
Mon Jun 26 18:54:03 EDT 2017, 0.080, 5, 1, 0.850, 1, 5, 53, 329, 78, 16, 35, 55, 95.257, 98.080
Mon Jun 26 18:54:06 EDT 2017, 0.580, 9, 6, 0.350, 6, 1, 98, 479, 33, 6, 10, 10, 2.017, 1.897
Mon Jun 26 18:54:09 EDT 2017, 0.830, 3, 8, 0.600, 8, 8, 76, 404, 55, 2, 48, 32, 2.947, 3.010
Mon Jun 26 18:54:17 EDT 2017, 0.330, 7, 4, 0.100, 4, 3, 31, 554, 10, 11, 23, 77, 7.460, 6.353
Mon Jun 26 18:54:22 EDT 2017, 0.450, 1, 7, 0.970, 9, 4, 42, 516, 89, 4, 41, 21, 4.797, 4.347
Mon Jun 26 18:55:00 EDT 2017, 0.950, 6, 2, 0.470, 5, 9, 87, 366, 44, 13, 16, 66, 37.147, 33.867
Mon Jun 26 18:56:38 EDT 2017, 0.700, 4, 5, 0.720, 3, 2, 64, 591, 66, 18, 29, 89, 96.817, 96.523
Mon Jun 26 18:56:42 EDT 2017, 0.200, 8, 9, 0.220, 7, 7, 19, 441, 21, 9, 4, 44, 3.493, 3.270
Mon Jun 26 18:57:47 EDT 2017, 0.140, 2, 3, 0.410, 5, 7, 47, 572, 94, 17, 1, 38, 65.220, 63.060
