# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 10:22:35 EDT 2017, 0.100, 148, 21, 8, 19, 510, 4, 19, 7, 39, 2.940, 1.007
Mon Jul  3 10:23:17 EDT 2017, 0.070, 129, 22, 9, 29, 595, 16, 28, 10, 25, 42.320, 2.987
Mon Jul  3 10:23:55 EDT 2017, 0.570, 149, 27, 5, 18, 445, 6, 48, 25, 45, 37.050, 3.063
Mon Jul  3 10:23:55 EDT 2017, 0.820, 139, 25, 7, 13, 520, 1, 18, 3, 35, 0.320, 0.327
Mon Jul  3 10:24:05 EDT 2017, 0.320, 159, 20, 3, 24, 370, 11, 38, 18, 15, 9.273, 1.493
Mon Jul  3 10:25:35 EDT 2017, 0.450, 134, 28, 8, 10, 332, 18, 43, 14, 30, 89.550, 3.053
Mon Jul  3 10:25:36 EDT 2017, 0.950, 154, 23, 4, 21, 482, 9, 23, 29, 10, 1.497, 0.723
Mon Jul  3 10:25:39 EDT 2017, 0.700, 124, 21, 6, 26, 407, 4, 33, 7, 20, 2.183, 0.720
Mon Jul  3 10:25:53 EDT 2017, 0.200, 144, 26, 2, 15, 557, 13, 13, 22, 40, 14.197, 1.963
Mon Jul  3 10:27:10 EDT 2017, 0.140, 136, 20, 4, 17, 539, 17, 30, 12, 28, 76.677, 3.800
Mon Jul  3 10:27:13 EDT 2017, 0.640, 156, 25, 8, 28, 389, 7, 10, 27, 48, 2.300, 0.917
Mon Jul  3 10:27:19 EDT 2017, 0.890, 126, 28, 2, 22, 464, 3, 40, 5, 38, 6.377, 1.397
Mon Jul  3 10:27:22 EDT 2017, 0.390, 146, 23, 6, 11, 314, 12, 20, 20, 18, 3.277, 0.790
Mon Jul  3 10:27:41 EDT 2017, 0.260, 121, 27, 5, 20, 351, 19, 15, 8, 33, 18.627, 1.707
Mon Jul  3 10:27:47 EDT 2017, 0.760, 141, 22, 9, 9, 501, 10, 35, 23, 13, 5.573, 1.290
Mon Jul  3 10:27:50 EDT 2017, 0.510, 131, 24, 3, 14, 426, 5, 25, 1, 23, 2.487, 0.827
Mon Jul  3 10:30:57 EDT 2017, 0.010, 151, 29, 7, 25, 576, 14, 45, 16, 43, 187.243, 5.963
Mon Jul  3 10:31:13 EDT 2017, 0.020, 135, 24, 8, 12, 560, 8, 37, 7, 24, 15.310, 2.007
Mon Jul  3 10:31:46 EDT 2017, 0.520, 155, 29, 4, 23, 410, 18, 17, 22, 44, 32.623, 2.043
Mon Jul  3 10:33:54 EDT 2017, 0.770, 125, 26, 6, 29, 485, 13, 47, 14, 34, 128.070, 4.493
Mon Jul  3 10:33:55 EDT 2017, 0.270, 145, 21, 2, 18, 335, 3, 27, 29, 14, 0.703, 0.500
Mon Jul  3 10:33:57 EDT 2017, 0.390, 120, 28, 9, 26, 372, 6, 12, 3, 39, 1.870, 0.740
Mon Jul  3 10:34:22 EDT 2017, 0.890, 140, 23, 5, 15, 522, 15, 32, 18, 19, 24.807, 2.143
Mon Jul  3 10:34:34 EDT 2017, 0.640, 130, 20, 7, 9, 447, 10, 22, 11, 29, 11.587, 1.520
Mon Jul  3 10:34:36 EDT 2017, 0.140, 150, 25, 3, 20, 597, 1, 42, 26, 49, 2.060, 1.287
Mon Jul  3 10:34:42 EDT 2017, 0.210, 128, 21, 5, 22, 578, 9, 20, 1, 22, 6.283, 1.327
Mon Jul  3 10:38:09 EDT 2017, 0.710, 148, 26, 9, 11, 428, 19, 40, 16, 42, 206.160, 5.327
Mon Jul  3 10:38:15 EDT 2017, 0.960, 138, 28, 3, 16, 503, 14, 10, 9, 32, 5.773, 1.367
Mon Jul  3 10:38:16 EDT 2017, 0.460, 158, 23, 7, 27, 353, 5, 30, 24, 12, 0.910, 0.710
Mon Jul  3 10:38:42 EDT 2017, 0.330, 133, 25, 4, 14, 316, 7, 45, 5, 37, 26.240, 2.100
Mon Jul  3 10:38:54 EDT 2017, 0.830, 153, 20, 8, 25, 466, 16, 25, 20, 17, 11.117, 1.507
Mon Jul  3 10:39:32 EDT 2017, 0.580, 123, 22, 2, 19, 391, 12, 35, 12, 27, 38.763, 2.533
Mon Jul  3 10:39:34 EDT 2017, 0.080, 143, 27, 6, 8, 541, 2, 15, 27, 47, 0.983, 0.650
Mon Jul  3 10:39:52 EDT 2017, 0.110, 124, 26, 7, 18, 457, 18, 26, 28, 18, 18.243, 1.690
Mon Jul  3 10:40:44 EDT 2017, 0.610, 144, 21, 3, 29, 307, 9, 46, 13, 38, 51.653, 2.773
Mon Jul  3 10:40:47 EDT 2017, 0.860, 134, 24, 9, 24, 532, 4, 16, 21, 48, 3.087, 1.180
Mon Jul  3 10:41:15 EDT 2017, 0.360, 154, 29, 5, 13, 382, 13, 36, 6, 28, 28.257, 2.180
Mon Jul  3 10:44:48 EDT 2017, 0.490, 139, 20, 6, 21, 419, 16, 41, 25, 43, 211.980, 5.443
Mon Jul  3 10:44:51 EDT 2017, 0.990, 159, 25, 2, 10, 569, 6, 21, 10, 23, 2.883, 1.130
Mon Jul  3 10:44:52 EDT 2017, 0.740, 129, 27, 8, 16, 344, 2, 31, 17, 13, 0.253, 0.313
Mon Jul  3 10:44:56 EDT 2017, 0.240, 149, 22, 4, 27, 494, 11, 11, 2, 33, 4.630, 1.237
Mon Jul  3 10:45:22 EDT 2017, 0.170, 132, 29, 2, 28, 513, 19, 34, 23, 15, 26.117, 2.027
Mon Jul  3 10:45:27 EDT 2017, 0.670, 152, 24, 6, 17, 363, 10, 14, 8, 35, 4.637, 1.133
Mon Jul  3 10:46:10 EDT 2017, 0.920, 122, 22, 4, 11, 588, 5, 44, 15, 45, 42.577, 3.283
Mon Jul  3 10:46:27 EDT 2017, 0.420, 142, 27, 8, 22, 438, 15, 24, 0, 25, 16.817, 1.743
Mon Jul  3 10:47:12 EDT 2017, 0.300, 127, 23, 3, 9, 400, 17, 19, 26, 40, 44.943, 2.680
Mon Jul  3 10:47:20 EDT 2017, 0.800, 147, 28, 7, 20, 550, 7, 39, 11, 20, 7.627, 1.487
Mon Jul  3 10:47:20 EDT 2017, 0.550, 137, 26, 5, 25, 325, 3, 29, 19, 10, 0.273, 0.240
Mon Jul  3 10:48:34 EDT 2017, 0.050, 157, 21, 9, 14, 475, 12, 49, 4, 30, 73.513, 3.717
Mon Jul  3 10:48:35 EDT 2017, 0.030, 125, 29, 4, 19, 442, 3, 14, 19, 22, 0.493, 0.433
Mon Jul  3 10:50:19 EDT 2017, 0.530, 145, 24, 8, 8, 592, 13, 34, 4, 42, 103.730, 4.743
Mon Jul  3 10:51:04 EDT 2017, 0.780, 135, 21, 2, 13, 367, 17, 24, 27, 32, 44.067, 2.633
Mon Jul  3 10:51:09 EDT 2017, 0.280, 155, 26, 6, 24, 517, 8, 44, 12, 12, 4.610, 1.193
Mon Jul  3 10:51:10 EDT 2017, 0.410, 130, 23, 5, 16, 480, 1, 39, 16, 37, 1.267, 0.947
Mon Jul  3 10:51:12 EDT 2017, 0.910, 150, 28, 9, 27, 330, 10, 19, 1, 17, 1.567, 0.480
Mon Jul  3 10:53:45 EDT 2017, 0.660, 120, 25, 3, 21, 555, 15, 49, 23, 27, 152.543, 4.997
Mon Jul  3 10:53:57 EDT 2017, 0.160, 140, 20, 7, 10, 405, 5, 29, 8, 47, 11.827, 1.787
Mon Jul  3 10:54:00 EDT 2017, 0.220, 137, 27, 9, 9, 386, 4, 47, 18, 20, 2.970, 0.953
Mon Jul  3 10:55:05 EDT 2017, 0.720, 157, 22, 5, 20, 536, 14, 27, 3, 40, 65.337, 3.550
Mon Jul  3 10:56:22 EDT 2017, 0.970, 127, 24, 7, 26, 311, 18, 37, 25, 30, 76.033, 2.893
Mon Jul  3 10:56:23 EDT 2017, 0.470, 147, 29, 3, 15, 461, 9, 17, 10, 10, 0.900, 0.537
Mon Jul  3 10:56:24 EDT 2017, 0.350, 122, 21, 8, 28, 499, 2, 22, 21, 35, 1.207, 0.753
Mon Jul  3 10:56:33 EDT 2017, 0.850, 142, 26, 4, 17, 349, 11, 42, 6, 15, 8.930, 1.297
Mon Jul  3 10:56:40 EDT 2017, 0.600, 132, 28, 6, 12, 574, 16, 12, 29, 25, 6.517, 1.187
Mon Jul  3 10:57:05 EDT 2017, 0.100, 152, 23, 2, 23, 424, 7, 32, 14, 45, 25.277, 2.340
Mon Jul  3 10:57:27 EDT 2017, 0.070, 134, 22, 3, 25, 339, 13, 40, 11, 19, 21.627, 1.693
Mon Jul  3 10:57:30 EDT 2017, 0.570, 154, 27, 7, 14, 489, 4, 20, 26, 39, 2.507, 0.940
Mon Jul  3 10:58:02 EDT 2017, 0.820, 124, 29, 5, 8, 414, 8, 30, 3, 49, 32.037, 2.187
Mon Jul  3 10:58:09 EDT 2017, 0.320, 144, 24, 9, 19, 564, 18, 10, 18, 29, 7.137, 1.293
Mon Jul  3 10:59:01 EDT 2017, 0.440, 129, 25, 2, 11, 527, 11, 25, 7, 44, 51.397, 3.337
Mon Jul  3 10:59:02 EDT 2017, 0.940, 149, 20, 6, 22, 377, 1, 45, 22, 24, 0.827, 0.653
Mon Jul  3 10:59:02 EDT 2017, 0.690, 139, 23, 4, 28, 452, 6, 15, 0, 14, 0.847, 0.530
Mon Jul  3 10:59:42 EDT 2017, 0.190, 159, 28, 8, 17, 302, 15, 35, 15, 34, 39.020, 2.340
Mon Jul  3 10:59:45 EDT 2017, 0.130, 121, 23, 6, 15, 321, 14, 18, 9, 16, 3.567, 0.847
Mon Jul  3 10:59:58 EDT 2017, 0.630, 141, 28, 2, 26, 471, 5, 38, 24, 36, 12.250, 1.780
Mon Jul  3 11:00:33 EDT 2017, 0.880, 131, 26, 8, 21, 396, 10, 28, 2, 46, 34.627, 2.283
Mon Jul  3 11:03:37 EDT 2017, 0.380, 151, 21, 4, 10, 546, 19, 48, 17, 26, 184.473, 6.017
Mon Jul  3 11:04:56 EDT 2017, 0.250, 136, 27, 7, 23, 583, 12, 33, 13, 41, 78.750, 3.930
Mon Jul  3 11:04:57 EDT 2017, 0.750, 156, 22, 3, 12, 433, 2, 13, 28, 21, 0.420, 0.430
Mon Jul  3 11:05:01 EDT 2017, 0.500, 126, 20, 9, 18, 508, 7, 43, 5, 11, 3.890, 1.210
Mon Jul  3 11:05:27 EDT 2017, 0.000, 146, 25, 5, 29, 358, 17, 23, 20, 31, 26.440, 2.070
