# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Wed Jul 26 08:34:16 EDT 2017,4,1,8.353,0.143321,8.25202,8.45398,8.23,8.25,8.28,8.58,8.59,64407.2,1244.9,63530.1,65284.3,62548,63444,64698,65824,66468,9497,2600.55,7664.77,11329.2,6699,7491,9750.5,13090,13705,3740.5,611.387,3309.74,4171.26,2894,3381,3885.5,4603,4652,4458,224.189,4300.05,4615.95,4244,4270,4474.5,4796,4827,1286.6,56.4432,1246.83,1326.37,1237,1243,1269.5,1375,1398,2.06E+06,35399.9,2.04E+06,2.09E+06,2023526,2032917,2.07E+06,2110377,2118331,532504,10851.5,524859,540149,516115,523106,535512,545059,550306,2.02E+06,738.251,2.02E+06,2.02E+06,2020888,2021710,2.02E+06,2022984,2023201,507521,612.655,507089,507953,506491,507061,507749,508217,508499
Wed Jul 26 08:35:23 EDT 2017,4,2,14.08,0.331119,13.8467,14.3133,13.65,13.75,14.155,14.6,14.6,118980,2235.03,117405,120555,115932,117364,119744,121372,122476,17165,5637.45,13193.1,21136.9,11126,12833,17630.5,24288,26038,7506.6,1547.67,6416.18,8597.02,5266,5979,7810,9177,10312,9478.3,745.864,8952.8,10003.8,8658,8836,9510,10491,10575,2812.4,182.98,2683.48,2941.32,2541,2666,2832.5,3033,3125,3.95E+06,71618.2,3.90E+06,4.00E+06,3877241,3894475,3956110,4043557,4061616,1.02E+06,18260.5,1.01E+06,1.03E+06,994936,1007723,1026901,1041020,1049318,4.04E+06,1021.2,4.04E+06,4.05E+06,4042519,4044068,4044732,4046032,4046154,1.01E+06,740.265,1.01E+06,1.01E+06,1011978,1013271,1013969,1014164,1014246
Wed Jul 26 08:36:40 EDT 2017,4,5,29.906,0.999432,29.2018,30.6102,28.67,28.77,30.025,31.18,31.78,281244,7312.93,276092,286396,269864,275516,286490,288924,289396,38699.4,11732.7,30433.1,46965.7,22403,26700,46633,50470,53070,14860.5,4136.91,11945.8,17775.2,9564,10685,17510,19490,20778,24939.3,2235.07,23364.6,26514,21772,22636,26420,27276,27543,7148.2,810.21,6577.36,7719.04,5963,6481,7624,8018,8222,8.76E+06,158563,8.65E+06,8.87E+06,8538057,8598398,8.87E+06,8919925,8957433,2.25E+06,56445.9,2.21E+06,2.29E+06,2158271,2201917,2.29E+06,2303811,2309128,1.01E+07,2395.01,1.01E+07,1.01E+07,10110439,10111559,1.01E+07,10117243,10118265,2.53E+06,1162.56,2.53E+06,2.53E+06,2528950,2530024,2531098,2532115,2532931
Wed Jul 26 08:38:07 EDT 2017,4,10,50.901,1.25436,50.0172,51.7848,49.41,49.98,51.07,52.4,53.6,545265,8417.14,539335,551195,534112,538540,546628,556864,557920,56572.7,14179,46582.8,66562.6,41448,42835,63359.5,74868,79358,23141.7,4238.39,20155.5,26127.9,16705,19408,24105.5,28446,30975,47567.2,3399.83,45171.8,49962.6,43818,44282,49344.5,51942,52914,13597.6,965.213,12917.6,14277.6,12375,12565,13796,14792,15371,1.43E+07,172068,1.42E+07,1.45E+07,14155713,14169523,1.44E+07,14562840,14612281,3.66E+06,53242.1,3.62E+06,3.69E+06,3587925,3614065,3.66E+06,3731775,3735465,2.02E+07,1993.72,2.02E+07,2.02E+07,20218309,20219149,2.02E+07,20223322,20224097,5.06E+06,1244.42,5.06E+06,5.06E+06,5058662,5059280,5060535,5061266,5062938
Wed Jul 26 08:39:24 EDT 2017,4,15,67.17,1.67145,65.9924,68.3476,65.02,65.9,67.57,69.53,70.09,811057,8031.24,805399,816715,795900,806108,814100,820148,822368,72049,13171.5,62768.9,81329.1,50737,64937,73684,90569,93341,30059.9,4862.76,26633.8,33486,23148,25070,32402.5,34412,38568,69433.1,3552.89,66929.9,71936.3,64022,67279,69819,74365,75253,19824.5,1146.59,19016.7,20632.3,17876,18915,20359.5,20624,21889,1.81E+07,137821,1.80E+07,1.82E+07,17856661,17978029,1.81E+07,18259325,18289799,4.60E+06,43539.3,4.57E+06,4.63E+06,4520392,4576714,4.62E+06,4653712,4662908,3.03E+07,2806.91,3.03E+07,3.03E+07,30322805,30324029,3.03E+07,30329248,30332229,7.59E+06,2039.25,7.58E+06,7.59E+06,7583411,7585186,7.59E+06,7587719,7590734
Wed Jul 26 08:51:46 EDT 2017,2,1,17.906,0.199409,17.7655,18.0465,17.82,17.82,17.85,17.9,18.5,121378,965.379,120698,122058,119696,120936,121354,122264,123524,4019.3,623.668,3579.89,4458.71,2929,3715,3946.5,4608,5333,4019.3,623.668,3579.89,4458.71,2929,3715,3946.5,4608,5333,2132.2,67.8377,2084.4,2180,2035,2094,2129.5,2170,2307,1223.2,67.6532,1175.53,1270.87,1119,1192,1220.5,1256,1395,2.00E+06,8101.98,1.99E+06,2.01E+06,1987070,1995570,1999442,2007321,2019005,1.02E+06,8139.46,1.01E+06,1.03E+06,1005457,1015675,1.02E+06,1026799,1037655,2.02E+06,741.411,2.02E+06,2.02E+06,2021256,2021438,2022407,2023041,2023207,1.01E+06,402.733,1.01E+06,1.01E+06,1011211,1011596,1.01E+06,1012298,1012618
Wed Jul 26 08:52:58 EDT 2017,2,2,30.215,0.781783,29.6642,30.7658,28.92,29.26,30.76,30.78,30.78,228798,3584.79,226272,231324,221908,226124,229810,231048,235984,6503.6,2592.71,4676.89,8330.31,732,4853,7418.5,8202,11009,6477.9,2650.43,4610.53,8345.27,475,4853,7418.5,8202,11009,4457.9,365.02,4200.72,4715.08,3668,4200,4604,4722,5061,2632.9,365.513,2375.38,2890.42,1836,2380,2776,2892,3237,3.83E+06,30459.5,3.81E+06,3.85E+06,3776234,3809383,3.84E+06,3852263,3895328,1.95E+06,30287.6,1.93E+06,1.97E+06,1889025,1923375,1.96E+06,1966507,2007449,4.04E+06,1143.66,4.04E+06,4.05E+06,4043200,4044003,4.04E+06,4046449,4046634,2022919,581.413,2.02E+06,2.02E+06,2021991,2022591,2.02E+06,2023740,2023879
Wed Jul 26 08:54:50 EDT 2017,2,5,63.911,6.49609,59.3341,68.4879,58.69,61.7,62.58,63.5,83.02,544837,4341.08,541778,547896,537976,542616,545566,549604,552780,9414.1,2921.1,7356.02,11472.2,4512,7880,9888.5,12425,14602,9208.1,3306.73,6878.33,11537.9,2452,7880,9888.5,12425,14602,10509.5,636.301,10061.2,10957.8,9492,10182,10629,11174,11592,5930.4,659.502,5465.74,6395.06,4786,5612,6061,6619,7029,8.43E+06,33513.5,8.41E+06,8.46E+06,8383963,8415056,8438699,8469013,8495545,4.25E+06,34350.2,4.23E+06,4.27E+06,4195381,4232508,4.25E+06,4285772,4313477,1.01E+07,2426.91,1.01E+07,1.01E+07,10110404,10111449,1.01E+07,10116660,10117284,5.06E+06,1471.64,5.06E+06,5.06E+06,5056448,5057004,5057881,5058532,5061945
Wed Jul 26 08:57:17 EDT 2017,2,10,103.113,2.86849,101.092,105.134,97.68,102.51,104.325,106.13,106.44,1.07E+06,5867.88,1.06E+06,1.07E+06,1061136,1062484,1064446,1073640,1079744,11656,4062.58,8793.69,14518.3,6893,8462,10919.5,16751,20126,11649.6,4067.16,8784.06,14515.1,6893,8417,10919.5,16751,20126,19575.4,1075.91,18817.4,20333.4,18610,18792,19151,20969,21894,10453.1,1069.33,9699.7,11206.5,9496,9673,10036,11840,12763,1.39E+07,39903.8,1.39E+07,1.39E+07,13879101,13882754,13896767,13959793,14004338,6.98E+06,39283.4,6.95E+06,7.01E+06,6945185,6951958,6964124,7028123,7068902,2.02E+07,1876.88,2.02E+07,2.02E+07,20216866,20218492,2.02E+07,20222298,20222317,1.01E+07,1652.15,1.01E+07,1.01E+07,10108913,10111149,1.01E+07,10114273,10114449
Wed Jul 26 09:09:57 EDT 2017,2,15,384.444,220.639,228.992,539.896,129.54,142.18,445.32,744.21,745,1.57E+06,46133.2,1.54E+06,1.61E+06,1456788,1564936,1590432,1603200,1633564,18046.8,5624.34,14084.1,22009.5,9231,15604,18714,24341,28678,17041.2,6010,12806.8,21275.6,7595,15012,16952,24341,28626,29593.8,1071.68,28838.7,30348.9,27829,28863,29806,31136,31367,15724.2,1133.81,14925.4,16523,14110,15064,15734.5,17446,17673,17645549,70027.8,1.76E+07,1.77E+07,17572850,17600968,1.76E+07,17681537,17837562,8.86E+06,72397.1,8.81E+06,8.91E+06,8792081,8820793,8843518,8902836,9057124,3.03E+07,3432.63,3.03E+07,3.03E+07,30322556,30323464,3.03E+07,30330577,30333990,1.52E+07,2549.99,1.52E+07,1.52E+07,15163318,15164856,15166795,15170101,15172278
