# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Thu Aug  3 08:33:13 EDT 2017,8,1,8.24222,5.749,3.90747,12.577,0.08,5.645,11.39,13.01,13.07,94283.3,3282.49,91004.1,97562.5,91632,91792,94216,101180,101180,21816.8,7105.08,14718.9,28914.7,16485,17016,21362.5,36986,36986,6183,1759.69,4425.1,7940.9,4273,5196,6060,9864,9864,18360.5,618.07,17743.1,18977.9,17845,17925,18387,19655,19655,2699.33,211.076,2488.47,2910.19,2462,2576,2733,3112,3112,5.09E+06,85950.1,5.01E+06,5.18E+06,5029520,5034015,5.09E+06,5275670,5275670,676470,27417.2,649081,703859,654463,658189,674696,734825,734825,5052883,1317.34,5.05E+06,5.05E+06,5050803,5052325,5.05E+06,5055167,5055167,633184,259.371,632925,633443,632753,632897,633379,633401,633401
Thu Aug  3 10:24:03 EDT 2017,8,2,13.0611,9.19336,6.12931,19.9929,0.07,9.63,19.22,20.09,20.67,168415,4476.16,163943,172887,163164,165176,171222,174456,174456,55340.8,11296.5,44055.8,66625.8,44951,47561,56629,77272,77272,12612.8,2715.32,9900.24,15325.4,9249,10512,14495,16214,16214,39782,1463.28,38320.2,41243.8,38406,38655,40013.5,42614,42614,5831,335.874,5495.47,6166.53,5349,5599,6059.5,6265,6265,9.92E+06,147525,9.78E+06,1.01E+07,9788118,9824965,9.94E+06,10211191,10211191,1312154,37454.1,1.27E+06,1.35E+06,1267487,1285277,1.34E+06,1362658,1362658,1.01E+07,1529.2,1.01E+07,1.01E+07,10100042,10100320,1.01E+07,10103909,10103909,1.27E+06,716.612,1.26E+06,1.27E+06,1264099,1264619,1265687,1266216,1266216
Thu Aug  3 10:28:36 EDT 2017,8,5,28.1689,19.8679,13.1885,43.1493,0.08,20.46,41.75,43.12,43.28,385080,15382.6,369713,400447,372476,373052,388104,415588,415588,138141,36499.1,101679,174603,102946,106040,148616,207809,207809,26366,8609.85,17764.9,34967.1,19030,19451,28325.5,43288,43288,104783,6392.38,98397.1,111169,98452,99134,106802,116816,116816,14699.2,1396.05,13304.6,16093.8,13544,13559,15032,17432,17432,2.22E+07,484862,2.17E+07,2.26E+07,21701452,21742684,2.23E+07,23099319,23099319,2.89E+06,118573,2.77E+06,3.00E+06,2789494,2791893,2.91E+06,3121724,3121724,2.53E+07,3422.27,2.52E+07,2.53E+07,25246081,25251988,25254436,25256778,25256778,3.16E+06,1137.09,3.16E+06,3.16E+06,3159172,3159403,3161062,3162024,3162024
Thu Aug  3 10:31:43 EDT 2017,8,10,51.638,33.8239,27.8072,75.4688,0.06,0.07,72.765,73.63,79.65,764674,37519.2,731136,798212,728020,737276,750036,814356,830412,268377,34619.4,237431,299323,217548,232362,267432,312288,312477,56935.6,18892,40048.3,73822.9,38243,43194,49886,81813,90065,214932,7206.91,208490,221374,203829,207608,214860,223313,224093,31594.7,3635.94,28344.6,34844.8,27892,28762,30420,36382,37924,3.69E+07,426064,3.65E+07,3.73E+07,36299504,36440016,36864104,37454855,37454925,4.90E+06,249872,4.67E+06,5.12E+06,4653036,4706956,4801719,5226811,5333746,5.05E+07,4195.14,5.05E+07,5.05E+07,50508898,50514090,50518373,50520557,50522585,6.32E+06,1866.66,6.32E+06,6.32E+06,6318816,6319399,6320669,6323834,6323932
Thu Aug  3 10:44:53 EDT 2017,8,15,77.2756,41.4073,46.0545,108.497,0.07,95.91,97.03,105.25,106.02,1.12E+06,48179.4,1.08E+06,1.16E+06,1062740,1087080,1093556,1172456,1207588,367966,60502.3,313884,422048,286187,315625,348790,406182,482457,73052.6,23523.9,52024.9,94080.3,45362,57491,61094,99626,115865,320526,14421,307635,333417,300639,308211,316316,330052,347925,46203,5093.68,41649.8,50756.2,39807,42828,43751,51739,55417,4.66E+07,692605,4.59E+07,4.72E+07,45656977,46016676,46318323,46948135,47931668,6.12E+06,273179,5.87E+06,6.36E+06,5800809,5934738,5973925,6419660,6619125,7.58E+07,2283.52,7.58E+07,7.58E+07,75758566,75761530,75762351,75765050,75766013,9.48E+06,1619.48,9.48E+06,9.48E+06,9475106,9476735,9478406,9479703,9480267
Thu Aug  3 10:49:59 EDT 2017,16,1,6.484,0.332181,6.24996,6.71804,6.04,6.33,6.485,6.66,7.28,57835.2,3573.91,55317.2,60353.2,54828,55212,57642,58144,67932,51979.3,14812.4,41543.1,62415.5,39561,43998,49557,54349,94460,7782.9,1209.61,6930.66,8635.14,6473,6974,7853.5,8190,10958,37599.6,1643.4,36441.7,38757.5,36262,36731,37341,37652,42368,2935.2,100.005,2864.74,3005.66,2774,2838,3014,3035,3035,5.42E+06,255404,5.24E+06,5.60E+06,5250861,5286857,5378813,5416677,6170484,395916,21477.8,380784,411048,369151,378239,399388,403493,449659,5.05E+06,1883.69,5.05E+06,5.05E+06,5048836,5050401,5.05E+06,5054285,5055142,317419,318.341,317195,317643,316855,317153,317639,317728,317813
Thu Aug  3 10:52:01 EDT 2017,16,2,11.765,1.24193,10.89,12.64,10.36,10.82,12.03,13.55,13.55,107159,11395.7,99130.1,115188,94304,97656,109014,122336,124136,187906,74323.8,135541,240271,110599,125849,205326,277640,293178,19320.1,6326.61,14862.7,23777.5,12348,13834,20450.5,27679,28516,88559.9,8359.35,82670.3,94449.5,79689,81767,90568.5,98854,99928,6512.9,666.939,6043,6982.8,5713,5945,6681.5,7486,7499,1.15E+07,1.09E+06,1.08E+07,1.23E+07,10438550,10612912,11757655,12848623,13125447,822211,97785.7,753316,891106,712451,738578,838050,951573,968193,1.01E+07,2605.16,1.01E+07,1.01E+07,10096581,10098967,10101501,10103250,10105546,633578,434.113,633272,633884,632716,633248,633732,633902,634398
Thu Aug  3 10:54:14 EDT 2017,16,5,22.87,0.581704,22.4602,23.2798,21.42,22.67,23.135,23.16,23.78,222062,3645.3,219494,224630,217200,218460,223352,226584,227156,339192,17791.5,326657,351727,301765,321678,351100,355066,355143,31112.9,2123.44,29616.8,32609,28318,29287,31841,34017,34036,221064,3189.27,218817,223311,214086,218102,223196,223942,224040,15535.1,337.707,15297.2,15773,15107,15256,15647,16001,16016,2.42E+07,239171,2.41E+07,2.44E+07,23723471,23986896,24399519,24419152,24446536,1.64E+06,28650.1,1.62E+06,1.66E+06,1605784,1614074,1.65E+06,1679204,1682838,2.53E+07,3963.76,2.53E+07,2.53E+07,25245420,25252974,2.53E+07,25257571,25259619,1.58E+06,654.213,1.58E+06,1.58E+06,1581166,1581617,1.58E+06,1582617,1583267
Thu Aug  3 10:56:37 EDT 2017,16,10,39.548,0.910338,38.9066,40.1894,37.61,39.63,39.81,40.26,40.89,420427,3485.28,417971,422883,414932,418200,420368,424300,427156,605924,19089.6,592474,619374,572930,596723,609831,625373,637260,53581.9,3471.48,51136,56027.8,48883,51421,53063,58142,60664,445772,3908.46,443018,448526,438822,443804,446742,449382,452269,30940.7,387.104,30668,31213.4,30197,30740,30926.5,31399,31595,3.99E+07,232724,3.98E+07,4.01E+07,39533167,39813255,39971071,40159306,40307615,2.67E+06,23421.9,2.65E+06,2.68E+06,2629467,2652069,2.67E+06,2691153,2713780,5.05E+07,6097.4,5.05E+07,5.05E+07,50503036,50508487,5.05E+07,50521342,50521772,3162558,1083.3,3.16E+06,3.16E+06,3160150,3161661,3162983,3163219,3164242
Thu Aug  3 10:58:50 EDT 2017,16,15,53.936,1.54221,52.8494,55.0226,50.79,53.75,54.675,55.01,55.74,613600,4260.81,610598,616602,607648,610284,614420,617208,623140,852019,36451.1,826337,877701,792075,821080,872481,891512,896699,72940.7,4452.07,69804,76077.4,67722,70418,71706.5,80676,81511,669449,8462.59,663487,675411,655221,662267,674246,678300,679829,45885.3,446.773,45570.5,46200.1,45310,45414,45899.5,46410,46759,5.04E+07,393835,5.01E+07,5.07E+07,49751772,50081542,5.06E+07,50828925,50868409,3.33E+06,26254.2,3.31E+06,3.35E+06,3287962,3307981,3.33E+06,3350369,3383933,7.58E+07,5129.87,7.58E+07,7.58E+07,75756716,75759571,75763207,75771893,75772583,4.74E+06,1774.78,4.74E+06,4.74E+06,4739745,4740880,4741938,4743249,4746532
Thu Aug  3 11:00:36 EDT 2017,32,1,5.644,1.65512,4.47788,6.81012,4.21,4.22,5.905,7.28,9.37,49805.6,11104.4,41981.9,57629.3,37632,39540,56694,63448,63564,213566,110983,135372,291760,94798,107518,280158,358331,364209,12258.1,3990.25,9446.75,15069.5,7681,8511,14384.5,16735,18127,109554,30389.8,88142.7,130965,78112,80229,126912,148054,148539,4317.2,950.574,3647.47,4986.93,3205,3436,4803.5,5597,5624,8.19E+06,2.29E+06,6.57E+06,9.80E+06,5823949,5986448,9.48E+06,11079441,11104379,325058,71174.4,274912,375204,243797,261044,362752,411570,421046,5.05E+06,1449.93,5.05E+06,5.05E+06,5050670,5052664,5.05E+06,5054138,5056734,165598,973.352,164912,166284,164117,164968,165623,166332,167955
Thu Aug  3 11:02:38 EDT 2017,32,2,7.752,1.13031,6.95563,8.54837,7.07,7.27,7.29,8.5,10.95,72060.8,10027.7,64995.7,79125.9,64900,67052,68436,82924,98564,331601,62297.1,287709,375493,281751,298921,314489,384872,500308,18138.8,3713.15,15522.7,20754.9,14612,16150,17349.5,20285,28397,190628,23741.5,173901,207355,174741,178576,181482,218491,252320,7256.5,830.406,6671.43,7841.57,6547,6874,7022,7803,9573,1.34E+07,1.72E+06,1.22E+07,1.46E+07,12248444,12513068,12710903,15356623,17867988,526847,65430.9,480747,572947,476767,495557,507275,571485,709921,10101283,1083.09,1.01E+07,1.01E+07,10100048,10100102,10101609,10102782,10103165,332075,1069.55,331321,332829,330101,331082,332681,332852,333834
Thu Aug  3 11:04:51 EDT 2017,32,5,15.509,1.09909,14.7346,16.2834,14.47,14.49,15.685,17.44,17.53,155244,10101.9,148127,162361,141584,147228,156782,169292,176000,847796,79029.7,792115,903477,737754,781622,880866,958145,980667,37687.4,3536.71,35195.6,40179.2,31664,35455,38868.5,41423,44352,495539,27826.4,475934,515144,465987,474453,496604,544671,548466,17870.7,1045.01,17134.4,18607,16395,17050,18015.5,19142,19895,3.03E+07,1.80E+06,2.90E+07,3.15E+07,28375623,28965697,3.03E+07,33499500,33700712,1.12E+06,59941,1.08E+06,1.16E+06,1028233,1072886,1.15E+06,1173693,1244028,25254297,5328.18,2.53E+07,2.53E+07,25247422,25248899,2.53E+07,25258873,25265026,827880,2075.83,826417,829343,824946,826605,828080,829662,832542
Thu Aug  3 11:07:04 EDT 2017,32,10,26.371,2.5192,24.5961,28.1459,24.7,25.3,25.62,26.22,33.84,285251,17349.5,273027,297475,273472,277092,279710,288420,336036,1.53E+06,148407,1.42E+06,1.63E+06,1417060,1458307,1.49E+06,1560457,1960699,63042.8,5543.46,59137.1,66948.5,58863,60280,61410.5,64922,78978,984393,45087.1,952627,1.02E+06,953519,964203,971138,989902,1116735,34578.5,1592.25,33456.7,35700.3,33588,33739,34190.5,34707,39222,4.93E+07,2.41E+06,4.76E+07,5.10E+07,47653472,48204372,48607677,49530677,56394946,1.79E+06,99840.3,1.72E+06,1.86E+06,1718385,1741228,1756215,1817915,2077618,5.05E+07,6325.42,5.05E+07,5.05E+07,50501547,50506288,50515226,50518874,50521983,1.66E+06,3296.81,1.66E+06,1.66E+06,1652818,1653906,1658463,1661913,1662715
Thu Aug  3 11:09:12 EDT 2017,32,15,34.979,1.57432,33.8698,36.0882,33.42,34.02,34.915,35.79,39.13,404073,13829.5,394329,413817,387180,397264,401396,413824,439024,2.07E+06,113575,1.99E+06,2.15E+06,1905858,1985757,2058376,2188554,2315393,83317.4,5110.46,79716.8,86918,75747,79850,84009.5,86668,95057,1.45E+06,40208.1,1.42E+06,1.48E+06,1403160,1426309,1444432,1478187,1554930,50236.5,1569.41,49130.8,51342.2,48186,49148,50352.5,51250,54158,6.11E+07,1.80E+06,5.99E+07,6.24E+07,59096807,59965259,60770832,62277798,65836475,2.17E+06,66799.9,2.13E+06,2.22E+06,2080851,2137112,2.16E+06,2229849,2328944,7.58E+07,5340.14,7.58E+07,7.58E+07,75750442,75754406,75757627,75764201,75769270,2.48E+06,3038.34,2.48E+06,2.49E+06,2480237,2482368,2485271,2486209,2491280
