# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Mon Aug 14 18:32:00 EDT 2017, 1, 1, 30.5, 0.259422, 30.3172, 30.6828, 30.13, 30.25, 30.49, 30.77, 31.03, 149867, 2.56125, 149865, 149869, 149864, 149864, 149868, 149868, 149872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 489875, 0, 489875, 489875, 489875, 489875, 489875, 489875, 489875, 502916, 0, 502916, 502916, 502916, 502916, 502916, 502916, 502916
Mon Aug 14 18:34:12 EDT 2017, 1, 2, 103.994, 2.11843, 102.501, 105.487, 97.69, 104.58, 104.61, 105.19, 105.19, 202292, 1.2, 202291, 202293, 202288, 202292, 202292, 202292, 202292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 941589, 0, 941589, 941589, 941589, 941589, 941589, 941589, 941589, 1006108, 0, 1006108, 1006108, 1006108, 1006108, 1006108, 1006108, 1006108
Mon Aug 14 18:45:46 EDT 2017, 1, 5, 667.501, 10.4425, 660.144, 674.858, 636.62, 669.07, 670.99, 673.26, 674.17, 361920, 211.217, 361771, 362069, 361756, 361764, 361852, 362216, 362404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2087671, 0, 2087671, 2087671, 2087671, 2087671, 2087671, 2087671, 2087671, 2516159, 0, 2516159, 2516159, 2516159, 2516159, 2516159, 2516159, 2516159
Mon Aug 14 19:30:31 EDT 2017, 1, 10, 2613.27, 6.25052, 2608.87, 2617.67, 2602.71, 2609.00, 2613.48, 2622.47, 2624.30, 621837, 251.63, 621660, 622014, 621640, 621640, 621786, 622276, 622340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3458206, 0, 3458206, 3458206, 3458206, 3458206, 3458206, 3458206, 3458206, 5028632, 0, 5028632, 5028632, 5028632, 5028632, 5028632, 5028632, 5028632
Mon Aug 14 21:05:56 EDT 2017, 1, 15, 5578.25, 94.143, 5511.92, 5644.58, 5368.59, 5483.26, 5632.08, 5639.09, 5664.06, 888638, 969.906, 887955, 889321, 887812, 887832, 888678, 890280, 890376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4380504, 0, 4380504, 4380504, 4380504, 4380504, 4380504, 4380504, 4380504, 7544602, 0, 7544602, 7544602, 7544602, 7544602, 7544602, 7544602, 7544602
Mon Aug 14 23:45:49 EDT 2017, 1, 20, 9492.76, 28.4912, 9472.69, 9512.83, 9462.24, 9471.54, 9497.65, 9515.35, 9554.10, 1.1422e+06, 9409.66, 1.13557e+06, 1.14883e+06, 1125040, 1132416, 1147928, 1150936, 1153084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5018864, 0, 5018864, 5018864, 5018864, 5018864, 5018864, 5018864, 5018864, 10057233, 0, 10057233, 10057233, 10057233, 10057233, 10057233, 10057233, 10057233
