# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jul  3 15:37:21 EDT 2017, 0.100, 123, 22, 6, 22, 557, 2, 48, 26, 42, 1.350, 1.257
Mon Jul  3 15:42:33 EDT 2017, 0.600, 143, 27, 2, 11, 407, 11, 28, 11, 22, 1.440, 1.460
Mon Jul  3 15:47:40 EDT 2017, 0.850, 133, 25, 8, 16, 482, 16, 38, 19, 12, 1.530, 1.563
Mon Jul  3 15:52:37 EDT 2017, 0.350, 153, 20, 4, 27, 332, 6, 18, 4, 32, 1.273, 1.277
Mon Jul  3 15:57:38 EDT 2017, 0.480, 138, 29, 7, 13, 370, 4, 23, 22, 17, 1.267, 1.257
Mon Jul  3 16:02:15 EDT 2017, 0.980, 158, 24, 3, 24, 520, 13, 43, 7, 37, 3.127, 2.150
Mon Jul  3 16:07:21 EDT 2017, 0.730, 128, 21, 9, 19, 445, 18, 13, 15, 47, 1.730, 1.663
Mon Jul  3 16:12:33 EDT 2017, 0.230, 148, 26, 5, 8, 595, 9, 33, 0, 27, 1.560, 1.557
Mon Jul  3 16:17:29 EDT 2017, 0.170, 130, 21, 3, 12, 576, 3, 10, 24, 44, 1.270, 1.283
Mon Jul  3 16:22:46 EDT 2017, 0.670, 150, 26, 7, 23, 426, 12, 30, 9, 24, 1.530, 1.540
Mon Jul  3 16:27:42 EDT 2017, 0.920, 120, 28, 5, 29, 501, 17, 20, 17, 14, 1.467, 1.557
Mon Jul  3 16:32:14 EDT 2017, 0.420, 140, 23, 9, 18, 351, 8, 40, 2, 34, 1.557, 1.453
Mon Jul  3 16:37:30 EDT 2017, 0.290, 125, 27, 2, 26, 314, 5, 35, 28, 19, 1.277, 1.253
Mon Jul  3 16:42:27 EDT 2017, 0.790, 145, 22, 6, 15, 464, 15, 15, 13, 39, 1.787, 1.557
Mon Jul  3 16:47:33 EDT 2017, 0.540, 135, 24, 4, 9, 389, 19, 45, 21, 49, 4.760, 2.543
Mon Jul  3 16:52:45 EDT 2017, 0.040, 155, 29, 8, 20, 539, 10, 25, 6, 29, 1.363, 1.343
Mon Jul  3 16:57:52 EDT 2017, 0.030, 126, 20, 5, 15, 337, 15, 30, 22, 36, 1.570, 1.667
