# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jul  3 15:37:21 EDT 2017, 0.210, 123, 25, 5, 15, 497, 1, 35, 22, 22, 1.413, 1.280
Mon Jul  3 15:40:22 EDT 2017, 0.710, 143, 20, 9, 26, 347, 10, 15, 7, 42, 1.463, 1.287
Mon Jul  3 15:44:28 EDT 2017, 0.960, 133, 22, 3, 20, 572, 15, 45, 15, 32, 4.270, 2.477
Mon Jul  3 15:49:30 EDT 2017, 0.460, 153, 27, 7, 9, 422, 6, 25, 0, 12, 1.267, 1.263
Mon Jul  3 15:54:36 EDT 2017, 0.340, 138, 21, 4, 23, 385, 3, 10, 26, 37, 1.253, 1.260
Mon Jul  3 15:59:43 EDT 2017, 0.840, 158, 26, 8, 12, 535, 13, 30, 11, 17, 1.450, 1.557
Mon Jul  3 16:04:14 EDT 2017, 0.590, 128, 29, 2, 18, 310, 18, 20, 18, 27, 1.563, 1.553
Mon Jul  3 16:08:30 EDT 2017, 0.090, 148, 24, 6, 29, 460, 8, 40, 3, 47, 1.653, 1.553
Mon Jul  3 16:13:27 EDT 2017, 0.060, 127, 20, 7, 20, 525, 12, 31, 6, 16, 1.357, 1.360
Mon Jul  3 16:18:28 EDT 2017, 0.560, 147, 25, 3, 9, 375, 3, 11, 21, 36, 1.280, 1.247
Mon Jul  3 16:23:35 EDT 2017, 0.810, 137, 27, 9, 14, 450, 7, 41, 14, 46, 1.863, 1.760
Mon Jul  3 16:28:41 EDT 2017, 0.310, 157, 22, 5, 25, 300, 17, 21, 29, 26, 1.363, 1.360
Mon Jul  3 16:33:18 EDT 2017, 0.430, 132, 26, 6, 17, 338, 15, 16, 2, 41, 1.553, 1.467
Mon Jul  3 16:38:19 EDT 2017, 0.930, 152, 21, 2, 28, 488, 5, 36, 17, 21, 1.393, 1.553
Mon Jul  3 16:43:36 EDT 2017, 0.680, 122, 23, 8, 22, 413, 10, 26, 10, 11, 1.277, 1.230
Mon Jul  3 16:48:33 EDT 2017, 0.180, 142, 28, 4, 11, 563, 19, 46, 25, 31, 2.483, 1.863
Mon Jul  3 16:53:34 EDT 2017, 0.120, 135, 23, 2, 10, 582, 11, 29, 0, 19, 1.473, 1.443
Mon Jul  3 16:58:51 EDT 2017, 0.620, 155, 28, 6, 21, 432, 1, 49, 15, 39, 1.263, 1.250
Mon Jul  3 17:03:17 EDT 2017, 0.870, 125, 25, 4, 27, 507, 6, 19, 8, 49, 1.587, 1.577
Mon Jul  3 17:08:19 EDT 2017, 0.370, 145, 20, 8, 16, 357, 16, 39, 23, 29, 1.870, 1.570
Mon Jul  3 17:13:25 EDT 2017, 0.250, 120, 29, 3, 29, 319, 13, 44, 4, 44, 2.160, 1.560
