# runtime_mean for different queues & configs manually aggregated,,,,,,,,,,,,,,,,,,,,,
# phold,param,param,param,heap,heap,heap,2tHeap,2tHeap,2tHeap,fibHeap,fibHeap,fibHeap,3tHeap,3tHeap,3tHeap,2tLadderQ,2tLadderQ,2tLadderQ,ladderQ,ladderQ,ladderQ
#config,--delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci
ph3,5,0.25,10,43.944,41.6006,46.2874,32.265,31.6804,32.8496,30.279,28.8923,31.6657,27.669,25.5618,29.7762,39.86,38.9354,40.7846,40.77,39.8763,41.6637
ph3,10,0.25,10,48.098,45.7859,50.4101,30.767,27.9886,33.5454,34.695,31.6816,37.7084,29.215,28.0161,30.4139,41.284,38.5499,44.0181,41.858,39.6351,44.0809
ph3,1,0,15,32.016,29.1908,34.8412,24.199,21.4737,26.9243,27.122,24.2912,29.9528,22.959,22.1581,23.7599,26.646,25.8312,27.4608,26.393,24.7483,28.0377
ph3,2,0,15,50.675,49.1326,52.2174,30.519,28.2462,32.7918,39.381,37.4692,41.2928,31.134,29.9856,32.2824,44.864,43.9242,45.8038,45.48,44.5221,46.4379
ph3,5,0,15,70.374,64.9714,75.7766,48.951,46.1316,51.7704,51.348,50.2257,52.4703,34.795,31.3921,38.1979,61.258,58.1113,64.4047,59.752,56.0032,63.5008
ph3,10,0,15,71.427,67.6113,75.2427,44.254,42.7097,45.7983,54.679,53.6615,55.6965,40.277,38.4111,42.1429,64.134,60.3947,67.8733,63.025,60.0327,66.0173
ph3,1,0.25,15,32.125,30.0291,34.2209,26.872,25.7653,27.9787,26.021,22.654,29.388,21.218,19.4755,22.9605,24.138,22.2784,25.9976,24.595,22.5843,26.6057
ph3,2,0.25,15,45.157,42.5224,47.7916,30.639,28.8126,32.4654,37.763,34.6906,40.8354,30.242,29.1962,31.2878,43.267,40.961,45.573,44.391,43.3983,45.3837
ph3,5,0.25,15,67.5,64.3156,70.6844,45.098,41.6559,48.5401,48.538,45.663,51.413,39.213,36.4027,42.0233,59.386,56.146,62.626,61.146,60.0573,62.2347
ph3,10,0.25,15,74.843,70.5234,79.1626,46.397,43.5681,49.2259,44.01,39.998,48.022,39.598,36.9419,42.2541,62.929,59.7691,66.0889,63.424,59.9314,66.9166
