# runtime_mean for different queues & configs manually aggregated,,,,,,,,,,,,,,,,,,,,,
# phold,param,param,param,heap,heap,heap,2tHeap,2tHeap,2tHeap,fibHeap,fibHeap,fibHeap,3tHeap,3tHeap,3tHeap,2tLadderQ,2tLadderQ,2tLadderQ,ladderQ,ladderQ,ladderQ
#config,--delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci
ph5,5,0,15,220.113,213.583,226.643,128.026,123.098,132.954,153.842,147.741,159.943,125.703,117.49,133.916,186.863,183.343,190.383,198.732,194.901,202.563
ph5,10,0,15,215.982,207.295,224.669,134.428,133.637,135.219,170.814,164.839,176.789,121.922,117.917,125.927,179.579,175.167,183.991,180.321,174.759,185.883
ph5,1,0.25,15,103.573,101.095,106.051,77.49,76.8759,78.1041,102.299,99.5952,105.003,83.605,80.9623,86.2477,101.014,99.7359,102.292,103.007,100.415,105.599
ph5,2,0.25,15,152.322,146.738,157.906,101.273,96.7377,105.808,123.042,118.857,127.227,94.307,88.8048,99.8092,146.442,141.942,150.942,147.141,144.355,149.927
ph5,5,0.25,15,220.743,214.258,227.228,139.593,134.581,144.605,163.577,159.2,167.954,122.515,118.263,126.767,193.08,186.579,199.581,199.267,194.712,203.822
ph5,10,0.25,15,235.656,231.165,240.147,133.776,129.347,138.205,164.272,160.171,168.373,116.02,112.608,119.432,180.999,175.357,186.641,185.949,181.427,190.471
ph5,1,0,20,132.199,128.616,135.782,96.191,91.1822,101.2,123.535,118.222,128.848,97.611,96.4952,98.7268,131.003,129.227,132.779,129.194,125.504,132.884
ph5,2,0,20,217.95,214.986,220.914,129.566,128.244,130.888,167.374,161.731,173.017,140.279,136.849,143.709,202.239,197.497,206.981,196.922,193.19,200.654
ph5,5,0,20,297.291,289.7,304.882,172.977,169.746,176.208,199.517,193.826,205.208,145.126,140.085,150.167,265.219,255.545,274.893,268.932,265.882,271.982
ph5,10,0,20,308.585,289.384,327.786,172.047,167.592,176.502,214.78,211.027,218.533,148.782,144.93,152.634,244.146,241.235,247.057,241.669,232.81,250.528
ph5,1,0.25,20,136.07,133.024,139.116,94.215,90.2696,98.1604,124.454,118.425,130.483,97.893,94.1587,101.627,127.885,123.657,132.113,130.393,127.542,133.244
ph5,2,0.25,20,205.368,200.764,209.972,123.061,117.552,128.57,161.445,158.897,163.993,128.102,121.335,134.869,202.149,199.917,204.381,197.051,191.801,202.301
ph5,5,0.25,20,302.01,296.007,308.013,167.574,163.013,172.135,193.308,185.695,200.921,140.322,137.23,143.414,260.812,252.589,269.035,261.153,256.746,265.56
ph5,10,0.25,20,297.817,285.937,309.697,163.309,157.858,168.76,199.025,191.266,206.784,146.023,141.614,150.432,245.396,241.706,249.086,242.012,236.286,247.738
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,i,,
