# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Fri Dec 30 15:55:20 EST 2016, 0, 0.500, 1, 11.229, 1.27653, 10.3296, 12.1284, 8.78, 11.01, 11.165, 11.33, 14.41, 206893, 6.4, 206888, 206898, 206880, 206896, 206896, 206896, 206896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3580352, 0, 3580352, 3580352, 3580352, 3580352, 3580352, 3580352, 3580352, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 0.420436, 5.26836e-09, 0.420436, 0.420436, 0.420436, 0.420436, 0.420436, 0.420436, 0.420436, 1.39372, 0, 1.39372, 1.39372, 1.39372, 1.39372, 1.39372, 1.39372, 1.39372, 8.5069, 1.19209e-07, 8.5069, 8.5069, 8.5069, 8.5069, 8.5069, 8.5069, 8.5069, 6507413, 0, 6507413, 6507413, 6507413, 6507413, 6507413, 6507413, 6507413
Fri Dec 30 15:56:16 EST 2016, 1, 0.500, 1, 6.684, 0.394796, 6.40584, 6.96216, 6.15, 6.42, 6.67, 7.39, 7.41, 204120, 8, 204114, 204126, 204112, 204112, 204128, 204128, 204128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1719030, 0, 1719030, 1719030, 1719030, 1719030, 1719030, 1719030, 1719030, 1957119, 0, 1957119, 1957119, 1957119, 1957119, 1957119, 1957119, 1957119, 0.574655, 7.45058e-09, 0.574655, 0.574655, 0.574655, 0.574655, 0.574655, 0.574655, 0.574655, 1.14273, 1.49012e-08, 1.14273, 1.14273, 1.14273, 1.14273, 1.14273, 1.14273, 1.14273, 8.45415, 1.19209e-07, 8.45415, 8.45415, 8.45415, 8.45415, 8.45415, 8.45415, 8.45415, 2996223, 0, 2996223, 2996223, 2996223, 2996223, 2996223, 2996223, 2996223
Fri Dec 30 15:57:18 EST 2016, 2, 0.500, 1, 8.695, 0.785891, 8.1413, 9.2487, 6.89, 8.57, 8.785, 9.02, 10.33, 205443, 9.6, 205436, 205450, 205440, 205440, 205440, 205440, 205472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2550010, 0, 2550010, 2550010, 2550010, 2550010, 2550010, 2550010, 2550010, 3146693, 0, 3146693, 3146693, 3146693, 3146693, 3146693, 3146693, 3146693, 0.514119, 7.45058e-09, 0.514119, 0.514119, 0.514119, 0.514119, 0.514119, 0.514119, 0.514119, 1.23723, 0, 1.23723, 1.23723, 1.23723, 1.23723, 1.23723, 1.23723, 1.23723, 8.4765, 1.19209e-07, 8.4765, 8.4765, 8.4765, 8.4765, 8.4765, 8.4765, 8.4765, 4513797, 0, 4513797, 4513797, 4513797, 4513797, 4513797, 4513797, 4513797
Fri Dec 30 15:58:19 EST 2016, 4, 0.500, 1, 10.824, 0.264507, 10.6376, 11.0104, 10.53, 10.68, 10.75, 11.20, 11.27, 206485, 10.245, 206478, 206492, 206480, 206480, 206480, 206496, 206512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3232767, 0, 3232767, 3232767, 3232767, 3232767, 3232767, 3232767, 3232767, 4305357, 0, 4305357, 4305357, 4305357, 4305357, 4305357, 4305357, 4305357, 0.454855, 7.45058e-09, 0.454855, 0.454855, 0.454855, 0.454855, 0.454855, 0.454855, 0.454855, 1.33465, 0, 1.33465, 1.33465, 1.33465, 1.33465, 1.33465, 1.33465, 1.33465, 8.49693, 2.06477e-07, 8.49693, 8.49693, 8.49693, 8.49693, 8.49693, 8.49693, 8.49693, 5817229, 0, 5817229, 5817229, 5817229, 5817229, 5817229, 5817229, 5817229
Fri Dec 30 15:59:25 EST 2016, 8, 0.500, 1, 12.044, 1.10094, 11.2683, 12.8197, 10.26, 11.82, 12, 12.52, 14.84, 206998, 7.83837, 206992, 207004, 206992, 206992, 207000, 207008, 207008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3536251, 0, 3536251, 3536251, 3536251, 3536251, 3536251, 3536251, 3536251, 4888768, 0, 4888768, 4888768, 4888768, 4888768, 4888768, 4888768, 4888768, 0.425094, 5.26836e-09, 0.425094, 0.425094, 0.425094, 0.425094, 0.425094, 0.425094, 0.425094, 1.38528, 0, 1.38528, 1.38528, 1.38528, 1.38528, 1.38528, 1.38528, 1.38528, 8.50771, 1.68587e-07, 8.50771, 8.50771, 8.50771, 8.50771, 8.50771, 8.50771, 8.50771, 6418441, 0, 6418441, 6418441, 6418441, 6418441, 6418441, 6418441, 6418441
Fri Dec 30 16:00:42 EST 2016, 0, 0.000, 2, 19.752, 2.3229, 18.1154, 21.3886, 16.54, 18.62, 19.58, 21.12, 25.75, 251197, 9.6, 251190, 251204, 251184, 251184, 251200, 251200, 251216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4985519, 0, 4985519, 4985519, 4985519, 4985519, 4985519, 4985519, 4985519, 9960000, 0, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 0.997286, 2.10734e-08, 0.997286, 0.997286, 0.997286, 0.997286, 0.997286, 0.997286, 0.997286, 2.0018, 2.98023e-08, 2.0018, 2.0018, 2.0018, 2.0018, 2.0018, 2.0018, 2.0018, 12.0834, 1.68587e-07, 12.0834, 12.0834, 12.0834, 12.0834, 12.0834, 12.0834, 12.0834, 6697052, 0, 6697052, 6697052, 6697052, 6697052, 6697052, 6697052, 6697052
Fri Dec 30 16:01:28 EST 2016, 1, 0.000, 2, 11.184, 0.760371, 10.6483, 11.7197, 10.53, 10.60, 11.18, 12.11, 12.73, 227110, 10.6132, 227103, 227117, 227104, 227104, 227104, 227120, 227136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2883007, 0, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 3915395, 0, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 1.37185, 0, 1.37185, 1.37185, 1.37185, 1.37185, 1.37185, 1.37185, 1.37185, 1.36194, 2.58096e-08, 1.36194, 1.36194, 1.36194, 1.36194, 1.36194, 1.36194, 1.36194, 10.3993, 2.38419e-07, 10.3993, 10.3993, 10.3993, 10.3993, 10.3993, 10.3993, 10.3993, 4071684, 0, 4071684, 4071684, 4071684, 4071684, 4071684, 4071684, 4071684
Fri Dec 30 16:02:35 EST 2016, 2, 0.000, 2, 16.288, 1.41108, 15.2938, 17.2822, 15.11, 15.54, 15.75, 18.93, 19.22, 234650, 10.6132, 234643, 234657, 234640, 234640, 234656, 234656, 234672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3891614, 0, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 6296628, 0, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628, 1.22291, 2.10734e-08, 1.22291, 1.22291, 1.22291, 1.22291, 1.22291, 1.22291, 1.22291, 1.62156, 2.98023e-08, 1.62156, 1.62156, 1.62156, 1.62156, 1.62156, 1.62156, 1.62156, 10.9408, 2.38419e-07, 10.9408, 10.9408, 10.9408, 10.9408, 10.9408, 10.9408, 10.9408, 5416220, 0, 5416220, 5416220, 5416220, 5416220, 5416220, 5416220, 5416220
Fri Dec 30 16:03:46 EST 2016, 4, 0.000, 2, 20.327, 2.71805, 18.412, 22.242, 18.35, 18.47, 19.76, 25.62, 25.64, 243427, 6.4, 243422, 243432, 243424, 243424, 243424, 243440, 243440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4577612, 0, 4577612, 4577612, 4577612, 4577612, 4577612, 4577612, 4577612, 8612691, 0, 8612691, 8612691, 8612691, 8612691, 8612691, 8612691, 8612691, 1.07432, 0, 1.07432, 1.07432, 1.07432, 1.07432, 1.07432, 1.07432, 1.07432, 1.88534, 2.98023e-08, 1.88534, 1.88534, 1.88534, 1.88534, 1.88534, 1.88534, 1.88534, 11.5189, 0, 11.5189, 11.5189, 11.5189, 11.5189, 11.5189, 11.5189, 11.5189, 6303988, 0, 6303988, 6303988, 6303988, 6303988, 6303988, 6303988, 6303988
Fri Dec 30 16:04:48 EST 2016, 8, 0.000, 2, 20.331, 1.55724, 19.2338, 21.4282, 18.99, 19.67, 20.08, 20.44, 24.83, 249114, 10.6132, 249107, 249121, 249104, 249104, 249120, 249120, 249136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4913987, 0, 4913987, 4913987, 4913987, 4913987, 4913987, 4913987, 4913987, 9777899, 0, 9777899, 9777899, 9777899, 9777899, 9777899, 9777899, 9777899, 1.00513, 2.10734e-08, 1.00513, 1.00513, 1.00513, 1.00513, 1.00513, 1.00513, 1.00513, 1.99381, 2.98023e-08, 1.99381, 1.99381, 1.99381, 1.99381, 1.99381, 1.99381, 1.99381, 11.9614, 0, 11.9614, 11.9614, 11.9614, 11.9614, 11.9614, 11.9614, 11.9614, 6666903, 0, 6666903, 6666903, 6666903, 6666903, 6666903, 6666903, 6666903
