# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, topCancl_mean, topCancl_sd, topCancl_ci, topCancl_ci, topCancl_min, topCancl_box_q1, topCancl_median, topCancl_box_q2, topCancl_max, ladCancl_mean, ladCancl_sd, ladCancl_ci, ladCancl_ci, ladCancl_min, ladCancl_box_q1, ladCancl_median, ladCancl_box_q2, ladCancl_max, botCancl_mean, botCancl_sd, botCancl_ci, botCancl_ci, botCancl_min, botCancl_box_q1, botCancl_median, botCancl_box_q2, botCancl_max, topScan_mean, topScan_sd, topScan_ci, topScan_ci, topScan_min, topScan_box_q1, topScan_median, topScan_box_q2, topScan_max, ladScan_mean, ladScan_sd, ladScan_ci, ladScan_ci, ladScan_min, ladScan_box_q1, ladScan_median, ladScan_box_q2, ladScan_max, botScan_mean, botScan_sd, botScan_ci, botScan_ci, botScan_min, botScan_box_q1, botScan_median, botScan_box_q2, botScan_max, topIns_mean, topIns_sd, topIns_ci, topIns_ci, topIns_min, topIns_box_q1, topIns_median, topIns_box_q2, topIns_max, ladIns_mean, ladIns_sd, ladIns_ci, ladIns_ci, ladIns_min, ladIns_box_q1, ladIns_median, ladIns_box_q2, ladIns_max, botIns_mean, botIns_sd, botIns_ci, botIns_ci, botIns_min, botIns_box_q1, botIns_median, botIns_box_q2, botIns_max, rungs_mean, rungs_sd, rungs_ci, rungs_ci, rungs_min, rungs_box_q1, rungs_median, rungs_box_q2, rungs_max, bktRung_mean, bktRung_sd, bktRung_ci, bktRung_ci, bktRung_min, bktRung_box_q1, bktRung_median, bktRung_box_q2, bktRung_max, botSize_mean, botSize_sd, botSize_ci, botSize_ci, botSize_min, botSize_box_q1, botSize_median, botSize_box_q2, botSize_max, bktSize_mean, bktSize_sd, bktSize_ci, bktSize_ci, bktSize_min, bktSize_box_q1, bktSize_median, bktSize_box_q2, bktSize_max
Fri Dec 30 15:06:07 EST 2016, 0, 0.000, 1, 9.825, 1.10923, 9.04349, 10.6065, 8.54, 9.14, 9.935, 10.21, 12.71, 213166, 119.401, 213082, 213250, 212928, 213216, 213232, 213232, 213232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 10000, 0, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Dec 30 15:06:59 EST 2016, 1, 0.000, 1, 4.789, 0.411739, 4.49891, 5.07909, 3.89, 4.79, 4.935, 5.15, 5.20, 196498, 37.4892, 196472, 196524, 196480, 196480, 196488, 196496, 196608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 259984, 0, 259984, 259984, 259984, 259984, 259984, 259984, 259984, 1704388, 0, 1704388, 1704388, 1704388, 1704388, 1704388, 1704388, 1704388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1.00817, 0, 1.00817, 1.00817, 1.00817, 1.00817, 1.00817, 1.00817, 1.00817, 3936.62, 0, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 1.00002, 2.58096e-08, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002
Fri Dec 30 15:08:06 EST 2016, 2, 0.000, 1, 7.048, 0.441855, 6.73669, 7.35931, 5.88, 7.01, 7.21, 7.41, 7.50, 202458, 7.83837, 202452, 202464, 202448, 202448, 202464, 202464, 202464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499982, 0, 499982, 499982, 499982, 499982, 499982, 499982, 499982, 2655188, 0, 2655188, 2655188, 2655188, 2655188, 2655188, 2655188, 2655188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1.00333, -nan, nan, nan, 1.00333, 1.00333, 1.00333, 1.00333, 1.00333, 6322.99, 8.63167e-05, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 1.00002, 2.58096e-08, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002
Fri Dec 30 15:09:08 EST 2016, 4, 0.000, 1, 9.012, 0.240907, 8.84227, 9.18173, 8.60, 8.88, 8.99, 9.23, 9.54, 208493, 9.6, 208486, 208500, 208480, 208480, 208496, 208496, 208512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 939984, 0, 939984, 939984, 939984, 939984, 939984, 939984, 939984, 3374548, 0, 3374548, 3374548, 3374548, 3374548, 3374548, 3374548, 3374548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1.00107, -nan, nan, nan, 1.00107, 1.00107, 1.00107, 1.00107, 1.00107, 8646.36, 0.00012207, 8646.36, 8646.36, 8646.36, 8646.36, 8646.36, 8646.36, 8646.36, 1.00002, 2.58096e-08, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002
Fri Dec 30 15:10:09 EST 2016, 8, 0.000, 1, 9.894, 0.249287, 9.71836, 10.0696, 9.43, 9.73, 9.885, 10.22, 10.31, 211539, 9.6, 211532, 211546, 211536, 211536, 211536, 211536, 211568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1669820, 0, 1669820, 1669820, 1669820, 1669820, 1669820, 1669820, 1669820, 3228795, 0, 3228795, 3228795, 3228795, 3228795, 3228795, 3228795, 3228795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1, 0, 1, 1, 1, 1, 1, 1, 1, 9816.86, 0.00012207, 9816.86, 9816.86, 9816.86, 9816.86, 9816.86, 9816.86, 9816.86, 1.00001, 2.58096e-08, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001
Fri Dec 30 15:11:11 EST 2016, 0, 0.250, 1, 9.556, 1.05332, 8.81388, 10.2981, 8.35, 8.88, 9.31, 11.06, 11.86, 182747, 10.245, 182740, 182754, 182736, 182736, 182752, 182752, 182768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 10000, 0, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Dec 30 15:12:08 EST 2016, 1, 0.250, 1, 4.951, 0.180469, 4.82385, 5.07815, 4.61, 4.84, 4.92, 5.19, 5.25, 180459, 7.33212, 180454, 180464, 180448, 180448, 180464, 180464, 180464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267719, 0, 267719, 267719, 267719, 267719, 267719, 267719, 267719, 1696966, 0, 1696966, 1696966, 1696966, 1696966, 1696966, 1696966, 1696966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1.00075, 1.49012e-08, 1.00075, 1.00075, 1.00075, 1.00075, 1.00075, 1.00075, 1.00075, 3937.24, 9.65051e-05, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 1.00002, 2.58096e-08, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002
Fri Dec 30 15:13:10 EST 2016, 2, 0.250, 1, 7.256, 0.818416, 6.67938, 7.83262, 5.72, 7.03, 7.19, 8.55, 8.72, 182730, 10.6132, 182723, 182737, 182720, 182720, 182736, 182736, 182752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 509952, 0, 509952, 509952, 509952, 509952, 509952, 509952, 509952, 2645181, 0, 2645181, 2645181, 2645181, 2645181, 2645181, 2645181, 2645181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1.00251, -nan, nan, nan, 1.00251, 1.00251, 1.00251, 1.00251, 1.00251, 6322.91, -nan, nan, nan, 6322.91, 6322.91, 6322.91, 6322.91, 6322.91, 1.00002, 2.58096e-08, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002
Fri Dec 30 15:14:16 EST 2016, 4, 0.250, 1, 9.129, 0.90951, 8.4882, 9.7698, 7.47, 8.97, 9.13, 9.16, 11.44, 183816, 8, 183810, 183822, 183808, 183808, 183824, 183824, 183824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 928598, 0, 928598, 928598, 928598, 928598, 928598, 928598, 928598, 3385881, 0, 3385881, 3385881, 3385881, 3385881, 3385881, 3385881, 3385881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1, 0, 1, 1, 1, 1, 1, 1, 1, 8646.25, 0, 8646.25, 8646.25, 8646.25, 8646.25, 8646.25, 8646.25, 8646.25, 1.00002, 2.58096e-08, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002, 1.00002
Fri Dec 30 15:15:18 EST 2016, 8, 0.250, 1, 9.831, 0.798066, 9.26872, 10.3933, 8.59, 9.57, 9.8, 9.85, 11.98, 185016, 8, 185010, 185022, 185008, 185008, 185024, 185024, 185024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1650000, 0, 1650000, 1650000, 1650000, 1650000, 1650000, 1650000, 1650000, 3248636, 0, 3248636, 3248636, 3248636, 3248636, 3248636, 3248636, 3248636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 5, 5, 5, 5, 5, 1.00195, -nan, nan, nan, 1.00195, 1.00195, 1.00195, 1.00195, 1.00195, 9816.91, -nan, nan, nan, 9816.91, 9816.91, 9816.91, 9816.91, 9816.91, 1.00001, 2.58096e-08, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001
