# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Fri Jan 13 22:36:09 EST 2017, 1, 5, 0.000, 2, 39.363, 1.31674, 38.4353, 40.2907, 36.94, 39.11, 40.025, 40.55, 40.9, 585406, 2.6533, 585404, 585408, 585404, 585404, 585408, 585408, 585412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9379418, 0, 9379418, 9379418, 9379418, 9379418, 9379418, 9379418, 9379418, 17990516, 0, 17990516, 17990516, 17990516, 17990516, 17990516, 17990516, 17990516, 1.03548, 1.49012e-08, 1.03548, 1.03548, 1.03548, 1.03548, 1.03548, 1.03548, 1.03548, 1.9378, 2.98023e-08, 1.9378, 1.9378, 1.9378, 1.9378, 1.9378, 1.9378, 1.9378, 14.0188, 2.38419e-07, 14.0188, 14.0188, 14.0188, 14.0188, 14.0188, 14.0188, 14.0188, 12747570, 0, 12747570, 12747570, 12747570, 12747570, 12747570, 12747570, 12747570
Fri Jan 13 22:38:11 EST 2017, 1, 10, 0.000, 2, 41.117, 1.55436, 40.0219, 42.2121, 38.34, 40.53, 42.145, 42.6, 42.89, 583294, 1.9596, 583293, 583295, 583292, 583292, 583294, 583296, 583296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9843869, 0, 9843869, 9843869, 9843869, 9843869, 9843869, 9843869, 9843869, 19468175, 0, 19468175, 19468175, 19468175, 19468175, 19468175, 19468175, 19468175, 0.995335, 1.82501e-08, 0.995335, 0.995335, 0.995335, 0.995335, 0.995335, 0.995335, 0.995335, 1.99788, 3.65002e-08, 1.99788, 1.99788, 1.99788, 1.99788, 1.99788, 1.99788, 1.99788, 14.4636, 2.38419e-07, 14.4636, 14.4636, 14.4636, 14.4636, 14.4636, 14.4636, 14.4636, 12908156, 0, 12908156, 12908156, 12908156, 12908156, 12908156, 12908156, 12908156
Fri Jan 13 22:39:58 EST 2017, 1, 1, 0.250, 2, 22.241, 0.40781, 21.9537, 22.5283, 21.85, 21.91, 22.3, 22.79, 22.8, 501238, 2.6533, 501236, 501240, 501236, 501236, 501240, 501240, 501244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5722549, 0, 5722549, 5722549, 5722549, 5722549, 5722549, 5722549, 5722549, 7679389, 0, 7679389, 7679389, 7679389, 7679389, 7679389, 7679389, 7679389, 1.28688, 0, 1.28688, 1.28688, 1.28688, 1.28688, 1.28688, 1.28688, 1.28688, 1.36159, 0, 1.36159, 1.36159, 1.36159, 1.36159, 1.36159, 1.36159, 1.36159, 12.1667, 2.38419e-07, 12.1667, 12.1667, 12.1667, 12.1667, 12.1667, 12.1667, 12.1667, 8373114, 0, 8373114, 8373114, 8373114, 8373114, 8373114, 8373114, 8373114
Fri Jan 13 22:42:10 EST 2017, 1, 2, 0.250, 2, 32.214, 0.646115, 31.7588, 32.6692, 31.14, 31.31, 32.63, 32.71, 32.74, 511415, 2.56126, 511413, 511417, 511412, 511412, 511416, 511416, 511420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7682439, 0, 7682439, 7682439, 7682439, 7682439, 7682439, 7682439, 7682439, 12375971, 0, 12375971, 12375971, 12375971, 12375971, 12375971, 12375971, 12375971, 1.12967, 2.10734e-08, 1.12967, 1.12967, 1.12967, 1.12967, 1.12967, 1.12967, 1.12967, 1.62946, 2.10734e-08, 1.62946, 1.62946, 1.62946, 1.62946, 1.62946, 1.62946, 1.62946, 12.3444, 2.92002e-07, 12.3444, 12.3444, 12.3444, 12.3444, 12.3444, 12.3444, 12.3444, 11227213, 0, 11227213, 11227213, 11227213, 11227213, 11227213, 11227213, 11227213
Fri Jan 13 22:44:22 EST 2017, 1, 5, 0.250, 2, 40.937, 0.951, 40.267, 41.607, 40.09, 40.13, 41.105, 42.16, 42.23, 521046, 2, 521045, 521047, 521044, 521044, 521048, 521048, 521048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9098778, 0, 9098778, 9098778, 9098778, 9098778, 9098778, 9098778, 9098778, 17989772, 0, 17989772, 17989772, 17989772, 17989772, 17989772, 17989772, 17989772, 0.924833, 2.10734e-08, 0.924833, 0.924833, 0.924833, 0.924833, 0.924833, 0.924833, 0.924833, 1.99758, 2.10734e-08, 1.99758, 1.99758, 1.99758, 1.99758, 1.99758, 1.99758, 1.99758, 12.4669, 2.38419e-07, 12.4669, 12.4669, 12.4669, 12.4669, 12.4669, 12.4669, 12.4669, 13348687, 0, 13348687, 13348687, 13348687, 13348687, 13348687, 13348687, 13348687
Fri Jan 13 22:46:24 EST 2017, 1, 10, 0.250, 2, 41.219, 1.6776, 40.037, 42.401, 38.29, 40.62, 42.42, 42.67, 43.15, 523238, 2.68328, 523236, 523240, 523236, 523236, 523238, 523240, 523244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9358237, 0, 9358237, 9358237, 9358237, 9358237, 9358237, 9358237, 9358237, 19468075, 0, 19468075, 19468075, 19468075, 19468075, 19468075, 19468075, 19468075, 0.867674, 1.82501e-08, 0.867674, 0.867674, 0.867674, 0.867674, 0.867674, 0.867674, 0.867674, 2.10156, 2.98023e-08, 2.10156, 2.10156, 2.10156, 2.10156, 2.10156, 2.10156, 2.10156, 12.5248, 1.68587e-07, 12.5248, 12.5248, 12.5248, 12.5248, 12.5248, 12.5248, 12.5248, 13713369, 0, 13713369, 13713369, 13713369, 13713369, 13713369, 13713369, 13713369
Fri Jan 13 22:48:31 EST 2017, 1, 1, 0.000, 5, 43.079, 0.958305, 42.4038, 43.7542, 42.16, 42.26, 43.32, 44.27, 44.31, 596038, 2.68328, 596036, 596040, 596036, 596036, 596038, 596040, 596044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8816532, 0, 8816532, 8816532, 8816532, 8816532, 8816532, 8816532, 8816532, 19266432, 0, 19266432, 19266432, 19266432, 19266432, 19266432, 19266432, 19266432, 2.89382, 5.96046e-08, 2.89382, 2.89382, 2.89382, 2.89382, 2.89382, 2.89382, 2.89382, 2.20929, 5.16191e-08, 2.20929, 2.20929, 2.20929, 2.20929, 2.20929, 2.20929, 2.20929, 15.4135, 3.37175e-07, 15.4135, 15.4135, 15.4135, 15.4135, 15.4135, 15.4135, 15.4135, 9986927, 0, 9986927, 9986927, 9986927, 9986927, 9986927, 9986927, 9986927
Fri Jan 13 22:50:43 EST 2017, 1, 2, 0.000, 5, 53.17, 1.35529, 52.2151, 54.1249, 51.82, 51.96, 53.275, 55.05, 55.23, 616208, 2.79999, 616206, 616210, 616204, 616208, 616208, 616212, 616212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9724405, 0, 9724405, 9724405, 9724405, 9724405, 9724405, 9724405, 9724405, 30973227, 0, 30973227, 30973227, 30973227, 30973227, 30973227, 30973227, 30973227, 2.21394, 4.21468e-08, 2.21394, 2.21394, 2.21394, 2.21394, 2.21394, 2.21394, 2.21394, 3.21786, 8.42937e-08, 3.21786, 3.21786, 3.21786, 3.21786, 3.21786, 3.21786, 3.21786, 15.676, 2.38419e-07, 15.676, 15.676, 15.676, 15.676, 15.676, 15.676, 15.676, 10822258, 0, 10822258, 10822258, 10822258, 10822258, 10822258, 10822258, 10822258
Fri Jan 13 22:52:55 EST 2017, 1, 5, 0.000, 5, 60.474, 3.53874, 57.9808, 62.9672, 53.64, 56.1, 62.395, 63.66, 64.16, 644844, 2.52983, 644842, 644846, 644840, 644844, 644844, 644848, 644848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9898927, 0, 9898927, 9898927, 9898927, 9898927, 9898927, 9898927, 9898927, 44978968, 0, 44978968, 44978968, 44978968, 44978968, 44978968, 44978968, 44978968, 1.50338, 0, 1.50338, 1.50338, 1.50338, 1.50338, 1.50338, 1.50338, 1.50338, 4.59019, 5.96046e-08, 4.59019, 4.59019, 4.59019, 4.59019, 4.59019, 4.59019, 4.59019, 15.6533, 1.68587e-07, 15.6533, 15.6533, 15.6533, 15.6533, 15.6533, 15.6533, 15.6533, 11134014, 0, 11134014, 11134014, 11134014, 11134014, 11134014, 11134014, 11134014
Fri Jan 13 22:56:58 EST 2017, 1, 10, 0.000, 5, 57.183, 3.09425, 55.0029, 59.3631, 51.09, 53.36, 59.145, 59.33, 59.51, 645175, 3.12409, 645173, 645177, 645172, 645172, 645176, 645180, 645180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 48670227, 0.707107, 4.86702e+07, 4.86702e+07, 48670227, 48670227, 48670227, 48670227, 48670227, 1.31198, 0, 1.31198, 1.31198, 1.31198, 1.31198, 1.31198, 1.31198, 1.31198, 4.96635, 1.03238e-07, 4.96635, 4.96635, 4.96635, 4.96635, 4.96635, 4.96635, 4.96635, 15.6597, 3.76973e-07, 15.6597, 15.6597, 15.6597, 15.6597, 15.6597, 15.6597, 15.6597, 11201505, 0, 11201505, 11201505, 11201505, 11201505, 11201505, 11201505, 11201505
