# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 11:26:35 EST 2017, 4305, 0.390, 4, 0.570, 507, 28, 16, 18, 24, 14.390, 14.223
Mon Jan  9 11:28:05 EST 2017, 9255, 0.890, 8, 0.070, 357, 73, 7, 43, 69, 79.020, 86.263
Mon Jan  9 11:28:11 EST 2017, 6780, 0.140, 6, 0.820, 432, 50, 2, 6, 47, 4.903, 5.137
Mon Jan  9 11:31:45 EST 2017, 1830, 0.640, 2, 0.320, 582, 95, 11, 31, 92, 193.307, 195.730
Mon Jan  9 11:32:59 EST 2017, 2449, 0.320, 6, 0.010, 526, 90, 17, 9, 30, 64.693, 64.367
Mon Jan  9 11:33:25 EST 2017, 7399, 0.820, 1, 0.510, 376, 45, 8, 34, 75, 23.387, 23.930
Mon Jan  9 11:33:37 EST 2017, 9874, 0.070, 3, 0.260, 301, 67, 3, 22, 52, 9.790, 11.080
Mon Jan  9 11:35:08 EST 2017, 4924, 0.570, 8, 0.760, 451, 22, 13, 47, 97, 88.090, 82.597
Mon Jan  9 11:35:11 EST 2017, 3686, 0.200, 2, 0.130, 338, 11, 15, 28, 19, 2.613, 2.857
Mon Jan  9 11:35:34 EST 2017, 8636, 0.700, 7, 0.630, 488, 56, 6, 3, 64, 20.040, 20.567
Mon Jan  9 11:35:40 EST 2017, 6161, 0.450, 9, 0.380, 563, 33, 1, 40, 41, 5.130, 5.373
Mon Jan  9 11:37:10 EST 2017, 1211, 0.950, 4, 0.880, 413, 78, 10, 15, 86, 87.550, 82.743
Mon Jan  9 11:37:27 EST 2017, 902, 0.480, 1, 0.850, 329, 59, 10, 4, 78, 13.513, 16.167
Mon Jan  9 11:37:48 EST 2017, 5852, 0.980, 6, 0.350, 479, 14, 19, 29, 33, 17.760, 19.183
Mon Jan  9 11:40:14 EST 2017, 8327, 0.230, 8, 0.600, 554, 81, 14, 17, 55, 128.680, 127.520
Mon Jan  9 11:40:17 EST 2017, 3377, 0.730, 4, 0.100, 404, 36, 5, 42, 10, 3.180, 3.160
Mon Jan  9 11:42:07 EST 2017, 4614, 0.110, 7, 0.970, 592, 48, 7, 36, 89, 99.280, 98.583
Mon Jan  9 11:43:14 EST 2017, 9564, 0.610, 2, 0.470, 442, 93, 17, 11, 44, 61.830, 62.517
Mon Jan  9 11:44:07 EST 2017, 7089, 0.360, 5, 0.720, 367, 25, 12, 48, 66, 47.933, 47.117
Mon Jan  9 11:44:22 EST 2017, 2139, 0.860, 9, 0.220, 517, 70, 3, 23, 21, 9.853, 12.950
Mon Jan  9 11:47:00 EST 2017, 1521, 0.170, 3, 0.410, 460, 76, 8, 45, 94, 148.107, 138.777
Mon Jan  9 11:47:34 EST 2017, 6471, 0.670, 8, 0.910, 310, 31, 18, 20, 49, 27.613, 33.023
Mon Jan  9 11:50:50 EST 2017, 8946, 0.420, 5, 0.160, 385, 98, 13, 32, 72, 170.410, 190.573
Mon Jan  9 11:50:54 EST 2017, 3996, 0.920, 1, 0.660, 535, 53, 4, 7, 27, 3.090, 3.220
Mon Jan  9 11:51:23 EST 2017, 2758, 0.290, 9, 0.290, 423, 42, 6, 14, 83, 24.497, 28.683
Mon Jan  9 11:54:16 EST 2017, 7708, 0.790, 4, 0.790, 573, 87, 16, 39, 38, 160.307, 169.737
Mon Jan  9 11:54:24 EST 2017, 5233, 0.040, 2, 0.040, 498, 19, 11, 1, 61, 7.703, 6.270
Mon Jan  9 11:54:26 EST 2017, 283, 0.540, 6, 0.540, 348, 64, 1, 26, 16, 1.640, 1.643
Mon Jan  9 11:57:26 EST 2017, 361, 0.140, 2, 0.900, 547, 71, 16, 43, 67, 171.390, 166.300
Mon Jan  9 11:57:33 EST 2017, 5311, 0.640, 7, 0.400, 397, 26, 7, 18, 22, 5.503, 7.187
Mon Jan  9 11:58:10 EST 2017, 7786, 0.390, 9, 0.650, 322, 93, 2, 31, 90, 31.287, 32.417
Mon Jan  9 11:58:33 EST 2017, 2836, 0.890, 4, 0.150, 472, 48, 11, 6, 45, 19.357, 22.033
Mon Jan  9 11:59:32 EST 2017, 4073, 0.270, 6, 0.780, 360, 37, 18, 24, 56, 49.680, 58.487
Mon Jan  9 11:59:46 EST 2017, 9023, 0.770, 1, 0.280, 510, 82, 9, 49, 11, 11.377, 13.100
Mon Jan  9 11:59:53 EST 2017, 6548, 0.020, 3, 0.530, 585, 15, 4, 12, 78, 6.250, 6.653
Mon Jan  9 12:01:24 EST 2017, 1598, 0.520, 8, 0.030, 435, 60, 14, 37, 33, 85.493, 71.917
Mon Jan  9 12:02:25 EST 2017, 2217, 0.460, 5, 0.340, 378, 65, 15, 9, 61, 54.370, 59.257
Mon Jan  9 12:02:30 EST 2017, 7167, 0.960, 9, 0.840, 528, 20, 5, 34, 16, 3.503, 3.803
Mon Jan  9 12:02:47 EST 2017, 9642, 0.210, 7, 0.090, 453, 88, 1, 21, 84, 17.120, 17.023
Mon Jan  9 12:03:18 EST 2017, 4692, 0.710, 3, 0.590, 303, 43, 10, 46, 39, 29.267, 25.417
Mon Jan  9 12:07:06 EST 2017, 3454, 0.080, 8, 0.470, 491, 54, 17, 27, 73, 136.140, 205.110
Mon Jan  9 12:07:23 EST 2017, 8404, 0.580, 4, 0.970, 341, 99, 8, 2, 28, 12.393, 14.210
Mon Jan  9 12:07:41 EST 2017, 5929, 0.330, 2, 0.220, 416, 31, 3, 40, 95, 17.063, 14.797
Mon Jan  9 12:09:25 EST 2017, 979, 0.830, 6, 0.720, 566, 76, 13, 15, 50, 85.597, 99.983
Mon Jan  9 12:10:03 EST 2017, 1289, 0.360, 9, 0.500, 481, 96, 7, 1, 47, 28.627, 29.637
Mon Jan  9 12:12:04 EST 2017, 6239, 0.860, 5, 0.000, 331, 51, 17, 26, 92, 112.977, 111.000
Mon Jan  9 12:12:23 EST 2017, 8714, 0.110, 2, 0.750, 406, 74, 12, 13, 25, 18.213, 16.287
Mon Jan  9 12:12:39 EST 2017, 3764, 0.610, 7, 0.250, 556, 29, 2, 38, 70, 14.817, 13.323
Mon Jan  9 12:12:52 EST 2017, 5001, 0.240, 4, 0.620, 444, 17, 10, 32, 36, 11.827, 11.887
Mon Jan  9 12:15:49 EST 2017, 9951, 0.740, 8, 0.120, 594, 62, 19, 7, 81, 147.060, 169.863
Mon Jan  9 12:16:15 EST 2017, 7476, 0.490, 6, 0.870, 519, 40, 14, 45, 14, 23.063, 23.700
Mon Jan  9 12:16:31 EST 2017, 2526, 0.990, 1, 0.370, 369, 85, 5, 20, 59, 14.353, 15.110
Mon Jan  9 12:17:19 EST 2017, 1907, 0.050, 6, 0.190, 313, 79, 6, 48, 42, 39.750, 44.290
Mon Jan  9 12:18:19 EST 2017, 6857, 0.550, 2, 0.690, 463, 34, 15, 23, 87, 58.047, 54.487
Mon Jan  9 12:18:54 EST 2017, 9332, 0.300, 4, 0.440, 538, 57, 11, 35, 19, 27.610, 33.477
Mon Jan  9 12:18:55 EST 2017, 4382, 0.800, 9, 0.940, 388, 12, 1, 10, 64, 0.903, 0.840
Mon Jan  9 12:19:04 EST 2017, 3145, 0.430, 1, 0.060, 575, 23, 8, 16, 53, 7.597, 8.193
Mon Jan  9 12:24:47 EST 2017, 8095, 0.930, 5, 0.560, 425, 68, 18, 41, 98, 326.313, 301.990
Mon Jan  9 12:25:00 EST 2017, 5620, 0.180, 7, 0.310, 350, 45, 13, 4, 31, 12.083, 11.087
Mon Jan  9 12:25:58 EST 2017, 670, 0.680, 3, 0.810, 500, 90, 4, 29, 76, 54.147, 53.403
Mon Jan  9 12:26:05 EST 2017, 515, 0.380, 7, 0.480, 420, 13, 12, 22, 29, 6.627, 6.153
Mon Jan  9 12:26:26 EST 2017, 5465, 0.880, 2, 0.980, 570, 58, 2, 47, 74, 19.770, 19.273
Mon Jan  9 12:26:38 EST 2017, 7940, 0.130, 5, 0.230, 495, 36, 7, 9, 52, 12.130, 12.380
Mon Jan  9 12:30:53 EST 2017, 2990, 0.630, 9, 0.730, 345, 81, 16, 34, 97, 244.397, 236.130
Mon Jan  9 12:31:33 EST 2017, 4228, 0.000, 1, 0.360, 458, 92, 14, 41, 18, 31.773, 32.260
Mon Jan  9 12:31:46 EST 2017, 9178, 0.500, 6, 0.860, 308, 47, 4, 16, 63, 11.163, 11.533
Mon Jan  9 12:32:31 EST 2017, 6703, 0.250, 8, 0.110, 383, 69, 9, 28, 40, 40.153, 41.257
Mon Jan  9 12:33:04 EST 2017, 1753, 0.750, 3, 0.610, 533, 24, 19, 3, 85, 29.763, 29.787
Mon Jan  9 12:33:15 EST 2017, 2371, 0.190, 8, 0.790, 589, 30, 10, 25, 12, 9.960, 7.117
Mon Jan  9 12:33:21 EST 2017, 7321, 0.690, 4, 0.290, 439, 75, 1, 0, 57, 3.567, 5.387
Mon Jan  9 12:33:39 EST 2017, 9796, 0.440, 2, 0.540, 364, 52, 6, 38, 35, 15.260, 16.110
Mon Jan  9 12:37:33 EST 2017, 4846, 0.940, 6, 0.040, 514, 97, 15, 13, 80, 183.463, 221.860
Mon Jan  9 12:37:54 EST 2017, 3609, 0.320, 3, 0.920, 327, 86, 13, 6, 23, 18.833, 14.743
Mon Jan  9 12:38:16 EST 2017, 8559, 0.820, 7, 0.420, 477, 41, 3, 31, 68, 20.660, 20.573
Mon Jan  9 12:39:06 EST 2017, 6084, 0.070, 5, 0.670, 552, 64, 8, 19, 46, 42.357, 44.557
Mon Jan  9 12:39:43 EST 2017, 1134, 0.570, 1, 0.170, 402, 19, 18, 44, 91, 32.213, 35.787
Mon Jan  9 12:40:06 EST 2017, 825, 0.100, 4, 0.080, 355, 38, 3, 33, 99, 18.757, 21.280
Mon Jan  9 12:41:22 EST 2017, 5775, 0.600, 9, 0.580, 505, 83, 12, 8, 54, 69.280, 69.453
Mon Jan  9 12:42:49 EST 2017, 8250, 0.350, 7, 0.330, 580, 16, 17, 45, 77, 74.393, 79.400
Mon Jan  9 12:43:06 EST 2017, 3300, 0.850, 2, 0.830, 430, 61, 7, 20, 32, 15.283, 15.027
Mon Jan  9 12:43:47 EST 2017, 4537, 0.470, 8, 0.200, 542, 72, 5, 2, 88, 35.157, 38.550
Mon Jan  9 12:44:15 EST 2017, 9487, 0.970, 3, 0.700, 392, 27, 15, 27, 43, 23.143, 23.650
Mon Jan  9 12:45:14 EST 2017, 7012, 0.220, 1, 0.450, 317, 95, 19, 14, 66, 51.830, 58.287
Mon Jan  9 12:45:45 EST 2017, 2062, 0.720, 5, 0.950, 467, 50, 10, 39, 21, 26.407, 27.170
Mon Jan  9 12:45:56 EST 2017, 1443, 0.290, 3, 0.640, 524, 44, 2, 17, 83, 10.457, 11.270
Mon Jan  9 12:47:34 EST 2017, 6393, 0.790, 7, 0.140, 374, 89, 11, 42, 38, 85.000, 88.413
Mon Jan  9 12:47:55 EST 2017, 8868, 0.040, 9, 0.890, 449, 22, 16, 5, 60, 18.430, 18.310
Mon Jan  9 12:48:15 EST 2017, 3918, 0.540, 5, 0.390, 599, 67, 6, 30, 15, 18.090, 15.263
Mon Jan  9 12:49:22 EST 2017, 2681, 0.160, 6, 0.510, 411, 55, 4, 48, 94, 62.943, 65.183
Mon Jan  9 12:49:29 EST 2017, 7631, 0.660, 1, 0.010, 561, 10, 13, 23, 49, 5.567, 6.437
Mon Jan  9 12:53:59 EST 2017, 5156, 0.410, 4, 0.760, 486, 78, 18, 36, 71, 255.020, 243.893
Mon Jan  9 12:54:07 EST 2017, 206, 0.910, 8, 0.260, 336, 33, 9, 11, 26, 6.970, 6.583
Mon Jan  9 12:54:12 EST 2017, 245, 0.080, 6, 0.840, 471, 19, 15, 3, 23, 4.563, 4.973
Mon Jan  9 12:54:30 EST 2017, 5195, 0.580, 1, 0.340, 321, 64, 5, 28, 68, 16.007, 14.510
Mon Jan  9 12:54:33 EST 2017, 7670, 0.330, 4, 0.590, 396, 42, 1, 15, 46, 2.740, 2.660
Mon Jan  9 12:59:28 EST 2017, 2720, 0.830, 8, 0.090, 546, 87, 10, 40, 91, 256.037, 284.853
Mon Jan  9 13:00:02 EST 2017, 3957, 0.450, 2, 0.960, 433, 98, 17, 34, 12, 30.107, 30.347
Mon Jan  9 13:00:44 EST 2017, 8907, 0.950, 7, 0.460, 583, 53, 8, 9, 57, 38.033, 40.717
Mon Jan  9 13:01:15 EST 2017, 6432, 0.200, 9, 0.710, 508, 75, 3, 47, 34, 30.903, 26.423
Mon Jan  9 13:02:00 EST 2017, 1482, 0.700, 5, 0.210, 358, 30, 12, 22, 79, 38.860, 42.520
Mon Jan  9 13:02:15 EST 2017, 2101, 0.270, 7, 0.400, 302, 25, 16, 44, 17, 12.220, 13.803
Mon Jan  9 13:02:56 EST 2017, 7051, 0.770, 3, 0.900, 452, 70, 6, 19, 62, 39.577, 38.067
Mon Jan  9 13:03:00 EST 2017, 9526, 0.020, 1, 0.150, 527, 47, 2, 31, 40, 4.237, 4.453
Mon Jan  9 13:04:16 EST 2017, 4576, 0.520, 5, 0.650, 377, 92, 11, 6, 85, 69.133, 74.377
Mon Jan  9 13:05:32 EST 2017, 3338, 0.140, 4, 0.280, 565, 81, 18, 12, 29, 68.690, 68.547
Mon Jan  9 13:06:32 EST 2017, 8288, 0.640, 9, 0.780, 415, 36, 9, 37, 74, 50.777, 56.320
Mon Jan  9 13:06:40 EST 2017, 5813, 0.390, 6, 0.030, 340, 58, 4, 0, 51, 7.277, 6.920
Mon Jan  9 13:07:09 EST 2017, 863, 0.890, 2, 0.530, 490, 13, 14, 25, 96, 24.857, 25.587
Mon Jan  9 13:08:11 EST 2017, 1173, 0.420, 3, 0.740, 555, 33, 6, 39, 93, 51.370, 52.453
Mon Jan  9 13:09:34 EST 2017, 6123, 0.920, 8, 0.240, 405, 78, 15, 14, 48, 73.267, 75.593
Mon Jan  9 13:09:47 EST 2017, 8598, 0.170, 5, 0.990, 330, 11, 11, 26, 71, 11.717, 12.687
Mon Jan  9 13:09:48 EST 2017, 3648, 0.670, 1, 0.490, 480, 56, 1, 1, 26, 0.960, 0.953
Mon Jan  9 13:11:00 EST 2017, 4885, 0.050, 9, 0.620, 368, 67, 8, 20, 82, 59.410, 70.963
Mon Jan  9 13:11:46 EST 2017, 9835, 0.550, 4, 0.120, 518, 22, 18, 45, 37, 38.237, 43.213
Mon Jan  9 13:13:02 EST 2017, 7360, 0.300, 2, 0.870, 593, 89, 13, 8, 60, 65.303, 72.563
Mon Jan  9 13:13:09 EST 2017, 2410, 0.800, 7, 0.370, 443, 44, 4, 33, 15, 6.213, 6.197
Mon Jan  9 13:13:36 EST 2017, 1791, 0.230, 2, 0.060, 387, 50, 7, 11, 88, 23.663, 23.840
Mon Jan  9 13:17:18 EST 2017, 6741, 0.730, 6, 0.560, 537, 95, 17, 36, 43, 187.883, 211.853
Mon Jan  9 13:18:06 EST 2017, 9216, 0.480, 8, 0.310, 462, 28, 12, 23, 65, 39.047, 46.170
Mon Jan  9 13:18:13 EST 2017, 4266, 0.980, 4, 0.810, 312, 73, 2, 48, 20, 5.253, 6.920
