# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 10:46:55 EST 2017, 1187, 0.080, 3, 0.620, 493, 87, 2, 47, 90, 40.290, 38.700
Mon Jan  9 10:47:18 EST 2017, 6137, 0.580, 8, 0.120, 343, 42, 11, 22, 45, 22.547, 23.300
Mon Jan  9 10:49:22 EST 2017, 8612, 0.330, 5, 0.870, 418, 64, 16, 35, 67, 113.123, 122.987
Mon Jan  9 10:49:24 EST 2017, 3662, 0.830, 1, 0.370, 568, 19, 6, 10, 22, 1.340, 1.343
Mon Jan  9 10:49:34 EST 2017, 4900, 0.450, 9, 0.740, 381, 31, 4, 16, 78, 9.953, 10.223
Mon Jan  9 10:50:54 EST 2017, 9850, 0.950, 4, 0.240, 531, 76, 13, 41, 33, 76.480, 78.707
Mon Jan  9 10:51:20 EST 2017, 7375, 0.200, 2, 0.990, 456, 53, 18, 3, 56, 24.403, 25.867
Mon Jan  9 10:51:31 EST 2017, 2425, 0.700, 7, 0.490, 306, 98, 9, 28, 11, 10.393, 10.657
Mon Jan  9 10:51:39 EST 2017, 1806, 0.260, 1, 0.180, 362, 93, 3, 0, 84, 6.870, 7.447
Mon Jan  9 10:52:18 EST 2017, 6756, 0.760, 6, 0.680, 512, 48, 12, 25, 39, 37.807, 38.640
Mon Jan  9 10:54:19 EST 2017, 9231, 0.010, 8, 0.430, 587, 70, 17, 13, 61, 113.050, 116.010
Mon Jan  9 10:54:25 EST 2017, 4281, 0.510, 4, 0.930, 437, 25, 8, 38, 16, 5.643, 5.683
Mon Jan  9 10:54:40 EST 2017, 3043, 0.140, 7, 0.050, 550, 14, 5, 32, 95, 14.697, 14.847
Mon Jan  9 10:55:09 EST 2017, 7993, 0.640, 3, 0.550, 400, 59, 15, 7, 50, 26.203, 28.980
Mon Jan  9 10:56:33 EST 2017, 5518, 0.390, 5, 0.300, 325, 36, 19, 44, 73, 80.173, 82.740
Mon Jan  9 10:57:05 EST 2017, 568, 0.890, 9, 0.800, 475, 81, 10, 19, 28, 29.240, 31.247
Mon Jan  9 10:57:20 EST 2017, 414, 0.150, 1, 0.380, 404, 21, 15, 25, 77, 13.760, 14.493
Mon Jan  9 10:57:27 EST 2017, 5364, 0.650, 6, 0.880, 554, 66, 5, 0, 32, 6.323, 6.730
Mon Jan  9 10:57:37 EST 2017, 7839, 0.400, 8, 0.130, 479, 43, 1, 37, 99, 10.757, 10.660
Mon Jan  9 10:58:10 EST 2017, 2889, 0.900, 3, 0.630, 329, 88, 10, 12, 54, 30.410, 31.310
Mon Jan  9 10:59:46 EST 2017, 4126, 0.280, 7, 0.260, 517, 77, 17, 6, 66, 88.970, 91.537
Mon Jan  9 10:59:51 EST 2017, 9076, 0.780, 2, 0.760, 367, 32, 8, 31, 21, 5.203, 5.167
Mon Jan  9 11:00:10 EST 2017, 6601, 0.030, 4, 0.010, 442, 55, 3, 18, 88, 17.667, 18.467
Mon Jan  9 11:00:27 EST 2017, 1651, 0.530, 9, 0.510, 592, 10, 13, 43, 43, 16.287, 16.300
Mon Jan  9 11:00:47 EST 2017, 2270, 0.470, 4, 0.820, 535, 15, 16, 21, 60, 19.797, 20.460
Mon Jan  9 11:01:00 EST 2017, 7220, 0.970, 8, 0.320, 385, 60, 7, 46, 15, 12.667, 12.800
Mon Jan  9 11:01:05 EST 2017, 9695, 0.220, 6, 0.570, 310, 38, 2, 9, 82, 4.407, 4.370
Mon Jan  9 11:01:58 EST 2017, 4745, 0.720, 2, 0.070, 460, 83, 11, 34, 37, 47.230, 45.500
Mon Jan  9 11:06:27 EST 2017, 3507, 0.090, 9, 0.940, 348, 94, 19, 40, 71, 231.733, 225.070
Mon Jan  9 11:06:41 EST 2017, 8457, 0.590, 5, 0.440, 498, 49, 9, 15, 26, 13.747, 13.540
Mon Jan  9 11:07:35 EST 2017, 5982, 0.340, 3, 0.690, 573, 71, 4, 28, 94, 48.697, 52.273
Mon Jan  9 11:07:46 EST 2017, 1032, 0.840, 7, 0.190, 423, 26, 14, 3, 49, 9.947, 10.450
Mon Jan  9 11:08:01 EST 2017, 723, 0.310, 8, 0.040, 320, 52, 6, 17, 52, 14.043, 14.627
Mon Jan  9 11:13:58 EST 2017, 5673, 0.810, 4, 0.540, 470, 97, 16, 42, 97, 329.767, 353.910
Mon Jan  9 11:14:02 EST 2017, 8148, 0.060, 1, 0.290, 545, 29, 11, 4, 29, 3.227, 3.300
Mon Jan  9 11:14:12 EST 2017, 3198, 0.560, 6, 0.790, 395, 74, 1, 29, 74, 10.000, 9.613
Mon Jan  9 11:15:15 EST 2017, 4436, 0.180, 5, 0.160, 582, 63, 8, 48, 40, 60.697, 62.277
Mon Jan  9 11:15:55 EST 2017, 9386, 0.680, 9, 0.660, 432, 18, 18, 23, 85, 37.630, 40.143
Mon Jan  9 11:16:26 EST 2017, 6911, 0.430, 7, 0.410, 357, 85, 13, 35, 18, 30.153, 30.787
Mon Jan  9 11:16:35 EST 2017, 1961, 0.930, 2, 0.910, 507, 40, 4, 10, 63, 7.787, 7.897
Mon Jan  9 11:16:49 EST 2017, 1342, 0.000, 5, 0.720, 451, 35, 7, 32, 35, 14.540, 14.577
Mon Jan  9 11:17:24 EST 2017, 6292, 0.500, 1, 0.220, 301, 80, 17, 7, 80, 29.283, 33.470
Mon Jan  9 11:17:26 EST 2017, 8767, 0.250, 3, 0.970, 376, 12, 12, 45, 12, 2.780, 2.680
Mon Jan  9 11:17:38 EST 2017, 3817, 0.750, 7, 0.470, 526, 57, 2, 20, 57, 11.320, 11.523
Mon Jan  9 11:17:51 EST 2017, 2579, 0.370, 2, 0.600, 414, 69, 10, 1, 46, 11.493, 12.820
Mon Jan  9 11:19:19 EST 2017, 7529, 0.870, 6, 0.100, 564, 24, 19, 26, 91, 81.647, 84.937
Mon Jan  9 11:19:55 EST 2017, 5054, 0.120, 9, 0.850, 489, 91, 14, 14, 23, 33.603, 35.600
Mon Jan  9 11:20:18 EST 2017, 104, 0.620, 4, 0.350, 339, 46, 5, 39, 68, 22.640, 22.903
Mon Jan  9 11:21:26 EST 2017, 107, 0.310, 6, 0.400, 397, 62, 13, 46, 40, 64.437, 66.670
Mon Jan  9 11:21:29 EST 2017, 5057, 0.810, 1, 0.900, 547, 17, 3, 21, 85, 3.297, 3.340
Mon Jan  9 11:21:51 EST 2017, 7532, 0.060, 4, 0.150, 472, 84, 8, 33, 18, 21.257, 21.603
Mon Jan  9 11:22:22 EST 2017, 2582, 0.560, 8, 0.650, 322, 39, 18, 8, 63, 27.730, 30.100
Mon Jan  9 11:22:53 EST 2017, 3819, 0.180, 3, 0.270, 510, 50, 11, 14, 51, 29.113, 31.087
Mon Jan  9 11:23:11 EST 2017, 8769, 0.680, 7, 0.770, 360, 95, 1, 39, 96, 18.000, 18.313
Mon Jan  9 11:23:14 EST 2017, 6294, 0.430, 9, 0.020, 435, 28, 6, 2, 29, 2.807, 2.707
Mon Jan  9 11:26:17 EST 2017, 1344, 0.930, 5, 0.520, 585, 73, 15, 27, 74, 170.237, 181.377
Mon Jan  9 11:26:58 EST 2017, 1963, 0.000, 8, 0.840, 529, 67, 14, 5, 46, 38.993, 40.570
Mon Jan  9 11:27:10 EST 2017, 6913, 0.500, 3, 0.340, 379, 22, 5, 30, 91, 12.310, 12.317
Mon Jan  9 11:27:17 EST 2017, 9388, 0.250, 1, 0.590, 304, 90, 9, 17, 23, 6.600, 6.837
Mon Jan  9 11:29:31 EST 2017, 4438, 0.750, 5, 0.090, 454, 45, 19, 42, 68, 126.323, 130.710
Mon Jan  9 11:29:49 EST 2017, 3200, 0.370, 4, 0.960, 341, 33, 12, 36, 34, 17.403, 17.643
Mon Jan  9 11:30:06 EST 2017, 8150, 0.870, 9, 0.460, 491, 78, 2, 11, 79, 15.687, 16.450
Mon Jan  9 11:30:09 EST 2017, 5675, 0.120, 6, 0.710, 566, 11, 7, 49, 12, 3.000, 2.957
Mon Jan  9 11:31:02 EST 2017, 726, 0.620, 2, 0.210, 416, 56, 17, 24, 57, 49.340, 53.450
Mon Jan  9 11:31:16 EST 2017, 1035, 0.150, 3, 0.050, 332, 81, 4, 10, 65, 12.903, 13.930
Mon Jan  9 11:31:37 EST 2017, 5985, 0.650, 7, 0.550, 482, 36, 14, 35, 20, 20.087, 20.697
Mon Jan  9 11:34:43 EST 2017, 8460, 0.400, 5, 0.300, 557, 59, 18, 22, 88, 172.830, 176.220
