# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 10:46:10 EST 2017, 100, 0.000, 1, 0.000, 300, 10, 1, 0, 10, 0.653, 0.647
Mon Jan  9 10:47:16 EST 2017, 5050, 0.500, 5, 0.500, 450, 55, 10, 25, 55, 54.563, 60.857
Mon Jan  9 10:47:40 EST 2017, 7525, 0.250, 7, 0.250, 525, 32, 15, 12, 32, 23.647, 20.867
Mon Jan  9 10:48:44 EST 2017, 2575, 0.750, 3, 0.750, 375, 77, 5, 37, 77, 53.050, 55.443
Mon Jan  9 10:49:04 EST 2017, 3812, 0.370, 6, 0.120, 562, 88, 3, 31, 21, 15.813, 18.383
Mon Jan  9 10:49:32 EST 2017, 8762, 0.870, 2, 0.620, 412, 43, 12, 6, 66, 24.377, 23.543
Mon Jan  9 10:51:22 EST 2017, 6287, 0.120, 4, 0.370, 337, 66, 17, 43, 43, 88.973, 99.270
Mon Jan  9 10:51:51 EST 2017, 1337, 0.620, 8, 0.870, 487, 21, 8, 18, 88, 24.217, 25.517
Mon Jan  9 10:51:54 EST 2017, 1956, 0.310, 3, 0.680, 468, 26, 2, 46, 26, 3.343, 3.467
Mon Jan  9 10:53:19 EST 2017, 6906, 0.810, 8, 0.180, 318, 71, 11, 21, 71, 65.107, 81.190
Mon Jan  9 10:54:45 EST 2017, 9381, 0.060, 6, 0.930, 393, 49, 16, 34, 49, 67.187, 82.930
Mon Jan  9 10:55:29 EST 2017, 4431, 0.560, 1, 0.430, 543, 94, 6, 9, 94, 34.410, 42.693
Mon Jan  9 10:55:38 EST 2017, 3193, 0.180, 9, 0.560, 431, 83, 4, 15, 15, 7.487, 7.577
Mon Jan  9 10:57:22 EST 2017, 8143, 0.680, 4, 0.060, 581, 38, 14, 40, 60, 95.910, 93.540
Mon Jan  9 10:57:52 EST 2017, 5668, 0.430, 2, 0.810, 506, 60, 18, 3, 38, 25.787, 27.037
Mon Jan  9 10:58:15 EST 2017, 718, 0.930, 7, 0.310, 356, 15, 9, 28, 83, 17.137, 20.750
Mon Jan  9 10:59:46 EST 2017, 1028, 0.460, 8, 0.400, 384, 40, 11, 42, 80, 80.987, 81.197
Mon Jan  9 10:59:55 EST 2017, 5978, 0.960, 4, 0.900, 534, 85, 1, 17, 35, 6.103, 6.833
Mon Jan  9 11:00:02 EST 2017, 8453, 0.210, 1, 0.150, 459, 18, 6, 29, 57, 5.530, 5.833
Mon Jan  9 11:00:08 EST 2017, 3503, 0.710, 6, 0.650, 309, 63, 15, 4, 12, 6.290, 5.297
Mon Jan  9 11:03:37 EST 2017, 4740, 0.090, 5, 0.280, 496, 74, 13, 23, 91, 183.080, 177.990
Mon Jan  9 11:03:50 EST 2017, 9690, 0.590, 9, 0.780, 346, 29, 3, 48, 46, 11.220, 11.187
Mon Jan  9 11:05:17 EST 2017, 7215, 0.340, 7, 0.030, 421, 97, 8, 10, 69, 61.383, 80.383
Mon Jan  9 11:06:09 EST 2017, 2265, 0.840, 2, 0.530, 571, 52, 18, 35, 24, 43.230, 46.710
Mon Jan  9 11:07:44 EST 2017, 1646, 0.150, 5, 0.840, 553, 46, 12, 7, 97, 68.550, 84.467
Mon Jan  9 11:07:54 EST 2017, 6596, 0.650, 1, 0.340, 403, 91, 2, 32, 52, 7.890, 9.613
Mon Jan  9 11:08:10 EST 2017, 9071, 0.400, 3, 0.590, 328, 24, 7, 20, 74, 12.650, 15.123
Mon Jan  9 11:10:09 EST 2017, 4121, 0.900, 8, 0.090, 478, 69, 17, 45, 29, 104.833, 109.493
Mon Jan  9 11:11:35 EST 2017, 2884, 0.280, 2, 0.960, 365, 57, 14, 26, 85, 80.930, 68.553
Mon Jan  9 11:11:37 EST 2017, 7834, 0.780, 6, 0.460, 515, 12, 5, 1, 40, 1.677, 1.587
Mon Jan  9 11:14:38 EST 2017, 5359, 0.030, 9, 0.710, 590, 80, 9, 39, 63, 158.767, 176.673
Mon Jan  9 11:14:55 EST 2017, 409, 0.530, 4, 0.210, 440, 35, 19, 14, 18, 16.100, 14.000
Mon Jan  9 11:16:13 EST 2017, 564, 0.260, 6, 0.570, 510, 67, 6, 33, 62, 70.337, 66.920
Mon Jan  9 11:16:15 EST 2017, 5514, 0.760, 1, 0.070, 360, 22, 15, 8, 17, 1.520, 1.793
Mon Jan  9 11:20:06 EST 2017, 7989, 0.010, 4, 0.820, 435, 90, 10, 46, 84, 200.307, 209.170
Mon Jan  9 11:20:10 EST 2017, 3039, 0.510, 8, 0.320, 585, 45, 1, 21, 39, 3.653, 3.967
Mon Jan  9 11:20:21 EST 2017, 4276, 0.140, 3, 0.700, 398, 33, 8, 2, 73, 10.520, 9.837
Mon Jan  9 11:22:11 EST 2017, 9226, 0.640, 7, 0.200, 548, 78, 17, 27, 28, 85.400, 104.633
Mon Jan  9 11:22:29 EST 2017, 6751, 0.390, 9, 0.950, 473, 11, 13, 14, 95, 17.407, 15.790
Mon Jan  9 11:22:48 EST 2017, 1801, 0.890, 5, 0.450, 323, 56, 3, 39, 50, 15.600, 15.793
Mon Jan  9 11:23:30 EST 2017, 2420, 0.070, 8, 0.140, 342, 62, 7, 17, 67, 36.197, 41.883
Mon Jan  9 11:23:51 EST 2017, 7370, 0.570, 3, 0.640, 492, 17, 16, 42, 22, 16.417, 17.383
Mon Jan  9 11:24:53 EST 2017, 9845, 0.320, 1, 0.390, 567, 84, 11, 5, 90, 59.920, 48.013
Mon Jan  9 11:25:01 EST 2017, 4895, 0.820, 5, 0.890, 417, 39, 2, 30, 45, 7.077, 7.067
Mon Jan  9 11:26:42 EST 2017, 3657, 0.450, 4, 0.010, 529, 50, 9, 49, 56, 82.370, 95.957
Mon Jan  9 11:27:17 EST 2017, 8607, 0.950, 9, 0.510, 379, 95, 19, 24, 11, 33.867, 28.180
Mon Jan  9 11:28:13 EST 2017, 6132, 0.200, 7, 0.260, 304, 28, 14, 36, 78, 53.940, 47.227
Mon Jan  9 11:28:22 EST 2017, 1182, 0.700, 2, 0.760, 454, 73, 4, 11, 33, 8.563, 8.633
Mon Jan  9 11:30:50 EST 2017, 873, 0.230, 3, 0.980, 595, 98, 16, 22, 42, 144.497, 120.927
Mon Jan  9 11:32:22 EST 2017, 5823, 0.730, 7, 0.480, 445, 53, 6, 47, 87, 79.693, 82.917
Mon Jan  9 11:32:24 EST 2017, 8298, 0.480, 5, 0.730, 370, 76, 1, 10, 19, 1.713, 1.640
Mon Jan  9 11:32:52 EST 2017, 3348, 0.980, 1, 0.230, 520, 31, 11, 35, 64, 23.077, 28.193
Mon Jan  9 11:33:30 EST 2017, 4585, 0.350, 9, 0.850, 332, 19, 18, 41, 53, 34.643, 33.957
Mon Jan  9 11:35:10 EST 2017, 9535, 0.850, 4, 0.350, 482, 64, 9, 16, 98, 92.707, 83.133
Mon Jan  9 11:35:21 EST 2017, 7060, 0.100, 2, 0.600, 557, 42, 4, 28, 31, 10.760, 8.433
Mon Jan  9 11:37:02 EST 2017, 2110, 0.600, 6, 0.100, 407, 87, 13, 3, 76, 86.767, 84.343
Mon Jan  9 11:38:00 EST 2017, 1492, 0.420, 1, 0.290, 426, 81, 17, 25, 47, 55.197, 47.840
Mon Jan  9 11:38:24 EST 2017, 6442, 0.920, 6, 0.790, 576, 36, 7, 0, 92, 23.270, 19.737
Mon Jan  9 11:38:39 EST 2017, 8917, 0.170, 8, 0.040, 501, 59, 3, 38, 25, 13.180, 13.253
Mon Jan  9 11:38:53 EST 2017, 3967, 0.670, 3, 0.540, 351, 14, 12, 13, 70, 10.087, 11.570
Mon Jan  9 11:39:12 EST 2017, 2729, 0.040, 7, 0.420, 464, 25, 19, 7, 36, 15.303, 18.243
Mon Jan  9 11:40:19 EST 2017, 7679, 0.540, 2, 0.920, 314, 70, 10, 32, 81, 58.707, 60.323
Mon Jan  9 11:40:23 EST 2017, 5204, 0.290, 5, 0.170, 389, 47, 5, 19, 14, 4.090, 4.253
Mon Jan  9 11:45:19 EST 2017, 254, 0.790, 9, 0.670, 539, 92, 14, 44, 59, 278.603, 254.780
Mon Jan  9 11:46:03 EST 2017, 332, 0.390, 5, 0.800, 363, 88, 8, 34, 31, 41.653, 37.290
Mon Jan  9 11:47:37 EST 2017, 5282, 0.890, 9, 0.300, 513, 43, 18, 9, 76, 87.247, 85.687
Mon Jan  9 11:51:04 EST 2017, 7757, 0.140, 7, 0.550, 588, 65, 13, 47, 54, 184.447, 188.357
Mon Jan  9 11:51:12 EST 2017, 2807, 0.640, 2, 0.050, 438, 20, 3, 22, 99, 8.283, 6.687
Mon Jan  9 11:51:16 EST 2017, 4044, 0.020, 8, 0.920, 550, 31, 6, 3, 20, 3.550, 2.880
Mon Jan  9 11:53:29 EST 2017, 8994, 0.520, 3, 0.420, 400, 76, 15, 28, 65, 111.483, 125.743
Mon Jan  9 11:53:42 EST 2017, 6519, 0.270, 1, 0.670, 325, 54, 10, 16, 43, 10.500, 11.110
Mon Jan  9 11:54:14 EST 2017, 1569, 0.770, 6, 0.170, 475, 99, 1, 41, 88, 31.047, 25.577
Mon Jan  9 11:54:26 EST 2017, 2188, 0.210, 2, 0.490, 494, 93, 9, 12, 14, 10.130, 10.837
Mon Jan  9 11:56:20 EST 2017, 7138, 0.710, 6, 0.990, 344, 48, 19, 37, 59, 91.743, 109.890
Mon Jan  9 11:56:49 EST 2017, 9613, 0.460, 8, 0.240, 419, 71, 14, 0, 37, 25.353, 24.927
Mon Jan  9 11:57:17 EST 2017, 4663, 0.960, 4, 0.740, 569, 26, 5, 25, 82, 21.897, 25.953
Mon Jan  9 11:57:23 EST 2017, 3425, 0.330, 5, 0.360, 382, 14, 7, 44, 26, 5.447, 4.960
Mon Jan  9 11:58:24 EST 2017, 8375, 0.830, 1, 0.860, 532, 59, 16, 19, 71, 57.937, 54.363
Mon Jan  9 11:59:08 EST 2017, 5900, 0.080, 3, 0.110, 457, 37, 12, 31, 48, 35.427, 42.350
Mon Jan  9 11:59:24 EST 2017, 950, 0.580, 7, 0.610, 307, 82, 2, 6, 93, 13.583, 12.670
Mon Jan  9 12:02:31 EST 2017, 1260, 0.110, 6, 0.640, 447, 57, 18, 20, 96, 183.333, 159.347
Mon Jan  9 12:02:47 EST 2017, 6210, 0.610, 2, 0.140, 597, 12, 9, 45, 51, 15.793, 14.503
Mon Jan  9 12:03:19 EST 2017, 8685, 0.360, 4, 0.890, 522, 79, 4, 8, 73, 25.750, 30.693
Mon Jan  9 12:03:46 EST 2017, 3735, 0.860, 9, 0.390, 372, 34, 13, 33, 28, 23.887, 24.343
Mon Jan  9 12:05:18 EST 2017, 4972, 0.490, 1, 0.520, 485, 45, 16, 39, 85, 73.647, 73.567
Mon Jan  9 12:05:43 EST 2017, 9922, 0.990, 5, 0.020, 335, 90, 6, 14, 40, 22.583, 20.170
Mon Jan  9 12:05:49 EST 2017, 7447, 0.240, 8, 0.770, 410, 23, 2, 26, 62, 4.890, 5.517
Mon Jan  9 12:05:58 EST 2017, 2497, 0.740, 3, 0.270, 560, 68, 11, 1, 17, 7.073, 8.303
Mon Jan  9 12:12:03 EST 2017, 1878, 0.300, 9, 0.080, 578, 73, 19, 30, 79, 317.367, 333.883
Mon Jan  9 12:12:11 EST 2017, 6828, 0.800, 5, 0.580, 428, 28, 10, 5, 34, 6.230, 7.873
Mon Jan  9 12:13:07 EST 2017, 9303, 0.050, 3, 0.330, 353, 96, 5, 42, 57, 50.353, 49.657
Mon Jan  9 12:13:25 EST 2017, 4353, 0.550, 7, 0.830, 503, 51, 15, 17, 12, 12.647, 16.430
Mon Jan  9 12:14:34 EST 2017, 3116, 0.170, 4, 0.210, 316, 40, 17, 11, 90, 55.730, 59.783
Mon Jan  9 12:15:50 EST 2017, 8066, 0.670, 8, 0.710, 466, 85, 7, 36, 45, 68.870, 69.783
Mon Jan  9 12:15:59 EST 2017, 5591, 0.420, 6, 0.460, 541, 17, 3, 23, 68, 7.467, 7.417
Mon Jan  9 12:16:26 EST 2017, 641, 0.920, 1, 0.960, 391, 62, 12, 48, 23, 19.713, 20.837
Mon Jan  9 12:16:38 EST 2017, 486, 0.130, 9, 0.350, 452, 52, 3, 5, 69, 12.043, 10.077
Mon Jan  9 12:17:20 EST 2017, 5436, 0.630, 4, 0.850, 302, 97, 13, 30, 24, 37.617, 38.493
Mon Jan  9 12:18:09 EST 2017, 7911, 0.380, 2, 0.100, 377, 30, 17, 18, 92, 42.670, 44.680
Mon Jan  9 12:19:52 EST 2017, 2961, 0.880, 7, 0.600, 527, 75, 8, 43, 47, 95.333, 90.680
Mon Jan  9 12:20:02 EST 2017, 4199, 0.250, 3, 0.470, 414, 64, 1, 37, 58, 8.073, 8.063
Mon Jan  9 12:20:05 EST 2017, 9149, 0.750, 8, 0.970, 564, 19, 10, 12, 13, 3.303, 3.260
Mon Jan  9 12:26:44 EST 2017, 6674, 0.000, 5, 0.220, 489, 86, 15, 49, 81, 350.837, 372.387
Mon Jan  9 12:26:49 EST 2017, 1724, 0.500, 1, 0.720, 339, 41, 5, 24, 36, 4.407, 4.673
Mon Jan  9 12:27:11 EST 2017, 2342, 0.440, 7, 0.910, 321, 36, 4, 46, 64, 17.567, 21.833
Mon Jan  9 12:27:46 EST 2017, 7292, 0.940, 3, 0.410, 471, 81, 14, 21, 19, 29.557, 32.840
