# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 13:18:53 EST 2017, 3072, 0.390, 10, 0.150, 356, 53, 11, 39, 48, 18.780, 18.700
Tue Jan 10 14:22:38 EST 2017, 8022, 0.890, 4, 0.650, 506, 98, 1, 14, 93, 7.307, 8.373
Tue Jan 10 14:26:34 EST 2017, 5547, 0.140, 1, 0.400, 581, 31, 6, 26, 26, 1.610, 1.713
Tue Jan 10 14:28:55 EST 2017, 597, 0.640, 7, 0.900, 431, 76, 15, 1, 71, 20.797, 13.183
Tue Jan 10 14:32:21 EST 2017, 443, 0.400, 3, 0.260, 520, 38, 9, 46, 22, 10.120, 8.767
Tue Jan 10 14:37:17 EST 2017, 5393, 0.900, 9, 0.760, 370, 83, 19, 21, 67, 63.857, 54.593
Tue Jan 10 15:40:49 EST 2017, 7868, 0.150, 6, 0.010, 445, 15, 14, 33, 44, 6.037, 6.133
Tue Jan 10 15:45:00 EST 2017, 2918, 0.650, 0, 0.510, 595, 60, 4, 8, 89, 12.803, 13.253
Tue Jan 10 15:47:56 EST 2017, 4155, 0.030, 11, 0.390, 407, 72, 7, 15, 10, 1.630, 1.527
Tue Jan 10 15:49:17 EST 2017, 9105, 0.530, 5, 0.890, 557, 27, 16, 40, 55, 23.347, 21.593
Tue Jan 10 15:53:08 EST 2017, 6630, 0.280, 2, 0.140, 482, 94, 12, 2, 33, 7.050, 8.863
Tue Jan 10 15:57:14 EST 2017, 1680, 0.780, 8, 0.640, 332, 49, 2, 27, 78, 5.273, 5.387
Tue Jan 10 16:00:10 EST 2017, 2299, 0.220, 0, 0.950, 351, 43, 8, 5, 16, 0.980, 0.843
Tue Jan 10 16:03:56 EST 2017, 7249, 0.720, 6, 0.450, 501, 88, 18, 30, 61, 101.247, 86.953
Tue Jan 10 16:05:27 EST 2017, 9724, 0.470, 9, 0.700, 576, 21, 13, 18, 38, 7.070, 6.743
Tue Jan 10 16:06:43 EST 2017, 4774, 0.970, 3, 0.200, 426, 66, 3, 43, 83, 0.190, 19.930
Tue Jan 10 16:10:34 EST 2017, 3536, 0.340, 7, 0.820, 539, 55, 6, 36, 27, 7.850, 7.130
Tue Jan 10 16:14:35 EST 2017, 8486, 0.840, 1, 0.320, 389, 10, 15, 11, 72, 4.333, 5.080
Tue Jan 10 16:16:50 EST 2017, 6011, 0.090, 4, 0.570, 314, 77, 10, 49, 50, 17.230, 16.767
Tue Jan 10 16:18:41 EST 2017, 1061, 0.590, 10, 0.070, 464, 32, 1, 24, 95, 3.023, 3.500
Tue Jan 10 16:20:46 EST 2017, 752, 0.060, 6, 0.170, 586, 12, 19, 10, 92, 9.190, 8.850
Tue Jan 10 16:25:03 EST 2017, 5702, 0.560, 0, 0.670, 436, 57, 10, 35, 47, 20.593, 19.983
Tue Jan 10 16:28:53 EST 2017, 8177, 0.310, 3, 0.420, 361, 35, 5, 22, 69, 4.637, 4.883
Tue Jan 10 16:32:44 EST 2017, 3227, 0.810, 9, 0.920, 511, 80, 15, 47, 24, 36.640, 33.803
Tue Jan 10 16:34:50 EST 2017, 4465, 0.440, 1, 0.040, 323, 91, 17, 29, 81, 34.870, 35.233
Tue Jan 10 16:37:25 EST 2017, 9415, 0.940, 7, 0.540, 473, 46, 7, 4, 36, 0.133, 6.047
Tue Jan 10 16:38:31 EST 2017, 6940, 0.190, 10, 0.290, 548, 69, 3, 41, 58, 11.173, 11.670
Tue Jan 10 16:40:27 EST 2017, 1990, 0.690, 4, 0.790, 398, 24, 12, 16, 13, 1.733, 1.687
Tue Jan 10 16:42:52 EST 2017, 1371, 0.250, 10, 0.600, 417, 29, 18, 38, 86, 29.663, 28.697
Tue Jan 10 16:46:18 EST 2017, 6321, 0.750, 4, 0.100, 567, 74, 9, 13, 41, 52.870, 30.267
Tue Jan 10 16:49:34 EST 2017, 8796, 0.000, 1, 0.850, 492, 52, 4, 25, 64, 2.763, 2.743
Tue Jan 10 16:53:40 EST 2017, 3846, 0.500, 7, 0.350, 342, 97, 13, 0, 19, 3.890, 3.493
Tue Jan 10 16:56:31 EST 2017, 2608, 0.120, 5, 0.730, 454, 86, 16, 19, 98, 52.503, 44.953
Tue Jan 10 16:58:52 EST 2017, 7558, 0.620, 11, 0.230, 304, 41, 6, 44, 53, 9.767, 10.330
Tue Jan 10 16:59:47 EST 2017, 5083, 0.370, 8, 0.980, 379, 63, 1, 7, 75, 1.763, 1.777
