# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 13:18:37 EST 2017, 2275, 0.090, 6, 0.450, 400, 69, 1, 32, 77, 3.077, 3.390
Tue Jan 10 14:22:26 EST 2017, 7225, 0.590, 0, 0.950, 550, 24, 10, 7, 32, 2.797, 2.290
Tue Jan 10 14:25:53 EST 2017, 9700, 0.340, 3, 0.200, 475, 91, 15, 44, 55, 80.927, 67.447
Tue Jan 10 14:30:09 EST 2017, 4750, 0.840, 9, 0.700, 325, 46, 6, 19, 10, 1.480, 1.473
Tue Jan 10 14:32:15 EST 2017, 3512, 0.470, 2, 0.330, 512, 35, 3, 0, 88, 2.500, 3.030
Tue Jan 10 14:34:45 EST 2017, 8462, 0.970, 8, 0.830, 362, 80, 13, 25, 43, 29.893, 28.080
Tue Jan 10 14:38:26 EST 2017, 5987, 0.220, 11, 0.080, 437, 13, 18, 13, 66, 6.957, 6.833
Tue Jan 10 14:42:32 EST 2017, 1037, 0.720, 5, 0.580, 587, 58, 8, 38, 21, 11.890, 11.937
Tue Jan 10 14:44:38 EST 2017, 728, 0.190, 0, 0.670, 466, 77, 12, 27, 29, 12.887, 12.837
Tue Jan 10 14:48:29 EST 2017, 5678, 0.690, 6, 0.170, 316, 32, 3, 2, 74, 2.187, 2.653
Tue Jan 10 14:50:45 EST 2017, 8153, 0.440, 9, 0.920, 391, 55, 7, 39, 52, 13.877, 13.083
Tue Jan 10 14:52:50 EST 2017, 3203, 0.940, 3, 0.420, 541, 10, 17, 14, 97, 0.180, 20.563
Tue Jan 10 14:54:36 EST 2017, 4440, 0.310, 7, 0.550, 428, 21, 15, 8, 18, 1.923, 1.937
Tue Jan 10 14:59:07 EST 2017, 9390, 0.810, 1, 0.050, 578, 66, 5, 33, 63, 23.540, 27.693
Tue Jan 10 15:00:17 EST 2017, 6915, 0.060, 4, 0.800, 503, 44, 10, 21, 41, 6.827, 6.430
Tue Jan 10 15:04:13 EST 2017, 1965, 0.560, 10, 0.300, 353, 89, 19, 46, 86, 122.963, 113.747
Tue Jan 10 15:06:19 EST 2017, 1347, 0.370, 3, 0.110, 334, 94, 11, 24, 12, 5.940, 5.363
Tue Jan 10 15:08:20 EST 2017, 6297, 0.870, 9, 0.610, 484, 49, 1, 49, 57, 4.470, 4.630
Tue Jan 10 15:10:25 EST 2017, 8772, 0.120, 6, 0.360, 559, 72, 6, 11, 35, 5.560, 5.840
Tue Jan 10 15:12:46 EST 2017, 3822, 0.620, 0, 0.860, 409, 27, 16, 36, 80, 25.320, 23.587
Tue Jan 10 15:13:21 EST 2017, 2584, 0.000, 11, 0.230, 597, 15, 13, 43, 24, 4.303, 4.013
Tue Jan 10 15:14:27 EST 2017, 7534, 0.500, 5, 0.730, 447, 60, 4, 18, 69, 8.297, 8.003
Tue Jan 10 15:16:28 EST 2017, 5059, 0.250, 2, 0.480, 372, 38, 9, 30, 46, 5.427, 5.623
Tue Jan 10 15:19:23 EST 2017, 109, 0.750, 8, 0.980, 522, 83, 18, 5, 91, 59.250, 36.650
Tue Jan 10 15:21:04 EST 2017, 114, 0.370, 9, 0.650, 483, 74, 17, 41, 38, 40.430, 39.263
Tue Jan 10 15:22:40 EST 2017, 5064, 0.870, 3, 0.150, 333, 29, 7, 16, 83, 0.137, 11.590
Tue Jan 10 15:23:30 EST 2017, 7539, 0.120, 0, 0.900, 408, 97, 2, 28, 15, 1.467, 1.443
Tue Jan 10 15:25:47 EST 2017, 2589, 0.620, 6, 0.400, 558, 52, 12, 3, 60, 15.980, 15.287
