# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 17:26:34 EST 2017, 107, 0.310, 7, 0.400, 397, 62, 13, 46, 40, 24.540, 24.053
Tue Jan 10 17:28:10 EST 2017, 5057, 0.810, 1, 0.900, 547, 17, 3, 21, 85, 1.693, 1.763
Tue Jan 10 17:30:16 EST 2017, 7532, 0.060, 4, 0.150, 472, 84, 8, 33, 18, 6.393, 6.380
Tue Jan 10 17:31:26 EST 2017, 2582, 0.560, 10, 0.650, 322, 39, 18, 8, 63, 11.727, 10.607
Tue Jan 10 17:33:27 EST 2017, 3819, 0.180, 2, 0.270, 510, 50, 11, 14, 51, 8.367, 9.490
Tue Jan 10 17:35:27 EST 2017, 8769, 0.680, 8, 0.770, 360, 95, 1, 39, 96, 8.217, 8.617
Tue Jan 10 17:37:23 EST 2017, 6294, 0.430, 11, 0.020, 435, 28, 6, 2, 29, 1.747, 2.010
Tue Jan 10 17:41:19 EST 2017, 1344, 0.930, 5, 0.520, 585, 73, 15, 27, 74, 116.370, 95.237
Tue Jan 10 17:43:35 EST 2017, 1963, 0.000, 9, 0.840, 529, 67, 14, 5, 46, 8.657, 7.057
Tue Jan 10 17:45:35 EST 2017, 6913, 0.500, 3, 0.340, 379, 22, 5, 30, 91, 5.977, 6.247
Tue Jan 10 17:47:36 EST 2017, 9388, 0.250, 0, 0.590, 304, 90, 9, 17, 23, 5.070, 4.900
Tue Jan 10 17:51:12 EST 2017, 4438, 0.750, 6, 0.090, 454, 45, 19, 42, 68, 94.503, 72.960
Tue Jan 10 17:53:48 EST 2017, 3200, 0.370, 4, 0.960, 341, 33, 12, 36, 34, 6.180, 5.870
