# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 09:07:16 EDT 2017, 4450, 0.060, 9707, 7, 0.530, 394, 13, 5, 26, 44, 6.160, 6.980
Sun Apr 30 09:08:44 EDT 2017, 9400, 0.560, 4707, 2, 0.030, 544, 58, 15, 1, 89, 55.017, 85.623
Sun Apr 30 09:08:55 EDT 2017, 6925, 0.310, 2207, 9, 0.280, 319, 81, 1, 38, 67, 9.510, 11.060
Sun Apr 30 09:09:05 EDT 2017, 1975, 0.810, 7207, 4, 0.780, 469, 36, 10, 13, 22, 7.493, 9.440
Sun Apr 30 09:09:11 EDT 2017, 1356, 0.120, 332, 3, 0.970, 450, 30, 2, 29, 61, 5.393, 6.173
Sun Apr 30 09:09:21 EDT 2017, 6306, 0.620, 5332, 7, 0.470, 300, 75, 11, 4, 16, 5.990, 9.183
Sun Apr 30 09:10:32 EDT 2017, 8781, 0.370, 7832, 5, 0.220, 525, 98, 6, 41, 39, 60.287, 70.307
Sun Apr 30 09:12:10 EDT 2017, 3831, 0.870, 2832, 9, 0.720, 375, 53, 16, 16, 84, 83.243, 97.107
Sun Apr 30 09:12:23 EDT 2017, 2594, 0.250, 6582, 1, 0.090, 413, 19, 14, 35, 50, 10.227, 12.273
Sun Apr 30 09:13:06 EDT 2017, 7544, 0.750, 1582, 6, 0.590, 563, 64, 4, 10, 95, 32.543, 43.387
Sun Apr 30 09:16:44 EDT 2017, 5069, 0.000, 4082, 4, 0.840, 338, 86, 18, 47, 73, 203.003, 215.840
Sun Apr 30 09:17:05 EDT 2017, 119, 0.500, 9082, 8, 0.340, 488, 41, 9, 22, 28, 15.783, 20.183
Sun Apr 30 09:18:13 EDT 2017, 129, 0.250, 3623, 2, 0.890, 431, 74, 9, 30, 69, 54.557, 64.777
Sun Apr 30 09:18:30 EDT 2017, 5079, 0.750, 8623, 6, 0.390, 581, 29, 18, 5, 24, 10.973, 17.087
Sun Apr 30 09:18:50 EDT 2017, 7554, 0.000, 6123, 4, 0.140, 356, 52, 4, 43, 47, 16.857, 19.573
Sun Apr 30 09:22:44 EDT 2017, 2604, 0.500, 1123, 9, 0.640, 506, 97, 13, 18, 92, 204.360, 228.253
Sun Apr 30 09:23:26 EDT 2017, 3841, 0.120, 9873, 1, 0.020, 469, 63, 16, 37, 36, 34.507, 41.220
Sun Apr 30 09:23:34 EDT 2017, 8791, 0.620, 4873, 5, 0.520, 319, 18, 6, 12, 81, 6.133, 8.337
Sun Apr 30 09:24:46 EDT 2017, 6316, 0.370, 2373, 3, 0.770, 544, 40, 11, 49, 58, 63.670, 71.540
Sun Apr 30 09:24:49 EDT 2017, 1366, 0.870, 7373, 7, 0.270, 394, 85, 1, 24, 13, 1.720, 2.183
Sun Apr 30 09:26:48 EDT 2017, 1985, 0.060, 498, 6, 0.450, 375, 68, 12, 33, 75, 101.240, 117.333
