# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 09:08:27 EDT 2017, 1187, 0.080, 2925, 6, 0.640, 557, 15, 19, 44, 82, 68.897, 77.377
Sun Apr 30 09:08:49 EDT 2017, 6137, 0.580, 7925, 2, 0.140, 407, 60, 9, 19, 37, 16.893, 22.223
Sun Apr 30 09:09:28 EDT 2017, 8612, 0.330, 5425, 8, 0.390, 482, 82, 14, 31, 14, 31.413, 37.713
Sun Apr 30 09:09:34 EDT 2017, 3662, 0.830, 425, 4, 0.890, 332, 37, 4, 6, 59, 4.783, 6.160
Sun Apr 30 09:09:43 EDT 2017, 4900, 0.450, 9174, 7, 0.270, 370, 26, 7, 38, 26, 7.983, 9.417
Sun Apr 30 09:11:40 EDT 2017, 9850, 0.950, 4175, 3, 0.770, 520, 71, 16, 13, 71, 98.090, 115.933
Sun Apr 30 09:12:20 EDT 2017, 7375, 0.200, 1675, 9, 0.520, 445, 93, 2, 25, 93, 31.687, 38.723
Sun Apr 30 09:12:55 EDT 2017, 2425, 0.700, 6675, 5, 0.020, 595, 48, 11, 0, 48, 20.670, 33.903
Sun Apr 30 09:13:00 EDT 2017, 1806, 0.260, 1050, 2, 0.200, 576, 20, 1, 41, 88, 3.593, 4.230
Sun Apr 30 09:13:41 EDT 2017, 6756, 0.760, 6050, 7, 0.700, 426, 65, 10, 16, 43, 32.770, 40.900
Sun Apr 30 09:14:01 EDT 2017, 9231, 0.010, 8549, 4, 0.950, 501, 88, 6, 28, 20, 17.293, 19.410
Sun Apr 30 09:14:41 EDT 2017, 4281, 0.510, 3550, 9, 0.450, 351, 43, 15, 3, 65, 25.997, 39.723
Sun Apr 30 09:14:52 EDT 2017, 3043, 0.140, 7300, 1, 0.830, 314, 32, 13, 47, 31, 8.903, 10.550
Sun Apr 30 09:15:28 EDT 2017, 7993, 0.640, 2300, 6, 0.330, 464, 77, 3, 22, 76, 28.223, 35.943
Sun Apr 30 09:21:52 EDT 2017, 5518, 0.390, 4800, 3, 0.080, 389, 99, 17, 35, 99, 277.413, 344.437
Sun Apr 30 09:22:34 EDT 2017, 568, 0.890, 9799, 8, 0.580, 539, 54, 8, 10, 54, 30.557, 39.490
Sun Apr 30 09:24:08 EDT 2017, 414, 0.150, 581, 4, 0.340, 337, 78, 10, 37, 69, 79.053, 93.127
Sun Apr 30 09:24:09 EDT 2017, 5364, 0.650, 5581, 8, 0.840, 487, 33, 1, 12, 24, 1.117, 1.307
Sun Apr 30 09:24:23 EDT 2017, 7839, 0.400, 8081, 2, 0.590, 412, 11, 15, 49, 47, 11.567, 13.177
Sun Apr 30 09:25:31 EDT 2017, 2889, 0.900, 3081, 6, 0.090, 562, 56, 5, 24, 92, 54.313, 67.673
Sun Apr 30 09:25:52 EDT 2017, 4126, 0.280, 6831, 3, 0.720, 525, 89, 3, 31, 36, 17.983, 20.840
Sun Apr 30 09:26:41 EDT 2017, 9076, 0.780, 1831, 7, 0.220, 375, 44, 12, 6, 81, 33.643, 48.697
Sun Apr 30 09:26:53 EDT 2017, 6601, 0.030, 4331, 1, 0.470, 450, 22, 8, 43, 58, 9.940, 11.803
Sun Apr 30 09:27:07 EDT 2017, 1651, 0.530, 9331, 5, 0.970, 300, 67, 17, 18, 13, 11.080, 13.280
Sun Apr 30 09:28:31 EDT 2017, 2270, 0.470, 3706, 8, 0.780, 318, 84, 9, 28, 75, 75.217, 83.397
Sun Apr 30 09:28:51 EDT 2017, 7220, 0.970, 8706, 3, 0.280, 468, 39, 18, 3, 30, 12.110, 19.773
Sun Apr 30 09:28:59 EDT 2017, 9695, 0.220, 6206, 6, 0.030, 393, 16, 4, 40, 52, 6.227, 7.323
Sun Apr 30 09:30:17 EDT 2017, 4745, 0.720, 1206, 1, 0.530, 543, 61, 14, 15, 97, 56.500, 77.003
Sun Apr 30 09:33:50 EDT 2017, 3507, 0.090, 9956, 9, 0.160, 581, 95, 16, 34, 41, 177.353, 211.847
Sun Apr 30 09:34:23 EDT 2017, 8457, 0.590, 4956, 5, 0.660, 431, 50, 6, 9, 86, 24.113, 32.600
Sun Apr 30 09:35:18 EDT 2017, 5982, 0.340, 2456, 7, 0.910, 506, 27, 11, 46, 64, 50.713, 54.620
Sun Apr 30 09:35:21 EDT 2017, 1032, 0.840, 7456, 2, 0.410, 356, 72, 2, 21, 19, 2.383, 2.880
Sun Apr 30 09:35:38 EDT 2017, 723, 0.310, 8393, 1, 0.060, 440, 36, 7, 23, 78, 12.950, 16.760
Sun Apr 30 09:38:31 EDT 2017, 5673, 0.810, 3394, 5, 0.560, 590, 81, 17, 48, 33, 151.410, 167.920
Sun Apr 30 09:38:33 EDT 2017, 8148, 0.060, 894, 3, 0.810, 365, 58, 2, 10, 10, 0.890, 1.140
Sun Apr 30 09:38:56 EDT 2017, 3198, 0.560, 5893, 8, 0.310, 515, 13, 12, 35, 55, 19.203, 22.780
Sun Apr 30 09:39:15 EDT 2017, 4436, 0.180, 4644, 2, 0.940, 478, 47, 19, 17, 21, 15.693, 19.253
Sun Apr 30 09:41:09 EDT 2017, 9386, 0.680, 9643, 7, 0.440, 328, 92, 9, 42, 66, 100.110, 112.947
Sun Apr 30 09:43:31 EDT 2017, 6911, 0.430, 7143, 4, 0.190, 553, 70, 14, 4, 89, 103.567, 137.510
Sun Apr 30 09:43:41 EDT 2017, 1961, 0.930, 2144, 9, 0.690, 403, 25, 5, 29, 44, 8.810, 9.947
Sun Apr 30 09:44:45 EDT 2017, 1342, 0.000, 5269, 7, 0.500, 384, 41, 13, 13, 83, 45.717, 61.053
Sun Apr 30 09:45:10 EDT 2017, 6292, 0.500, 269, 3, 0.000, 534, 86, 3, 38, 38, 20.880, 25.157
Sun Apr 30 09:45:24 EDT 2017, 8767, 0.250, 2769, 9, 0.250, 309, 64, 18, 1, 16, 7.807, 13.180
Sun Apr 30 09:45:41 EDT 2017, 3817, 0.750, 7768, 5, 0.750, 459, 19, 8, 26, 61, 14.023, 16.363
Sun Apr 30 09:45:44 EDT 2017, 2579, 0.370, 1519, 6, 0.380, 497, 53, 1, 20, 27, 2.317, 2.953
Sun Apr 30 09:46:59 EDT 2017, 7529, 0.870, 6518, 1, 0.880, 347, 98, 11, 45, 72, 65.500, 74.257
Sun Apr 30 09:48:19 EDT 2017, 5054, 0.120, 9018, 8, 0.630, 572, 75, 6, 7, 95, 58.943, 77.463
Sun Apr 30 09:49:03 EDT 2017, 104, 0.620, 4019, 4, 0.130, 422, 30, 15, 32, 50, 35.100, 43.253
Sun Apr 30 09:50:17 EDT 2017, 107, 0.310, 5989, 4, 0.320, 473, 68, 18, 16, 37, 56.523, 72.417
Sun Apr 30 09:50:48 EDT 2017, 5057, 0.810, 989, 9, 0.820, 323, 23, 9, 41, 82, 27.350, 30.863
Sun Apr 30 09:51:23 EDT 2017, 7532, 0.060, 3489, 2, 0.570, 548, 46, 13, 4, 60, 25.527, 34.987
Sun Apr 30 09:51:34 EDT 2017, 2582, 0.560, 8488, 6, 0.070, 398, 91, 4, 29, 15, 8.277, 10.127
Sun Apr 30 09:52:11 EDT 2017, 3819, 0.180, 2239, 3, 0.700, 436, 57, 6, 23, 71, 30.453, 37.310
Sun Apr 30 09:52:30 EDT 2017, 8769, 0.680, 7239, 8, 0.200, 586, 12, 16, 48, 26, 15.783, 18.363
Sun Apr 30 09:52:31 EDT 2017, 6294, 0.430, 9738, 1, 0.450, 361, 35, 1, 10, 49, 0.880, 1.070
Sun Apr 30 09:55:47 EDT 2017, 1344, 0.930, 4739, 5, 0.950, 511, 80, 11, 35, 94, 183.057, 194.077
Sun Apr 30 09:56:06 EDT 2017, 1963, 0.000, 7863, 8, 0.760, 492, 74, 3, 20, 43, 15.327, 18.623
Sun Apr 30 09:57:07 EDT 2017, 6913, 0.500, 2864, 4, 0.260, 342, 29, 12, 45, 88, 51.390, 60.807
Sun Apr 30 09:57:46 EDT 2017, 9388, 0.250, 364, 6, 0.010, 567, 52, 7, 7, 65, 26.247, 37.927
Sun Apr 30 09:58:17 EDT 2017, 4438, 0.750, 5364, 1, 0.510, 417, 97, 17, 32, 20, 24.850, 30.360
Sun Apr 30 10:00:05 EDT 2017, 3200, 0.370, 4114, 9, 0.130, 379, 63, 14, 13, 77, 81.137, 103.337
Sun Apr 30 10:00:13 EDT 2017, 8150, 0.870, 9113, 5, 0.630, 529, 18, 5, 38, 32, 6.690, 7.827
Sun Apr 30 10:00:34 EDT 2017, 5675, 0.120, 6614, 7, 0.880, 304, 40, 19, 1, 54, 17.193, 20.747
