# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 09:44:36 EDT 2017, 9705, 0.970, 1665, 4, 0.700, 451, 99, 4, 7, 90, 32.667, 42.893
Sun Apr 30 09:48:00 EDT 2017, 7230, 0.220, 4165, 7, 0.950, 376, 77, 18, 45, 67, 198.663, 202.170
Sun Apr 30 09:48:09 EDT 2017, 2280, 0.720, 9165, 2, 0.450, 526, 32, 9, 20, 22, 6.493, 8.483
Sun Apr 30 09:50:13 EDT 2017, 1661, 0.280, 3540, 5, 0.260, 544, 37, 19, 35, 61, 101.647, 121.663
Sun Apr 30 09:50:27 EDT 2017, 6611, 0.780, 8540, 9, 0.760, 394, 82, 10, 10, 16, 10.410, 13.760
Sun Apr 30 09:51:50 EDT 2017, 9086, 0.030, 6040, 3, 0.510, 469, 60, 14, 48, 39, 71.380, 82.933
Sun Apr 30 09:51:59 EDT 2017, 4136, 0.530, 1040, 7, 0.010, 319, 15, 5, 23, 84, 6.760, 8.530
Sun Apr 30 09:52:26 EDT 2017, 2898, 0.150, 9790, 4, 0.640, 357, 49, 7, 29, 50, 21.973, 26.193
Sun Apr 30 09:57:10 EDT 2017, 7848, 0.650, 4790, 8, 0.140, 507, 94, 17, 4, 95, 200.467, 277.523
Sun Apr 30 09:57:38 EDT 2017, 5373, 0.400, 2290, 2, 0.390, 432, 71, 3, 42, 73, 24.380, 28.577
Sun Apr 30 09:57:53 EDT 2017, 423, 0.900, 7290, 6, 0.890, 582, 26, 12, 17, 28, 12.440, 14.623
Sun Apr 30 09:59:05 EDT 2017, 578, 0.140, 3071, 2, 0.150, 333, 61, 9, 42, 91, 59.947, 70.913
Sun Apr 30 09:59:27 EDT 2017, 5528, 0.640, 8071, 7, 0.650, 483, 16, 19, 17, 46, 17.407, 21.880
Sun Apr 30 09:59:36 EDT 2017, 8003, 0.390, 5571, 5, 0.900, 408, 39, 5, 30, 24, 7.103, 8.387
Sun Apr 30 10:01:55 EDT 2017, 3053, 0.890, 572, 9, 0.400, 558, 84, 14, 5, 69, 95.043, 133.567
Sun Apr 30 10:02:19 EDT 2017, 4291, 0.260, 9321, 1, 0.780, 596, 73, 17, 49, 12, 20.277, 23.510
Sun Apr 30 10:02:40 EDT 2017, 9241, 0.760, 4321, 6, 0.280, 446, 28, 7, 24, 57, 16.733, 21.247
Sun Apr 30 10:04:39 EDT 2017, 6766, 0.010, 1822, 3, 0.030, 521, 50, 12, 36, 80, 97.597, 118.523
Sun Apr 30 10:04:48 EDT 2017, 1816, 0.510, 6821, 8, 0.530, 371, 95, 2, 11, 35, 6.490, 8.480
Sun Apr 30 10:06:54 EDT 2017, 2434, 0.450, 1197, 5, 0.720, 352, 56, 11, 46, 97, 113.160, 123.363
