# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 09:08:25 EDT 2017, 3072, 0.390, 8989, 2, 0.180, 445, 58, 15, 21, 62, 58.950, 75.147
Sun Apr 30 09:08:30 EDT 2017, 8022, 0.890, 3989, 6, 0.680, 595, 13, 6, 46, 17, 4.133, 4.603
Sun Apr 30 09:08:43 EDT 2017, 5547, 0.140, 1490, 4, 0.930, 370, 35, 11, 9, 39, 9.483, 12.737
Sun Apr 30 09:09:05 EDT 2017, 597, 0.640, 6489, 9, 0.430, 520, 80, 1, 34, 84, 18.887, 21.410
Sun Apr 30 09:09:11 EDT 2017, 443, 0.400, 3208, 3, 0.730, 394, 51, 18, 6, 10, 4.387, 6.603
Sun Apr 30 09:11:38 EDT 2017, 5393, 0.900, 8208, 7, 0.230, 544, 96, 9, 31, 55, 122.787, 144.723
Sun Apr 30 09:12:22 EDT 2017, 7868, 0.150, 5708, 1, 0.480, 319, 73, 13, 19, 77, 33.903, 44.107
Sun Apr 30 09:12:31 EDT 2017, 2918, 0.650, 708, 5, 0.980, 469, 28, 4, 44, 32, 8.127, 8.757
Sun Apr 30 09:12:54 EDT 2017, 4155, 0.030, 9458, 4, 0.350, 506, 39, 6, 0, 88, 13.600, 22.263
Sun Apr 30 09:14:19 EDT 2017, 9105, 0.530, 4458, 9, 0.850, 356, 84, 16, 25, 43, 79.043, 84.030
Sun Apr 30 09:14:21 EDT 2017, 6630, 0.280, 1958, 2, 0.600, 581, 62, 1, 12, 21, 1.807, 2.290
Sun Apr 30 09:14:51 EDT 2017, 1680, 0.780, 6958, 6, 0.100, 431, 17, 11, 37, 66, 24.257, 29.127
Sun Apr 30 09:14:53 EDT 2017, 2299, 0.220, 83, 9, 0.170, 412, 45, 3, 3, 15, 1.277, 1.910
Sun Apr 30 09:17:41 EDT 2017, 7249, 0.720, 5083, 5, 0.670, 562, 90, 12, 28, 60, 147.023, 164.533
Sun Apr 30 09:18:25 EDT 2017, 9724, 0.470, 7583, 7, 0.920, 337, 68, 7, 16, 83, 38.470, 43.400
Sun Apr 30 09:18:53 EDT 2017, 4774, 0.970, 2583, 2, 0.420, 487, 23, 17, 41, 38, 23.203, 27.557
Sun Apr 30 09:19:53 EDT 2017, 3536, 0.340, 6333, 8, 0.790, 450, 34, 15, 9, 94, 51.457, 58.720
Sun Apr 30 09:20:20 EDT 2017, 8486, 0.840, 1333, 3, 0.290, 300, 79, 5, 34, 49, 21.483, 25.963
Sun Apr 30 09:21:26 EDT 2017, 6011, 0.090, 3833, 6, 0.040, 525, 56, 19, 22, 27, 51.687, 65.493
Sun Apr 30 09:21:35 EDT 2017, 1061, 0.590, 8833, 1, 0.540, 375, 11, 10, 47, 72, 6.737, 7.827
Sun Apr 30 09:21:59 EDT 2017, 752, 0.060, 5395, 2, 0.950, 309, 98, 4, 45, 46, 21.733, 23.603
Sun Apr 30 09:24:11 EDT 2017, 5702, 0.560, 396, 7, 0.450, 459, 53, 14, 20, 91, 106.827, 130.523
Sun Apr 30 09:24:47 EDT 2017, 8177, 0.310, 2896, 4, 0.200, 384, 31, 9, 33, 69, 29.713, 35.920
Sun Apr 30 09:25:37 EDT 2017, 3227, 0.810, 7895, 9, 0.700, 534, 76, 19, 8, 24, 39.040, 48.977
Sun Apr 30 09:27:06 EDT 2017, 4465, 0.440, 1646, 1, 0.070, 572, 87, 12, 39, 57, 74.550, 88.750
Sun Apr 30 09:27:08 EDT 2017, 9415, 0.940, 6645, 5, 0.570, 422, 42, 2, 14, 12, 1.230, 1.440
Sun Apr 30 09:27:27 EDT 2017, 6940, 0.190, 9145, 3, 0.820, 497, 20, 16, 27, 35, 15.557, 18.510
Sun Apr 30 09:28:03 EDT 2017, 1990, 0.690, 4146, 8, 0.320, 347, 65, 7, 2, 80, 22.547, 35.720
Sun Apr 30 09:30:51 EDT 2017, 1371, 0.250, 8520, 6, 0.390, 366, 93, 15, 42, 52, 143.530, 165.023
Sun Apr 30 09:31:15 EDT 2017, 6321, 0.750, 3521, 1, 0.890, 516, 48, 6, 17, 97, 19.577, 23.667
Sun Apr 30 09:31:54 EDT 2017, 8796, 0.000, 1021, 8, 0.640, 441, 25, 10, 30, 74, 32.803, 38.413
Sun Apr 30 09:31:58 EDT 2017, 3846, 0.500, 6020, 4, 0.140, 591, 70, 1, 5, 29, 2.300, 3.160
Sun Apr 30 09:34:35 EDT 2017, 2608, 0.120, 4771, 7, 0.510, 553, 82, 8, 48, 63, 136.147, 156.057
Sun Apr 30 09:34:51 EDT 2017, 7558, 0.620, 9770, 3, 0.010, 403, 37, 17, 23, 18, 12.070, 15.573
Sun Apr 30 09:34:56 EDT 2017, 5083, 0.370, 7270, 9, 0.260, 478, 14, 3, 36, 41, 4.420, 4.940
Sun Apr 30 09:36:01 EDT 2017, 133, 0.870, 2271, 5, 0.760, 328, 59, 13, 11, 86, 50.363, 63.310
Sun Apr 30 09:37:00 EDT 2017, 124, 0.120, 5561, 5, 0.470, 535, 43, 14, 41, 33, 49.707, 58.310
Sun Apr 30 09:37:24 EDT 2017, 5074, 0.620, 562, 1, 0.970, 385, 88, 5, 16, 78, 17.580, 22.703
Sun Apr 30 09:39:54 EDT 2017, 7549, 0.370, 3062, 7, 0.720, 460, 66, 19, 28, 55, 134.853, 149.487
Sun Apr 30 09:39:55 EDT 2017, 2599, 0.870, 8061, 3, 0.220, 310, 21, 9, 3, 10, 0.803, 1.150
Sun Apr 30 09:40:05 EDT 2017, 3836, 0.250, 1812, 6, 0.600, 347, 32, 2, 47, 66, 8.637, 9.653
Sun Apr 30 09:40:33 EDT 2017, 8786, 0.750, 6811, 2, 0.100, 497, 77, 12, 22, 21, 21.353, 27.343
Sun Apr 30 09:41:12 EDT 2017, 6311, 0.000, 9311, 8, 0.350, 422, 55, 7, 34, 44, 32.870, 39.090
Sun Apr 30 09:41:31 EDT 2017, 1361, 0.500, 4312, 4, 0.850, 572, 10, 17, 9, 89, 14.913, 18.810
Sun Apr 30 09:41:57 EDT 2017, 1980, 0.430, 8686, 2, 0.910, 591, 49, 6, 44, 38, 23.167, 25.680
Sun Apr 30 09:45:53 EDT 2017, 6930, 0.930, 3687, 7, 0.410, 441, 94, 15, 19, 83, 193.113, 233.180
