# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 13:18:32 EST 2017, 100, 0.000, 0, 0.000, 300, 10, 1, 0, 10, 0.077, 0.097
Tue Jan 10 13:21:58 EST 2017, 5050, 0.500, 6, 0.500, 450, 55, 10, 25, 55, 19.657, 19.153
Tue Jan 10 13:23:49 EST 2017, 7525, 0.250, 9, 0.250, 525, 32, 15, 12, 32, 7.013, 6.893
Tue Jan 10 13:26:05 EST 2017, 2575, 0.750, 3, 0.750, 375, 77, 5, 37, 77, 19.907, 19.520
Tue Jan 10 13:29:51 EST 2017, 3812, 0.370, 7, 0.120, 562, 88, 3, 31, 21, 5.040, 5.347
Tue Jan 10 13:30:57 EST 2017, 8762, 0.870, 1, 0.620, 412, 43, 12, 6, 66, 6.967, 7.050
Tue Jan 10 13:33:13 EST 2017, 6287, 0.120, 4, 0.370, 337, 66, 17, 43, 43, 22.057, 21.570
Tue Jan 10 13:35:04 EST 2017, 1337, 0.620, 10, 0.870, 487, 21, 8, 18, 88, 8.990, 8.223
Tue Jan 10 13:35:54 EST 2017, 1956, 0.310, 3, 0.680, 468, 26, 2, 46, 26, 1.270, 1.203
Tue Jan 10 13:37:25 EST 2017, 6906, 0.810, 9, 0.180, 318, 71, 11, 21, 71, 29.423, 28.857
Tue Jan 10 13:40:16 EST 2017, 9381, 0.060, 6, 0.930, 393, 49, 16, 34, 49, 15.960, 14.867
Tue Jan 10 13:42:26 EST 2017, 4431, 0.560, 0, 0.430, 543, 94, 6, 9, 94, 26.957, 26.593
Tue Jan 10 13:44:02 EST 2017, 3193, 0.180, 11, 0.560, 431, 83, 4, 15, 15, 1.887, 1.887
Tue Jan 10 13:48:03 EST 2017, 8143, 0.680, 5, 0.060, 581, 38, 14, 40, 60, 110.070, 58.207
Tue Jan 10 13:50:14 EST 2017, 5668, 0.430, 2, 0.810, 506, 60, 18, 3, 38, 7.383, 6.210
Tue Jan 10 13:52:20 EST 2017, 718, 0.930, 8, 0.310, 356, 15, 9, 28, 83, 0.100, 10.777
Tue Jan 10 13:54:41 EST 2017, 1028, 0.460, 10, 0.400, 384, 40, 11, 42, 80, 27.977, 27.860
Tue Jan 10 13:56:16 EST 2017, 5978, 0.960, 4, 0.900, 534, 85, 1, 17, 35, 2.397, 2.480
Tue Jan 10 13:58:17 EST 2017, 8453, 0.210, 1, 0.150, 459, 18, 6, 29, 57, 2.027, 2.280
Tue Jan 10 14:00:13 EST 2017, 3503, 0.710, 7, 0.650, 309, 63, 15, 4, 12, 2.443, 2.373
Tue Jan 10 14:02:48 EST 2017, 4740, 0.090, 5, 0.280, 496, 74, 13, 23, 91, 38.923, 38.470
Tue Jan 10 14:04:14 EST 2017, 9690, 0.590, 11, 0.780, 346, 29, 3, 48, 46, 3.470, 3.447
Tue Jan 10 14:06:34 EST 2017, 7215, 0.340, 8, 0.030, 421, 97, 8, 10, 69, 18.980, 20.270
Tue Jan 10 14:08:55 EST 2017, 2265, 0.840, 2, 0.530, 571, 52, 18, 35, 24, 38.427, 29.740
Tue Jan 10 14:10:31 EST 2017, 1646, 0.150, 6, 0.840, 553, 46, 12, 7, 97, 15.437, 13.320
Tue Jan 10 14:12:26 EST 2017, 6596, 0.650, 0, 0.340, 403, 91, 2, 32, 52, 7.830, 8.433
Tue Jan 10 14:14:22 EST 2017, 9071, 0.400, 3, 0.590, 328, 24, 7, 20, 74, 4.257, 4.207
Tue Jan 10 14:17:08 EST 2017, 4121, 0.900, 9, 0.090, 478, 69, 17, 45, 29, 0.133, 45.277
Tue Jan 10 14:20:39 EST 2017, 2884, 0.280, 1, 0.960, 365, 57, 14, 26, 85, 11.780, 10.953
Tue Jan 10 14:22:30 EST 2017, 7834, 0.780, 7, 0.460, 515, 12, 5, 1, 40, 0.213, 1.653
Tue Jan 10 14:25:06 EST 2017, 5359, 0.030, 10, 0.710, 590, 80, 9, 39, 63, 33.840, 32.007
Tue Jan 10 14:26:41 EST 2017, 409, 0.530, 4, 0.210, 440, 35, 19, 14, 18, 9.443, 6.557
Tue Jan 10 14:30:27 EST 2017, 564, 0.260, 7, 0.570, 510, 67, 6, 33, 62, 18.400, 18.653
Tue Jan 10 14:34:18 EST 2017, 5514, 0.760, 1, 0.070, 360, 22, 15, 8, 17, 1.660, 2.037
Tue Jan 10 14:37:04 EST 2017, 7989, 0.010, 4, 0.820, 435, 90, 10, 46, 84, 40.457, 41.593
Tue Jan 10 15:40:46 EST 2017, 3039, 0.510, 10, 0.320, 585, 45, 1, 21, 39, 1.720, 1.913
Tue Jan 10 15:42:47 EST 2017, 4276, 0.140, 2, 0.700, 398, 33, 8, 2, 73, 2.253, 2.277
Tue Jan 10 15:45:27 EST 2017, 9226, 0.640, 8, 0.200, 548, 78, 17, 27, 28, 36.697, 33.850
