# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 16:18:44 EST 2017, 4305, 0.390, 4, 0.570, 507, 28, 16, 18, 24, 6.150, 5.717
Tue Jan 10 16:23:21 EST 2017, 9255, 0.890, 10, 0.070, 357, 73, 7, 43, 69, 0.200, 36.853
Tue Jan 10 16:26:47 EST 2017, 6780, 0.140, 7, 0.820, 432, 50, 2, 6, 47, 1.227, 1.313
Tue Jan 10 16:31:18 EST 2017, 1830, 0.640, 1, 0.320, 582, 95, 11, 31, 92, 62.670, 67.203
Tue Jan 10 16:34:34 EST 2017, 2449, 0.320, 6, 0.010, 526, 90, 17, 9, 30, 20.603, 18.590
Tue Jan 10 16:37:45 EST 2017, 7399, 0.820, 0, 0.510, 376, 45, 8, 34, 75, 21.767, 23.373
Tue Jan 10 16:38:25 EST 2017, 9874, 0.070, 3, 0.260, 301, 67, 3, 22, 52, 2.660, 2.833
Tue Jan 10 16:40:51 EST 2017, 4924, 0.570, 9, 0.760, 451, 22, 13, 47, 97, 28.893, 27.893
Tue Jan 10 16:43:22 EST 2017, 3686, 0.200, 2, 0.130, 338, 11, 15, 28, 19, 1.280, 1.320
Tue Jan 10 16:45:32 EST 2017, 8636, 0.700, 8, 0.630, 488, 56, 6, 3, 64, 7.947, 7.600
Tue Jan 10 16:49:33 EST 2017, 6161, 0.450, 11, 0.380, 563, 33, 1, 40, 41, 1.913, 2.027
Tue Jan 10 16:54:04 EST 2017, 1211, 0.950, 5, 0.880, 413, 78, 10, 15, 86, 37.850, 32.343
Tue Jan 10 17:57:51 EST 2017, 902, 0.480, 1, 0.850, 329, 59, 10, 4, 78, 4.463, 4.373
Tue Jan 10 18:01:02 EST 2017, 5852, 0.980, 7, 0.350, 479, 14, 19, 29, 33, 0.080, 10.043
Tue Jan 10 18:05:28 EST 2017, 8327, 0.230, 10, 0.600, 554, 81, 14, 17, 55, 30.593, 28.847
Tue Jan 10 18:09:04 EST 2017, 3377, 0.730, 4, 0.100, 404, 36, 5, 42, 10, 2.093, 2.180
Tue Jan 10 18:11:26 EST 2017, 4614, 0.110, 8, 0.970, 592, 48, 7, 36, 89, 22.330, 20.693
Tue Jan 10 18:15:39 EST 2017, 9564, 0.610, 2, 0.470, 442, 93, 17, 11, 44, 27.537, 24.047
Tue Jan 10 19:20:49 EST 2017, 7089, 0.360, 5, 0.720, 367, 25, 12, 48, 66, 13.757, 13.227
Tue Jan 10 19:21:44 EST 2017, 2139, 0.860, 11, 0.220, 517, 70, 3, 23, 21, 4.357, 4.640
Tue Jan 10 19:25:20 EST 2017, 1521, 0.170, 3, 0.410, 460, 76, 8, 45, 94, 35.017, 35.463
Tue Jan 10 19:27:01 EST 2017, 6471, 0.670, 9, 0.910, 310, 31, 18, 20, 49, 10.653, 9.590
