# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue May 16 13:44:29 EDT 2017, 0.480, 8, 5, 0.890, 4, 3, 17, 482, 45, 7, 13, 73, 18.980, 15.770
Tue May 16 13:45:14 EDT 2017, 0.350, 5, 4, 0.010, 7, 5, 50, 595, 56, 19, 44, 39, 43.420, 25.630
Tue May 16 13:45:19 EDT 2017, 0.850, 9, 9, 0.510, 3, 9, 95, 445, 11, 10, 19, 84, 4.610, 4.073
Tue May 16 13:45:37 EDT 2017, 0.600, 2, 7, 0.260, 1, 2, 73, 520, 78, 5, 32, 62, 17.943, 17.830
Tue May 16 13:45:45 EDT 2017, 0.100, 7, 2, 0.760, 5, 7, 28, 370, 33, 14, 7, 17, 8.407, 4.370
Tue May 16 13:46:18 EDT 2017, 0.070, 3, 3, 0.980, 9, 9, 81, 435, 42, 8, 17, 98, 32.280, 23.673
Tue May 16 13:47:16 EDT 2017, 0.570, 7, 7, 0.480, 5, 5, 36, 585, 87, 17, 42, 53, 57.347, 40.143
Tue May 16 13:47:20 EDT 2017, 0.820, 5, 5, 0.730, 3, 7, 14, 360, 19, 13, 5, 31, 4.180, 2.917
Tue May 16 13:47:56 EDT 2017, 0.320, 9, 1, 0.230, 7, 3, 59, 510, 64, 3, 30, 76, 35.263, 26.163
Tue May 16 13:48:09 EDT 2017, 0.450, 4, 9, 0.850, 1, 1, 92, 548, 53, 10, 11, 42, 12.613, 11.440
Tue May 16 13:48:21 EDT 2017, 0.950, 8, 4, 0.350, 6, 6, 47, 398, 98, 1, 36, 87, 10.337, 11.453
Tue May 16 13:48:38 EDT 2017, 0.700, 1, 2, 0.600, 8, 4, 25, 473, 31, 6, 24, 64, 16.827, 11.320
Tue May 16 13:48:48 EDT 2017, 0.200, 6, 6, 0.100, 4, 8, 70, 323, 76, 15, 49, 19, 9.547, 6.520
Tue May 16 13:49:07 EDT 2017, 0.140, 4, 1, 0.290, 4, 8, 87, 454, 47, 9, 46, 25, 18.660, 9.893
Tue May 16 13:50:02 EDT 2017, 0.640, 9, 6, 0.790, 9, 3, 42, 304, 92, 19, 21, 70, 54.640, 33.967
Tue May 16 13:50:21 EDT 2017, 0.890, 2, 8, 0.040, 7, 5, 19, 529, 25, 14, 33, 92, 18.427, 14.210
Tue May 16 13:50:34 EDT 2017, 0.390, 7, 3, 0.540, 2, 1, 64, 379, 70, 4, 8, 47, 12.547, 10.780
