# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 140', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 500', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Sat Jul  1 07:11:15 EDT 2017, 0.430, 121, 29, 7, 19, 362, 1, 20, 15, 25, 1.647, 1.687
Sat Jul  1 07:13:17 EDT 2017, 0.930, 131, 24, 3, 8, 462, 11, 40, 0, 45, 122.053, 5.570
Sat Jul  1 07:13:23 EDT 2017, 0.680, 126, 22, 9, 14, 312, 16, 10, 23, 35, 5.783, 1.110
Sat Jul  1 07:13:26 EDT 2017, 0.180, 136, 27, 5, 25, 412, 6, 30, 8, 15, 2.010, 1.080
Sat Jul  1 07:13:27 EDT 2017, 0.120, 122, 20, 3, 29, 400, 5, 12, 17, 33, 1.573, 0.763
Sat Jul  1 07:13:33 EDT 2017, 0.620, 132, 25, 7, 18, 300, 14, 32, 2, 13, 5.473, 0.983
Sat Jul  1 07:13:57 EDT 2017, 0.870, 127, 27, 5, 12, 450, 19, 22, 25, 23, 23.160, 2.277
Sat Jul  1 07:15:03 EDT 2017, 0.370, 137, 22, 9, 23, 350, 10, 42, 10, 43, 65.993, 3.640
Sat Jul  1 07:15:05 EDT 2017, 0.250, 125, 26, 2, 10, 375, 2, 37, 21, 28, 1.597, 1.027
Sat Jul  1 07:15:33 EDT 2017, 0.750, 135, 21, 6, 21, 475, 12, 17, 6, 48, 28.133, 2.857
Sat Jul  1 07:19:12 EDT 2017, 0.500, 120, 24, 4, 26, 325, 17, 47, 28, 38, 217.347, 5.603
Sat Jul  1 07:19:15 EDT 2017, 0.000, 130, 29, 8, 15, 425, 7, 27, 13, 18, 2.907, 1.130
Sat Jul  1 07:20:01 EDT 2017, 0.000, 125, 23, 3, 27, 387, 14, 26, 18, 36, 45.837, 2.903
Sat Jul  1 07:20:05 EDT 2017, 0.500, 135, 28, 7, 16, 487, 5, 46, 3, 16, 3.557, 1.160
Sat Jul  1 07:20:08 EDT 2017, 0.750, 120, 26, 5, 11, 337, 9, 16, 25, 26, 3.093, 0.990
Sat Jul  1 07:24:35 EDT 2017, 0.250, 130, 21, 9, 22, 437, 19, 36, 10, 46, 266.160, 6.973
Sat Jul  1 07:25:01 EDT 2017, 0.370, 122, 29, 2, 8, 412, 12, 41, 22, 21, 26.537, 2.517
