# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:28:53 EDT 2017, 0.100, 148, 21, 8, 19, 510, 4, 19, 7, 39, 2.800, 2.800
Sun Jul  2 10:29:38 EDT 2017, 0.070, 129, 22, 9, 29, 595, 16, 28, 10, 25, 44.000, 35.540
Sun Jul  2 10:30:17 EDT 2017, 0.570, 149, 27, 5, 18, 445, 6, 48, 25, 45, 38.473, 30.490
Sun Jul  2 10:30:17 EDT 2017, 0.820, 139, 25, 7, 13, 520, 1, 18, 3, 35, 0.327, 0.390
Sun Jul  2 10:30:27 EDT 2017, 0.320, 159, 20, 3, 24, 370, 11, 38, 18, 15, 9.293, 7.777
Sun Jul  2 10:31:59 EDT 2017, 0.450, 134, 28, 8, 10, 332, 18, 43, 14, 30, 92.377, 69.913
Sun Jul  2 10:32:01 EDT 2017, 0.950, 154, 23, 4, 21, 482, 9, 23, 29, 10, 1.457, 1.487
Sun Jul  2 10:32:03 EDT 2017, 0.700, 124, 21, 6, 26, 407, 4, 33, 7, 20, 2.237, 2.193
Sun Jul  2 10:32:18 EDT 2017, 0.200, 144, 26, 2, 15, 557, 13, 13, 22, 40, 14.493, 12.127
Sun Jul  2 10:33:38 EDT 2017, 0.140, 136, 20, 4, 17, 539, 17, 30, 12, 28, 79.253, 59.917
Sun Jul  2 10:33:40 EDT 2017, 0.640, 156, 25, 8, 28, 389, 7, 10, 27, 48, 2.293, 2.273
Sun Jul  2 10:33:47 EDT 2017, 0.890, 126, 28, 2, 22, 464, 3, 40, 5, 38, 6.537, 6.123
Sun Jul  2 10:33:50 EDT 2017, 0.390, 146, 23, 6, 11, 314, 12, 20, 20, 18, 3.440, 3.210
Sun Jul  2 10:34:09 EDT 2017, 0.260, 121, 27, 5, 20, 351, 19, 15, 8, 33, 18.667, 15.583
Sun Jul  2 10:34:15 EDT 2017, 0.760, 141, 22, 9, 9, 501, 10, 35, 23, 13, 5.770, 5.353
Sun Jul  2 10:34:18 EDT 2017, 0.510, 131, 24, 3, 14, 426, 5, 25, 1, 23, 2.573, 2.540
Sun Jul  2 10:37:32 EDT 2017, 0.010, 151, 29, 7, 25, 576, 14, 45, 16, 43, 193.553, 146.000
Sun Jul  2 10:37:48 EDT 2017, 0.020, 135, 24, 8, 12, 560, 8, 37, 7, 24, 16.113, 13.687
Sun Jul  2 10:38:21 EDT 2017, 0.520, 155, 29, 4, 23, 410, 18, 17, 22, 44, 33.347, 26.617
Sun Jul  2 10:40:34 EDT 2017, 0.770, 125, 26, 6, 29, 485, 13, 47, 14, 34, 132.197, 99.283
