# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:03:06 EDT 2017, 0.300, 135, 28, 3, 12, 445, 11, 41, 12, 33, 60.333, 46.810
Sun Jul  2 10:03:06 EDT 2017, 0.800, 155, 23, 7, 23, 595, 1, 21, 27, 13, 0.277, 0.260
Sun Jul  2 10:03:12 EDT 2017, 0.550, 125, 21, 5, 28, 370, 6, 31, 5, 23, 5.470, 4.983
Sun Jul  2 10:03:25 EDT 2017, 0.050, 145, 26, 9, 17, 520, 15, 11, 20, 43, 12.613, 11.207
Sun Jul  2 10:03:30 EDT 2017, 0.030, 136, 23, 4, 24, 394, 9, 47, 4, 10, 4.860, 4.587
Sun Jul  2 10:04:27 EDT 2017, 0.530, 156, 28, 8, 13, 544, 19, 27, 19, 30, 57.300, 46.350
Sun Jul  2 10:06:09 EDT 2017, 0.780, 126, 25, 2, 18, 319, 14, 37, 11, 40, 101.347, 76.770
Sun Jul  2 10:06:10 EDT 2017, 0.280, 146, 20, 6, 29, 469, 4, 17, 26, 20, 1.017, 1.113
Sun Jul  2 10:06:26 EDT 2017, 0.400, 121, 29, 5, 15, 506, 7, 22, 0, 45, 15.697, 13.357
Sun Jul  2 10:07:22 EDT 2017, 0.900, 141, 24, 9, 26, 356, 16, 42, 15, 25, 55.407, 43.300
Sun Jul  2 10:07:24 EDT 2017, 0.650, 131, 21, 3, 21, 581, 12, 12, 7, 15, 2.240, 2.307
Sun Jul  2 10:07:26 EDT 2017, 0.150, 151, 26, 7, 10, 431, 2, 32, 22, 35, 1.387, 1.543
Sun Jul  2 10:07:27 EDT 2017, 0.220, 128, 20, 9, 11, 412, 8, 14, 2, 12, 0.670, 0.800
Sun Jul  2 10:09:32 EDT 2017, 0.720, 148, 25, 5, 22, 562, 18, 34, 17, 32, 123.783, 93.977
Sun Jul  2 10:10:04 EDT 2017, 0.970, 138, 27, 7, 28, 337, 13, 24, 9, 42, 31.750, 25.140
Sun Jul  2 10:10:07 EDT 2017, 0.470, 158, 22, 3, 17, 487, 3, 44, 24, 22, 2.970, 2.933
Sun Jul  2 10:10:39 EDT 2017, 0.340, 133, 26, 8, 25, 450, 6, 39, 5, 47, 31.567, 25.937
Sun Jul  2 10:10:50 EDT 2017, 0.840, 153, 21, 4, 14, 300, 15, 19, 20, 27, 11.043, 9.550
Sun Jul  2 10:11:16 EDT 2017, 0.590, 123, 23, 6, 9, 525, 10, 49, 13, 17, 25.620, 21.170
Sun Jul  2 10:11:17 EDT 2017, 0.090, 143, 28, 2, 20, 375, 1, 29, 28, 37, 0.660, 0.750
Sun Jul  2 10:11:34 EDT 2017, 0.060, 122, 25, 3, 28, 309, 19, 18, 27, 26, 16.933, 14.197
Sun Jul  2 10:13:07 EDT 2017, 0.560, 142, 20, 7, 17, 459, 10, 38, 12, 46, 93.380, 72.140
