# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:50:33 EST 2017, 1, 5, 0.000, 2, 7.42, 0.0571548, 7.315, 7.525, 7.37, 7.37, 7.39, 7.5, 7.5, 10129.3, 1.88562, 10125.8, 10132.8, 10128, 10128, 10128, 10132, 10132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4729967, 0, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 9177160, 0, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160
Thu Jan 12 21:52:34 EST 2017, 1, 10, 0.000, 2, 8.11667, 0.0865384, 7.95769, 8.27565, 8.02, 8.02, 8.1, 8.23, 8.23, 10210.7, 1.88562, 10207.2, 10214.2, 10208, 10208, 10212, 10212, 10212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4963402, 0, 4963402, 4963402, 4963402, 4963402, 4963402, 4963402, 4963402, 9929356, 0, 9929356, 9929356, 9929356, 9929356, 9929356, 9929356, 9929356
Thu Jan 12 21:54:35 EST 2017, 1, 1, 0.250, 2, 4.05667, 0.0368179, 3.98903, 4.12431, 4.01, 4.01, 4.06, 4.1, 4.1, 9397.33, 1.88562, 9393.87, 9400.79, 9396, 9396, 9396, 9400, 9400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 3935528, 0, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528
Thu Jan 12 21:56:36 EST 2017, 1, 2, 0.250, 2, 5.94, 0.0326599, 5.88, 6, 5.9, 5.9, 5.94, 5.98, 5.98, 9550.67, 1.88562, 9547.21, 9554.13, 9548, 9548, 9552, 9552, 9552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3871029, 0, 3871029, 3871029, 3871029, 3871029, 3871029, 3871029, 3871029, 6321081, 0, 6321081, 6321081, 6321081, 6321081, 6321081, 6321081, 6321081
Thu Jan 12 21:58:42 EST 2017, 1, 5, 0.250, 2, 7.65667, 0.0817856, 7.50642, 7.80692, 7.58, 7.58, 7.62, 7.77, 7.77, 9598.67, 3.77124, 9591.74, 9605.6, 9596, 9596, 9596, 9604, 9604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4587803, 0, 4587803, 4587803, 4587803, 4587803, 4587803, 4587803, 4587803, 9177148, 0, 9177148, 9177148, 9177148, 9177148, 9177148, 9177148, 9177148
Thu Jan 12 22:00:18 EST 2017, 1, 10, 0.250, 2, 7.94, 0.134907, 7.69216, 8.18784, 7.78, 7.78, 7.93, 8.11, 8.11, 9618.67, 1.88562, 9615.21, 9622.13, 9616, 9616, 9620, 9620, 9620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 9929348, 0, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348
Thu Jan 12 22:02:19 EST 2017, 1, 1, 0.000, 5, 7.98, 0.0374166, 7.91126, 8.04874, 7.93, 7.93, 7.99, 8.02, 8.02, 10438.7, 3.77124, 10431.8, 10445.6, 10436, 10436, 10436, 10444, 10444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4449600, 0, 4449600, 4449600, 4449600, 4449600, 4449600, 4449600, 4449600, 9836169, 0, 9836169, 9836169, 9836169, 9836169, 9836169, 9836169, 9836169
Thu Jan 12 22:04:24 EST 2017, 1, 2, 0.000, 5, 12.5233, 0.0837987, 12.3694, 12.6772, 12.41, 12.41, 12.55, 12.61, 12.61, 10970.7, 1.88562, 10967.2, 10974.2, 10968, 10968, 10972, 10972, 10972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4908956, 0, 4908956, 4908956, 4908956, 4908956, 4908956, 4908956, 4908956, 15795975, 0, 15795975, 15795975, 15795975, 15795975, 15795975, 15795975, 15795975
Thu Jan 12 22:06:35 EST 2017, 1, 5, 0.000, 5, 18.8333, 0.103387, 18.6434, 19.0232, 18.72, 18.72, 18.81, 18.97, 18.97, 14601.3, 1.88562, 14597.8, 14604.8, 14600, 14600, 14600, 14604, 14604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998430, 0, 4998430, 4998430, 4998430, 4998430, 4998430, 4998430, 4998430, 22938306, 0, 22938306, 22938306, 22938306, 22938306, 22938306, 22938306, 22938306
Thu Jan 12 22:08:36 EST 2017, 1, 10, 0.000, 5, 18.8867, 0.351789, 18.2404, 19.533, 18.39, 18.39, 19.11, 19.16, 19.16, 36984, 3.26599, 36978, 36990, 36980, 36980, 36984, 36988, 36988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 24821774, 0, 24821774, 24821774, 24821774, 24821774, 24821774, 24821774, 24821774
