# --delay, --selfEvents%, --eventsPerAgent,Link list + vector (insert sort),,Link list + multi_set,,Link list + heap,,Vector + multi_set,,Vector + Heap,,Vector + Vector (std::sort),,"VecVec vs List_list","VecVec vs List_multi_set","VecVec vs List_heap","VecVec vs vec_multiset","VecVec vs vec_heap","VecVec vs VecVec"
#,,, runtime_mean, runtime_sd, runtime_mean, runtime_sd, runtime_mean, runtime_sd,runtime_mean, runtime_sd,runtime_mean, runtime_sd, runtime_mean, runtime_sd,,,,,,
10,0,10,2589.8,10.0366,81.96,0.489149,70.5733,0.932821,51.6967,1.87176,52.4867,0.261449,43.9333,0.450506,-0.9830360259,-0.4639665691,-0.3774798684,-0.1501720613,-0.1629631888,0
1,0.25,10,365.987,0.937277,25.7,1.4779,26.5167,2.50256,19.4267,0.0694422,19.77,0.0355903,15.1933,0.479884,-0.9584867769,-0.4088210117,-0.4270290044,-0.2179165787,-0.231497218,0
2,0.25,10,1152.98,3.17805,48.76,0.0216025,42.0667,4.13752,34.7467,0.00471405,33.1233,0.0124722,27.11,0.0920145,-0.9764870163,-0.4440114848,-0.3555472618,-0.2197820225,-0.1815429018,0
5,0.25,10,2910.54,6.81541,67.66,5.00744,61.6633,5.92323,53.4067,0.83284,46.9267,0.40549,35.4367,2.35715,-0.9878246992,-0.4762533255,-0.4253194364,-0.3364746371,-0.2448499468,0
10,0.25,10,2664.78,7.75142,84.0633,0.181169,62.9533,1.40746,52.0433,0.302141,48.7433,1.36558,42.3167,1.49872,-0.9841200024,-0.4966091029,-0.3278080736,-0.1868943745,-0.1318458127,0
1,0,15,939.15,2.31954,45.2233,5.00161,40.8,3.85391,32.12,0,32.92,0.0216025,23.54,2.36179,-0.9749347815,-0.4794718652,-0.4230392157,-0.2671232877,-0.2849331713,0
2,0,15,2764.39,3.14417,69.07,0.608112,69.05,1.55925,61.43,0.0848528,49.2667,3.30456,46.1967,0.00471405,-0.983288646,-0.3311611409,-0.3309674149,-0.2479781866,-0.0623138956,0
5,0,15,2764.39,3.14417,127.52,0.427629,108.7,0.0432049,77.81,2.67456,77.4967,0.00942809,62.97,0.0707107,-0.9772210144,-0.5061951066,-0.420699172,-0.190720987,-0.187449272,0
10,0,15,2764.39,3.14417,114.31,3.33255,99.33,3.00554,83.96,5.22158,67.3433,5.82967,62.3767,4.09888,-0.9774356368,-0.454319832,-0.3720255713,-0.2570664602,-0.0737504696,0
1,0.25,15,928.94,9.75435,42.15,2.48923,38.0533,0.111156,27.6933,2.87061,31.75,0.113431,22.92,2.27439,-0.9753267165,-0.456227758,-0.3976869286,-0.1723629903,-0.2781102362,0
2,0.25,15,2755.09,9.93551,66.4433,1.97518,76.69,1.6472,48.1967,1.22097,55.8633,0.133,45.4433,0.0124722,-0.9835056931,-0.3160589555,-0.4074416482,-0.0571283926,-0.1865267537,0
5,0.25,15,2755.09,9.93551,127.697,1.15014,93.2133,0.289866,74.2367,7.46528,75.9333,1.89542,53.58,5.014,-0.9805523595,-0.5804130089,-0.4251893238,-0.278254556,-0.2943807262,0
10,0.25,15,2755.09,9.93551,121.92,1.84859,97.3833,3.10673,85.89,6.27913,81.38,0.00816497,61.5667,7.82297,-0.9776534705,-0.4950237861,-0.3677899599,-0.2831912912,-0.2434664537,0
1,0,20,1622.24,3.52051,67.9333,0.0124722,54.58,3.37409,47.79,0.292233,43.46,0.855258,36.7767,0.266625,-0.9773296799,-0.4586351613,-0.3261872481,-0.2304519774,-0.1537804878,0
2,0,20,1622.24,3.52051,116.403,0.49493,106.04,4.9906,73.2767,2.63945,67.9267,8.2577,62.9433,0.063421,-0.9611997608,-0.4592639365,-0.4064192757,-0.1410189051,-0.0733643766,0
5,0,20,1622.24,3.52051,153.93,8.8911,136.243,9.74993,123.587,0.359753,111.44,2.83056,91.3933,0.0188562,-0.9436622818,-0.4062671344,-0.3291890226,-0.2604942267,-0.179887832,0
10,0,20,1622.24,3.52051,193.62,0.428719,150.423,15.535,129.75,0.905097,117.913,0.436068,98.0167,0.122293,-0.9395794087,-0.4937676893,-0.3483928655,-0.2445726397,-0.1687371197,0
1,0.25,20,1627.68,35.0014,55.2333,3.08535,51.4867,1.14316,43.9667,0.230988,43.5067,1.7442,32.29,3.56536,-0.9801619483,-0.4153889049,-0.3728477451,-0.2655805416,-0.2578154629,0
2,0.25,20,1627.68,35.0014,115.94,0.233381,108.97,1.0536,82.1667,0.20854,62.34,7.55918,59.2133,2.84507,-0.9636210434,-0.4892763498,-0.4566091585,-0.2793516108,-0.0501555983,0
5,0.25,20,1627.68,35.0014,175.507,0.428978,151.247,0.112645,111.357,5.24909,108.28,0.00816497,75.0367,4.40292,-0.9538995994,-0.5724575088,-0.5038797464,-0.3261609059,-0.3070123753,0
10,0.25,20,1627.68,35.0014,191.437,1.28961,159.88,0.703468,127.34,1.02072,108.757,12.1599,85.43,8.32265,-0.9475142534,-0.5537435292,-0.4656617463,-0.3291188943,-0.2144873433,0
