# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Sun Jul  2 18:10:07 EDT 2017, 0.000, 150, 27, 9, 24, 544, 18, 14, 27, 34, 17.593, 2.267
Sun Jul  2 18:15:28 EDT 2017, 0.000, 135, 28, 7, 21, 516, 17, 43, 9, 46, 319.657, 8.627
Sun Jul  2 18:15:32 EDT 2017, 0.500, 155, 23, 3, 10, 366, 7, 23, 24, 26, 4.340, 1.673
Sun Jul  2 18:15:33 EDT 2017, 0.750, 125, 20, 9, 15, 591, 2, 33, 1, 16, 0.720, 0.617
Sun Jul  2 18:15:41 EDT 2017, 0.250, 145, 25, 5, 26, 441, 12, 13, 16, 36, 7.727, 1.477
Sun Jul  2 18:15:50 EDT 2017, 0.370, 120, 24, 6, 18, 404, 19, 28, 13, 11, 9.013, 1.367
Sun Jul  2 18:16:47 EDT 2017, 0.870, 140, 29, 2, 29, 554, 9, 48, 28, 31, 56.473, 4.373
Sun Jul  2 18:16:51 EDT 2017, 0.620, 130, 26, 8, 24, 329, 5, 18, 5, 41, 3.237, 1.110
Sun Jul  2 18:17:28 EDT 2017, 0.120, 150, 21, 4, 13, 479, 14, 38, 20, 21, 37.183, 3.090
Sun Jul  2 18:18:07 EDT 2017, 0.180, 127, 25, 2, 9, 460, 15, 15, 14, 49, 38.073, 2.860
Sun Jul  2 18:18:14 EDT 2017, 0.680, 147, 20, 6, 20, 310, 6, 35, 29, 29, 7.317, 1.487
Sun Jul  2 18:18:15 EDT 2017, 0.930, 137, 22, 4, 25, 535, 1, 25, 7, 19, 0.243, 0.337
Sun Jul  2 18:19:22 EDT 2017, 0.430, 157, 27, 8, 14, 385, 11, 45, 22, 39, 67.070, 4.007
Sun Jul  2 18:19:39 EDT 2017, 0.310, 132, 21, 3, 28, 422, 18, 30, 11, 14, 16.877, 1.883
Sun Jul  2 18:19:41 EDT 2017, 0.810, 152, 26, 7, 17, 572, 8, 10, 26, 34, 2.193, 0.977
Sun Jul  2 18:19:48 EDT 2017, 0.560, 122, 28, 5, 11, 347, 3, 40, 3, 44, 6.430, 1.597
Sun Jul  2 18:19:58 EDT 2017, 0.060, 142, 23, 9, 22, 497, 13, 20, 18, 24, 10.163, 1.717
Sun Jul  2 18:20:01 EDT 2017, 0.090, 123, 20, 8, 26, 563, 8, 11, 15, 30, 3.000, 1.203
Sun Jul  2 18:20:08 EDT 2017, 0.590, 143, 25, 4, 15, 413, 17, 31, 0, 10, 6.520, 1.170
Sun Jul  2 18:20:15 EDT 2017, 0.840, 133, 27, 6, 9, 488, 12, 21, 23, 20, 6.850, 1.397
Sun Jul  2 18:20:21 EDT 2017, 0.340, 153, 22, 2, 20, 338, 3, 41, 8, 40, 5.653, 1.600
Sun Jul  2 18:20:34 EDT 2017, 0.470, 138, 26, 9, 12, 301, 10, 36, 19, 25, 12.697, 1.710
Sun Jul  2 18:21:23 EDT 2017, 0.970, 158, 21, 5, 23, 451, 19, 16, 4, 45, 48.767, 3.290
Sun Jul  2 18:23:45 EDT 2017, 0.720, 128, 24, 7, 29, 376, 15, 46, 27, 35, 141.620, 5.160
Sun Jul  2 18:23:46 EDT 2017, 0.220, 148, 29, 3, 18, 526, 5, 26, 12, 15, 1.277, 0.893
Sun Jul  2 18:24:22 EDT 2017, 0.150, 131, 23, 5, 13, 544, 6, 49, 21, 33, 35.320, 3.680
Sun Jul  2 18:24:28 EDT 2017, 0.650, 151, 28, 9, 24, 394, 16, 29, 6, 13, 6.227, 1.270
