# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Sun Jul  2 09:11:21 EDT 2017, 0.100, 123, 22, 6, 22, 557, 2, 48, 26, 42, 7.000, 2.317
Sun Jul  2 09:11:32 EDT 2017, 0.600, 143, 27, 2, 11, 407, 11, 28, 11, 22, 10.493, 1.520
Sun Jul  2 09:11:46 EDT 2017, 0.850, 133, 25, 8, 16, 482, 16, 38, 19, 12, 13.820, 1.873
Sun Jul  2 09:11:49 EDT 2017, 0.350, 153, 20, 4, 27, 332, 6, 18, 4, 32, 2.780, 0.933
Sun Jul  2 09:11:50 EDT 2017, 0.480, 138, 29, 7, 13, 370, 4, 23, 22, 17, 0.607, 0.400
Sun Jul  2 09:14:01 EDT 2017, 0.980, 158, 24, 3, 24, 520, 13, 43, 7, 37, 130.893, 6.517
Sun Jul  2 09:14:35 EDT 2017, 0.730, 128, 21, 9, 19, 445, 18, 13, 15, 47, 33.963, 2.613
Sun Jul  2 09:14:55 EDT 2017, 0.230, 148, 26, 5, 8, 595, 9, 33, 0, 27, 20.117, 2.800
Sun Jul  2 09:14:57 EDT 2017, 0.170, 130, 21, 3, 12, 576, 3, 10, 24, 44, 1.030, 0.713
Sun Jul  2 09:15:12 EDT 2017, 0.670, 150, 26, 7, 23, 426, 12, 30, 9, 24, 15.647, 2.007
Sun Jul  2 09:15:19 EDT 2017, 0.920, 120, 28, 5, 29, 501, 17, 20, 17, 14, 6.800, 1.360
Sun Jul  2 09:15:42 EDT 2017, 0.420, 140, 23, 9, 18, 351, 8, 40, 2, 34, 22.680, 2.620
Sun Jul  2 09:15:45 EDT 2017, 0.290, 125, 27, 2, 26, 314, 5, 35, 28, 19, 2.657, 0.863
Sun Jul  2 09:16:06 EDT 2017, 0.790, 145, 22, 6, 15, 464, 15, 15, 13, 39, 20.700, 2.377
Sun Jul  2 09:24:02 EDT 2017, 0.540, 135, 24, 4, 9, 389, 19, 45, 21, 49, 472.853, 9.353
Sun Jul  2 09:24:14 EDT 2017, 0.040, 155, 29, 8, 20, 539, 10, 25, 6, 29, 12.100, 2.077
Sun Jul  2 09:25:22 EDT 2017, 0.030, 126, 20, 5, 15, 337, 15, 30, 22, 36, 67.620, 3.237
Sun Jul  2 09:25:23 EDT 2017, 0.530, 146, 25, 9, 26, 487, 5, 10, 7, 16, 0.327, 0.383
Sun Jul  2 09:25:23 EDT 2017, 0.780, 136, 28, 3, 21, 412, 1, 40, 29, 26, 0.683, 0.693
Sun Jul  2 09:25:48 EDT 2017, 0.280, 156, 23, 7, 10, 562, 10, 20, 14, 46, 24.280, 3.077
Sun Jul  2 09:25:57 EDT 2017, 0.400, 131, 26, 4, 23, 525, 17, 15, 18, 21, 8.977, 1.657
Sun Jul  2 09:26:25 EDT 2017, 0.900, 151, 21, 8, 12, 375, 8, 35, 3, 41, 27.163, 2.757
Sun Jul  2 09:26:27 EDT 2017, 0.650, 121, 24, 2, 18, 450, 3, 25, 26, 31, 2.223, 1.097
Sun Jul  2 09:26:33 EDT 2017, 0.150, 141, 29, 6, 29, 300, 13, 45, 11, 11, 6.100, 1.057
Sun Jul  2 09:27:25 EDT 2017, 0.210, 138, 23, 8, 25, 318, 16, 27, 16, 39, 50.897, 2.843
Sun Jul  2 09:27:34 EDT 2017, 0.710, 158, 28, 4, 14, 468, 7, 47, 1, 19, 8.937, 1.900
Sun Jul  2 09:27:35 EDT 2017, 0.960, 128, 26, 6, 8, 393, 2, 17, 24, 29, 0.437, 0.400
Sun Jul  2 17:55:40 EDT 2017, 0.100, 123, 22, 6, 22, 557, 2, 48, 26, 42, 9.647, 4.900
Sun Jul  2 17:55:51 EDT 2017, 0.600, 143, 27, 2, 11, 407, 11, 28, 11, 22, 10.830, 1.840
Sun Jul  2 17:56:05 EDT 2017, 0.850, 133, 25, 8, 16, 482, 16, 38, 19, 12, 13.847, 1.913
Sun Jul  2 17:56:08 EDT 2017, 0.350, 153, 20, 4, 27, 332, 6, 18, 4, 32, 2.940, 1.133
Sun Jul  2 17:56:09 EDT 2017, 0.480, 138, 29, 7, 13, 370, 4, 23, 22, 17, 0.650, 0.460
Sun Jul  2 17:58:21 EDT 2017, 0.980, 158, 24, 3, 24, 520, 13, 43, 7, 37, 131.243, 6.277
Sun Jul  2 17:58:56 EDT 2017, 0.730, 128, 21, 9, 19, 445, 18, 13, 15, 47, 34.137, 2.740
Sun Jul  2 17:59:16 EDT 2017, 0.230, 148, 26, 5, 8, 595, 9, 33, 0, 27, 20.270, 2.837
Sun Jul  2 17:59:18 EDT 2017, 0.170, 130, 21, 3, 12, 576, 3, 10, 24, 44, 1.287, 0.947
Sun Jul  2 17:59:34 EDT 2017, 0.670, 150, 26, 7, 23, 426, 12, 30, 9, 24, 15.717, 2.060
Sun Jul  2 17:59:40 EDT 2017, 0.920, 120, 28, 5, 29, 501, 17, 20, 17, 14, 6.770, 1.340
Sun Jul  2 18:00:03 EDT 2017, 0.420, 140, 23, 9, 18, 351, 8, 40, 2, 34, 22.727, 2.427
Sun Jul  2 18:00:06 EDT 2017, 0.290, 125, 27, 2, 26, 314, 5, 35, 28, 19, 2.670, 1.003
Sun Jul  2 18:00:27 EDT 2017, 0.790, 145, 22, 6, 15, 464, 15, 15, 13, 39, 20.657, 2.273
Sun Jul  2 18:08:24 EDT 2017, 0.540, 135, 24, 4, 9, 389, 19, 45, 21, 49, 472.523, 9.180
Sun Jul  2 18:08:36 EDT 2017, 0.040, 155, 29, 8, 20, 539, 10, 25, 6, 29, 12.373, 2.287
Sun Jul  2 18:09:44 EDT 2017, 0.030, 126, 20, 5, 15, 337, 15, 30, 22, 36, 67.503, 3.430
Sun Jul  2 18:09:45 EDT 2017, 0.530, 146, 25, 9, 26, 487, 5, 10, 7, 16, 0.463, 0.520
Sun Jul  2 18:09:46 EDT 2017, 0.780, 136, 28, 3, 21, 412, 1, 40, 29, 26, 0.730, 0.733
Sun Jul  2 18:10:10 EDT 2017, 0.280, 156, 23, 7, 10, 562, 10, 20, 14, 46, 24.247, 3.030
Sun Jul  2 18:10:19 EDT 2017, 0.400, 131, 26, 4, 23, 525, 17, 15, 18, 21, 8.813, 1.583
Sun Jul  2 18:10:46 EDT 2017, 0.900, 151, 21, 8, 12, 375, 8, 35, 3, 41, 26.947, 2.803
Sun Jul  2 18:10:48 EDT 2017, 0.650, 121, 24, 2, 18, 450, 3, 25, 26, 31, 2.227, 1.087
Sun Jul  2 18:10:55 EDT 2017, 0.150, 141, 29, 6, 29, 300, 13, 45, 11, 11, 6.250, 1.063
Sun Jul  2 18:11:46 EDT 2017, 0.210, 138, 23, 8, 25, 318, 16, 27, 16, 39, 50.813, 2.850
Sun Jul  2 18:11:56 EDT 2017, 0.710, 158, 28, 4, 14, 468, 7, 47, 1, 19, 9.137, 1.860
Sun Jul  2 18:11:56 EDT 2017, 0.960, 128, 26, 6, 8, 393, 2, 17, 24, 29, 0.500, 0.523
Sun Jul  2 18:14:29 EDT 2017, 0.460, 148, 21, 2, 19, 543, 11, 37, 9, 49, 151.697, 7.287
Sun Jul  2 18:16:26 EDT 2017, 0.340, 123, 29, 9, 11, 581, 19, 42, 20, 24, 115.980, 5.120
Sun Jul  2 18:16:46 EDT 2017, 0.840, 143, 24, 5, 22, 431, 9, 22, 5, 44, 19.283, 2.510
Sun Jul  2 18:16:52 EDT 2017, 0.590, 133, 22, 7, 28, 506, 4, 32, 28, 34, 6.263, 1.800
Sun Jul  2 18:16:54 EDT 2017, 0.090, 153, 27, 3, 17, 356, 14, 12, 13, 14, 1.480, 0.667
Sun Jul  2 18:17:03 EDT 2017, 0.060, 132, 28, 2, 9, 440, 6, 23, 14, 40, 8.483, 1.733
Sun Jul  2 18:18:03 EDT 2017, 0.560, 152, 23, 6, 20, 590, 16, 43, 29, 20, 59.940, 4.240
Sun Jul  2 18:18:04 EDT 2017, 0.810, 122, 20, 4, 25, 365, 11, 13, 6, 10, 0.963, 0.567
Sun Jul  2 18:18:05 EDT 2017, 0.310, 142, 25, 8, 14, 515, 1, 33, 21, 30, 0.817, 0.880
Sun Jul  2 18:18:17 EDT 2017, 0.430, 127, 24, 3, 28, 478, 8, 48, 10, 15, 11.373, 2.057
Sun Jul  2 18:19:05 EDT 2017, 0.930, 147, 29, 7, 17, 328, 18, 28, 25, 35, 48.167, 2.903
Sun Jul  2 18:21:48 EDT 2017, 0.680, 137, 27, 5, 12, 553, 13, 38, 2, 45, 162.263, 6.710
Sun Jul  2 18:21:50 EDT 2017, 0.180, 157, 22, 9, 23, 403, 4, 18, 17, 25, 1.093, 0.780
Sun Jul  2 18:22:18 EDT 2017, 0.120, 120, 25, 7, 19, 384, 7, 36, 8, 42, 28.183, 2.643
Sun Jul  2 18:22:32 EDT 2017, 0.620, 140, 20, 3, 8, 534, 17, 16, 23, 22, 13.440, 2.067
Sun Jul  2 18:22:40 EDT 2017, 0.870, 130, 22, 9, 13, 309, 12, 46, 0, 12, 8.373, 1.430
Sun Jul  2 18:22:42 EDT 2017, 0.370, 150, 27, 5, 24, 459, 2, 26, 15, 32, 1.063, 0.870
Sun Jul  2 18:22:44 EDT 2017, 0.250, 135, 21, 6, 16, 497, 10, 11, 12, 17, 1.710, 0.993
Sun Jul  2 18:24:15 EDT 2017, 0.750, 155, 26, 2, 27, 347, 19, 31, 27, 37, 90.343, 3.990
Sun Jul  2 18:25:15 EDT 2017, 0.500, 125, 29, 8, 21, 572, 14, 21, 4, 47, 59.880, 4.063
Sun Jul  2 18:25:23 EDT 2017, 0.000, 145, 24, 4, 10, 422, 5, 41, 19, 27, 8.170, 1.830
Sun Jul  2 18:26:15 EDT 2017, 0.000, 132, 25, 5, 15, 473, 13, 46, 10, 22, 51.300, 3.607
