# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 12:14:00 EDT 2017, 3072, 0.390, 8989, 2, 0.180, 445, 58, 15, 21, 62, 43.330, 37.280
Wed Apr 19 12:14:01 EDT 2017, 8022, 0.890, 3989, 6, 0.680, 595, 13, 6, 46, 17, 1.267, 1.360
Wed Apr 19 12:14:06 EDT 2017, 5547, 0.140, 1490, 4, 0.930, 370, 35, 11, 9, 39, 4.050, 3.730
Wed Apr 19 12:14:11 EDT 2017, 597, 0.640, 6489, 9, 0.430, 520, 80, 1, 34, 84, 4.270, 5.177
Wed Apr 19 12:14:14 EDT 2017, 443, 0.400, 3208, 3, 0.730, 394, 51, 18, 6, 10, 2.340, 2.090
Wed Apr 19 12:14:45 EDT 2017, 5393, 0.900, 8208, 7, 0.230, 544, 96, 9, 31, 55, 27.103, 28.637
Wed Apr 19 12:15:38 EDT 2017, 7868, 0.150, 5708, 1, 0.480, 319, 73, 13, 19, 77, 52.293, 44.113
Wed Apr 19 12:15:41 EDT 2017, 2918, 0.650, 708, 5, 0.980, 469, 28, 4, 44, 32, 2.613, 2.820
Wed Apr 19 12:15:48 EDT 2017, 4155, 0.030, 9458, 4, 0.350, 506, 39, 6, 0, 88, 5.387, 6.257
Wed Apr 19 12:16:03 EDT 2017, 9105, 0.530, 4458, 9, 0.850, 356, 84, 16, 25, 43, 14.523, 13.890
Wed Apr 19 12:16:04 EDT 2017, 6630, 0.280, 1958, 2, 0.600, 581, 62, 1, 12, 21, 1.027, 1.197
Wed Apr 19 12:16:11 EDT 2017, 1680, 0.780, 6958, 6, 0.100, 431, 17, 11, 37, 66, 6.573, 6.500
Wed Apr 19 12:16:12 EDT 2017, 2299, 0.220, 83, 9, 0.170, 412, 45, 3, 3, 15, 0.347, 0.400
Wed Apr 19 12:16:55 EDT 2017, 7249, 0.720, 5083, 5, 0.670, 562, 90, 12, 28, 60, 42.640, 41.513
Wed Apr 19 12:17:06 EDT 2017, 9724, 0.470, 7583, 7, 0.920, 337, 68, 7, 16, 83, 9.877, 9.833
Wed Apr 19 12:17:24 EDT 2017, 4774, 0.970, 2583, 2, 0.420, 487, 23, 17, 41, 38, 18.223, 16.997
Wed Apr 19 12:17:34 EDT 2017, 3536, 0.340, 6333, 8, 0.790, 450, 34, 15, 9, 94, 9.913, 9.527
Wed Apr 19 12:17:47 EDT 2017, 8486, 0.840, 1333, 3, 0.290, 300, 79, 5, 34, 49, 11.593, 11.880
Wed Apr 19 12:17:59 EDT 2017, 6011, 0.090, 3833, 6, 0.040, 525, 56, 19, 22, 27, 12.760, 12.553
Wed Apr 19 12:18:11 EDT 2017, 1061, 0.590, 8833, 1, 0.540, 375, 11, 10, 47, 72, 11.067, 10.460
Wed Apr 19 12:18:27 EDT 2017, 752, 0.060, 5395, 2, 0.950, 309, 98, 4, 45, 46, 16.000, 16.257
Wed Apr 19 12:18:52 EDT 2017, 5702, 0.560, 396, 7, 0.450, 459, 53, 14, 20, 91, 23.590, 23.013
Wed Apr 19 12:19:03 EDT 2017, 8177, 0.310, 2896, 4, 0.200, 384, 31, 9, 33, 69, 11.187, 11.233
Wed Apr 19 12:19:11 EDT 2017, 3227, 0.810, 7895, 9, 0.700, 534, 76, 19, 8, 24, 7.230, 7.197
Wed Apr 19 12:21:11 EDT 2017, 4465, 0.440, 1646, 1, 0.070, 572, 87, 12, 39, 57, 117.143, 107.640
Wed Apr 19 12:21:11 EDT 2017, 9415, 0.940, 6645, 5, 0.570, 422, 42, 2, 14, 12, 0.520, 0.540
Wed Apr 19 12:21:19 EDT 2017, 6940, 0.190, 9145, 3, 0.820, 497, 20, 16, 27, 35, 8.183, 7.577
