# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 11:21:29 EDT 2017, 2275, 0.090, 5478, 5, 0.330, 497, 11, 13, 37, 38, 4.560, 4.487
Wed Apr 19 11:21:33 EDT 2017, 7225, 0.590, 479, 9, 0.830, 347, 56, 3, 12, 83, 2.790, 3.383
Wed Apr 19 11:23:05 EDT 2017, 9700, 0.340, 2979, 2, 0.580, 572, 79, 17, 25, 61, 90.987, 82.613
Wed Apr 19 11:23:06 EDT 2017, 4750, 0.840, 7978, 7, 0.080, 422, 34, 8, 0, 16, 0.800, 0.803
Wed Apr 19 11:23:08 EDT 2017, 3512, 0.470, 1729, 3, 0.700, 385, 23, 1, 43, 72, 1.607, 1.677
Wed Apr 19 11:23:14 EDT 2017, 8462, 0.970, 6728, 8, 0.200, 535, 68, 10, 18, 27, 6.240, 6.490
Wed Apr 19 11:23:39 EDT 2017, 5987, 0.220, 9228, 1, 0.450, 310, 90, 6, 31, 49, 23.957, 22.857
Wed Apr 19 11:23:54 EDT 2017, 1037, 0.720, 4229, 6, 0.950, 460, 45, 15, 6, 94, 14.967, 12.953
Wed Apr 19 11:23:59 EDT 2017, 728, 0.190, 166, 7, 0.550, 525, 65, 11, 10, 24, 4.820, 4.853
Wed Apr 19 11:24:01 EDT 2017, 5678, 0.690, 5166, 2, 0.050, 375, 20, 1, 35, 69, 1.553, 1.630
Wed Apr 19 11:24:22 EDT 2017, 8153, 0.440, 7666, 9, 0.300, 450, 42, 16, 23, 92, 19.313, 19.500
Wed Apr 19 11:24:37 EDT 2017, 3203, 0.940, 2666, 4, 0.800, 300, 87, 6, 48, 47, 15.090, 15.287
Wed Apr 19 11:24:44 EDT 2017, 4440, 0.310, 6416, 5, 0.420, 338, 76, 4, 4, 80, 5.570, 6.490
Wed Apr 19 11:25:01 EDT 2017, 9390, 0.810, 1416, 1, 0.920, 488, 31, 13, 29, 35, 17.460, 15.717
Wed Apr 19 11:25:03 EDT 2017, 6915, 0.060, 3916, 8, 0.670, 413, 54, 9, 17, 13, 1.550, 1.587
Wed Apr 19 11:27:12 EDT 2017, 1965, 0.560, 8916, 3, 0.170, 563, 99, 18, 42, 58, 127.447, 119.543
Wed Apr 19 11:27:20 EDT 2017, 1347, 0.370, 3291, 2, 0.110, 582, 59, 10, 1, 30, 7.293, 6.197
Wed Apr 19 11:27:28 EDT 2017, 6297, 0.870, 8291, 6, 0.610, 432, 14, 19, 26, 75, 8.137, 7.757
