# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 11:34:07 EDT 2017, 3657, 0.450, 4219, 1, 0.760, 435, 50, 19, 25, 98, 100.827, 83.253
Wed Apr 19 11:34:20 EDT 2017, 8607, 0.950, 9218, 5, 0.260, 585, 95, 10, 0, 53, 13.447, 13.450
Wed Apr 19 11:34:46 EDT 2017, 6132, 0.200, 6719, 3, 0.010, 360, 73, 14, 38, 31, 22.437, 22.820
Wed Apr 19 11:34:51 EDT 2017, 1182, 0.700, 1719, 7, 0.510, 510, 28, 5, 13, 76, 3.543, 3.960
Wed Apr 19 11:35:03 EDT 2017, 873, 0.230, 2656, 9, 0.980, 595, 81, 9, 17, 45, 11.827, 11.977
Wed Apr 19 11:35:46 EDT 2017, 5823, 0.730, 7656, 5, 0.480, 445, 36, 19, 42, 90, 42.130, 40.043
Wed Apr 19 11:35:47 EDT 2017, 8298, 0.480, 5156, 7, 0.230, 520, 14, 4, 5, 67, 1.090, 1.160
Wed Apr 19 11:35:58 EDT 2017, 3348, 0.980, 157, 3, 0.730, 370, 59, 14, 30, 22, 10.600, 9.927
Wed Apr 19 11:36:22 EDT 2017, 4585, 0.350, 8906, 8, 0.100, 332, 92, 16, 24, 56, 22.103, 21.600
Wed Apr 19 11:36:25 EDT 2017, 9535, 0.850, 3906, 4, 0.600, 482, 47, 7, 49, 11, 3.437, 3.360
Wed Apr 19 11:36:28 EDT 2017, 7060, 0.100, 1407, 6, 0.850, 407, 25, 11, 11, 33, 2.250, 2.140
Wed Apr 19 11:36:50 EDT 2017, 2110, 0.600, 6406, 1, 0.350, 557, 70, 2, 36, 78, 21.417, 22.323
Wed Apr 19 11:37:23 EDT 2017, 1492, 0.420, 782, 3, 0.420, 539, 87, 10, 21, 50, 31.780, 30.850
Wed Apr 19 11:37:26 EDT 2017, 6442, 0.920, 5781, 8, 0.920, 389, 42, 1, 46, 95, 2.187, 2.360
Wed Apr 19 11:37:38 EDT 2017, 8917, 0.170, 8281, 1, 0.670, 464, 19, 15, 8, 73, 11.927, 9.447
Wed Apr 19 11:37:43 EDT 2017, 3967, 0.670, 3281, 5, 0.170, 314, 64, 6, 33, 28, 4.560, 4.687
Wed Apr 19 11:37:52 EDT 2017, 2729, 0.040, 7031, 4, 0.540, 351, 98, 3, 14, 62, 7.140, 8.587
Wed Apr 19 11:37:58 EDT 2017, 7679, 0.540, 2032, 9, 0.040, 501, 53, 13, 39, 17, 5.393, 5.313
Wed Apr 19 11:38:01 EDT 2017, 5204, 0.290, 4531, 2, 0.290, 426, 31, 8, 2, 39, 3.047, 2.597
Wed Apr 19 11:39:00 EDT 2017, 254, 0.790, 9531, 7, 0.790, 576, 76, 17, 27, 84, 56.530, 54.277
Wed Apr 19 11:39:09 EDT 2017, 332, 0.390, 4453, 8, 0.210, 560, 45, 14, 12, 43, 7.860, 8.083
Wed Apr 19 11:39:37 EDT 2017, 5282, 0.890, 9453, 3, 0.710, 410, 90, 4, 37, 88, 27.470, 27.920
Wed Apr 19 11:40:17 EDT 2017, 7757, 0.140, 6953, 5, 0.960, 485, 68, 18, 24, 65, 38.470, 36.807
Wed Apr 19 11:40:22 EDT 2017, 2807, 0.640, 1953, 1, 0.460, 335, 23, 9, 49, 20, 5.220, 5.093
Wed Apr 19 11:40:23 EDT 2017, 4044, 0.020, 8203, 9, 0.830, 372, 34, 2, 5, 76, 0.950, 1.090
Wed Apr 19 11:40:43 EDT 2017, 8994, 0.520, 3203, 4, 0.330, 522, 79, 11, 30, 31, 19.580, 19.320
Wed Apr 19 11:40:51 EDT 2017, 6519, 0.270, 704, 7, 0.080, 447, 57, 7, 18, 54, 7.193, 7.770
Wed Apr 19 11:41:20 EDT 2017, 1569, 0.770, 5703, 2, 0.580, 597, 12, 16, 43, 99, 28.980, 27.757
Wed Apr 19 11:41:23 EDT 2017, 2188, 0.210, 1328, 5, 0.640, 578, 51, 5, 2, 37, 2.633, 2.993
Wed Apr 19 11:42:04 EDT 2017, 7138, 0.710, 6328, 9, 0.140, 428, 96, 15, 27, 82, 38.900, 40.697
Wed Apr 19 11:42:08 EDT 2017, 9613, 0.460, 8828, 3, 0.390, 503, 73, 1, 15, 59, 2.907, 3.400
Wed Apr 19 11:42:10 EDT 2017, 4663, 0.960, 3828, 7, 0.890, 353, 28, 10, 40, 14, 1.613, 1.660
Wed Apr 19 11:42:21 EDT 2017, 3425, 0.330, 5078, 4, 0.270, 316, 40, 17, 8, 71, 10.790, 10.207
Wed Apr 19 11:42:29 EDT 2017, 8375, 0.830, 79, 8, 0.770, 466, 85, 8, 33, 26, 7.667, 7.967
Wed Apr 19 11:42:55 EDT 2017, 5900, 0.080, 2578, 2, 0.520, 391, 62, 13, 21, 48, 25.053, 22.947
Wed Apr 19 11:42:59 EDT 2017, 950, 0.580, 7578, 6, 0.020, 541, 17, 3, 46, 93, 3.993, 4.233
Wed Apr 19 11:43:15 EDT 2017, 1260, 0.110, 6640, 6, 0.490, 457, 93, 8, 48, 28, 14.370, 14.820
Wed Apr 19 11:43:47 EDT 2017, 6210, 0.610, 1641, 2, 0.990, 307, 48, 18, 23, 73, 32.070, 28.113
Wed Apr 19 11:43:53 EDT 2017, 8685, 0.360, 4141, 9, 0.740, 532, 26, 4, 35, 96, 5.110, 5.343
Wed Apr 19 11:44:09 EDT 2017, 3735, 0.860, 9140, 4, 0.240, 382, 71, 13, 10, 51, 15.877, 14.317
Wed Apr 19 11:45:16 EDT 2017, 4972, 0.490, 391, 5, 0.610, 419, 82, 15, 41, 85, 65.243, 63.757
Wed Apr 19 11:45:25 EDT 2017, 9922, 0.990, 5391, 1, 0.110, 569, 37, 6, 16, 40, 9.653, 8.693
Wed Apr 19 11:45:26 EDT 2017, 7447, 0.240, 7890, 7, 0.360, 344, 14, 11, 29, 17, 0.877, 0.920
Wed Apr 19 11:45:29 EDT 2017, 2497, 0.740, 2891, 3, 0.860, 494, 59, 1, 4, 62, 1.833, 2.163
Wed Apr 19 11:46:23 EDT 2017, 1878, 0.300, 9765, 1, 0.920, 513, 99, 12, 38, 23, 46.960, 40.253
Wed Apr 19 11:46:26 EDT 2017, 6828, 0.800, 4766, 6, 0.420, 363, 54, 2, 13, 68, 2.340, 2.670
Wed Apr 19 11:47:01 EDT 2017, 9303, 0.050, 2266, 4, 0.170, 588, 31, 17, 26, 90, 35.003, 33.700
Wed Apr 19 11:47:06 EDT 2017, 4353, 0.550, 7265, 8, 0.670, 438, 76, 7, 1, 45, 3.867, 4.473
Wed Apr 19 11:47:49 EDT 2017, 3116, 0.170, 3516, 2, 0.050, 400, 88, 5, 44, 79, 40.187, 41.633
Wed Apr 19 11:47:57 EDT 2017, 8066, 0.670, 8515, 7, 0.550, 550, 43, 14, 19, 34, 8.123, 7.650
Wed Apr 19 11:47:59 EDT 2017, 5591, 0.420, 6016, 5, 0.800, 325, 20, 10, 32, 12, 1.183, 1.240
Wed Apr 19 11:48:14 EDT 2017, 641, 0.920, 1016, 9, 0.300, 475, 65, 19, 7, 57, 13.320, 14.203
Wed Apr 19 11:48:16 EDT 2017, 486, 0.130, 9296, 4, 0.500, 442, 21, 3, 33, 38, 1.810, 1.860
Wed Apr 19 11:48:36 EDT 2017, 5436, 0.630, 4297, 8, 0.000, 592, 66, 12, 8, 83, 19.220, 20.307
Wed Apr 19 11:49:30 EDT 2017, 7911, 0.380, 1797, 1, 0.250, 367, 89, 7, 45, 61, 52.677, 50.937
