# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Wed May 17 23:21:41 EDT 2017, 0.100, 1, 3, 0.620, 6, 8, 15, 586, 90, 16, 47, 91, 231.463, 178.490
Wed May 17 23:21:48 EDT 2017, 0.600, 6, 8, 0.120, 2, 4, 60, 436, 45, 6, 22, 46, 6.813, 6.837
Wed May 17 23:21:51 EDT 2017, 0.850, 3, 5, 0.870, 4, 6, 82, 511, 67, 2, 35, 24, 3.313, 3.613
Wed May 17 23:22:15 EDT 2017, 0.350, 8, 1, 0.370, 9, 1, 37, 361, 22, 11, 10, 69, 23.447, 14.560
Wed May 17 23:22:21 EDT 2017, 0.480, 5, 9, 0.740, 3, 3, 26, 398, 78, 4, 28, 35, 5.163, 6.013
Wed May 17 23:22:56 EDT 2017, 0.980, 9, 4, 0.240, 7, 7, 71, 548, 33, 13, 3, 80, 34.727, 25.457
Wed May 17 23:23:52 EDT 2017, 0.730, 2, 2, 0.990, 5, 5, 93, 323, 56, 18, 41, 58, 54.490, 32.020
Wed May 17 23:23:53 EDT 2017, 0.230, 7, 7, 0.490, 1, 9, 48, 473, 11, 9, 16, 13, 0.880, 0.817
Wed May 17 23:24:41 EDT 2017, 0.170, 3, 1, 0.180, 2, 9, 20, 304, 84, 17, 13, 29, 47.893, 28.267
Wed May 17 23:24:55 EDT 2017, 0.670, 7, 6, 0.680, 7, 4, 65, 454, 39, 7, 38, 74, 13.800, 12.837
Wed May 17 23:25:06 EDT 2017, 0.920, 1, 8, 0.430, 9, 7, 88, 379, 61, 3, 0, 97, 9.730, 10.880
Wed May 17 23:25:15 EDT 2017, 0.420, 5, 4, 0.930, 5, 2, 43, 529, 16, 12, 25, 52, 8.923, 6.553
Wed May 17 23:25:37 EDT 2017, 0.290, 2, 7, 0.050, 8, 1, 32, 492, 95, 5, 6, 63, 20.800, 21.983
Wed May 17 23:25:47 EDT 2017, 0.790, 6, 3, 0.550, 4, 5, 77, 342, 50, 15, 31, 18, 9.437, 6.527
Wed May 17 23:26:36 EDT 2017, 0.540, 4, 5, 0.300, 1, 3, 99, 567, 73, 19, 19, 41, 47.863, 32.450
Wed May 17 23:26:47 EDT 2017, 0.040, 9, 9, 0.800, 6, 8, 54, 417, 28, 10, 44, 86, 10.730, 9.897
Wed May 17 23:27:15 EDT 2017, 0.030, 2, 1, 0.380, 4, 2, 78, 450, 77, 13, 34, 17, 28.323, 16.870
Wed May 17 23:27:19 EDT 2017, 0.530, 6, 6, 0.880, 8, 6, 33, 300, 32, 4, 9, 62, 3.987, 4.080
Wed May 17 23:28:03 EDT 2017, 0.780, 4, 8, 0.130, 6, 4, 11, 525, 99, 8, 46, 84, 42.983, 40.840
Wed May 17 23:28:33 EDT 2017, 0.280, 9, 3, 0.630, 1, 8, 56, 375, 54, 18, 21, 39, 29.877, 19.490
Wed May 17 23:28:46 EDT 2017, 0.400, 3, 7, 0.260, 7, 7, 89, 337, 66, 6, 40, 73, 13.610, 13.457
Wed May 17 23:28:59 EDT 2017, 0.900, 8, 2, 0.760, 3, 3, 44, 487, 21, 16, 15, 28, 12.467, 7.540
Wed May 17 23:29:37 EDT 2017, 0.650, 1, 4, 0.010, 5, 5, 22, 412, 88, 11, 28, 51, 37.497, 27.963
Wed May 17 23:29:42 EDT 2017, 0.150, 5, 9, 0.510, 9, 1, 67, 562, 43, 1, 3, 96, 3.830, 4.660
Wed May 17 23:30:36 EDT 2017, 0.210, 5, 4, 0.820, 8, 1, 84, 431, 60, 14, 6, 79, 53.333, 37.487
Wed May 17 23:30:38 EDT 2017, 0.710, 9, 8, 0.320, 3, 6, 39, 581, 15, 5, 31, 34, 1.810, 1.710
Wed May 17 23:30:43 EDT 2017, 0.960, 2, 6, 0.570, 1, 3, 16, 356, 82, 10, 18, 11, 4.273, 3.550
Wed May 17 23:31:41 EDT 2017, 0.460, 7, 2, 0.070, 5, 8, 61, 506, 37, 19, 43, 56, 57.647, 33.843
Wed May 17 23:31:55 EDT 2017, 0.340, 1, 9, 0.940, 2, 9, 95, 543, 71, 7, 24, 45, 13.273, 13.547
Wed May 17 23:32:19 EDT 2017, 0.840, 6, 5, 0.440, 6, 4, 50, 393, 26, 17, 49, 90, 23.433, 17.053
Wed May 17 23:33:37 EDT 2017, 0.590, 4, 3, 0.690, 9, 7, 27, 468, 94, 12, 12, 67, 77.780, 56.130
Wed May 17 23:33:39 EDT 2017, 0.090, 8, 7, 0.190, 4, 2, 72, 318, 49, 2, 37, 22, 1.160, 1.317
Wed May 17 23:34:07 EDT 2017, 0.060, 3, 8, 0.040, 1, 5, 36, 403, 52, 15, 38, 81, 27.850, 22.737
Wed May 17 23:34:27 EDT 2017, 0.560, 8, 4, 0.540, 6, 9, 81, 553, 97, 5, 13, 36, 20.420, 18.887
Wed May 17 23:34:28 EDT 2017, 0.810, 1, 1, 0.290, 8, 2, 58, 328, 29, 1, 26, 14, 0.810, 0.887
Wed May 17 23:35:00 EDT 2017, 0.310, 6, 6, 0.790, 3, 7, 13, 478, 74, 10, 1, 59, 30.747, 25.387
Wed May 17 23:35:06 EDT 2017, 0.430, 2, 5, 0.160, 9, 6, 47, 590, 40, 3, 32, 48, 6.347, 6.733
Wed May 17 23:35:55 EDT 2017, 0.930, 7, 9, 0.660, 4, 1, 92, 440, 85, 13, 7, 93, 47.733, 41.207
Wed May 17 23:36:08 EDT 2017, 0.680, 4, 7, 0.410, 2, 8, 70, 515, 18, 17, 45, 70, 12.580, 9.830
Wed May 17 23:36:22 EDT 2017, 0.180, 9, 2, 0.910, 7, 4, 25, 365, 63, 8, 20, 25, 14.093, 9.480
Wed May 17 23:36:30 EDT 2017, 0.120, 1, 5, 0.720, 5, 3, 41, 497, 35, 16, 23, 20, 7.410, 5.337
Wed May 17 23:37:22 EDT 2017, 0.620, 5, 1, 0.220, 1, 8, 86, 347, 80, 7, 48, 65, 51.830, 34.550
Wed May 17 23:37:25 EDT 2017, 0.870, 3, 3, 0.970, 3, 1, 64, 572, 12, 2, 10, 87, 3.240, 3.337
Wed May 17 23:37:40 EDT 2017, 0.370, 7, 7, 0.470, 7, 5, 19, 422, 57, 11, 35, 42, 13.850, 12.023
Wed May 17 23:37:55 EDT 2017, 0.250, 4, 2, 0.600, 4, 6, 53, 309, 46, 4, 4, 76, 14.803, 11.813
Wed May 17 23:38:20 EDT 2017, 0.750, 8, 6, 0.100, 8, 2, 98, 459, 91, 14, 29, 31, 24.657, 19.257
