# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Sun Jul  2 09:11:13 EDT 2017, 0.000, 120, 20, 2, 8, 300, 1, 10, 0, 10, 0.190, 0.200
Sun Jul  2 09:11:34 EDT 2017, 0.500, 140, 25, 6, 19, 450, 10, 30, 15, 30, 20.680, 2.537
Sun Jul  2 09:12:07 EDT 2017, 0.750, 130, 27, 4, 24, 375, 15, 20, 7, 40, 32.307, 2.427
Sun Jul  2 09:12:12 EDT 2017, 0.250, 150, 22, 8, 13, 525, 5, 40, 22, 20, 4.790, 1.467
Sun Jul  2 09:12:20 EDT 2017, 0.370, 135, 26, 3, 27, 562, 3, 35, 3, 45, 8.213, 2.220
Sun Jul  2 09:12:25 EDT 2017, 0.870, 155, 21, 7, 16, 412, 12, 15, 18, 25, 4.590, 1.230
Sun Jul  2 09:13:08 EDT 2017, 0.620, 125, 23, 5, 10, 487, 17, 45, 11, 15, 43.430, 2.913
Sun Jul  2 09:13:16 EDT 2017, 0.120, 145, 28, 9, 21, 337, 8, 25, 26, 35, 7.610, 1.300
Sun Jul  2 09:13:17 EDT 2017, 0.180, 132, 23, 7, 20, 356, 2, 47, 5, 12, 0.490, 0.430
Sun Jul  2 09:13:41 EDT 2017, 0.680, 152, 28, 3, 9, 506, 11, 27, 20, 32, 23.713, 2.737
Sun Jul  2 09:16:26 EDT 2017, 0.930, 122, 25, 9, 14, 431, 16, 37, 13, 42, 163.810, 5.560
Sun Jul  2 09:16:28 EDT 2017, 0.430, 142, 20, 5, 25, 581, 6, 17, 28, 22, 2.387, 1.163
Sun Jul  2 09:16:34 EDT 2017, 0.310, 127, 29, 6, 17, 543, 4, 22, 1, 47, 5.707, 1.653
Sun Jul  2 09:17:36 EDT 2017, 0.810, 147, 24, 2, 28, 393, 14, 42, 16, 27, 61.507, 3.670
Sun Jul  2 09:17:40 EDT 2017, 0.560, 137, 21, 8, 23, 468, 18, 12, 9, 17, 3.840, 1.047
Sun Jul  2 09:17:59 EDT 2017, 0.060, 157, 26, 4, 12, 318, 9, 32, 24, 37, 18.740, 2.113
Sun Jul  2 09:18:32 EDT 2017, 0.090, 138, 28, 5, 14, 403, 11, 43, 23, 26, 32.723, 2.800
Sun Jul  2 09:18:33 EDT 2017, 0.590, 158, 23, 9, 25, 553, 1, 23, 8, 46, 0.910, 0.947
Sun Jul  2 09:18:47 EDT 2017, 0.840, 128, 20, 3, 19, 328, 6, 33, 15, 36, 14.007, 2.190
Sun Jul  2 09:18:50 EDT 2017, 0.340, 148, 25, 7, 8, 478, 15, 13, 0, 16, 2.453, 0.933
Sun Jul  2 09:19:36 EDT 2017, 0.460, 123, 24, 4, 22, 515, 13, 28, 27, 31, 45.747, 3.523
Sun Jul  2 09:19:37 EDT 2017, 0.960, 143, 29, 8, 11, 365, 3, 48, 12, 11, 0.800, 0.640
Sun Jul  2 09:19:40 EDT 2017, 0.710, 133, 27, 2, 16, 590, 8, 18, 19, 21, 3.437, 1.283
Sun Jul  2 09:22:59 EDT 2017, 0.210, 153, 22, 6, 27, 440, 18, 38, 4, 41, 197.663, 6.643
Sun Jul  2 09:23:06 EDT 2017, 0.150, 126, 25, 8, 26, 421, 12, 16, 29, 28, 7.140, 1.350
Sun Jul  2 09:23:12 EDT 2017, 0.650, 146, 20, 4, 15, 571, 2, 36, 14, 48, 5.297, 2.083
Sun Jul  2 09:23:22 EDT 2017, 0.900, 136, 22, 6, 10, 346, 7, 26, 21, 38, 10.370, 1.727
Sun Jul  2 09:24:14 EDT 2017, 0.400, 156, 27, 2, 21, 496, 17, 46, 6, 18, 51.003, 3.603
